Date,Open,High,Low,Close,Volume
2000-01-04,545.5,546,535.5,535.5,106553
2000-01-05,520.5,528,520,527,84325
2000-01-06,520.5,523,514,514,285496
2000-01-07,515,518,515,516,227585
2000-01-10,516.5,525,516.5,523,105241
2000-01-11,523,526,519,519.75,121136
2000-01-12,519,522,516.5,519,233257
2000-01-13,516.5,520,515,517,1996034
2000-01-14,515.75,526,515.75,525.5,728630
2000-01-17,528,530,527.9472,528,51872
2000-01-18,528,528.5,516,516,184806
2000-01-19,513,516,510,510.5,209939
2000-01-20,511,514,503,505,161889
2000-01-21,501,501,495,497,197517
2000-01-24,496.5,506,496.5,503,194593
2000-01-25,495,495,491,494.5,143668
2000-01-26,494.5,500,494.5,497.5,267637
2000-01-27,497.5,502,497.5,500,790841
2000-01-28,505,507,499,499,343901
2000-01-31,492.75,497,492,492,109574
2000-02-01,496,499.5,495,499,865393
2000-02-02,495,498,489,489,95578
2000-02-03,490.75,497,489,491,1087704
2000-02-04,498,500,498,498,1789208
2000-02-07,497,499,492,493,492282
2000-02-08,491.5,495,489,493,736108
2000-02-09,490.5,497.0497,490,493,796371
2000-02-10,492,492,487,487.5,64497
2000-02-11,487.5,489,479,481.25,267315
2000-02-14,479.5,482,476,478.5,178091
2000-02-15,475.75,482,475.5,481,789994
2000-02-16,480.5,485,480.5,482.5,883441
2000-02-17,485.25,488,484,487,363962
2000-02-18,487.25,490,485,485,171134
2000-02-21,485,485,480,480,12060990
2000-02-22,479,487,479,483.5,491942
2000-02-23,485,491,485,489.5,170869
2000-02-24,487.5,499,487.5,493.5,255238
2000-02-25,492.25,495,491,494.5,6949096
2000-02-28,492,493,486,486.5,50173
2000-02-29,487.5,495,487.5,493,1685014
2000-03-01,495.25,504,495,502,345734
2000-03-02,500.25,503,499,500,2334167
2000-03-03,503,510,503,508,177602
2000-03-06,509,522,509,513.75,776868
2000-03-07,520.25,523,518,520.5,614387
2000-03-08,515.5,524,515,520.8,724785
2000-03-09,521.25,529,521.25,527,430479
2000-03-10,529.25,537,529.25,536,555885
2000-03-13,528.25,530,520,521,159721
2000-03-14,521.5,528,521.5,524.25,127088
2000-03-15,524,526,520,523.25,399382
2000-03-16,527,537,527,537,881521
2000-03-17,542.5,546,537,540,219121
2000-03-20,539,542,538,540,2271888
2000-03-21,540,541.5,535,536.25,789561
2000-03-22,543.25,545,537,537,617415
2000-03-23,542.5,545,541,544,203160
