Date,Open,High,Low,Close,Volume
2014-06-18,155,155,145,145,1196236
2014-06-19,145.75,150,143.5,145,1432929
2014-06-20,144,150,143.25,143.75,454688
2014-06-23,146,146.95,145.25,145.25,4415
2014-06-24,145.25,145.25,144.25,144.25,1173
2014-06-25,144.75,145,144.5,144.75,6243
2014-06-26,145,146,144.5,144.5,56846
2014-06-27,145,145,144.9725,145,37724
2014-06-30,145,152,145,152,1619343
2014-07-01,150,151,150,151,65243
2014-07-02,151,151,150,150.25,90781
2014-07-03,150.75,150.75,150,150,1638
2014-07-04,150,150,150,150,311
2014-07-07,149.5,149.5,149,149,9050
2014-07-08,149.25,149.375,148.0575,148.5,22238
2014-07-09,148,148.0288,147,147.5,33664
2014-07-10,147.25,147.25,145.5,147,18765
2014-07-11,146.5,146.55,145.5,145.75,30752
2014-07-14,146,146.125,146,146.125,125
2014-07-15,146,146.75,145.25,145.25,40274
2014-07-16,145.5,146.125,138,139.75,218988
2014-07-17,139.5,139.625,139.125,139.625,9564
2014-07-18,139.25,139.75,137.5,139.75,43879
2014-07-21,140,140,139.75,139.875,6425
2014-07-22,139.5,140,138.75,139.75,17757
2014-07-23,139,139.5,139,139.5,9453
2014-07-24,139.5,139.5,139.5,139.5,3091
2014-07-25,139.5,139.5,139.5,139.5,2434
2014-07-28,140,140,140,140,4892
2014-07-29,140,140.5,139.5,139.5,12911
2014-07-30,140,142.5,139.75,141.25,132394
2014-07-31,141.5,141.5,141.5,141.5,5
2014-08-01,141.25,141.5,140,140,23956
2014-08-04,141,141.5,139.5,139.5,10136
2014-08-05,140,143,140,140.75,13971
2014-08-06,144,145,141,141,36964
2014-08-07,144.5,145,140,143,42377
2014-08-08,140,140.75,139.6875,140,77089
2014-08-11,143,143,139.8,140,41872
2014-08-12,141.75,141.75,137.5,139.25,98627
2014-08-13,139,139.5,139,139.5,13965
2014-08-14,139,140,138.5012,140,47448
2014-08-15,140,140,139.55,139.75,39864
2014-08-18,140,140.9,139.75,139.75,49507
2014-08-19,142,142,139.325,140,130340
2014-08-20,140,140.5,139,140,24911
2014-08-21,140,140,140,140,8225
2014-08-22,138.5125,139.5,138.5125,139.5,10000
2014-08-26,140,140,139,140,846395
2014-08-27,140,140,139.1875,139.5,30033
2014-08-28,139,139,137.9625,139,27003
2014-08-29,137,138.5,137,138.5,1321753
2014-09-01,140,143,137.25,143,75885
2014-09-02,142,142,139.55,142,161868
2014-09-03,141,146,139.65,146,447704
2014-09-04,148,151.75,148,150,74677
2014-09-05,154,156.5,150,155,116608
2014-09-08,161,161,155.5,159,307606
2014-09-09,158,159.75,156.5,158.25,68085
2014-09-10,158.5,158.5,156.5,157,199707
2014-09-11,156.5,159,154.5,156,68743
2014-09-12,156,159.75,154.5,154.5,232156
2014-09-15,157.5,158,156,157.75,64345
2014-09-16,156,157.75,155,155,88298
2014-09-17,154,155.75,152,152,190645
2014-09-18,156,157,153,156,237702
2014-09-19,155.5,157.0966,151.75,151.75,818751
2014-09-22,153,155.875,149.5,149.5,47098
2014-09-23,152,153,150,150.5,104560
2014-09-24,152,155,150.75,151.75,23461
2014-09-25,151.75,154,151.5,151.5,61402
2014-09-26,152,153.75,152,152.5,9025
2014-09-29,153,153.4,153,153,1638
2014-09-30,155,155,152,153,28968
2014-10-01,152,153.5,150,153.5,27996
2014-10-02,157,157,151,151,8347
2014-10-03,151,151.625,151,151,5799
2014-10-06,149.81,151.625,149.81,151.625,772
2014-10-07,151,152.25,151,151,2538
2014-10-08,151,151,148.5,148.5,28270
2014-10-09,153.5,153.5,143,145.75,46602
2014-10-10,143,143,137,141,21963
2014-10-13,140,140.475,140,140,1061
2014-10-14,139.5,142,139.5,140,19436
2014-10-15,142,142,130,130.25,581140
2014-10-16,136,140,135,140,38066
2014-10-17,138,140,135,135.75,1076748
2014-10-20,140,140,138,138,97576
2014-10-21,141,141,139,140,53717
2014-10-22,142,142,135,136.75,349453
2014-10-23,135.25,137.25,135.25,137.25,32455
2014-10-24,143,144,143,143,23796
2014-10-27,145,145,143.875,144.125,9467
2014-10-28,144.25,144.75,144,144.375,30898
2014-10-29,143,144.625,143,144,1399
2014-10-30,144,144,141.25,143,805
2014-10-31,145,146.75,141,141,6105
2014-11-03,145,150,145,146,88493
2014-11-04,145,148.6,143,143,52304
2014-11-05,145,146.125,145,145,704
2014-11-06,145,146,140.5,140.5,16048
2014-11-07,144,145.5,143.9275,145.5,3500
2014-11-10,141,146.25,140.25,141.25,23356
2014-11-11,143,146,143,143,15002
2014-11-12,143,143.45,141.125,141.125,3588
2014-11-13,142,142.58,141.9974,142,5863
2014-11-14,141,142,141,141,3918
2014-11-17,143.75,143.75,142,142,189
2014-11-18,144.5,144.5,143.125,143.125,170
2014-11-19,147.5,147.5,144.625,144.625,156
2014-11-20,147,147,142.5,142.75,12661
2014-11-21,144,144,140,140,9431
2014-11-24,140,140,137.5,137.5,10974
2014-11-25,137.5,138.125,135.25,138.125,5102
2014-11-26,137,139,135.7,138,7663
2014-11-27,135.25,142,135,139.25,10694
2014-11-28,139.25,145,139.25,145,3098
2014-12-01,139.25,147.125,139.25,142.25,340867
2014-12-02,142.25,142.25,138.61,140.25,29333
2014-12-03,141.5,142.875,141.5,142.875,2462
2014-12-04,140,140,135.5,139.25,15607
2014-12-05,142,142,137.5,140.75,21034
2014-12-08,138,141,134,136.5,23788
2014-12-09,136.5,139.5,133.7375,136.25,22918
2014-12-10,133,138,131.875,133,12031
