Date,Open,High,Low,Close,Volume
2010-04-19,101.33,102.25,100,101.33,1683514
2010-04-20,101,102,100.88,101,1657710
2010-04-21,101,102.15,101,101,1006789
2010-04-22,100.389,101.378,100.1,100.389,841461
2010-04-23,100.5,101.4,100,100.5,1734708
2010-04-26,100.5,100.75,100.1,100.5,1364702
2010-04-27,100.05,100.5,100.05,100.05,426743
2010-04-28,99,100.3,96.85,99,1122807
2010-04-29,99.5,99.97,99.35,99.5,483883
2010-04-30,99.75,100,99.25,99.75,594588
2010-05-04,97.55,99.5,97.55,97.55,579644
2010-05-05,97.25,97.5,97,97.25,270059
2010-05-06,95.5,96.5,94.1,95.5,816254
2010-05-07,94.25,94.5,93.5,94.25,417496
2010-05-10,96.25,96.5,95.2,96.25,950848
2010-05-11,96.5,96.5,95.25,96.5,427422
2010-05-12,96.5,96.5,95.5,96.5,764036
2010-05-13,97,97,96.5,97,698611
2010-05-14,96,97.25,95.5,96,302717
2010-05-17,96,96.25,95,96,233949
2010-05-18,96.25,96.5,96,96.25,188597
2010-05-19,94.75,96.4,94.5,94.75,556011
2010-05-20,93.75,95,92.75,93.75,826556
2010-05-21,93.25,93.25,92.25,93.25,644067
2010-05-24,94,94,93.25,94,700127
2010-05-25,92.25,94,92.01,92.25,495086
2010-05-26,93.5,94,92.26,93.5,304814
2010-05-27,95,95.5,93,95,708834
2010-05-28,97,97,95.25,97,1110029
2010-06-01,96.25,97,96,96.25,328308
2010-06-02,96,96.5,95,96,375391
2010-06-03,96.5,96.5,96.25,96.5,417748
2010-06-04,95.75,96.75,94.5,95.75,571188
2010-06-07,95.424,96.75,94.6,95.424,1309081
2010-06-08,98.75,98.75,96.61,98.75,3372551
2010-06-09,99.75,99.75,98.25,99.75,2231750
2010-06-10,100.5,100.601,99.35,100.5,6669715
2010-06-11,101.125,102,100.6,101.125,5908739
2010-06-14,101.5,101.75,101,101.5,2102138
2010-06-15,100.8507,101.75,100.75,100.8507,1443863
2010-06-16,100.6,101.4,100.5,100.6,4890221
2010-06-17,100.25,101,99.75,100.25,2651272
2010-06-18,100.6,100.75,100,100.6,23840145
2010-06-21,101,101.5,100,100.4,1080708
2010-06-22,100,101.4,100,101,172498
2010-06-23,100.1,102,100.1,100.3,1391782
2010-06-24,100.7,101,100.2,100.3,913897
2010-06-25,100,100.5,100,100.1,660377
2010-06-28,100.1,101.5,100,101,835768
2010-06-29,100,100,97.7,98.5,1779949
2010-06-30,97.5,98.75,97.5,98.75,229904
2010-07-01,97.25,98.36,96.1,96.1,1407479
2010-07-02,97.5,98,96.43,98,116783
2010-07-05,97,98.5,97,98.5,131274
2010-07-06,97,98.5,97,98.5,156915
2010-07-07,98.05,99.4,98.05,99.1,224794
2010-07-08,99,99.5,98.35,98.8,2451057
2010-07-09,99,99.25,98.5,98.5,233058
2010-07-12,99.25,99.5,99,99.5,216169
2010-07-13,99.5,100.2,99.2,99.95,362890
2010-07-14,99.8,100.5,99.1,99.2,152810
2010-07-15,100.2,100.4,99.2,99.2,153186
2010-07-16,100,101,99.25,100.3,1523784
2010-07-19,99.6,100.5,99.5,100.1,599237
2010-07-20,100.5,101.5,100,101,389124
2010-07-21,101,102,100,101.7,342571
2010-07-22,100.6,102,100.5,101.7,2063843
2010-07-23,101.8,103,101.8,103,449905
2010-07-26,103,105.25,102.31,105.2,858913
2010-07-27,105,105.4,103.5,104.8,1229305
2010-07-28,104.9,104.9,103.5,103.9,810489
2010-07-29,104.8,105.5,104.13,104.5,909893
2010-07-30,104.4,104.5,103.1,104.1,418037
2010-08-02,104.5,105,104.3,104.7,540150
2010-08-03,104.8,104.8,104.1,104.2,272575
2010-08-04,104.9,104.9,104.2,104.5,752455
2010-08-05,104.8,104.8,104.3,104.7,433922
2010-08-06,104.9,105,103.8,104.9,843423
2010-08-09,104.9,105.5,104.2,105.4,564193
2010-08-10,105.4,105.4,104.5,105.1,450840
2010-08-11,104.9,104.9,103.8,103.8,863734
2010-08-12,103,103.2,102.6,103.2,700371
2010-08-13,103,103.64,102.6,103.4,253180
2010-08-16,104,104,102.7,103.2,318974
2010-08-17,104,104,102.7,103.9,676755
2010-08-18,103.9,104,103.36,104,682856
2010-08-19,102.7,104.3,102.7,103,514457
2010-08-20,103.4,103.9,102.95,103.5,238475
2010-08-23,104,104,102.7,103.25,736477
2010-08-24,103.9,104.2,103.5,103.6,975018
2010-08-25,104,104,103.2,103.5,365705
2010-08-26,103.1,103.6,103.1,103.3,518908
2010-08-27,103.8,104.2,103.2,103.4,215041
2010-08-31,103,103.857,102.4,103.5,403014
2010-09-01,102.7,103.5,102,102.9,730836
2010-09-02,104,105.1,102.9,105.1,686957
2010-09-03,105.3,106,104.2,105.99,607640
2010-09-06,106,106.6,104.7,106.6,377336
2010-09-07,106.6,107.2,106.1,106.1,324900
2010-09-08,107,107.01,106,107,657765
2010-09-09,107.1,107.4,106.79,107,705538
2010-09-10,107.4,108,106.2,108,850592
2010-09-13,108,109,107.8,108.9,696549
2010-09-14,109,110.5,108.4,110.2,994213
2010-09-15,110.2,110.3,109,109.5,1216255
