Date,Open,High,Low,Close,Volume
2007-02-27,300,301,281,281,222545703
2007-02-28,279,286,272,285,31478199
2007-03-01,290,292.25,279,280.5,10073110
2007-03-02,284,284,276,276.25,10056310
2007-03-05,275,275,270.5,273,12218190
2007-03-06,275,275,271.5,271.75,3648404
2007-03-07,273,276.5,272,272.75,5918347
2007-03-08,272,285,272,276,6155754
2007-03-09,275.5,276,273,274,2819994
2007-03-12,273,277,273,274.5,6088952
2007-03-13,273,274.75,272,272,20760850
2007-03-14,268,270,264,265.5,14300900
2007-03-15,269,270,265,265,6010943
2007-03-16,265,267,261,261.5,958181
2007-03-19,261,270,261,263.75,2911386
2007-03-20,263,263.25,254,260,5421309
2007-03-21,264,264,255,255,3251402
2007-03-22,259,266,254.5,254.5,11709060
2007-03-23,253,259,252,259,4464892
2007-03-26,258,280,258,270.5,11602200
2007-03-27,274,280,272,272.5,3902904
2007-03-28,274,278,273.5,273.5,15664610
2007-03-29,277,278,272,272,7070953
2007-03-30,272.5,278.75,271,277.75,5735638
2007-04-02,275,280.5,275,276.5,6841111
2007-04-03,276.5,276.5,271.5,272,2539620
2007-04-04,273,273,268.25,268.75,3020760
2007-04-05,269,270,268.25,268.75,715341
2007-04-10,270.5,274,270,273.25,2147606
2007-04-11,274,276,272,275,9436667
2007-04-12,275,284,274,283.25,6934389
2007-04-13,280.25,287,262.25,262.25,14159710
2007-04-16,266,266,248.75,248.75,34805898
2007-04-17,248,250,242,245,25275689
2007-04-18,243,248.5,241,241.5,14968530
2007-04-19,240.25,245,234,243,12487500
2007-04-20,245,249.25,245,248.5,9647143
2007-04-23,250,251.75,248.5,249.5,2725569
2007-04-24,249.5,249.75,243.5,244.75,7533485
2007-04-25,245.75,245.75,236,236.25,8102594
2007-04-26,240,241,208.25,222.5,51239898
2007-04-27,224.5,239.5,223,238.5,17438119
2007-04-30,235.25,243.5,235,237.5,4970725
2007-05-01,237,238,236,236,307033
2007-05-02,237,238.5,228,229.25,6058542
2007-05-03,228,228.5,225.5,226,4856367
2007-05-04,228,228,218,220,5569097
2007-05-08,217,221,216,220.25,5436860
2007-05-09,220.5,224,220.5,222,5773402
2007-05-10,222,222.5,220.25,220.25,3117982
2007-05-11,219,219,208.5,214,6683116
2007-05-14,217.25,217.25,206.5,206.5,7106983
2007-05-15,208.5,228,205,217.25,16306500
2007-05-16,218,228.5,217,227,12267180
2007-05-17,227,227.75,225.5,227.25,6936904
2007-05-18,228,230,227,228,7137250
2007-05-21,227,228,214.25,216,6876315
2007-05-22,216,217,213.5,214.5,4871192
2007-05-23,214,216.5,212,215,6902882
2007-05-24,217,223,216.5,221,7504370
2007-05-25,219,219,216.5,217,7254766
2007-05-29,217,221,216,220.25,1316522
2007-05-30,217,219.75,214.25,215,2571550
2007-05-31,216.5,218,205,205,7842897
2007-06-01,206,210,193.25,196,10456920
2007-06-04,198,199,183.5,190.75,20148730
2007-06-05,193.25,205.5,193.25,202,17608840
2007-06-06,199,205,193.5,198,3940622
2007-06-07,201,201,191.5,197,3979340
2007-06-08,194,203.75,191.5,199.75,5626015
2007-06-11,207,207,196,196.75,5769646
2007-06-12,193.75,196.75,187,193,9678996
2007-06-13,193,198,189.5,198,7810864
2007-06-14,195.25,203.5,194,203.5,13603560
2007-06-15,201,214.75,201,204,27511039
2007-06-18,200.75,214.96,200,206,2233757
2007-06-19,203,210,203,206.5,4787740
2007-06-20,205,213,205,209.5,9339605
2007-06-21,206.25,210,201,202.5,6650598
2007-06-22,205.5,210,198.85,203,4723223
2007-06-25,199.75,202.5,195,199.5,10737590
2007-06-26,197,198,192,193,10674300
2007-06-27,191,197,186.5,187.5,16658750
2007-06-28,187.25,189,181,183.5,20980910
2007-06-29,186.5,186.96,180.25,181.5,9557532
2007-07-02,178.75,181.5,173,175,10778090
2007-07-03,177.75,180,175.65,177.75,3262895
2007-07-04,180,180,176,178,2696430
2007-07-05,186,186,176,176.75,3557535
2007-07-06,176,190,175.5,187,12613250
2007-07-09,190,192,184.25,186,5367676
2007-07-10,189,189,182,184.75,4314113
2007-07-11,187.75,187.75,181.25,185,2764000
2007-07-12,188,188,185,187.5,5306332
2007-07-13,190.25,192.75,106,191.25,12128520
2007-07-16,194,195.75,185,192,11701200
2007-07-17,189,194.5,189,193,5647303
2007-07-18,187,192.39,187,189,6649693
2007-07-19,192,192,186.5,190,12951230
2007-07-20,193,193,187,188,15148600
2007-07-23,190,193.75,188.5,190,14620470
2007-07-24,178,178,137,147,114553797
2007-07-25,142,155,140.46,154,18853471
2007-07-26,156,156,144,144.25,22861070
2007-07-27,139.75,150,139.47,146,8367208
2007-07-30,148,155.75,144.5,149.5,9546111
2007-07-31,148,165.99,148,149,5438012
2007-08-01,146.75,149.75,143.5,147.5,13880950
2007-08-02,149.25,154,143,147,3595628
2007-08-03,149,149,142.5,143.5,2211506
2007-08-06,143,152.24,133.6925,138.5,8821379
2007-08-07,140.5,147.25,136.25,141.5,9073985
2007-08-08,139.25,154.75,139.25,147,8010566
2007-08-09,149.25,149.75,141,147.5,12334150
2007-08-10,144.75,144.75,139.5,142,3268262
2007-08-13,144,149,140,146,4716644
2007-08-14,146.5,146.5,138.75,141.25,4091370
2007-08-15,145,145,135.25,137,7196025
