Date,Open,High,Low,Close,Volume
2008-05-09,520,539.5,502,520,19668850
2008-05-12,530,534.5,518,530,1372239
2008-05-13,538,549.5,527,538,2932425
2008-05-14,540,550,530,537.5,2770068
2008-05-15,535,540,535,539,1059218
2008-05-16,537,551,536,545,1785895
2008-05-19,541,550,537.5,544,1237276
2008-05-20,541,555,540,553,3932055
2008-05-21,550,575,545.5,565.5,10056750
2008-05-22,569,569,557,565,1162625
2008-05-23,560,564.5,553.5,560,1141246
2008-05-27,560,560,553,557,690645
2008-05-28,560,560,550,552,846060
2008-05-29,559,559,544,550,841972
2008-05-30,549.5,549.5,530,544,2456144
2008-06-02,540,545,533,544,1845374
2008-06-03,547.5,555,540,549,2610986
2008-06-04,555,560,542.5,555,1473083
2008-06-05,554,555,547,550.5,3420491
2008-06-06,556,556,547,555,1038638
2008-06-09,556,556,530,535,867870
2008-06-10,530,530,517,522,753049
2008-06-11,517,520,491,502.5,701833
2008-06-12,500,509,500,505,489752
2008-06-13,505,509.5,487.5,509.5,3886839
2008-06-16,505,520,503.5,520,807217
2008-06-17,511,525,511,515.5,389535
2008-06-18,510,515,505,510,218748
2008-06-19,500,510,489,509,2539096
2008-06-20,509,514,498.5,508,280356
2008-06-23,505,513,498,498.25,331475
2008-06-24,495,508,479.75,494,185402
2008-06-25,504,504,477.75,484.75,329694
2008-06-26,490,498,480,485,582156
2008-06-27,472,490.5,472,480,842437
2008-06-30,477,490,477,489,389105
2008-07-01,480,492.25,470.5,489,563980
2008-07-02,490,500,476,494.75,826552
2008-07-03,490.75,497,475.75,485,501921
2008-07-04,478,492.5,478,486,2361983
2008-07-07,484,502,477,477,784930
2008-07-08,471.75,475,457.25,468,472940
2008-07-09,477,477,438.5,455,1421325
2008-07-10,448.5,459.25,437.75,448,2093537
2008-07-11,441.5,455,438,443.5,434247
2008-07-14,445,460,445,450,517622
2008-07-15,450,450,437.5,445,197194
2008-07-16,429.25,449,429.25,445,171579
2008-07-17,450,455,430.5,445,333682
2008-07-18,431.25,445,416,420,412240
2008-07-21,418.75,432.5,407,410,456641
2008-07-22,403,419,386,399,1130985
2008-07-23,400,405.5,392.75,404.25,533212
2008-07-24,407,409.5,390,396.5,651566
2008-07-25,399.25,400,386.5,390,272593
2008-07-28,393.25,400,390,400,224224
2008-07-29,399,401,394.25,401,547339
2008-07-30,408,423.5,388,397.75,815405
2008-07-31,402.5,402.5,389.25,395,1184811
2008-08-01,390,400,382.25,389,1457208
2008-08-04,389,390.75,380,388,517747
2008-08-05,390,390,360,367.25,517774
2008-08-06,370.5,378.5,367,370,2095013
2008-08-07,371,382,368.75,376,1193205
2008-08-08,376,384.5,361.25,370,658219
2008-08-11,370,374.25,367.25,370,489367
2008-08-12,373,373,340.25,356.5,2258384
2008-08-13,360,374,360,370,1377705
2008-08-14,372.75,382.5,371.75,379.75,353999
2008-08-15,366,366,355,360,1466291
2008-08-18,362.5,368.25,359,361.75,330305
2008-08-19,351.25,362.75,343,353,906023
2008-08-20,353.5,366,353.5,360,1167769
2008-08-21,355.75,380,355.75,375,1526085
2008-08-22,374.5,390,374,390,1599709
2008-08-26,380,397.25,376,389.5,272709
2008-08-27,380.25,405,380.25,395,1376538
2008-08-28,393,400,388.5,395.5,949076
2008-08-29,393.5,406,389.25,404.75,1175287
2008-09-01,399.75,410,398.25,405,277005
2008-09-02,400.25,404.5,390,399,876238
2008-09-03,398,399.25,390,395,970720
2008-09-04,395,399,382,383,963743
2008-09-05,399,399,370,377,713480
2008-09-08,388.5,392,382.5,390,61618
2008-09-09,380,387.75,352,352.5,2669036
2008-09-10,366,367.5,338,339,2327880
2008-09-11,347.25,360.5,330,341,1180791
2008-09-12,342,357,337.5,347,1880526
2008-09-15,336,345,322.25,329.75,798988
2008-09-16,327,333.5,312.25,318,792778
2008-09-17,330,331,298.75,308.5,922493
2008-09-18,310,338.75,309.75,330,3379818
2008-09-19,337.75,362.5,330,338.5,13266070
2008-09-22,342,358.75,327.75,340,2370221
2008-09-23,339.75,349.75,328.25,336,3255695
2008-09-24,337.5,348,335.25,341,2042976
2008-09-25,340.5,349.5,334,349.5,290449
2008-09-26,346.5,347,321.5,338.25,383435
2008-09-29,333,346.25,315.25,317,1120267
2008-09-30,315,325,300.5,320,889916
2008-10-01,324.25,330,313,314.25,663069
2008-10-02,317,318.5,286.75,293.25,776491
2008-10-03,295,295,269.75,280.75,1438225
2008-10-06,254.5,278.75,221.25,225,373171
2008-10-07,223.25,245.25,205,234.25,387680
2008-10-08,242,242,200.75,209.5,968107
2008-10-09,211.75,232,200,230,844447
2008-10-10,207,230,178.7,211,877432
2008-10-13,207,225,206.5,209,1683007
2008-10-14,215.75,227,190,205,828726
2008-10-15,202.25,205.75,172.3,180,701246
2008-10-16,159.7,180,150,170,734684
2008-10-17,165.7,190,154.2,156.2,654475
2008-10-20,157.7,157.7,150,154.9,564514
2008-10-21,161.5,164.8,158.1,160,731735
2008-10-22,158.5,210,130.4,136.6,548379
2008-10-23,135.5,139,114.8,115,810831
2008-10-24,119.8,119.8,101.3,108,978210
2008-10-27,106,115.3,101.1,104,1055123
2008-10-28,105.4,114.2,103.1,105.6,1074316
2008-10-29,108,127,108,125.8,1548902
2008-10-30,130.4,130.5,117.2,123.4,1367894
2008-10-31,123.4,125,120.5,122.1,970254
2008-11-03,124.9,125,113.4,117,1020619
2008-11-04,111.6,131.8,111.6,131.8,2897873
2008-11-05,127.5,137,126.8,128.5,1184188
2008-11-06,125,134,120.1,127,2139249
2008-11-07,126.5,132,125.1,130.2,1070338
2008-11-10,135.4,140.8,130,133,1151872
2008-11-11,129.6,133.9,121.3,123.5,334937
2008-11-12,123.3,125.1,109.6,118.7,447574
2008-11-13,95.1,114.8,95.1,102.9,846706
2008-11-14,109.6,109.6,103.1,104.9,1528608
2008-11-17,103.3,108,100.2,102.8,1196293
2008-11-18,103.5,103.5,95.8,99,1185615
2008-11-19,100,103.1,94.8,100.4,1160400
2008-11-20,93,102.6,93,99.7,2718215
2008-11-21,96.4,105.3,96.4,105.3,1908617
2008-11-24,118,130,110,129.3,2126998
2008-11-25,141.5,141.5,123.5,127.7,2048083
2008-11-26,121.7,137.8,121.7,135,1603078
2008-11-27,136.9,150.2,135,148.1,990723
2008-11-28,148,180,144.6,154.1,814342
2008-12-01,159.1,159.1,130,140.2,1071726
2008-12-02,138,150.2,126.8,130.2,1286651
2008-12-03,130.5,135,115.7,135,2865071
2008-12-04,127.8,145,127.8,144.7,1582852
2008-12-05,147.9,147.9,127.1,127.1,907349
2008-12-08,134.7,143,121.9,138.3,1232275
2008-12-09,141,147.2,130.1,139,682706
2008-12-10,141.1,145,135.1,141.1,521939
2008-12-11,138.3,173,138.2,167.1,1205375
2008-12-12,170,170,152.7,159.3,860614
2008-12-15,162,169,160.1,165.7,915159
2008-12-16,170,170,160.9,168.1,888967
2008-12-17,167.2,184.6,167.2,181.5,2045695
2008-12-18,180.7,203.25,180.7,195.5,2530927
2008-12-19,209,209,177.5,194.7,7074323
2008-12-22,191,203,191,201.5,1095535
2008-12-23,203.75,217,201,214,1238297
2008-12-24,210,214,201.75,210,94202
2008-12-29,210.25,225.75,210.25,222.75,435402
2008-12-30,213,224.75,213,220,573728
2008-12-31,225,236.75,225,230,446992
2009-01-02,227.25,258.75,227.25,244.75,1922289
2009-01-05,245,257.75,232.25,255,636442
