Date,Open,High,Low,Close,Volume
2013-11-04,99.5,99.75,99.1,99.5,151673
2013-11-05,99.75,99.949,99,99.5,131498
2013-11-06,99,99.55,98.851,99.5,126999
2013-11-07,99,99.25,99,99.25,11400
2013-11-08,99,99.55,99,99.25,24145
2013-11-11,99,99.32,98.75,99.25,158576
2013-11-12,98.76,99.21,98.76,99.125,3511
2013-11-13,99,99.5,98.76,99.5,32668
2013-11-14,99.5,99.5,99,99.5,93101
2013-11-15,99,99.25,98,98,394555
2013-11-18,98,99.25,98,98.5,82576
2013-11-19,98.25,99,97.76,98.25,126000
2013-11-20,98.5,98.5,97.75,98,65843
2013-11-21,98,98.5,97.5,98,125181
2013-11-22,98,98,97.75,98,57000
2013-11-25,97.75,98.5,97.75,98,265038
2013-11-26,98,98.5,97.85,98,143133
2013-11-27,98,98.3,97.85,98.25,53885
2013-11-28,98.5,99.05,97.625,98,147211
2013-11-29,98,98.5,98,98.5,21783
2013-12-02,97.75,98.5,97.5,98.5,62927
2013-12-03,97.5,98.289,97.5,98.125,67130
2013-12-04,97.75,98.2889,97.5,98,152594
2013-12-05,97.5,97.75,97.5,97.75,57445
2013-12-06,97.75,97.89,97.5,97.75,75439
2013-12-09,98,98,97.75,97.75,9200
2013-12-10,98,98.25,97.51,97.875,432571
2013-12-11,98,98,97.7909,98,18900
2013-12-12,98,98,97.76,98,1099129
2013-12-13,98,98,97.75,98,114573
2013-12-16,98,98,97.5,97.75,733206
2013-12-17,98,98,97.745,98,67638
2013-12-18,97.75,98,97.275,97.75,467236
2013-12-19,97.25,97.5,97.25,97.25,1085926
2013-12-20,98,98.5,95.2,95.25,5081406
2013-12-23,96.5,96.75,95.202,95.5,994497
2013-12-24,97,97,96.5,96.5,1000
2013-12-27,96,97.5,95.952,96,24359
2013-12-30,96.25,97.25,96.2019,96.5,85285
2013-12-31,96.5,97.01,96.5,96.5,1781
2014-01-02,96.75,96.75,96.25,96.25,233656
2014-01-03,96.25,96.505,96,96,95349
2014-01-06,97,97,96.25,96.25,188127
2014-01-07,96.5,96.99,96.25,96.25,130337
2014-01-08,96.5,96.805,96.25,96.625,23823
2014-01-09,96.5,96.5,96.25,96.5,95532
2014-01-10,96,96.5,95.5,96.5,253551
2014-01-13,95.5,96.5,95.5,95.5,304066
2014-01-14,96.5,96.5,95.25,95.25,189139
2014-01-15,95.5,95.5,95.262,95.375,4575
