Date,Open,High,Low,Close,Volume
2021-02-04,440,470,439.9,460,2069996
2021-02-05,450.25,465.96,450,463,114373
2021-02-08,455.1,473.01,449.95,449.95,227644
2021-02-09,450.05,466.28,440.85,440.85,448770
2021-02-10,454,457.9,440.05,440.05,4937
2021-02-11,440,444.48,430.05,430.05,103610
2021-02-12,430,434,410,420,329700
2021-02-15,441,445.75,415,430,210414
2021-02-16,432,432,420,420,531021
2021-02-17,420,425,420,420,122464
2021-02-18,420,422,406,420,95496
2021-02-19,420,420,401,419,62410
2021-02-22,415,418.4,400,415,89953
2021-02-23,401,420,401,420,36958
2021-02-24,412,420,411,420,62867
2021-02-25,415,420,411,420,9551
2021-02-26,420,424,401,422,119716
2021-03-01,420,420,410,415,31769
2021-03-02,411,418.2,410,411,250374
2021-03-03,420,420,402,420,17610
2021-03-04,406,420,405,408,97917
2021-03-05,408,410,402,410,20290
2021-03-08,409,420,391,405,118401
2021-03-09,410,426,400,426,18216
2021-03-10,400,420,400,420,9259
2021-03-11,422,422,405,405,19281
2021-03-12,406,423.1,405,405,68655
2021-03-15,424,424,405,405,5524
2021-03-16,419,419,408.5,410,11196
2021-03-17,418,418,410,410,5347
2021-03-18,409,433,409,420,5510
2021-03-19,420,420,420,420,23
2021-03-22,415,417.1,400,412,27491
2021-03-23,408,429,407.2,415,215548
2021-03-24,438,438,413.7,432,624
2021-03-25,439,439,401,416,3321
2021-03-26,435,435,406,420,7451
2021-03-29,411,421,401,415,65213
2021-03-30,440,440,421,424,3569
2021-03-31,416,427,416,425,671
2021-04-01,430,440,420,420,298800
2021-04-06,426,439,425,425,96778
2021-04-07,423,430,421,424,24206
2021-04-08,411,439,411,430,44991
2021-04-09,432,432,430,430,617
2021-04-12,401,401,401,401,152
2021-04-13,439,439,403.9,423,35975
2021-04-14,430,430,421,421,1559
2021-04-15,413,420.95,410,410,92234
2021-04-16,422,422,410,410,486
2021-04-19,411,420,410,410,472824
2021-04-20,412,414,411,411,8705
2021-04-21,407,408,407,408,688
2021-04-22,440,440,410.1,440,1318
2021-04-23,425,425,407.25,425,1751
2021-04-26,440,440,420,425,74851
2021-04-27,435,435,410,410,16834
2021-04-28,416,444.25,415,415,20505
2021-04-29,436,443.65,411,421,24222
2021-04-30,443,450.08,424,424,33616
2021-05-04,446,448.85,410,413,139103
2021-05-05,434,448.25,416,416,17899
2021-05-06,426,433.6,419.3,425,65279
2021-05-07,447,447,423,434,25750
2021-05-10,450,450,414,418,25182
2021-05-11,411,420,411,420,622
2021-05-12,411,432.39,406,415,35128
2021-05-13,423,424,420,420,42792
2021-05-14,416,420,412,420,32385
2021-05-17,433,433,415,420,40296
2021-05-18,411,437.97,411,416,12897
2021-05-19,415,441.34,415,420,2273
2021-05-20,430,430,415,415,58725
2021-05-21,430,443,411,419,101675
2021-05-24,440,440,406,419,26747
2021-05-25,420,420,416.2,419,2957
2021-05-26,417,430,407.8,420,2501
2021-05-27,418,441.15,405.65,407,5383
2021-05-28,420,425.5,413,420,15769
2021-06-01,418,442.7,418,420,308168
2021-06-02,425,429,416,428,3987
2021-06-03,437,437,417.15,427,9569
2021-06-04,416,444.8,416,444,19833
2021-06-07,436,436.4,405.17,425,86354
2021-06-08,430,439,420,430,157148
2021-06-09,429,430,409,430,138748
2021-06-10,429,441.442,405,425,107223
2021-06-11,415,420,409,420,15395
2021-06-14,418,420,409.12,420,41384
2021-06-15,424,424,413.6,419,52884
2021-06-16,419,437,407,437,98156
2021-06-17,428,428,413.56,428,32136
2021-06-18,420,420,405,405,3043791
2021-06-21,415,418.6,404,404,13873
2021-06-22,405,427,405,405,3962
2021-06-23,414,416.9,392,400,11356
2021-06-24,402,408,402,406,7340
2021-06-25,405,405,400,400,2979
2021-06-28,400,419,384.9,395,12029
2021-06-29,395,396,390,395,12526
2021-06-30,404,405.6,391,405,12797
2021-07-01,390,390,390,390,775
2021-07-02,368,405,368,395,45359
2021-07-05,380,396.84,380,380,862
2021-07-06,398,402,394,395,28507
2021-07-07,387.5,394,361,384,95685
2021-07-08,362,380,354.7,380,61118
2021-07-09,379,380,346.6,377,217069
2021-07-12,377,384,372,377,4889
2021-07-13,384,390,373.8,378,7054
2021-07-14,380,380,371,374,12783
2021-07-15,371,377,369,372,229888
2021-07-16,372,373,362.44,367,674012
2021-07-19,366,368,366,368,13159
2021-07-20,363,369,355,365,525352
2021-07-21,366,367,356,366,74382
2021-07-22,368,368,363.6,368,903633
2021-07-23,366,376,356,366,800102
2021-07-26,372,373,356,370,31973
2021-07-27,377,418,370,395,1044877
2021-07-28,400,400,381,381,92596
2021-07-29,393,407,379,379,471746
2021-07-30,393,393,386,390,42610
2021-08-02,391,394.84,370,380,35227
2021-08-03,380,391,357,375,28588
2021-08-04,365,399,365,398,1783199
2021-08-05,400,409,397,405,156183
2021-08-06,406,409,395,396,15599
2021-08-09,405,408.1,399.9,400,29801
2021-08-10,416,416,391,398,11270
2021-08-11,414,414,398,407,64665
2021-08-12,400,405,400,404,99932
2021-08-13,404,429,402,424,116487
2021-08-16,414,418,410,418,10427
2021-08-17,412,417,410,411,26375
2021-08-18,417,417,405,405,4256
2021-08-19,400,414,400,413,11184
2021-08-20,411,413,405,410,4113
2021-08-23,408.7,411,408.7,411,469
2021-08-24,411,429,408.3,414,94234
2021-08-25,410,413,408,409,7612
2021-08-26,400,405,400,402,4348
2021-08-27,402,429,402,415,7848
2021-08-31,414,421,410,421,29595
2021-09-01,416,422,415,415,24314
2021-09-02,401,415,401,415,250078
2021-09-03,401,414,401,404,6273
2021-09-06,400,408,375.88,400,50885
2021-09-07,390,401,390,400,10766
2021-09-08,390,415.2,390,390,20066
2021-09-09,390,414.3,390,405,13513
2021-09-10,405,419,405,419,182
2021-09-13,419,419,409,417,150344
2021-09-14,410,415,410,410,3002
2021-09-15,391,398.2,380,380,3555
2021-09-16,385,405,385,395,6101
2021-09-17,396,409,396,408,25345
2021-09-20,401,402.69,382.2,395,2977
2021-09-21,397,402,386.66,402,1448
2021-09-22,402,412,402,410,269977
2021-09-23,411,420,411,420,5536
2021-09-24,418,430,401,430,4968
2021-09-27,419,441,401,440,112568
2021-09-28,438,462,426,443,32106
2021-09-29,449,449,426,447,2843
2021-09-30,455,455,436,443,3417
2021-10-01,464,464,421,436,13733
2021-10-04,425,431,411,431,7250
2021-10-05,440,440,415,415,2637
2021-10-06,405,448,405,448,21631
2021-10-07,450,450,436,448,2253
2021-10-08,449,459,422,453,12598
2021-10-11,449,458,442,458,1166
2021-10-12,450,450,421,422,5736
2021-10-13,420,449,420,432,1453
2021-10-14,421,449,421,430,204311
2021-10-15,441,460,440.05,460,470703
2021-10-18,459,470,437,460,17750
2021-10-19,460,460,442.02,446.5,919
2021-10-20,459,460,441.64,460,277199
2021-10-21,448,460,443.04,460,1441
2021-10-22,470,470,442.02,447,9445
2021-10-25,459,465,437.08,439,2382
2021-10-26,436,460,434,438,4141
2021-10-27,440,455,438.5,438.5,829
2021-10-28,449,450,442.26,449,7335
2021-10-29,450,450,450,450,1718
2021-11-01,459.5,459.5,434.68,439,963
2021-11-02,438,460,438,458,16411
2021-11-03,460,462.34,422.95,460,3122
2021-11-04,468,480,460,460.5,7796
2021-11-05,480,480,461,461,346
2021-11-08,449,480,442,461,1766
2021-11-09,470,480,460,460,12367
2021-11-10,480,480,446.85,457,33871
2021-11-11,479,479,460,460,2485
2021-11-12,480,480,471.5,471.5,6018
2021-11-15,479,480,449.36,454.5,2784
2021-11-16,465,480,449.58,460.5,2291
2021-11-17,480,480,441,449,7641
2021-11-18,471.2,471.2,459.5,459.5,740
2021-11-19,479,479,471.98,475,1474
2021-11-22,471,476,470,470,39804
2021-11-23,479,479,470,470,918
2021-11-24,440,479,440,440,55445
2021-11-25,461,479,449.36,450,1233
2021-11-26,451,460,428.58,460,18717
2021-11-29,450,459,436.17,450,23302
2021-11-30,456,456,450,452,4868
2021-12-01,452,459,425.96,447.5,35820
2021-12-02,441,448,441,448,340
2021-12-03,459,459,431,442.5,6781
2021-12-06,435,446,421,446,12161
2021-12-07,449,450,435.5,435.5,4089
2021-12-08,450,450,420.62,434.5,5418
2021-12-09,440,448,429,430,14769
2021-12-10,425,448,425,425,1366
2021-12-13,450,450,430,450,268397
2021-12-14,450,450,450,450,3
2021-12-15,449,466,432.5,432.5,5017
2021-12-16,430,432.5,411,430,273803
2021-12-17,439,439,425,425,383504
2021-12-20,424,430,414,423,217697
2021-12-21,429,429,424.3625,429,10427
2021-12-22,429,435.32,416,429,4520
2021-12-23,431,459,424.92,430,17392
2021-12-24,439,452.2,435.4,440.5,12168
2021-12-29,443,443,421,421,7078
2021-12-30,422,451.4,422,422,3047
2021-12-31,422,459,422,440,839
2022-01-04,451,460,429.355,443.5,54756
2022-01-05,450,457,441,441,536
2022-01-06,456,456,441,441,17
2022-01-07,439,439,425,438,9998
2022-01-10,437,437,425,425,299
2022-01-11,436,442,413,425,747999
2022-01-12,427,438.44,410,410,47780
2022-01-13,411,440,410,424,5507
2022-01-14,413,434,410,410,18711
2022-01-17,435,435,425.5,428,2912
2022-01-18,434,434,414.36,422.5,1255
2022-01-19,411,435.64,398,398,8643
2022-01-20,401,401,400,400,20662
2022-01-21,400,429,399.28,420,25169
2022-01-24,435,435,380,380,11896
2022-01-25,400,409.5,383.36,409.5,57569
2022-01-26,391,425,391,425,2250
2022-01-27,391,425,391,425,94684
2022-01-28,427,427,392.85,427,19239
2022-01-31,414,426,388,388,45701
2022-02-01,391,407,381,390,8349
2022-02-02,391,404.75,390,399.5,3369
2022-02-03,409,409,381,390,3659
2022-02-04,397,399,392.55,397,7922
2022-02-07,406,406,396,396,11018
2022-02-08,409,415,409,415,2400
2022-02-09,414,414,396.25,413,31664
2022-02-10,414,414,391,407,1769
2022-02-11,391,391,390,390,67
2022-02-14,390,414,390,390,1479
2022-02-15,390,391,390,390,495
2022-02-16,402,402,400,400,1993
2022-02-17,399,409.5,398.5,409.5,6518
2022-02-18,390,393,390,390,157687
2022-02-21,390,390,390,390,2509
2022-02-22,383,404,383,383,2255
2022-02-23,402,402,399,399,22
2022-02-24,409,420,390,420,3016
2022-02-25,420,420,387.65,420,63366
2022-02-28,395,408,389,408,1310
2022-03-01,405.5,410,405.5,410,250
2022-03-02,400,400,390,400,50939
2022-03-03,388,394.24,388,388,12704
2022-03-04,381,381.9,380,380,2355
2022-03-07,391,402.5,391,401,8720
2022-03-08,412,412,380,380,695
2022-03-09,380,380,380,380,8
2022-03-10,417,417,370,370,10067
2022-03-11,368,399,368,368,3289
2022-03-14,398,398,365,365,3830
2022-03-15,375,378.6,368,368,1585
2022-03-16,366,366,365.5,366,7281
2022-03-17,356,390.18,356,365,17126
2022-03-18,375,375,375,375,3539
2022-03-21,370,370,336,350,6680
2022-03-22,369,369,336,343,45883
2022-03-23,337,370,337,370,2759
2022-03-24,353,369,352,352,1106
2022-03-25,353,353,353,353,4271
2022-03-28,368.2,368.2,355.4,361,95239
2022-03-29,368.3,368.3,362,362,123
2022-03-30,370,370,370,370,28
2022-03-31,370,370,358.8,370,2034
2022-04-01,362,369,362,363,9521
2022-04-04,367,370,360,370,15170
2022-04-05,369,370,362,364,23502
2022-04-06,365,370,363.526,366,25111
2022-04-07,376,376,365,365,475
2022-04-08,385,427.75,379,396,387896
2022-04-11,390,394,380,394,38548
2022-04-12,404,404,389.4433,394,9045
2022-04-13,403,403,384.68,403,7753
2022-04-14,390,390,390,390,249
2022-04-19,384,397.4348,384,391,98240
2022-04-20,400,400,390,396.5,6214
2022-04-21,386,399.47,386,386,103325
2022-04-22,396,399,380,380,106166
2022-04-25,380,394.86,380,387.5,4000
2022-04-26,380,390.36,380,380,1047691
2022-04-27,390,393.8769,385.5,390,19915
2022-04-28,394,394,381,388,2721
2022-04-29,380,380,380,380,1
2022-05-03,380,393,380,389.5,1947
2022-05-04,398,398,381,390,6729
2022-05-06,380,385.5,380,380,1232
2022-05-09,389,397,389,390,36258
2022-05-10,381,392.385,380,380,6760
2022-05-11,383,390,383,383,8863
2022-05-12,381,389,370,370,31625
2022-05-13,375,384,375,375,3177
2022-05-16,384.06,384.06,382.5,382.5,2265
2022-05-17,383.8,383.8,382,382.5,58323
2022-05-18,389,390,389,390,3179
2022-05-19,376.6825,382.5,376.6825,382.5,120
2022-05-20,390,390,382.5,382.5,2
2022-05-23,380,389,375,380,10798
2022-05-24,376,399,375,387,1805
2022-05-25,385,385,385,385,2
2022-05-26,375,375,375,375,263
2022-05-27,370,382,370,370,26449
2022-05-30,370,378.55,370,370,5041
2022-05-31,360,381,360,360,696998
2022-06-01,357,357,357,357,78
2022-06-06,350,350,350,350,26
2022-06-07,350,355,350,350,4851
2022-06-08,350,350,350,350,4602
2022-06-09,350.95,363.3,350.95,359.5,320
2022-06-10,350,363.2,350,350,206
2022-06-13,362.16,362.16,359.5,359.5,219
2022-06-14,365,365,350,360,9779
2022-06-15,350,360,350,350,812396
2022-06-16,352,379,350,355,29901
2022-06-17,380,380,360,380,1089070
2022-06-20,380,384,370,382,27969
2022-06-21,382,386.9,377,377,28587
2022-06-22,400,400,375.7,400,108076
2022-06-23,398,398,375,375,44988
2022-06-24,400,400,379.68,400,6219
2022-06-27,397,397,380,380.5,4305
2022-06-28,393,394,380,380,7217
2022-06-29,390,400,381,390,107510
2022-06-30,399,400,385,385,1084385
2022-07-01,395,399,381,399,60721
2022-07-04,407,407.21,390.5,390.5,565
2022-07-05,394,394,386.5,386.5,9377
2022-07-06,381,395,380,395,8444
2022-07-07,393.6,393.6,390,390,400
2022-07-08,381,394,380,380,738
2022-07-11,380,380,370,370,7423
