Date,Open,High,Low,Close,Volume
2000-01-04,584.5068,593.4253,583.1347,591.0242,16840
2000-01-05,586.5649,591.3672,583.1347,589.3091,2723
2000-01-06,583.1347,588.623,583.1347,586.5649,1930
2000-01-07,583.1347,589.9951,583.1347,586.5649,2217
2000-01-10,583.1347,583.1347,576.2743,579.7045,34448
2000-01-11,576.2743,589.9951,576.2743,585.8789,16656
2000-01-12,583.1347,589.3091,583.1347,587.594,13440
2000-01-13,589.9951,589.9951,585.1928,587.594,7914
2000-01-14,585.1928,589.9951,579.7045,582.1056,17504
2000-01-17,584.5068,587.251,583.1347,584.8498,13166
2000-01-18,583.1347,586.5649,583.1347,584.8498,26873
2000-01-19,583.1347,586.5649,579.7045,583.1347,3904
2000-01-20,581.0766,586.5649,579.7045,582.1056,71936
2000-01-21,579.7045,584.5068,579.7045,582.1056,15416
2000-01-24,579.7045,584.5068,579.7045,582.1056,67970
2000-01-25,579.7045,584.5068,579.7045,582.1056,8984
2000-01-26,579.7045,583.1347,579.7045,582.1056,5077
2000-01-27,579.7045,583.1347,579.7045,582.1056,4328
2000-01-28,576.2743,581.7626,572.8441,579.0185,243928
2000-01-31,576.2743,581.0766,576.2743,579.0185,2986
2000-02-01,576.2743,581.7626,576.2743,579.0185,1646
2000-02-02,576.2743,581.7626,576.2743,579.0185,1854
2000-02-03,576.2743,583.1347,576.2743,579.7045,3263
2000-02-04,581.7626,581.7626,576.2743,579.0185,4953
2000-02-07,576.9603,581.7626,576.2743,578.6754,5468
2000-02-08,576.2743,579.7045,569.4139,572.8441,14755
2000-02-09,573.5301,574.9022,569.4139,572.1581,2336
2000-02-10,569.4139,574.9022,555.6931,557.0652,39481
2000-02-11,559.1233,562.5535,548.8327,554.664,616239
2000-02-14,561.1814,563.9256,555.6931,557.4082,24690
2000-02-15,555.6931,558.4372,553.635,557.4082,16948
2000-02-16,555.6931,562.5535,555.1374,559.8093,16158
2000-02-17,562.5535,562.5535,557.0652,559.8093,3272
2000-02-18,562.5535,572.8441,559.1233,569.4139,78017
2000-02-21,565.9837,575.5883,565.9837,570.443,1875
2000-02-22,571.472,598.2276,570.5006,592.0532,73240
2000-02-23,589.9951,598.2276,589.9951,594.1114,11653
2000-02-24,596.8555,600.2857,593.4253,595.1404,10288
2000-02-25,598.9136,642.8203,596.8555,635.2738,42088
2000-02-28,636.6459,639.3901,624.2972,628.4134,30298
2000-02-29,627.7274,631.1576,622.9251,628.7564,13978
2000-03-01,624.2972,629.7855,624.2972,627.0413,1893
2000-03-02,627.7274,627.7274,583.1347,610.5763,51996
2000-03-03,617.4368,627.7274,610.5763,615.7217,11974
2000-03-06,617.4368,620.867,614.0065,617.4368,44669
2000-03-07,614.0065,620.867,614.0065,617.4368,7937
2000-03-08,614.0065,620.867,614.0065,617.4368,1155
2000-03-09,614.0065,620.867,614.0065,617.4368,11034
2000-03-10,624.2972,627.7274,614.0065,619.1519,7094
2000-03-13,614.0065,624.2972,614.0065,619.1519,4884
2000-03-14,619.1519,624.2972,614.0065,619.1519,29987
2000-03-15,610.5763,624.2972,610.5763,619.1519,16345
2000-03-16,619.4949,619.4949,591.7102,591.7102,26110
2000-03-17,586.5649,603.7159,586.3934,597.8846,9610
2000-03-20,593.4253,593.4253,565.9837,572.8441,6702
2000-03-21,568.0418,576.2743,545.4025,548.8327,10936
2000-03-22,548.8327,549.5187,528.2514,535.1119,4117
2000-03-23,531.6816,540.6002,524.8212,529.9665,930
2000-03-24,511.1004,531.6816,511.1004,528.2514,1646484
2000-03-27,531.6816,548.8327,524.8212,547.8036,122788
2000-03-28,547.8036,559.1233,547.8036,555.6931,3741
2000-03-29,563.5825,600.2857,555.6931,591.7102,94986
2000-03-30,594.7974,610.5763,588.623,603.7159,31317
2000-03-31,607.8322,610.5763,579.7045,596.1695,41352
2000-04-03,600.2857,600.2857,592.0532,596.1695,5739
2000-04-04,600.2857,600.2857,572.8441,581.4196,22333
2000-04-05,583.1347,583.1347,569.4139,576.2743,90668
2000-04-06,580.3905,583.1347,569.4139,577.9894,25717
2000-04-07,583.1347,593.4253,579.7045,586.5649,73624
2000-04-10,590.6812,600.9718,583.1347,598.5706,7859
2000-04-11,586.5649,600.2857,583.1347,588.28,33393
2000-04-12,592.0532,593.4253,579.7045,587.251,6412
2000-04-13,580.3905,581.0766,559.1233,564.2686,5941
2000-04-14,564.6116,565.9837,550.8908,553.978,4590
2000-04-17,531.6816,531.6816,487.775,491.5483,10018
2000-04-18,497.3796,500.8098,490.5192,496.6936,14432
2000-04-19,504.24,504.24,492.5773,494.2924,8053
2000-04-20,495.3215,499.7807,492.5773,499.7807,14656
2000-04-25,505.6121,511.1004,497.3796,511.1004,16176
2000-04-26,517.9608,522.7631,511.1004,516.9318,57994
2000-04-27,511.1004,521.391,511.1004,516.2457,18340
2000-04-28,517.9608,521.391,516.2457,516.2457,2781
2000-05-02,521.391,522.7631,513.8446,519.6759,13281
2000-05-03,514.5306,519.6759,514.5306,519.6759,205
2000-05-04,514.5306,517.9608,497.3796,504.24,11733
2000-05-05,493.2634,501.4959,490.5192,497.3796,34110
2000-05-08,500.8098,500.8098,490.5192,495.6645,146626
2000-05-09,491.8913,498.7517,487.089,493.9494,5484
2000-05-10,487.089,498.7517,487.089,492.9203,8496
2000-05-11,487.089,491.2052,480.2286,487.089,20156
2000-05-12,482.9727,497.3796,482.9727,495.6645,3298
2000-05-15,504.9261,504.9261,496.0075,501.8389,1014
2000-05-16,505.6121,506.2981,496.0075,501.8389,7439
2000-05-17,497.3796,515.2167,497.3796,507.6702,9517
2000-05-18,504.24,521.391,504.24,514.5306,11265
2000-05-19,507.6702,519.3329,507.6702,514.5306,4844
2000-05-22,519.3329,524.8212,507.6702,521.391,15455
2000-05-23,525.5073,528.674,514.5306,521.391,13381
2000-05-24,517.2748,522.7631,514.5306,519.6759,79297
2000-05-25,524.1352,524.8212,514.5306,519.6759,12922
2000-05-26,519.6759,524.8212,514.5306,519.6759,2124
2000-05-30,514.5306,524.8212,514.5306,519.6759,20462
2000-05-31,522.7631,535.1119,516.5887,526.5363,7543
2000-06-01,523.4492,528.2514,523.4492,526.5363,11561
2000-06-02,531.6816,539.2281,528.2514,535.1119,1420
2000-06-05,551.5768,565.9837,548.8327,565.9837,9565
2000-06-06,562.5535,569.4139,559.1233,564.2686,8364
2000-06-07,567.3558,569.4139,559.1233,564.2686,1412
2000-06-08,567.3558,568.0418,555.6931,560.8384,5331
2000-06-09,563.9256,565.9837,555.6931,559.1233,13135
2000-06-12,563.9256,563.9256,555.6931,559.8093,5097
2000-06-13,544.7164,553.635,544.7164,550.5478,53180
2000-06-14,545.4025,554.321,544.0304,547.1176,46735
2000-06-15,547.1176,547.1176,544.0304,547.1176,2414
2000-06-16,551.5768,552.6814,541.9723,547.1176,1864
2000-06-19,552.2629,552.2629,545.4025,550.5478,21615
2000-06-20,553.635,555.6931,545.4025,550.5478,5231
2000-06-21,554.321,554.321,524.8212,538.5421,239200
2000-06-22,531.6816,544.0304,531.6816,537.513,3492
2000-06-23,533.0537,541.9723,531.6816,536.827,17826
2000-06-26,539.9141,539.9141,531.6816,536.827,2472
2000-06-27,541.9723,541.9723,533.7398,536.827,10349
2000-06-28,531.6816,538.5421,531.6816,538.5421,2429
2000-06-29,534.4258,541.9723,531.6816,536.827,4394
2000-06-30,541.9723,541.9723,532.3677,538.5421,1209
2000-07-03,533.7398,545.4025,533.7398,538.5421,8018
2000-07-04,540.6002,543.3443,531.6816,541.9723,16700
2000-07-05,537.17,543.6874,535.1119,540.9432,7765
2000-07-06,537.17,541.9723,531.6816,536.827,25060
2000-07-07,540.6002,545.4025,533.7398,539.2281,13653
2000-07-10,544.0304,548.8327,537.17,543.6874,257204
2000-07-11,541.2862,548.8327,538.5421,541.9723,29304
2000-07-12,543.6874,548.8327,538.5421,543.6874,38358
2000-07-13,539.9141,555.007,539.9141,548.4896,44545
2000-07-14,554.321,555.6931,541.9723,550.5478,3477
2000-07-17,548.1466,562.5535,548.1466,555.6931,23127
2000-07-18,552.2629,568.0418,552.2629,564.2686,30695
2000-07-19,569.4139,579.7045,569.4139,576.2743,23026
2000-07-20,572.8441,585.1928,572.8441,582.4487,19928
2000-07-21,581.0766,595.4834,581.0766,591.7102,13902
2000-07-24,594.7974,597.5416,586.5649,595.8265,67128
