Date,Open,High,Low,Close,Volume
2000-01-04,455,458,455,457.5,28736
2000-01-05,450,455,450,455,4280
2000-01-06,450,455,450,455,500
2000-01-07,460,460,455,455,200
2000-01-10,450,470,450,463.5,19040
2000-01-11,470,475,467.5,467.5,23833
2000-01-12,467.5,467.5,462,467.5,51423
2000-01-13,460,468,460,467.5,500233
2000-01-14,465,475,465,472.5,19540
2000-01-17,475,475,465,470,214545
2000-01-18,465,475,465,470,324005
2000-01-19,465,470,465,470,2474
2000-01-20,465,470,465,470,2275
2000-01-21,475,475,465,470,26771
2000-01-24,473,473,465,470,87115
2000-01-25,410,423,405,407.5,50882
2000-01-26,400,410,400,405,147740
2000-01-27,400,400,390,393.5,6675
2000-01-28,370,370,365,367.5,40732
2000-01-31,355,360,300,335,219694
2000-02-01,330,335,330,335,90977
2000-02-02,325,335,325,327.5,1423
2000-02-03,320,325,320,325,4375
2000-02-04,310,325,310,317.5,40317
2000-02-07,310,312.5,305,312.5,4482
2000-02-08,320,320,305,307.5,12804
2000-02-09,300,315,300,305,222812
2000-02-10,300,305,295,300,35206
2000-02-11,305,305,290,295,21274
2000-02-14,300,303,290,295,26897
2000-02-15,300,300,290,295,8500
2000-02-16,299,300,292,295,5575
2000-02-17,300,300,290,295,1370
2000-02-18,300,300,290,295,116868
2000-02-21,300,300,290,295,4928
2000-02-22,290,300,290,296,335586
2000-02-23,299.5,299.5,295,297.5,78300
2000-02-24,303,310,298,305,252145
2000-02-25,310,315,309,310,14734
2000-02-28,315,315,310,310,970
2000-02-29,314,315,310,310,3309
2000-03-01,315,315,305,310,2115
2000-03-03,307,311,307,311,2537
2000-03-06,315,315,311,311,266170
2000-03-07,313,313,307,311,700
2000-03-08,313,313,307,311,3164
2000-03-09,315,315,311,311,1035
2000-03-10,308,320,307,315,24160
2000-03-13,320,323.5,317.5,317.5,7569
2000-03-14,325,325,317.5,317.5,949
2000-03-15,325,325,312,317.5,1206
2000-03-16,325,325,310,317.5,7143
2000-03-17,315,320,315,320,900
2000-03-20,315,325,315,320,11867
2000-03-21,315,325,315,320,1831
2000-03-22,320,325,316,320,41797
2000-03-23,317,320,315,320,62900
2000-03-24,325,325,315,320,1928
2000-03-27,310,320,310,315,7049
2000-03-28,320,320,315,315,2483
2000-03-30,317,320,310,315,4688
2000-03-31,310,320,310,315,30585
2000-04-03,320,320,310,313.5,6571
2000-04-04,310,317,310,313.5,2218
2000-04-06,290,290,195,222.5,294110
2000-04-07,208.5,210,190,199,55590
2000-04-10,203,203,185,192.5,12344
2000-04-11,195,195,180,185,9331
2000-04-12,190,190,175,185,90385
2000-04-13,190,190,180,185,21072
2000-04-14,190,190,180,185,3800
2000-04-17,180,180,165,172.5,6300
2000-04-18,180,180,170,175,59134
2000-04-19,180,180,175,175,1568
2000-04-20,180,180,175,175,3175
2000-04-25,179,179,170,175,59558
2000-04-26,180,180,170,175,9406
2000-04-27,178,180,175,175,3971
2000-04-28,180,180,170,174.5,8610
2000-05-02,180,180,174.5,174.5,2439
2000-05-03,178,178,163,169,1790
2000-05-04,163,169,163,169,206
2000-05-05,163,169,163,169,1373
2000-05-08,165,169,165,169,50475
2000-05-09,175,175,167.5,167.5,50300
2000-05-10,175,175,153.5,153.5,160062
2000-05-11,145,150,145,147.5,27867
2000-05-12,146,150,145,147.5,61100
2000-05-15,145,150,145,147.5,12500
2000-05-16,150,150,145,147.5,17057
2000-05-17,149.5,150,145,147.5,18620
2000-05-18,150,150,130,142.5,199614
2000-05-19,141.7,141.7,130,135,4060701
2000-05-22,140,143,135,139,144571
2000-05-23,143,143,135,139,44393
2000-05-24,143,143,136,139,34915
2000-05-25,142,143,140,140,103488
2000-05-26,142,150,140,145,64265
2000-05-30,150,150,146,147.5,504443
2000-05-31,149,150,145,147.5,373220
2000-06-01,150,150,146,148.5,452331
2000-06-02,150,170,150,165,264987
2000-06-05,173,185,165,180,136656
2000-06-06,184,195,180,190.5,137520
2000-06-07,195,195,186,190.5,44125
2000-06-08,194,195,186,190.5,11996
2000-06-09,194,194,180,186,22624
2000-06-12,189,190,185,185,4646
2000-06-13,181,190,181,185,13216
2000-06-14,189,189,181,185,7000
2000-06-15,180,190,180,185,4250
2000-06-16,189,190,185,185,6500
2000-06-19,189,189,180,185,8480
2000-06-20,189,190,180,185,19433
2000-06-21,180,190,180,185,42486
2000-06-22,181.3,190,180,185,9007
2000-06-23,188.8,190,181.25,185,26336
2000-06-26,190,190,180,185,213685
2000-06-27,190,190,180,185,14098
2000-06-28,185,190,181,185,19740
2000-06-29,181,190,180,185,13458
2000-06-30,180,190,180,185,5148
2000-07-03,190,190,185,185,2174
2000-07-04,185,190,180,185,11581
2000-07-05,182,188,181.25,185,6254
2000-07-07,180,185,180,185,2639
2000-07-10,188.75,188.75,185,185,1370
2000-07-11,185,188.75,185,185,633
2000-07-12,188,188,177.5,177.5,13899
2000-07-13,170,177.5,170,177.5,3776
2000-07-14,171.5,176,171.5,176,27500
2000-07-17,171.5,178.75,171,175,4982
2000-07-18,178.75,178.75,171.25,175,1326
2000-07-20,178.8,180,175,175,2350
2000-07-21,170.5,172.5,165,172.5,36963
2000-07-24,175,175,170.5,172.5,6681
2000-07-25,174.5,175,170,170,7899
2000-07-26,175,175,160,167.5,16038
2000-07-27,168.8,170,165,165,2615
2000-07-28,168.8,170,161.25,165,5581
2000-07-31,168.8,170,161.25,165,1155
2000-08-01,160,163.75,145,150,38466
2000-08-02,155,160,152,155,624813
2000-08-03,158.7,160,153,156.5,74138
2000-08-04,159.2,159.25,155.5,155.5,15174
2000-08-07,157.5,158,154,155.5,39610
2000-08-08,156,158,155.5,155.5,15416
2000-08-09,157,157,142,146.5,92675
2000-08-10,153,153,140,146.5,7830
2000-08-11,151.5,153,140,146.5,16949
2000-08-14,148.5,148.8,138,144,11569
2000-08-15,146,147,138.25,142,13288
2000-08-16,138,143.75,135,140,7353
2000-08-17,143.75,143.75,140,140,4459
2000-08-18,140,145,135,140,36989
2000-08-21,145,145,136.25,140,64189
2000-08-22,139.5,140,137.5,137.5,6050
2000-08-23,135.5,139.5,135.5,137.5,4512
2000-08-24,140,140,137.5,137.5,37631
2000-08-25,139.5,140,135,136,87548
2000-08-29,139,140,135,135,101934
2000-08-30,138.8,140,130,135,232306
2000-08-31,134.5,135,130,132.5,45628
2000-09-01,134.5,135,130.5,132.5,31636
2000-09-04,134.5,135,130.5,132.5,10970
2000-09-05,134.5,135,132.5,132.5,16466
2000-09-06,134.5,135,130.5,132.5,129183
2000-09-07,134.5,135,130.5,132.5,29028
2000-09-08,134.5,135,130,132.5,5224
2000-09-11,135,135,132.5,132.5,15322
2000-09-12,134,135,131,131,9929
2000-09-13,135,135,127,129,31682
2000-09-14,132,133,128.5,128.5,3040
2000-09-15,131.25,131.25,125,128.5,55333
2000-09-18,131.3,132,126.5,126.5,277168
2000-09-19,127,128,123,125.5,61650
2000-09-20,127.5,127.5,123,125,72336
2000-09-21,127,127,120.5,122.5,131462
2000-09-22,122.5,123,118,121,336672
2000-09-25,122,126,120,123,1171439
2000-09-26,126,126,115,122.5,542961
2000-09-27,122,122,116,117.5,48730
2000-09-28,119.5,120,113,117.5,142562
2000-09-29,119.5,119.5,115,117,89564
2000-10-02,119,119,115,116,107398
2000-10-03,117,117,115,116,29014
2000-10-04,116,116,112,113,4805
2000-10-05,115.3,116,110.75,113,133184
2000-10-06,115.3,116,112,113,27410
2000-10-09,110,110,105,107.5,126301
2000-10-10,109.2,109.25,103.75,106,89355
2000-10-11,108.2,108.25,102.75,104.5,52822
2000-10-12,105,105,102,103.5,69030
2000-10-13,104.5,104.5,98,102.5,241088
2000-10-16,104.5,105,102,103.5,143950
2000-10-17,105,105,102,103.5,34481
2000-10-18,104.4,105,98.5,100.5,132271
2000-10-19,98,103,98,100.5,19917
2000-10-20,102.5,103,101.5,101.5,20118
2000-10-23,103,105,100,102.5,2189484
2000-10-24,105,127,104.5,124.5,273313
2000-10-25,127,138,126,136,777253
2000-10-26,131,147,131,138.5,313958
2000-10-27,139,140,137,138.5,32018
2000-10-30,142,142,137,139.5,55067
2000-10-31,142,142,137,139.5,305687
2000-11-01,142,146,140,142.5,39749
2000-11-02,140,145,140,145,45396
2000-11-03,147,162,144,157,182246
2000-11-06,159,164,159,162,116998
2000-11-07,164,165,155,156.5,112580
2000-11-08,158,158,150,151.5,84926
2000-11-09,152,152,150,151,58865
