Date,Open,High,Low,Close,Volume
2016-06-15,307,312,304,307.5,292395
2016-06-16,306,308,306,306.5,8212
2016-06-17,306.5,306.5919,306.5,306.5,29473
2016-06-20,306.5,309.45,304,306.5,16673
2016-06-21,306.5,307,306,306.5,8287
2016-06-22,306.5,306.5,306.5,306.5,0
2016-06-23,306.5,306.5,306.5,306.5,0
2016-06-24,302.5,302.5,295,302.5,6666
2016-06-27,302.5,302.5,302.5,302.5,0
2016-06-28,302.5,302.5,302.5,302.5,0
2016-06-29,302.5,302.5,300,302.5,30
2016-06-30,302.5,302.9,300,301.5,2779
2016-07-01,301.5,301.5,301.5,301.5,0
2016-07-04,301.5,301.5,301.5,301.5,0
2016-07-05,301.5,301.5,301.5,301.5,0
2016-07-06,301.5,302.9,301.5,301.5,1032
2016-07-07,301.5,301.5,298,301.5,26
2016-07-08,301.5,304.3,301.5,301.5,49
2016-07-11,301.5,305,301.5,301.5,1500
2016-07-12,301.5,305,298,301.5,3269
2016-07-13,302.5,302.5,302.5,302.5,0
2016-07-14,302.5,303,302,302.5,20000
2016-07-15,302.5,302.5,302.5,302.5,0
2016-07-18,302.5,305,302.5,302.5,3376
2016-07-19,302.5,304.828,302.5,302.5,4652
2016-07-20,302.5,302.5,302.5,302.5,0
2016-07-21,302.5,304,302.5,302.5,3200
2016-07-22,302.5,302.5,302.5,302.5,1000
2016-07-25,302.5,302.5,302.5,302.5,582
2016-07-26,302.5,302.5,302.5,302.5,0
2016-07-27,302.5,302.5,302.5,302.5,0
2016-07-28,302.5,302.5,302.5,302.5,170
2016-07-29,302.5,305,300,302.5,5000
2016-08-01,302.5,302.5,302.5,302.5,2979
2016-08-02,302.5,302.5,302.5,302.5,661
2016-08-03,302.5,302.5,302.5,302.5,0
2016-08-04,302.5,302.5,302.5,302.5,12
2016-08-05,302.5,302.6,302.5,302.5,5000
2016-08-08,302.5,302.5,302.5,302.5,661
2016-08-09,302.5,302.5,302.5,302.5,3449
2016-08-10,302.5,302.5,302.5,302.5,0
2016-08-11,302.5,302.5,302.5,302.5,658
2016-08-12,302.5,302.5,302.5,302.5,0
2016-08-15,302.5,302.5,302.5,302.5,0
2016-08-16,302.5,302.5,302.5,302.5,3631
2016-08-17,302.5,305,301,302.5,3120
2016-08-18,302.5,302.5,302.5,302.5,0
2016-08-19,302.5,302.5,302.5,302.5,0
2016-08-22,302.5,302.5,302.5,302.5,0
2016-08-23,302.5,302.5,301,302.5,834
2016-08-24,302.5,302.5,302.5,302.5,0
2016-08-25,302.5,302.5,302.5,302.5,0
2016-08-26,302.5,302.5,302.5,302.5,500
2016-08-30,302.5,302.5,302.5,302.5,600
2016-08-31,302.5,302.5,302,302.5,5000
2016-09-01,302.5,302.5,302.5,302.5,0
2016-09-02,302.5,302.5,302.5,302.5,0
2016-09-05,302.5,302.5,302.5,302.5,82
2016-09-06,303.5,309.375,303.5,309.375,269312
2016-09-07,311.75,318.513,311.75,316.875,654997
2016-09-08,317,318.75,317,317.375,21292
2016-09-09,318,324,318,321.5,35738
2016-09-12,321.5,326,318,321.5,16953
2016-09-13,322.5,326,322.5,322.5,6134
2016-09-14,322.5,324,320,322.5,209118
2016-09-15,322.5,322.5,322.5,322.5,10072
2016-09-16,322.5,326.55,322.5,322.5,3022
2016-09-19,322.5,326,322.5,322.5,12574
2016-09-20,322.5,322.5,322.5,322.5,10648
2016-09-21,322.5,326.55,320,322.5,11392
2016-09-22,322.5,326.55,322,322.5,10343
2016-09-23,322.5,322.5,322.5,322.5,10294
2016-09-26,322.5,322.5,322.5,322.5,11426
2016-09-27,322.5,323,322,322.5,50912
2016-09-28,322.5,322.5,322.5,322.5,5413
2016-09-29,322.5,326.55,322.0162,322.5,7032
2016-09-30,322.5,326.55,322.5,322.5,16540
2016-10-03,322.5,322.5,322.5,322.5,11548
2016-10-04,322.5,322.5,322.5,322.5,0
2016-10-05,322.5,322.5,322.5,322.5,23550
2016-10-06,322.5,327,322.5,322.5,10593
2016-10-07,322.5,322.5,322.5,322.5,10757
2016-10-10,322.5,322.5,322.5,322.5,64634
2016-10-11,325,328,325,325,8568
2016-10-12,326.5,328,326.5,326.5,3152
2016-10-13,328,340,328,335,31687
2016-10-14,335,340,335,335,14312
2016-10-17,335,340,335,335,23701
2016-10-18,335,335,335,335,0
2016-10-19,335,335,335,335,21252
2016-10-20,335,335,335,335,19128
2016-10-21,335,335,335,335,17214
2016-10-24,335,340,335,335,647
2016-10-25,339,340,339,340,4200
2016-10-26,340,343,335,340.5,41977
2016-10-27,340.5,345,340,342.5,453897
2016-10-28,342.5,342.5,342.5,342.5,0
2016-10-31,342.5,345,342.5,342.5,56228
2016-11-01,342.5,345,341,342.5,7863
2016-11-02,342.5,342.5,342.5,342.5,0
2016-11-03,342.5,342.5,342.5,342.5,0
2016-11-04,342.5,345,342.5,342.5,275
2016-11-07,342.5,345,342.5,342.5,220
2016-11-08,345,355.5,345,355.5,113608
2016-11-09,354,355,350,355,1000
2016-11-10,355,360,350,355,2987
2016-11-11,355,359,355,355,833
2016-11-14,355,359.5,355,355,280
2016-11-15,355,355,355,355,0
2016-11-16,355,355,355,355,2212
2016-11-17,355,360,355,355,1513
2016-11-18,355,355,352,355,1000
2016-11-21,355,355,352,355,1200
2016-11-22,355,355,355,355,0
2016-11-23,355,355,350,355,1969
2016-11-24,355,360,350,355,1848
2016-11-25,355,360,355,355,968
2016-11-28,356,360,352,355,2269
2016-11-29,355,360,353,355,3783
2016-11-30,355,360,355,355,7413
2016-12-01,355,355,342,355,100000
2016-12-02,355,360,353,355,2712
2016-12-05,355,355,355,355,0
2016-12-06,355,355,355,355,7764
2016-12-07,355,355,355,355,25166
2016-12-08,355,355,350,355,380
2016-12-09,355,355,355,355,0
2016-12-12,355,356,347,351,189717
2016-12-13,349,349,348,348,1000
2016-12-14,348,350,346,347,3481
2016-12-15,347,347,345,347,250
2016-12-16,347,349,347,347,570
2016-12-19,347,349,347,347,54313
2016-12-20,347,348,347,347,4862
2016-12-21,347,347,347,347,0
2016-12-22,347,347,347,347,0
2016-12-23,347,347,347,347,0
2016-12-28,347,347,347,347,0
2016-12-29,347,347,347,347,0
2016-12-30,347,347,342,347,987
2017-01-03,347,347,347,347,0
2017-01-04,348.5,349,348.5,348.5,2000
2017-01-05,348.5,349.2,346,347,2229
2017-01-06,347,347,347,347,0
2017-01-09,347,348,347,347,1000
2017-01-10,347,347.5,342,347,5550
2017-01-11,347,347.5,347,347,989
2017-01-12,347,347,347,347,0
2017-01-13,347,347,347,347,0
2017-01-16,347,347,347,347,0
2017-01-17,347,347.5,347,347,6
2017-01-18,347,348.5,344,348.5,1292
2017-01-19,348.5,348.5,347.5,348.5,250
2017-01-20,348.5,348.5,345,348.5,1359
2017-01-23,348.5,352,345,348.5,312
2017-01-24,348.5,348.5,345,348.5,550
2017-01-25,348.5,348.5,347.5,348.5,2673
2017-01-26,348.5,348.5,348.5,348.5,0
2017-01-27,348.5,348.5,348.5,348.5,0
2017-01-30,348.5,348.5,348,348.5,2148
2017-01-31,348.5,348.5,348.5,348.5,0
2017-02-01,348.5,348.5,342,348.5,15761
2017-02-02,348.5,348.5,344.4825,348.5,14631
2017-02-03,348.5,348.5,344.4826,348.5,13167
2017-02-06,348.5,348.5,345,348.5,8300
2017-02-07,348.5,348.5,347,348.5,1440
2017-02-08,348.5,348.5,345.7307,348.5,10665
2017-02-09,348.5,348.5,345.9803,348.5,14178
2017-02-10,348.5,348.5,345.9802,348.5,8869
2017-02-13,348.5,348.5,348.5,348.5,0
2017-02-14,348.5,348.5,348.5,348.5,0
2017-02-15,348.5,348.5,347,348.5,704
2017-02-16,348.5,348.5,348.5,348.5,0
2017-02-17,348.5,348.5,348.5,348.5,0
2017-02-20,348.5,350,348.5,348.5,15657
2017-02-21,350,355,345,350,3451
2017-02-22,350,354,345,350,2446
2017-02-23,350,353.5,346,350,2673
2017-02-24,350,350,345,350,2600
2017-02-27,350,350,346,350,715
2017-02-28,350,353.5,350,350,2826
2017-03-01,350,353,350,350,141
2017-03-02,350,353,350,350,1719
2017-03-03,350,353,350,350,3399
2017-03-06,350,350,350,350,579
2017-03-07,350,353,345.4811,350,9472
2017-03-08,350,355,350,350,3000
2017-03-09,350,355,345,350,5086
2017-03-10,350,350,350,350,0
2017-03-13,350,350,350,350,0
2017-03-14,350,350,350,350,0
2017-03-15,350,354,349.4749,350,7280
2017-03-16,350,354,347.4778,350,6715
2017-03-17,350,350,340,350,147612
2017-03-20,350,352,344.5,350,1029915
2017-03-21,350,350,345,350,28981
2017-03-22,350,352,345,350,10993
2017-03-23,349,349,344.4825,349,16293
2017-03-24,349,349,344.4824,349,6196
2017-03-27,349,350.6,349,349,8454
2017-03-28,349,350.6,349,349,5000
2017-03-29,349,350.6,349,349,16858
2017-03-30,349,352,349,349,21670
2017-03-31,349,351,349,349,313
2017-04-03,349,351,349,349,2925
2017-04-04,349,351,349,349,1421
2017-04-05,349,349,349,349,0
2017-04-06,349,349,349,349,0
2017-04-07,349,349,349,349,98362
2017-04-10,349,352.2,349,349,1141
2017-04-11,351,355,351,353.5,14000
2017-04-12,353.5,353.85,353.5,353.5,22096
2017-04-13,353.5,353.5,353.5,353.5,0
2017-04-18,353.5,353.5,350,353.5,625
2017-04-19,352,352,347,352,5000
2017-04-20,352,352,347,352,1421
2017-04-21,352,352,347,352,1611
2017-04-24,352,352,352,352,350
2017-04-25,352,352,352,352,0
2017-04-26,352,352,352,352,0
2017-04-27,352,352,352,352,350
2017-04-28,352,352,352,352,0
2017-05-02,352,352,352,352,0
2017-05-03,352,352,352,352,0
2017-05-04,352,352,352,352,5000
2017-05-05,352,352,352,352,119
2017-05-08,352,352,352,352,0
2017-05-09,350,350,350,350,857
2017-05-10,350,350,350,350,0
2017-05-11,350,350,350,350,0
2017-05-12,350,350,345,350,14000
2017-05-15,348.5,348.5,342,348.5,11942
2017-05-16,348.5,348.5,345,347.5,1400
2017-05-17,347.5,350,342,346,14306
2017-05-18,346,346,346,346,7000
2017-05-19,344,344,342,344,3530
2017-05-22,344,344,343.6,344,436
