Date,Open,High,Low,Close,Volume
2007-05-17,167,170,164,170,18166350
2007-05-18,169,174,169,173.5,226463
2007-05-21,170,172.25,165,169,210030
2007-05-22,167,178,167,178,161222
2007-05-23,180,186.5,180,186.5,659302
2007-05-24,185,185,178,183,176162
2007-05-25,181.5,184,181.5,184,196915
2007-05-29,183,193,183,190,214337
2007-05-30,186,190,183,190,2094749
2007-05-31,188,188,187,187,58785
2007-06-01,185,187,184,187,1207041
2007-06-04,183.25,186.25,183.25,185.25,671294
2007-06-05,185,186,185,185.25,44049
2007-06-06,184.25,185.75,184.25,185.75,167170
2007-06-07,187,187,185.5,185.5,155470
2007-06-08,185,185,185,185,90150
2007-06-11,186,187,185.5,185.5,99308
2007-06-12,186,186,184.25,185.25,58025
2007-06-14,187,187,186,186,62109
2007-06-15,184.5,185,184.5,184.75,11900
2007-06-18,186,186,175,183,16750
2007-06-19,183.25,185.27,183.25,184.75,16204
2007-06-20,186.5,186.5,183,186.5,10150
2007-06-21,185.5,186,183,183,31903
2007-06-22,185,185,183.5,183.5,4155
2007-06-25,181,183.25,179.25,179.25,10450
2007-06-26,181.25,181.25,177.25,180,9443
2007-06-27,177,177,175,177,19300
2007-06-28,172.5,174.25,172.5,174.25,14360
2007-06-29,174.5,175,174,174.25,373306
2007-07-02,172.25,175,172,173.75,11250
2007-07-03,172.5,174.5,172.5,172.5,6560
2007-07-04,174,174,172.5,173.25,28184
2007-07-05,174,174,172.654,173.25,1027197
2007-07-06,174.75,175.25,174.75,175.25,5750
2007-07-09,177.25,179,177.25,177.5,48352
2007-07-10,180,180,179.5,179.5,13700
2007-07-11,178,179,178,179,5000
2007-07-12,180,180.5,180,180.5,481625
2007-07-13,182,183.25,181,183.25,571033
2007-07-16,183,184.5,183,184.5,19850
2007-07-17,186.5,186.75,186.25,186.5,10114
2007-07-18,186.5,186.5,184.5,184.5,2100
2007-07-19,190,193,186.5,187.5,26940
2007-07-20,185,185,185,185,547930
2007-07-24,182,182.5,177.5,177.5,252982
2007-07-25,175,175.5,175,175.5,1250
2007-07-26,177,177,175,175,43875
2007-07-30,173,175.56,173,173.5,4816
2007-07-31,173.5,173.5,173,173,85000
2007-08-01,174,174,172,172,3500
2007-08-02,170,173,168,168,207129
2007-08-06,175,175,174,174.5,664000
2007-08-07,175,175.5,174.5,174.5,20000
2007-08-08,177,177,176,177,11838
2007-08-09,175.25,177,172,174.5,590092
2007-08-10,172,172,170,170.5,5000
2007-08-13,170.5,170.75,170.25,170.5,333100
2007-08-14,173,177,173,175,48865
2007-08-15,177,198,177,198,160411
2007-08-16,187,188,178,179.5,17607
2007-08-17,174,180.5,173,180.5,13869
2007-08-20,183,196.75,183,188.5,27447
2007-08-21,186,192.5,186,192.5,178468
2007-08-22,188,190.5,185,190.5,25500
2007-08-23,190,190,177,182.25,35600
2007-08-24,182.25,182.25,181.75,182,5200
2007-08-28,177,177,176,176,3750
2007-08-30,185,185,184,184,66357
2007-08-31,182.25,182.75,182.25,182.5,241352
2007-09-03,180,182.5,180,182.5,45
2007-09-04,183.75,183.75,183.25,183.5,86660
2007-09-05,181.25,181.25,180.75,181,19321
2007-09-06,181.25,181.25,180.75,181,3050
2007-09-10,177,177.5,177,177.5,53750
2007-09-11,177.75,177.75,177.25,177.5,2500
2007-09-12,177.75,177.75,177.25,177.5,2750
2007-09-14,175,177.5,175,177.5,1250
2007-09-19,175,180,175,177.5,30804
2007-09-20,177.75,177.75,177.25,177.5,50000
2007-09-24,175,177.5,175,177.5,18304
2007-09-25,177.25,177.25,176.75,177,3676
2007-09-26,176.25,176.75,176.25,176.5,4874
2007-09-27,176.75,176.75,176.25,176.5,1985
2007-10-01,176.5,176.75,176.25,176.5,81000
2007-10-02,176.5,176.5,176,176.25,75000
2007-10-03,175,175,174,174.5,56000
2007-10-05,174.25,174.25,173.75,174,6700
2007-10-08,177,177,177,177,73
2007-10-09,174,174.25,173.75,174,103000
2007-10-10,175.25,175.25,174.75,175,188300
2007-10-11,176.5,176.5,176.5,176.5,1507
2007-10-17,172,173,172,173,20200
2007-10-18,176,176,172,173.5,25
2007-10-19,172,176,172,176,4264
2007-10-22,174.75,174.75,174.25,174.5,12668
2007-10-23,174.75,174.75,174.25,174.5,4585
2007-10-24,174.75,174.75,174.25,174.5,7000
2007-10-26,177,177,174.25,174.25,9400
2007-10-29,175,175,172,172.5,9823
2007-10-31,168,170,168,170,159481
2007-11-02,168,168.5,168,168.5,7857
2007-11-05,167,167.5,167,167.5,8500
2007-11-07,166.75,167.25,166.75,167,4800
2007-11-08,165,165.5,160,165.5,6000
2007-11-09,165,166.75,162,166.75,52500
2007-11-12,164,165,163.5,163.5,52500
2007-11-13,163.75,163.75,163.25,163.5,10000
2007-11-14,167,167,167,167,155068
2007-11-15,166,166,164.5,164.5,4552
2007-11-16,169.25,169.25,169.25,169.25,63258
2007-11-19,163.75,163.75,163.25,163.5,5550
2007-11-20,165,165,158,161.5,88902
2007-11-21,156,156,153,153,37062
2007-11-26,155,157,155,157,1250
2007-11-29,157.5,157.75,157.25,157.5,80000
2007-11-30,154,154,154,154,101507
2007-12-03,157.75,157.75,157.25,157.5,600000
2007-12-06,157.5,157.5,157.5,157.5,11250
2007-12-07,157.25,157.25,156.75,157,39215
2007-12-10,155,155,155,155,315
2007-12-11,160,160.25,157,157,463931
2007-12-12,158,160,157,158.25,681250
2007-12-14,163,164,162.5,163,460071
2007-12-17,164,165.25,163,165.25,352280
2007-12-18,167,167,165,165,142032
2007-12-19,165,166.75,164,166.75,3750
2007-12-20,169.25,174,169.25,174,11957
2007-12-21,174,179.75,174,177,201536
2007-12-24,176,176,173.5,173.5,7000
2007-12-28,178,178,176.5,176.5,1924
2007-12-31,178,185,178,185,12254
2008-01-02,182.5,185,182.5,185,3906
2008-01-03,185,187.5,185,186.25,106050
2008-01-04,185.25,185.25,184.75,185,430403
2008-01-07,184.25,184.25,183.75,184,60509
2008-01-08,186.75,187,185,185,3610
2008-01-09,187,187,182.5,182.5,18176
2008-01-10,180,180.5,180,180.5,6406
2008-01-14,182,182,178,180.5,94741
2008-01-15,177,177,177,177,240446
2008-01-16,182,182,175,178,11823
2008-01-17,180,184.5,180,184.5,5000
2008-01-18,182,182,182,182,3743
2008-01-21,178,178,177,177,38890
2008-01-22,180,180,178,178,2249
2008-01-23,180,180,177.25,179,152379
2008-01-24,180,181.25,176,181.25,350463
2008-01-25,180,180,176,179,11198
2008-01-28,179,179,175,177,17997
2008-01-29,177.75,178.25,177.75,178,52000
2008-01-30,177.25,177.75,177.25,177.5,600215
2008-01-31,177.75,177.75,177.25,177.5,4300
2008-02-01,180,188,180,188,100116
2008-02-05,188,188.5,188,188.25,14600
2008-02-06,188,188,188,188,75
2008-02-07,183,183,181,182.5,7522
2008-02-08,180,181.75,178,181.75,251663
2008-02-11,174.5,174.5,174.5,174.5,137847
2008-02-12,180,184,180,181,316103
2008-02-13,181.5,184.75,181.5,183.25,389
2008-02-14,185,191,185,191,20346
2008-02-15,191,191,186.25,186.25,2500
2008-02-18,190,196,190,196,6500
2008-02-19,198,198,191,191,139152
2008-02-20,190,193.5,189.25,189.25,110994
2008-02-21,187,187,186.5,186.5,1250
2008-02-22,185,185,171.5,171.5,411934
2008-02-25,177,177,173,173,6128
2008-02-26,174,174,173.5,173.5,7200
2008-02-27,170.25,170.25,170.25,170.25,131517
2008-02-28,174.25,174.75,174.25,174.5,500
2008-03-03,174.75,174.75,174.25,174.5,2895
2008-03-04,177,179,177,179,504200
2008-03-05,181,181,181,181,13
2008-03-06,181,181,181,181,1000
2008-03-10,177,181.25,177,181.25,6190
2008-03-11,177,181,177,181,183
2008-03-12,177,180,177,178.5,3901
2008-03-17,177,179.5,177,179.5,860
2008-03-18,182,182,177.75,177.75,3742
2008-03-19,182,182,180,180,261564
2008-03-20,177,179.5,177,179.5,4665
2008-03-25,182,182,176,176,14
2008-03-26,177,179.5,175,175,32497
2008-03-27,181,181,181,181,162
2008-03-31,179,179,175,177.5,106219
2008-04-01,172,178,172,178,1508908
2008-04-02,178,180,178,180,534094
2008-04-03,177,178.5,177,178.5,58
