Date,Open,High,Low,Close,Volume
2007-05-15,203,214.75,203,209.5,44077738
2007-05-16,209.25,215.5,207.25,213.5,8380295
2007-05-18,217,218,211,211,5415120
2007-05-21,210.5,210.5,203,205.5,5502631
2007-05-22,206,207,205,207,1594825
2007-05-23,206.5,210,206.5,208.5,3521924
2007-05-24,208,209,207,207.5,1254878
2007-05-25,206.5,206.5,204,205.5,1034544
2007-05-29,204,206.5,204,206.5,2053349
2007-05-30,206,207,205,207,1201153
2007-05-31,205,207.5,205,206.5,3295649
2007-06-01,205,205,205,205,484313
2007-06-04,206,206,205,205.5,1535272
2007-06-05,206,208,206,206.5,280957
2007-06-06,205,206,205,206,450355
2007-06-07,206.5,206.5,205,205.5,2032448
2007-06-08,204,205,201.5,201.5,1342001
2007-06-11,201,201,201,201,459764
2007-06-12,203,204,203,203.5,467238
2007-06-13,202,203,200,200,2686860
2007-06-14,201.5,201.5,201,201.25,1084960
2007-06-15,202,203.75,202,203,278097
2007-06-18,201.5,205,201.5,204.5,559968
2007-06-19,204,205,202.305,203,81112
2007-06-20,205,206.75,202.585,205,543305
2007-06-21,205,216.35,205,214,963078
2007-06-22,216,216,213.18,214.75,1007124
2007-06-25,213,216.1,213,214.5,619322
2007-06-26,213,214.65,212.07,214.5,971649
2007-06-27,214,214,206.53,208,1195805
2007-06-28,208,209.85,207,209,1185088
2007-06-29,207,211,207,207,1251126
2007-07-02,207,211.45,207,209.5,24926
2007-07-03,207,209.75,206.07,209.75,485424
2007-07-04,212,222,208.085,219,642959
2007-07-05,217,222.35,217,221,674363
2007-07-06,222,226.7,217.217,224,454160
2007-07-09,227,228.95,219,220,799534
2007-07-10,218,221.8,215.75,216.75,651900
2007-07-11,215.5,216.05,211,213.25,163973
2007-07-12,217,220.25,214.75,220.25,374089
2007-07-13,222,225,218.62,225,259885
2007-07-16,225,226,220.37,226,543035
2007-07-17,227,231,225.35,230,321690
2007-07-18,229.25,230.85,225.5,226.25,394624
2007-07-19,225.5,228,225.5,225.5,166971
2007-07-20,228,229.7,224,228.25,356732
2007-07-23,230,231,227.05,229,601507
2007-07-24,228.25,266.563,226.05,226.25,445776
2007-07-25,225,226.125,223.05,223.25,754836
2007-07-26,223,225.85,205,206,576393
2007-07-27,204,208,202.05,205.5,1902348
2007-07-30,206,212,206,210,1483588
2007-07-31,211,212,205.62,211,427632
2007-08-01,205,210,203.05,209,296372
2007-08-02,210,212,209.5,209.5,198598
2007-08-03,209,209.85,207.4,208.25,154563
2007-08-06,207,208.85,198,199.5,496178
2007-08-07,203,204.85,200,200,361965
2007-08-08,203,204,200.05,204,659542
2007-08-09,204,205,195,196.75,638437
2007-08-10,195,197,184,187,1218533
2007-08-13,190,200.75,190,194.75,544962
2007-08-14,194,196.75,192,192.25,600445
2007-08-15,190,190,184,184.5,744012
2007-08-16,183,183,177,177,979835
2007-08-17,182,184,178.5,181,1148737
2007-08-20,184,190,184,185.25,389486
2007-08-21,185.25,186.5,185,186,444846
2007-08-22,187,190,187,189,1069658
2007-08-23,190,198,190,192,2832911
2007-08-24,192,196.75,192,195.25,485254
2007-08-28,195,195,192.5,192.5,65635
2007-08-29,190.25,190.75,190.25,190.5,45893
2007-08-30,197,200.75,197,200.5,233653
2007-08-31,202,207,200,207,709346
2007-09-03,210,213.75,210,212.5,2081123
2007-09-04,211.75,213,210,213,1099004
2007-09-05,210,214,210,213,1443605
2007-09-06,210,215.75,210,214.5,1509292
2007-09-07,217,217,210.25,210.25,508195
2007-09-10,210,210,207.5,207.5,505984
2007-09-11,207,212.75,207,211,255512
2007-09-12,213,217,212,216.25,1106958
2007-09-13,215,227,215,226.75,1440266
2007-09-14,225,225,216.5,219,1735110
2007-09-17,218,218,208,208.75,1973713
2007-09-18,207,208,206.5,208,1744621
2007-09-19,211,217,210.25,215.5,2377890
2007-09-20,218,218,205,207,1316632
2007-09-21,207,212,203.5,208,5450189
2007-09-24,208,209,205,207,281087
2007-09-25,207.5,209,202,203,1448008
2007-09-26,205,205,201,203,1161975
2007-09-27,206,215,206,208,659306
2007-09-28,210,216.75,208.25,211.25,856616
2007-10-01,213,215,212,213.5,2260970
2007-10-02,216.5,216.75,214,216.75,952284
2007-10-03,217,218.25,215.5,218.25,331467
2007-10-04,215,220,215,218,337565
2007-10-05,215,222,215,222,138668
2007-10-08,222,222,215,216,509726
2007-10-09,213,222,213,222,435377
2007-10-10,220,226.75,220,224.75,1580701
2007-10-11,222,226,222,226,602360
2007-10-12,223,227,223,227,189780
2007-10-15,227,227,225,225.5,427431
2007-10-16,223.25,225.75,223.25,225.75,1535527
2007-10-17,225,226.5,225,225.5,766997
2007-10-18,226.5,227,225,225.5,387342
2007-10-19,225,227,225,225.5,445604
2007-10-22,220,226,219,226,407165
2007-10-23,222.5,227,222.5,225.5,453445
2007-10-24,227,227,223.5,224.75,359714
2007-10-25,227,232,225.75,232,1278330
2007-10-26,230,241,230,236.5,517100
2007-10-29,238,242.25,237,238.5,831357
2007-10-30,236.5,239.25,236,238.5,1101159
2007-10-31,239,240,237.5,239,1421022
2007-11-01,240,240,236,236.5,491856
2007-11-02,233,237,231,237,1725432
2007-11-05,233,237,233,236.25,289973
2007-11-06,237,239,236,238,1520600
2007-11-07,240,240,223,225.25,2728414
2007-11-08,224,225,219,224,398956
2007-11-09,225,228.5,221.25,223,1312931
2007-11-12,224,224,215,217,1497241
2007-11-13,218,219,215,218,986065
2007-11-14,220,225,218,220.25,966267
2007-11-15,223.75,225,218,220,1189792
2007-11-16,218,222,215,218,4286135
2007-11-19,220,221,210,212,2578197
2007-11-20,215,216,201.5,203.75,3153124
2007-11-21,202,203,199,201.25,1080536
2007-11-22,204,204,197.5,197.5,2106871
2007-11-23,198,206,193,204,854397
2007-11-26,207,207,200.25,201,700561
2007-11-27,200,202.5,198,202.5,608475
2007-11-28,203,215,203,210,684778
2007-11-29,212,212,199.75,202.75,238803
2007-11-30,200,219,200,216.25,1469177
2007-12-03,211,214,203,203.75,399108
2007-12-04,203,207,200,201,674773
2007-12-05,200,205,198,199,352483
2007-12-06,201.75,201.75,195.25,198,346082
2007-12-07,198,198,193,194.25,180532
2007-12-10,196.5,197,192.5,192.5,291608
2007-12-11,192,194.5,188.75,190.75,342040
2007-12-12,187,187,184.5,184.75,762861
2007-12-13,183,185,170.25,184.5,1573778
2007-12-14,186,186,179,180.75,365820
2007-12-17,180,180.75,177.75,178,555605
2007-12-18,177.25,178.75,175,177.25,591873
2007-12-19,179.75,179.75,175,178.25,1178022
2007-12-20,180,182,178,182,146680
2007-12-21,183,188,182.5,185,787635
2007-12-24,188,188,184,184.25,12432
2007-12-27,187,187,180.25,180.75,120682
2007-12-28,181,183,181,181.25,96284
2007-12-31,181,182.75,179,180.75,62641
2008-01-02,180.75,183.75,179.25,179.25,193816
2008-01-03,179.25,184,173,176.75,283314
2008-01-04,176,176.75,174,176,475422
2008-01-07,177,178.25,173,174.25,1029676
2008-01-08,176,176,163.25,167.75,633513
2008-01-09,163,165,154,163,556124
2008-01-10,165.25,165.25,160,160,354662
2008-01-11,160,164,156.75,157,214929
2008-01-14,157,164,156,164,164313
2008-01-15,158.25,164,156,157.5,552332
2008-01-16,156,156,153,155.5,1355550
2008-01-17,156.5,156.5,147.5,148.75,1183302
2008-01-18,147,147,141,143.25,374703
2008-01-21,140,140,130,134.5,700938
2008-01-22,132,141,124.25,140.5,985976
2008-01-23,139.25,139.25,133,136.5,469172
2008-01-24,141.75,158,141.75,149,1089130
2008-01-25,150.75,160.5,148,153,840101
2008-01-28,151.25,153,147,147,385205
2008-01-29,149.5,154,148.75,154,407871
2008-01-30,155,160,154,159,828052
2008-01-31,158,162,156,160,4350201
2008-02-01,161.25,170,161.25,166,1029795
2008-02-04,164.75,168,164.25,164.75,326402
2008-02-05,164,166.25,160.5,166,596295
2008-02-06,163.5,168,162,165,318701
2008-02-07,165,167.75,165,166.5,763760
2008-02-08,168,169,165,167.75,243669
2008-02-11,165,167,157.5,158,2323221
2008-02-12,163,165.25,155.75,164.75,1902799
2008-02-13,163.5,172,160,172,3240769
2008-02-14,172.75,184,172.75,180.75,775934
2008-02-15,180.5,181.75,175,181,278559
2008-02-18,179.5,181.75,176,178.25,589150
2008-02-19,177,183.75,177,182,390551
2008-02-20,180,183,179,181.75,705201
2008-02-21,183.75,185,181,182.25,260432
2008-02-22,181,185.25,181,182,247195
2008-02-25,186.5,197,184,195,928141
2008-02-26,196.5,201,192,200,276122
2008-02-27,197,207,194,200,1086146
2008-02-28,199,202,195.5,196,506757
2008-02-29,197,199,193,198.75,1036015
2008-03-03,193,195,189,192.5,634781
2008-03-04,190,190,187.75,189,405459
2008-03-05,192,192,180.25,188.75,619173
2008-03-06,186,187.25,182.75,183.5,121299
2008-03-07,182,189.25,180,188,357495
2008-03-10,188,188,177.5,179,293623
2008-03-11,178.5,182,175.25,180.25,497553
2008-03-12,185,186,183.5,186,312417
2008-03-13,182,184.75,179,181.5,85644
2008-03-14,184,190,180.5,181.25,1203669
2008-03-17,180,183,178,182,792475
2008-03-18,185,185,178,178,228033
2008-03-19,183,183,171.5,175.5,490437
2008-03-20,174,174,166,166.25,1174529
2008-03-25,170,178.5,160.25,173.25,568495
2008-03-26,173,184,173,182,326590
2008-03-27,180,189,180,188.25,343114
2008-03-28,185.25,186.75,183.25,184,270018
