Date,Open,High,Low,Close,Volume
2006-11-03,365,365,353,355,5436405
2006-11-06,360,360,352,353,1561790
2006-11-07,353.5,353.5,350,350.25,8176042
2006-11-08,350,352,350,352,4435857
2006-11-09,352,352,350,350,344413
2006-11-10,355,363,355,359,2099659
2006-11-13,361,361,357.5,357.5,1954615
2006-11-14,360,360,357,359,765025
2006-11-15,359,360,358,358,377108
2006-11-16,356,359.75,356,359.75,837765
2006-11-17,361,364,357,362,933555
2006-11-20,361,361.5,361,361.5,70738
2006-11-21,362,370,362,366.75,319255
2006-11-22,367,390,367,369,439136
2006-11-23,375,375.25,375,375.25,103205
2006-11-24,375,378,374,376.5,908063
2006-11-27,378,380,378,379.75,271069
2006-11-28,374,374,372,374,119146
2006-11-29,374,376.25,374,376,158281
2006-11-30,380,380,380,380,34938
2006-12-01,380,383,368.25,368.25,646326
2006-12-04,375,375,360.25,360.25,458015
2006-12-05,360,364.25,359,364.25,160348
2006-12-06,367,383,360,372.5,291108
2006-12-07,380,383,380,383,47176
2006-12-08,375,385,371,385,523386
2006-12-11,385,385,380,385,347795
2006-12-12,385,387,377.25,380,409590
2006-12-13,385,396,383.5,394.5,752459
2006-12-14,390,397,390,396,1296635
2006-12-15,393.25,400,380,390.5,1564116
2006-12-18,395,395,385.25,390,308329
2006-12-19,393,399.5,385,395.5,3134507
2006-12-20,397,397,387,393,383841
2006-12-21,390,397.5,385,392,30483
2006-12-22,395,395,394.25,394.25,3836
2006-12-27,390.5,393,390,390,31095
2006-12-28,390.75,395,390.5,395,6023
2006-12-29,396.5,404,396.5,404,49268
2007-01-02,401,403,393,402.25,174244
2007-01-03,404,404,399.75,404,75205
2007-01-04,395,397,388.5,388.75,3379547
2007-01-05,388,393,385,386,615743
2007-01-08,383,388,375,377,1881788
2007-01-09,375,395,375,386,120194
2007-01-10,385,393,385,393,351892
2007-01-11,390,404.75,390,404.75,235005
2007-01-12,398,404,397.5,398,46348
2007-01-15,402,402,397,399.75,139257
2007-01-16,400,400,385,400,223050
2007-01-17,400,400,390.25,395,192160
2007-01-18,400,400,393.25,395.5,196302
2007-01-19,395,398,393,395,2040379
2007-01-22,394,395,390,391,128791
2007-01-23,398,398,380.25,382,122288
2007-01-24,387,392,382,392,99121
2007-01-25,393,393,373.25,374,35265
2007-01-26,379.75,380,363,363,48512
2007-01-29,358,367,355.75,362,1336185
2007-01-30,367.5,377,360,372.25,258457
2007-01-31,373,392,373,392,75567
2007-02-01,390,391,387,390,168132
2007-02-02,391,391,385,387,1910825
2007-02-05,390,390,380,385,33254
2007-02-06,385,385,377.25,383,14519
2007-02-07,385,390,376.5,380.25,1196991
2007-02-08,386,388,375,382,440682
2007-02-09,383,383,370,370,601589
2007-02-12,367,375,363,363,29691
2007-02-13,372.75,372.75,360,360,34301
