Date,Open,High,Low,Close,Volume
2000-01-03,862.9997,862.9997,862.9997,862.9997,0
2000-01-04,834.9997,848.9997,811.9998,822.4998,12926125
2000-01-05,789.9998,804.9998,772.9998,791.9998,17334322
2000-01-06,769.9998,773.9998,750.9999,765.9998,13791134
2000-01-07,788.9998,788.9998,764.9997,771.9998,12760178
2000-01-10,799.9998,799.9998,770.4997,775.4998,10031743
2000-01-11,774.9998,776.7498,745.9998,750.9999,19844154
2000-01-12,756.9998,767.9998,739.9998,764.9997,9566874
2000-01-13,766.9998,769.9998,747.9998,760.4998,10933194
2000-01-14,764.9997,764.9997,751.9998,759.9998,13560586
2000-01-17,759.9998,765.4998,750.4998,756.4997,9523555
2000-01-18,761.2498,761.4998,742.4997,745.4999,8731964
2000-01-19,735.9998,737.9998,705.9999,724.4998,24466841
2000-01-20,727.4998,729.9998,688.9998,691.9999,16152600
2000-01-21,699.9998,734.9998,689.9998,722.9999,19509936
2000-01-24,722.9999,737.9998,711.9998,716.9998,14524001
2000-01-25,718.4998,718.4998,699.9998,704.9998,10373881
2000-01-26,709.9998,723.9998,702.9998,719.9998,8143968
2000-01-27,727.9998,759.9998,724.9998,748.4998,24200300
2000-01-28,755.9998,757.4998,729.9998,734.4998,11658206
2000-01-31,726.9998,734.9998,717.9998,723.4998,14705365
2000-02-01,723.9998,738.4998,710.9998,717.9998,13425876
2000-02-02,724.9998,728.9998,711.9998,713.4998,10686883
2000-02-03,728.9998,744.9998,721.9998,733.9998,15070354
2000-02-04,737.9998,737.9998,692.9998,696.9998,18880061
2000-02-07,710.9219,714.9998,691.9999,699.4998,15914133
2000-02-08,699.4998,722.9999,699.4998,716.4998,27301112
2000-02-09,716.4998,743.9998,710.9998,713.4998,16616054
2000-02-10,717.7198,723.9998,699.9998,703.4999,20251599
2000-02-11,705.5998,732.9998,681.9998,683.9998,41911716
2000-02-14,695.7778,705.4998,684.9998,690.4998,34157908
2000-02-15,689.4999,714.9998,689.4999,707.9998,22176878
2000-02-16,724.4998,754.9998,724.4998,750.4998,25271628
2000-02-17,744.6319,765.9998,729.9998,752.9998,19077915
2000-02-18,735.4998,739.9998,714.4999,717.4999,12896226
2000-02-21,728.9998,738.9998,700.4999,703.9998,20436338
2000-02-22,707.9998,715.9998,678.9998,681.4998,27328267
2000-02-23,690.4998,710.9998,690.4998,705.4998,26345909
2000-02-24,716.9998,741.9998,716.9998,717.9998,17080891
2000-02-25,721.9328,731.9998,704.9998,722.9999,12316219
2000-02-28,721.4998,729.9998,698.9998,719.9998,23380067
2000-02-29,714.9998,744.4998,714.9998,737.4998,21133964
2000-03-01,739.9998,739.9998,711.9998,719.4998,21056639
2000-03-02,725.1348,725.1348,698.4998,707.9998,12969887
2000-03-03,714.9998,714.9998,688.9998,705.4998,13884107
2000-03-06,708.7498,712.9998,686.9998,688.4998,18975799
2000-03-07,688.4998,704.9998,684.9998,688.4998,17865187
2000-03-08,699.9998,717.4999,699.9998,702.4998,30884652
2000-03-09,714.9998,721.4998,694.4998,704.9998,11694063
2000-03-10,708.4998,717.9998,700.9998,708.9999,14696900
2000-03-13,699.9998,699.9998,674.9998,692.4998,12037980
2000-03-14,684.3798,702.4998,684.3798,689.9998,8170707
2000-03-15,687.9998,702.9998,683.9998,700.9998,11276350
2000-03-16,697.9998,739.7498,697.9998,729.4998,36377909
2000-03-17,739.9998,747.4998,714.9998,733.9998,28037944
2000-03-20,733.9998,736.9999,716.9998,733.4998,7806764
2000-03-21,733.2498,735.4998,715.9998,729.9998,21945434
2000-03-22,732.2498,754.9998,729.9998,743.4998,26474077
2000-03-23,745.9998,752.3998,727.9998,741.4998,14003284
2000-03-24,746.7499,780.9998,743.9998,772.4998,32027497
2000-03-27,771.4598,774.9998,751.4998,758.4998,15687130
2000-03-28,758.4818,758.9998,744.9998,750.9999,10977097
2000-03-29,752.9998,766.9998,741.0798,751.9998,16567179
2000-03-30,738.4998,739.9998,725.9998,727.4998,10002634
2000-03-31,727.2499,743.9998,723.9998,740.9998,12816297
2000-04-03,738.5548,740.9998,689.9998,699.9998,64495738
2000-04-04,699.4998,716.7498,699.4998,701.9998,38108429
2000-04-05,699.4998,715.8089,694.9999,710.4998,15201222
2000-04-06,715.7698,715.7698,704.9998,708.4998,17091799
2000-04-07,708.4998,712.9998,699.9998,707.9998,15887536
2000-04-10,706.4998,712.9998,701.9998,708.9999,15544928
2000-04-11,708.9999,712.4998,705.9999,706.4998,15495435
2000-04-12,716.1699,716.9998,703.9998,710.4998,14778231
2000-04-13,706.7498,709.4998,700.9998,705.4998,14773669
2000-04-14,704.4998,709.4998,699.9998,704.9998,16022499
2000-04-17,688.9998,698.9998,679.9998,693.4998,24298092
2000-04-18,700.9998,705.9999,691.9999,704.4998,32844149
2000-04-19,707.9998,712.4998,706.9998,709.4998,26748718
2000-04-20,708.2498,715.9998,699.9998,714.9998,19699203
2000-04-21,714.9998,714.9998,714.9998,714.9998,0
2000-04-24,714.9998,714.9998,714.9998,714.9998,0
2000-04-25,714.9998,722.9999,710.9998,717.9998,19912687
2000-04-26,721.9998,721.9998,706.4998,710.4998,13034165
2000-04-27,709.7498,717.9998,701.9998,704.4998,18088100
2000-04-28,710.7498,712.4998,704.9998,710.9998,18891600
2000-05-01,710.9998,710.9998,710.9998,710.9998,0
2000-05-02,712.9998,719.4998,710.9998,714.4999,13733177
2000-05-03,712.9998,714.9998,701.9998,702.9998,16012704
2000-05-04,705.4998,707.6498,702.7498,706.4998,6852421
2000-05-05,707.9998,713.4998,707.4998,707.9998,15377607
2000-05-08,703.4999,711.4998,700.9998,702.4998,12007467
2000-05-09,702.4998,708.9999,699.9998,703.4999,9964561
2000-05-10,701.7499,711.9998,698.4618,709.4998,15989886
2000-05-11,708.4998,718.9998,706.4998,716.4998,20112589
2000-05-12,715.4998,732.9998,715.4998,727.9998,24094146
2000-05-15,721.9998,732.4998,721.9998,728.4999,10305122
2000-05-16,729.4698,739.9998,729.4698,735.4998,16577428
2000-05-17,727.9998,729.9998,717.9998,719.4998,0
2000-05-18,717.9998,719.9998,713.7498,718.9998,0
2000-05-19,726.9998,730.7498,714.9998,719.4998,14082178
2000-05-22,714.4999,723.9998,713.9998,719.4998,15750504
2000-05-23,723.9998,728.9998,722.9999,725.9998,17917565
2000-05-24,714.9998,729.4998,714.9998,726.4998,25800967
