Date,Open,High,Low,Close,Volume
2000-01-04,140,140,140,140,100000
2000-01-05,135,135,135,135,2500
2000-01-06,135,140,135,140,5000
2000-01-07,139.5,140,139.5,140,1863537
2000-01-10,137,137,135,135,14306
2000-01-11,135,137.5,135,137.5,2762
2000-01-12,136,136,136,136,3500
2000-01-13,135,136.5,135,136.5,407888
2000-01-17,137,139.5,135.5,135.5,542824
2000-01-19,135,140,135,137.5,72083
2000-01-20,135,139,135,139,15702
2000-01-21,135,135,135,135,24093
2000-01-24,138,138,133,133,6234
2000-01-25,135,137.5,133,135,306158
2000-01-26,131,131,131,131,26053
2000-01-27,131,131.5,131,131.5,3278
2000-01-28,131,131,131,131,2580
2000-01-31,132,132,131,131,4180
2000-02-01,131,133,128,133,18772
2000-02-02,132.5,132.5,128,128,5186
2000-02-03,132,132,132,132,4500
2000-02-04,131,131,129,130,344092
2000-02-07,127,129.5,124,125,23113
2000-02-08,125,125,125,125,11338
2000-02-09,125.75,127,125,125,3135
2000-02-10,126,126,125,125,24500
2000-02-11,126,126,122,122,5586
2000-02-14,121,124,121,124,8000
2000-02-15,118,120,117,117,35861
2000-02-16,108,108,106,106,11600
2000-02-17,106,106,106,106,2000
2000-02-18,108,108,107,107,1300
2000-02-21,107,107,103,103,6626
2000-02-22,104,105,90,92,52674
2000-02-23,92,92,84.5,86,532560
2000-02-24,88,88,86,88,241867
2000-02-25,88,90,86.25,90,177504
2000-02-28,87,88,86,88,61657
2000-02-29,87,87,86,86,130399
2000-03-01,87,87,86,87,16498
2000-03-02,86,87,83.5,87,51051
2000-03-03,86.5,88,83,87,35568
2000-03-06,87.5,87.5,85,87,970151
2000-03-07,87,88,85,87,95878
2000-03-08,87,87,82,82,85755
2000-03-09,85,86,81,86,769609
2000-03-10,86,88,81,85.5,2163498
2000-03-13,86.9,93,86.9,93,1406640
2000-03-14,92.5,110,88,104.75,556244
2000-03-15,110,116,106,116,213767
2000-03-16,115,127,115,118,433196
2000-03-17,119.25,120,108,115,66058
2000-03-20,114,115,108.75,108.75,44557
2000-03-21,114.25,114.25,107,110,151146
2000-03-22,108,110,93,96.5,127020
2000-03-23,100,103,98,101,86865
2000-03-24,98.5,105,98,104,112068
2000-03-27,107,109,100,109,65717
2000-03-28,108,109,107.5,109,31386
2000-03-29,109,112,105,107,30091
2000-03-30,108,112,107,107,23865
2000-03-31,107,111,106,106,81848
2000-04-03,106,110,106,110,24137
2000-04-04,108,108,105,105,166818
2000-04-05,105,107,105,107,23714
2000-04-06,105,107,105,105,76841
2000-04-07,105,107,105,107,8985
2000-04-10,105,107,105,105.5,1491393
2000-04-11,105,107,103,103,59295
2000-04-12,104,107,104,104,12768
2000-04-13,102,105,101,105,10184
2000-04-14,100,101.5,95,101,389000
2000-04-17,93.25,94,93,94,7557
2000-04-18,94,94,90,94,26500
2000-04-19,99,99,97,98.4,92424
2000-04-20,99.5,99.5,96.5,96.5,2142
2000-04-25,100,100,100,100,20750
2000-04-26,97,97,97,97,3173
2000-04-27,100,100,97,97,7000
2000-04-28,101,101,97,101,8269
