Date,Open,High,Low,Close,Volume
2010-06-29,348.675,361.9579,348.675,361.9579,1951
2010-07-12,338.2972,346.5889,338.2972,346.5889,966
2010-08-04,333.8162,344.8384,333.8162,344.8384,120711
2010-08-05,334.7545,345.8077,334.7545,345.8077,128475
2010-08-06,331.7892,342.7443,331.7892,342.7443,33799
2010-09-10,338.0245,359.1511,338.0245,359.1511,140025
2010-10-05,326.592,347.0042,326.592,347.0042,782
2010-11-03,321.8584,321.8584,321.8584,321.8584,24142
2010-11-08,322.1609,322.1609,320.6121,320.6121,11105
2010-11-10,343.1923,343.1923,305.7532,322.9127,2816
2010-11-18,303.2861,323.6094,303.2861,323.6094,1168
2011-01-18,359.6785,367.4976,359.6785,367.4976,1931376
2011-01-27,407.792,407.792,374.8549,374.8549,1738
2011-02-01,371.4251,382.2583,371.4251,382.2583,289706
2011-02-07,374.8526,388.8165,374.8526,388.8165,2926
2011-02-21,386.2634,391.504,385.3386,391.504,28971
2011-02-22,392.472,392.472,381.6558,392.472,3863
2011-03-03,385.4659,399.2874,385.4659,385.4659,235
2011-03-16,397.6794,405.4771,397.6794,397.6794,386
2011-03-17,402.0442,405.7487,402.0442,405.7487,2189207
2011-03-25,413.4158,413.6023,413.4158,413.4158,38628
2011-03-30,429.5988,432.7117,429.5988,429.5988,145
2011-04-01,430.416,439.7729,430.1041,430.1041,5311
2011-04-04,427.4695,436.7624,427.4695,427.4695,214
2011-04-05,428.5451,433.153,428.5451,428.5451,145
2011-04-07,433.743,441.4062,433.743,433.743,887
2011-04-11,431.0214,438.6365,423.406,431.0214,531575
2011-04-18,438.2987,438.2987,438.2987,438.2987,85
2011-04-20,432.7421,437.0086,432.7421,432.7421,1931
2011-04-21,428.4852,429.6922,422.4501,429.6922,531128
2011-05-03,430.5901,435.4418,430.5901,430.5901,4426
2011-05-04,429.1974,429.1974,422.9892,429.1974,85
2011-05-19,442.2999,448.4859,434.8767,442.2999,6393
2011-05-25,439.4861,439.4861,430.2661,439.4861,782
2011-05-26,437.3757,437.3757,437.3757,437.3757,60877
2011-06-02,444.4717,445.39,444.4717,445.39,9657
2011-06-03,444.6006,444.6006,441.2394,444.6006,96569
2011-06-06,444.9949,444.9949,444.9949,444.9949,6518
2011-06-10,448.3129,449.8537,440.6101,449.8537,2921
2011-06-29,458.6725,461.7929,458.6725,458.6725,61804
2011-07-11,475.2014,475.2014,465.7603,475.2014,19314
2011-07-22,465.9288,478.1902,465.9288,465.9288,96569
2011-08-04,465.6007,465.6007,465.6007,465.6007,38628
2011-09-27,446.511,446.511,445.8741,446.511,1738
2011-10-19,418.4695,418.4695,410.5738,418.4695,289706
2011-10-24,406.1296,406.1296,406.1296,406.1296,1159
2011-11-04,416.5236,416.5236,404.9796,416.5236,1449
2011-11-10,408.6516,408.6516,402.9846,402.9846,1951
2011-11-23,399.6003,399.6003,386.7101,399.6003,598147
2011-12-07,393.952,393.952,393.952,393.952,51181
2012-01-05,394.0696,400.5297,394.0696,400.5297,1931
2012-01-16,400.9134,400.9134,397.9774,400.9134,11105
2012-01-18,397.2091,397.2091,395.9111,397.2091,724
2012-01-24,392.6349,400.9752,392.6349,392.6349,232
2012-01-31,386.5529,403.6627,386.5529,386.5529,338
2012-02-01,384.6518,384.6518,384.6518,384.6518,33075
2012-02-02,385.6,385.6,375.4859,385.6,386
2012-02-03,386.0759,389.2404,386.0759,389.2404,15934
2012-02-09,388.1963,397.6645,388.1963,388.1963,239
2012-02-10,390.4266,393.6008,390.4266,390.4266,317711
2012-02-13,389.4007,398.8983,389.4007,389.4007,1159
2012-02-14,392.5073,402.0806,392.5073,392.5073,1931
2012-02-21,395.0819,401.4033,395.0819,395.0819,1647
2012-02-23,398.051,398.051,390.4086,398.051,276
2012-02-24,394.1353,397.2884,394.1353,397.2884,833
2012-02-27,404.0148,404.0148,404.0148,404.0148,6714
2012-02-28,404.0787,405.6571,404.0787,405.6571,6266
2012-03-01,408.8602,413.5598,408.8602,408.8602,691
2012-03-02,416.2462,422.553,416.2462,422.553,1449
2012-03-13,436.9102,443.583,436.9102,436.9102,9657
2012-03-16,435.4961,438.6517,435.4961,435.4961,57333
2012-03-22,436.4879,442.8137,436.4879,436.4879,2178
2012-03-23,441.2506,441.2506,441.2506,441.2506,9657
