Date,Open,High,Low,Close,Volume
2015-10-22,199,201.75,190,196,65645969
2015-10-23,196,199.8,194.9,198,3470542
2015-10-26,198,198.25,193,195,1105286
2015-10-27,197,197,192.5,192.5,2741872
2015-10-28,192.5,193.25,191,191,1139144
2015-10-29,191.5,195,191.5,191.5,190620
2015-10-30,192.5,197.3,191.5,191.5,722804
2015-11-02,190.75,194,190.75,191.5,191653
2015-11-03,192.5,196.95,190.5,194,206894
2015-11-04,195.25,199.01,192,194.5,161023
2015-11-05,196,197,195,196.25,556774
2015-11-06,198.5,200,196.5,198.25,1271168
2015-11-09,200,202.85,198,199,510894
2015-11-10,199,199.75,191.411,197,1083042
2015-11-11,197,199.25,196,196.75,624838
2015-11-12,198,198.1753,192.475,195.75,1606338
2015-11-13,193,195.46,188.24,189,1177715
2015-11-16,190,193.96,189,190,443668
2015-11-17,191.25,193.8,188.25,190,734642
2015-11-18,189.75,192,188.63,192,815346
2015-11-19,190.75,192.01,190,191.5,312947
2015-11-20,194,194,189.9,192,139780
2015-11-23,190,190.25,189.25,190,327672
2015-11-24,187.5,190,187.5,189.5,722572
2015-11-25,190,197.5,188.5,197.5,3695638
2015-11-26,197.5,207.25,197.225,204.5,1165588
2015-11-27,207,207.5245,204.13,205.5,285262
2015-11-30,204.75,207,203.75,207,297890
2015-12-01,206.5,206.5,203,205.5,321819
2015-12-02,209.25,214.75,207.75,209.25,989063
2015-12-03,207.5,212,207.5,212,572885
2015-12-04,212.75,216.75,210,214,383256
2015-12-07,212.5,218.75,212.5,218.5,297138
2015-12-08,217,219.75,215,218.5,292787
2015-12-09,217,221.1419,215,215.5,338130
2015-12-10,220,220,210.25,210.75,246566
2015-12-11,210,213.2,208.25,208.25,82461
2015-12-14,207.5,212,206,212,389030
2015-12-15,210,216.5,210,213.5,657670
2015-12-16,214,215.8967,210.7,213,418749
2015-12-17,213,217.25,211,215.5,639971
2015-12-18,210.5,217.5,210.5,215,11186650
2015-12-21,216,217.3,215.1,217.3,500015
2015-12-22,212,220.9,212,220,307299
2015-12-23,220,222.4,218.2,222.4,171577
2015-12-24,222,222,220.9,221,53372
2015-12-29,218.1,223.7,217.5,223.7,151629
2015-12-30,221.8,224.7,219.1,222,171960
2015-12-31,223.5,227.2,222.1,222.1,414408
2016-01-04,223,224.3,217.6,222,291943
2016-01-05,225,225.7,217.9,224.6,177377
2016-01-06,220.9,226,220.9,225,197442
2016-01-07,218.5,226,218.5,224.7,292779
2016-01-08,218.3,225.58,217.1,217.1,155738
2016-01-11,218,223.37,217.3,221.1,133263
2016-01-12,222.7,222.7,217.1,218,118971
2016-01-13,216.5,219.8,211.0112,213.5,174315
2016-01-14,214.5,221.4,211.8,221.4,266294
2016-01-15,219.6,221,217,220,2302431
2016-01-18,224.9,224.9,210.72,211.4,737167
2016-01-19,212.3,216.5,207,207,600760
2016-01-20,211.6,211.6,195.752,198.3,479189
2016-01-21,200.2,208,200.2,205.6,435815
2016-01-22,209.9,213,205,206.7,207124
2016-01-25,207.5,211.33,205.5,205.5,183857
2016-01-26,203,208.77,203,207.6,138927
2016-01-27,211.6,212.2,206,208.9,347557
2016-01-28,212.9,212.9,207,209.1,131189
2016-01-29,208,212.64,208,210.9,90981
2016-02-01,211.3,213.51,210.5,210.8,223112
2016-02-02,213,213,207.8,210,86863
2016-02-03,207,214,206.7,214,167764
2016-02-04,209,214,209,210.8,202946
