Date,Open,High,Low,Close,Volume
2005-04-28,121,121.5,116,119.75,70094945
2005-04-29,119.75,119.75,116,116,14567180
2005-05-03,120,120,116,117.5,2234344
2005-05-04,117.5,117.5,115,115,2934597
2005-05-05,117.75,117.75,115,115.25,12919280
2005-05-06,115.5,116,115.25,115.5,1228916
2005-05-09,116,116,115,116,3086040
2005-05-10,116.25,116.25,114,114.75,927626
2005-05-11,115,115,111,112,6276605
2005-05-12,112.5,112.5,112,112.25,3964816
2005-05-13,113,113,112,112,4197661
2005-05-16,112,113,112,112.5,134178
2005-05-17,113,113,113,113,1131429
2005-05-18,113,113.5,113,113.5,2504382
2005-05-19,114,121,114,120,3565379
2005-05-20,122,124,121.5,123.5,616910
2005-05-23,123,123.25,120.05,120.75,1345408
2005-05-24,121.5,121.5,119,120.25,9533390
2005-05-25,120,120,120,120,5070535
2005-05-26,119,120,119,120,868354
2005-05-27,120,121,120,120.75,5351833
2005-05-31,121.75,123,120,120,225316
2005-06-01,121,125,121,125,1928056
2005-06-02,123,127,123,124,4171981
2005-06-03,128,129.5,127.25,129.5,9785344
2005-06-06,130.75,132,130.75,131,4040239
2005-06-07,130,131,130,131,4162790
2005-06-08,131,135,131,134.25,6498479
2005-06-09,135,137.5,135,137.5,6553633
2005-06-10,135,139,135,138.25,3809716
2005-06-13,139.5,144,139.5,143,5855194
2005-06-14,142,144,142,143,7259202
2005-06-15,142.5,148,142.5,148,4992108
2005-06-16,148,155.5,148,154.5,2478192
2005-06-17,155,158.5,155,157.75,9565539
2005-06-20,155,155,148,152,9413687
2005-06-21,153,153.75,153,153,9535627
2005-06-22,153.5,153.5,151,153,1592763
2005-06-23,152,154,150,153,6694875
2005-06-24,151.75,151.75,150,150,1120108
2005-06-27,150.5,151,149.25,149.5,2359486
2005-06-28,150,150,149.25,149.5,1227748
2005-06-29,148.5,148.5,147,147.75,4394051
2005-06-30,148.75,148.75,146,146.5,3305378
2005-07-01,147,147.5,145,146.5,3800294
2005-07-04,146.25,146.25,143,145,743119
2005-07-05,144,147,143,145.5,731976
2005-07-06,146.5,152.5,145.5,149.5,2557431
2005-07-07,150.25,152,141.25,152,1657159
2005-07-08,152.25,157.25,152,153.5,2871474
2005-07-11,155,155,153,153.25,1044926
2005-07-12,150.25,153,150.25,151.5,1366711
2005-07-13,152,152,150.75,150.75,583537
2005-07-14,150,150.5,148,148,2038504
2005-07-15,147.75,149,146,148,1585379
2005-07-18,152,152,148,149.75,1237552
2005-07-19,148.5,158,148.5,155,885378
2005-07-20,152.5,153.5,151,151,3993619
2005-07-21,152,153,148,148,313185
2005-07-22,149,155,149,154,2474259
2005-07-25,154.75,155,150.5,154.5,892026
2005-07-26,155,156,151.25,151.25,880874
2005-07-27,152.5,152.5,151.25,152,714444
2005-07-28,154.75,155.25,153,155,3501761
2005-07-29,154.75,159.5,154.5,159.5,3256339
2005-08-01,159.5,162.5,157,162,1097952
2005-08-02,163,165,161,161.75,1884731
2005-08-03,160,161.75,157.5,159.75,2489647
2005-08-04,158.75,160.5,158.75,159.5,977173
2005-08-05,159,160,159,160,417853
2005-08-08,160,160,158.75,159,137185
2005-08-09,159,159.25,157,157,1522878
2005-08-10,157,158,154,154,685387
2005-08-11,153,157,152.25,153,498864
2005-08-12,154,154,150,151,405827
2005-08-15,150,150.25,148,149.5,357688
2005-08-16,151,151,147.5,149,218678
2005-08-17,149,149,146,146,457883
2005-08-18,146,148,144,146.25,1062045
2005-08-19,144,151.25,144,150.25,1453022
2005-08-22,150,150.5,150,150,597332
2005-08-23,150.25,152,150,150.5,49902
2005-08-24,152,152,150,150.5,68148
2005-08-25,150,152,150,150,13951
2005-08-26,150,151.75,149,150,2679581
2005-08-30,151.75,152.25,150.5,152.25,304643
2005-08-31,152.25,152.25,150,151.5,1640902
2005-09-01,152,152,149,151.75,3114604
2005-09-02,150,152,150,152,713312
2005-09-05,152,152.75,152,152.25,105141
2005-09-06,151.75,153,150,152.75,4357810
2005-09-07,153.25,153.75,152.5,153.5,157811
2005-09-08,155,156.75,153.5,155.5,706214
2005-09-09,157.25,157.25,155,157,2535577
2005-09-12,157,167,157,162.5,4638716
2005-09-13,164,164.5,159,160,1511437
2005-09-14,159,161.25,159,159.25,48325
2005-09-15,158.25,159.5,157.5,157.5,1024897
2005-09-16,159,160.5,157.75,157.75,654669
2005-09-19,160,160,157,159,3290220
2005-09-20,157,162,157,159,1630944
2005-09-21,157,160,155.5,159,251581
2005-09-22,157.75,158.5,155.5,158.5,69653
2005-09-23,155.25,158,155.25,158,2541336
2005-09-26,155,157.25,155,156,311148
2005-09-27,155,162,154,162,1020217
2005-09-28,162,167,162,167,1124709
2005-09-29,165.5,173,165.5,172,2542628
2005-09-30,174,174,173,173,272806
2005-10-03,170,170,164,164.25,1410701
2005-10-04,165.75,169,165.5,167.5,1868950
2005-10-05,165.25,167.5,165.25,167.5,658373
2005-10-06,165,168,164,166.25,305981
2005-10-07,168,168,165,165,345870
2005-10-10,165,167,165,165.5,48594
2005-10-11,164,164,160,162,1010607
2005-10-12,160,162,160,160.25,989880
2005-10-13,159,164.75,158,161.25,686240
2005-10-14,159,161,155.5,158,1832933
2005-10-17,157.5,159.75,156,156.5,1134915
2005-10-18,159,162,156.25,159.5,490611
2005-10-19,155,156.5,153.5,155,553534
2005-10-20,159,160,152.75,155.5,697053
2005-10-21,153.75,157,152.25,153.75,368602
2005-10-24,153,160,153,160,751707
2005-10-25,160,160,157,158.25,134187
2005-10-26,156.25,156.25,154,154.75,1016392
2005-10-27,154,155,150,150.5,446388
2005-10-28,152.75,152.75,148,148.75,1194832
2005-10-31,150,150.75,148,149.5,3119986
2005-11-01,151,151,145,146.5,3744408
2005-11-02,147,152,146,151,3642765
