Date,Open,High,Low,Close,Volume
2000-01-04,804.8018,873.9929,798.9751,807.7152,1019388
2000-01-05,816.455,816.455,777.1252,780.0388,3338716
2000-01-06,782.2236,782.9518,742.8939,761.102,624145
2000-01-07,787.3219,788.7786,746.5357,775.6687,1216675
2000-01-10,871.0795,871.0795,778.5821,812.0851,1870761
2000-01-11,834.6632,834.6632,731.2407,799.7035,2006121
2000-01-12,793.1485,808.4435,784.4087,789.5068,1178734
2000-01-13,791.692,796.0619,771.2986,777.1252,2944323
2000-01-14,776.3971,780.0388,755.2755,770.5705,4842433
2000-01-17,784.4087,793.1485,775.6687,782.2236,2751714
2000-01-18,782.9518,789.5068,746.5357,752.3623,3330819
2000-01-19,750.1772,773.4837,716.6741,745.8073,3131095
2000-01-20,758.9172,758.9172,713.0325,719.5874,2993914
2000-01-21,710.1193,723.5932,706.4776,718.8591,1942999
2000-01-24,724.6857,742.1656,724.6857,739.2523,3027047
2000-01-25,742.02,748.7205,734.8822,736.339,2405560
2000-01-26,873.9929,873.9929,736.339,761.102,1803370
2000-01-27,748.7205,777.1252,748.7205,755.2755,1384626
2000-01-28,758.1889,769.8421,742.1656,749.4489,1841728
2000-01-31,743.6223,759.6456,739.9805,742.1656,1533348
2000-02-01,745.8073,755.2755,735.6106,743.6223,1198056
2000-02-02,738.524,782.9518,738.524,765.4722,5223942
2000-02-03,777.8536,780.767,750.9055,753.0906,4089549
2000-02-04,761.8304,763.2871,717.4026,726.8706,4579119
2000-02-07,728.3275,764.7438,721.044,736.339,2386772
2000-02-08,763.6513,763.6513,734.8822,753.8188,5527577
2000-02-09,758.9172,906.7677,758.1889,890.016,5793317
2000-02-10,837.5765,903.126,837.5765,859.4263,5831720
2000-02-11,863.7962,873.2645,823.0099,840.4898,7023523
2000-02-14,837.5765,844.8598,799.7035,804.8018,2047888
2000-02-15,816.455,867.4379,729.0556,842.6748,4156977
2000-02-16,863.7962,911.1376,863.7962,911.1376,7474013
2000-02-17,917.6925,923.8834,852.143,868.8946,3228798
2000-02-18,847.7731,856.5129,812.0851,823.0099,3614955
2000-02-21,841.9465,841.9465,801.1602,810.6284,3409678
2000-02-22,802.2527,822.2816,787.3219,806.9868,2596359
2000-02-23,805.5301,871.0795,805.5301,828.8366,3372389
2000-02-24,837.5765,872.5362,823.0099,826.6517,2701484
2000-02-25,834.6632,837.5765,817.1833,822.2816,3094624
2000-02-28,855.7847,855.7847,801.1602,817.1833,1776376
2000-02-29,816.9647,836.8482,801.1602,821.5534,1392457
2000-03-01,873.9929,873.9929,836.302,863.7962,2819807
2000-03-02,872.5362,891.4727,858.3338,867.4379,1764872
2000-03-03,911.1376,939.5423,911.1376,911.1376,946446
2000-03-06,910.4092,994.1668,895.8428,970.8606,1013277
2000-03-07,987.6119,988.8865,968.6755,979.6002,4031351
2000-03-08,946.8256,978.872,946.8256,962.8489,2293912
2000-03-09,969.4037,993.0745,962.1204,986.8837,1421078
2000-03-10,981.0571,1019.6583,981.0571,1007.2768,2925233
2000-03-13,986.1552,1063.358,986.1552,1048.063,3959503
2000-03-14,1075.0112,1103.4161,1035.6816,1086.6646,2503970
2000-03-15,1077.9246,1085.2079,1029.855,1035.6816,8054735
2000-03-16,1024.3926,1040.0515,949.739,993.4385,4448907
2000-03-17,1000.212,1032.7683,978.1437,989.0686,3442245
2000-03-20,1001.4501,1019.6583,948.2823,1001.4501,1208224
2000-03-21,1005.0919,1088.8495,997.0803,1038.5949,5575782
2000-03-22,1056.0747,1063.358,1039.3232,1042.9648,2580358
2000-03-23,1040.0515,1053.1615,1020.3867,1026.9416,3803116
2000-03-24,1007.4952,1045.8782,1005.0919,1024.7568,2385426
2000-03-27,1005.0919,1061.9013,1005.0919,1049.5197,3258106
2000-03-28,1041.5082,1092.4912,1008.0051,1057.5313,2451701
2000-03-29,1054.618,1070.6413,1038.5949,1053.1615,1857812
2000-03-30,1056.0747,1056.0747,1001.4501,1030.5834,3405179
2000-03-31,949.739,1030.5834,919.8774,959.9355,3628577
2000-04-03,957.0223,981.7853,954.8373,962.1204,2819522
2000-04-04,946.8256,946.8256,837.5765,875.4496,5325042
2000-04-06,863.068,931.5306,849.9581,908.2244,3622036
2000-04-07,922.0625,924.9759,873.9929,886.3745,2751908
2000-04-10,888.5595,958.4788,888.5595,934.4441,1497972
2000-04-11,959.2072,959.2072,871.0795,877.6344,3344670
2000-04-12,862.3397,935.1724,837.5765,857.9696,2173406
2000-04-13,806.2585,876.9063,806.2585,866.7096,3654910
2000-04-14,873.9929,881.2762,801.1602,820.8249,4701251
2000-04-17,767.657,800.2498,729.0556,747.2638,1336728
2000-04-18,786.5936,826.6517,761.102,769.1137,1469821
2000-04-19,792.4202,829.2007,781.8595,789.5068,1929340
2000-04-20,801.1602,873.9929,801.1602,816.455,518215
2000-04-25,958.4788,958.4788,793.8769,860.883,1396918
2000-04-26,881.2762,940.2707,879.0911,919.1491,1617244
2000-04-27,924.9759,926.4324,895.8428,897.2993,1690551
2000-04-28,943.9124,959.2072,901.6694,938.814,844367
2000-05-02,939.5423,950.4674,906.7677,924.9759,574108
2000-05-03,937.3574,937.3574,877.6344,884.1894,1546018
2000-05-04,903.126,906.7677,873.9929,876.9063,558805
2000-05-05,873.9929,889.2877,841.9465,861.6113,1898910
2000-05-08,892.9294,892.9294,790.9635,864.5247,1260307
2000-05-09,877.6344,908.2244,865.9813,878.3628,652051
2000-05-10,873.2645,932.259,873.2645,901.6694,1584008
2000-05-11,911.8659,911.8659,866.7096,873.9929,3065821
2000-05-12,873.9929,882.0046,870.3513,873.9929,2309606
2000-05-15,883.461,883.461,866.7096,870.3513,877425
2000-05-16,869.6228,895.8428,868.8946,882.0046,2075911
2000-05-17,892.9294,893.6576,864.5247,873.2645,1020873
2000-05-18,883.6068,924.9759,882.0046,900.2127,820682
2000-05-19,897.2993,924.9759,762.5588,831.7499,2780746
2000-05-22,863.7962,863.7962,799.7035,804.0734,1009858
2000-05-23,769.1137,848.5016,754.5473,788.0502,2988415
2000-05-24,777.1252,782.9518,750.1772,780.0388,2619774
2000-05-25,888.5595,888.5595,797.1543,828.1084,2480023
2000-05-26,856.5129,874.7213,828.8366,872.5362,3742595
2000-05-30,871.0795,916.9642,871.0795,910.4092,2754027
2000-05-31,923.155,932.259,910.4092,922.0625,1742876
2000-06-01,927.1607,939.5423,905.3108,939.5423,1602937
2000-06-02,932.9874,965.0338,913.3225,952.6522,1856857
2000-06-05,954.1089,981.7853,951.1955,951.1955,697855
2000-06-06,946.0973,983.242,946.0973,955.5656,1539593
2000-06-07,949.739,963.5771,936.6291,939.5423,1693656
2000-06-08,1006.5484,1037.8665,1006.5484,1006.5484,1312620
2000-06-09,978.1437,1026.9416,978.1437,999.2651,3106241
2000-06-12,1002.1785,1019.6583,985.4268,1009.4618,1412510
2000-06-13,1012.3752,1032.7683,1006.5484,1019.6583,8763999
2000-06-14,1026.9416,1068.4562,1013.8317,1063.358,1279430
2000-06-15,1074.2828,1074.2828,1022.5717,1030.5834,3789999
2000-06-16,1045.15,1048.7914,992.7103,1011.6467,1384865
2000-06-19,1011.6467,1026.9416,782.9518,1005.0919,2595139
2000-06-20,1017.4733,1025.4849,1009.4618,1019.6583,2283034
2000-06-21,1020.8964,1020.933,957.7505,999.2651,2263061
2000-06-22,999.2651,1002.9069,984.6987,988.3404,1669423
2000-06-23,1002.9069,1019.6583,984.8808,1016.0167,1483699
2000-06-26,1017.4733,1023.2999,1008.7335,1013.8317,1634683
2000-06-27,1016.7451,1066.9998,983.242,990.5253,6487497
2000-06-28,1001.4501,1001.4501,956.294,957.7505,5729188
2000-06-29,958.4788,967.2188,954.1089,961.3922,4562864
2000-06-30,966.4905,990.5253,965.0338,989.7969,4383619
2000-07-03,1002.1785,1005.0919,971.5888,989.7969,2366282
2000-07-04,994.8952,997.4444,983.242,990.5253,1149791
2000-07-05,990.5253,1000.3576,987.6119,990.5253,2517253
2000-07-06,989.0686,995.6235,983.9703,986.8837,822562
2000-07-07,989.7969,1026.9416,983.242,997.8086,979822
2000-07-10,1009.4618,1011.6467,993.4385,997.8086,762868
2000-07-11,993.4385,1026.9416,990.5253,1001.4501,1325008
2000-07-12,1001.4501,1037.8665,1001.4501,1021.8433,3172318
2000-07-13,1059.7164,1072.8264,1014.5601,1059.7164,5533664
2000-07-14,1066.9998,1088.1211,1022.5717,1077.9246,1229363
2000-07-17,1082.2945,1121.6241,1077.9246,1096.8611,1763726
2000-07-18,1020.7508,1144.9307,1020.7508,1108.5143,2488273
2000-07-19,1112.8843,1119.4392,1088.8495,1088.8495,2053145
2000-07-20,1126.7225,1126.7225,1078.6529,1121.6241,955112
2000-07-21,1128.9074,1158.7688,1088.1211,1094.6761,1198615
2000-07-24,1128.9074,1128.9074,1045.15,1117.2542,1596965
2000-07-25,1163.1389,1163.1389,1092.4912,1118.7109,1600742
2000-07-26,1144.2023,1144.2023,1082.2945,1085.9361,1482464
2000-07-27,1088.8495,1090.306,1052.4331,1074.2828,1931034
2000-07-28,1165.3239,1165.3239,1037.1382,1053.8896,2162305
2000-07-31,1063.358,1077.9246,1023.482,1034.2249,1268411
2000-08-01,1033.4964,1070.6413,1032.0399,1070.6413,739351
2000-08-02,1069.1846,1125.9942,1069.1846,1093.9478,822490
2000-08-03,1093.9478,1099.7743,1070.6413,1093.9478,989016
2000-08-04,1126.7225,1126.7225,1077.9246,1114.341,661420
2000-08-07,1125.9942,1150.7573,1095.4044,1112.1559,736278
2000-08-08,1107.786,1110.1531,1070.6413,1091.7627,1994889
2000-08-09,1093.2196,1131.0925,1079.7453,1108.5143,591604
2000-08-10,1089.5778,1139.8324,1081.5661,1128.9074,691667
2000-08-11,1128.9074,1144.9307,1120.8959,1123.0808,778635
2000-08-14,1113.6126,1158.0406,1113.6126,1150.0289,484569
2000-08-15,1154.3989,1179.8903,1128.9074,1161.6822,994181
2000-08-16,1123.8091,1193.7286,1123.8091,1170.422,842469
2000-08-17,1095.4044,1168.9655,1095.4044,1156.5839,2257002
2000-08-18,1158.0406,1161.6822,1131.0925,1136.9191,1489227
2000-08-21,1058.4782,1143.474,1058.4418,1136.9191,1836406
2000-08-22,1134.7342,1169.6938,1123.8091,1159.4973,3365939
2000-08-23,1158.0406,1186.8095,1150.7573,1172.6071,1324153
2000-08-24,1095.4044,1180.6187,1095.4044,1164.5954,1270830
2000-08-25,1158.0406,1164.5954,1139.2862,1155.1274,585111
2000-08-29,1172.6071,1176.2488,1148.5723,1172.6071,1784068
2000-08-30,1181.3471,1219.2201,1131.0925,1218.4917,882354
2000-08-31,1197.3702,1241.7982,1158.7688,1237.4283,4933741
2000-09-01,1253.4516,1274.573,1225.7749,1263.6481,3207217
2000-09-04,1255.2723,1294.2377,1255.2723,1279.6713,1688279
2000-09-05,1308.8043,1308.8043,1245.4398,1289.1396,1128507
2000-09-06,1302.2493,1302.2493,1234.5149,1262.1914,2899671
2000-09-07,1264.3763,1264.3763,1223.5901,1251.2666,1811183
2000-09-08,1272.3879,1272.3879,1245.4398,1254.1797,2111028
2000-09-11,1238.1564,1287.6829,1230.8733,1272.3879,813044
2000-09-12,1264.3763,1307.3476,1262.9198,1278.2146,1733167
2000-09-13,1259.278,1292.781,1234.5149,1270.9313,1221592
2000-09-14,1248.5352,1289.1396,1248.5352,1268.7464,1423334
2000-09-15,1261.4631,1287.6829,1252.7231,1252.7231,1129537
2000-09-18,1240.3415,1274.573,1224.3183,1231.6017,1057099
2000-09-19,1219.9483,1245.4398,1183.5321,1244.7114,2210168
2000-09-20,1254.1797,1294.9662,1229.4167,1229.4167,723413
2000-09-21,1238.1564,1260.0063,1190.8152,1225.7749,2297082
2000-09-22,1205.3819,1227.2316,1179.8903,1201.7401,4395626
2000-09-25,1209.0236,1243.9832,1204.6535,1209.0236,2192142
2000-09-26,1183.5321,1225.7749,1171.1505,1212.6651,735761
2000-09-27,1201.7401,1237.4283,1197.3702,1201.7401,1307775
2000-09-28,1201.7401,1222.1333,1174.7921,1179.8903,1500059
2000-09-29,1209.0236,1239.6133,1187.902,1225.7749,1216018
2000-10-02,1235.389,1237.2462,1200.2836,1200.2836,886087
2000-10-03,1208.2952,1227.2316,1183.5321,1203.9251,1617795
2000-10-04,1231.6017,1231.6017,1187.1737,1200.2836,1321462
2000-10-05,1212.6651,1236.7,1190.8152,1236.7,1155736
2000-10-06,1225.2652,1238.8848,1212.6651,1230.8733,2632748
2000-10-09,1203.9251,1227.2316,1192.2719,1203.9251,1999808
2000-10-10,1227.2316,1227.2316,1184.9886,1193.0003,2754646
