Date,Open,High,Low,Close,Volume
2000-01-04,282,288,270,282,532097
2000-01-05,270,290,270,270,763771
2000-01-06,290,290,266,290,997663
2000-01-07,290,295,280,290,2199849
2000-01-10,288,293.5,287,288,692782
2000-01-11,279,289,278,279,1128080
2000-01-12,277.8005,287,265,277.8005,1215826
2000-01-13,262.25,265,260,262.25,1588008
2000-01-14,250.275,262.75,250,250.275,2067068
2000-01-17,260,265.5,256,260,552182
2000-01-18,256.0256,263,250,256.0256,1234192
2000-01-19,250.5251,260.5,250,250.5251,2112540
2000-01-20,235,253,225,235,758089
2000-01-21,234.5,238,231,234.5,673729
2000-01-24,224.9,235,218,224.9,1445227
2000-01-25,215,221.5,206,215,4524963
2000-01-26,225,230,214,225,254191
2000-01-27,247.2253,252,232,247.2253,2739694
2000-01-28,248.4751,250,238,248.4751,6247951
2000-01-31,237.75,245,232,237.75,588693
2000-02-01,241,245,239,241,2139356
2000-02-02,245.5588,252,239.75,245.5588,2034867
2000-02-03,249.4751,250,240,249.4751,1602939
2000-02-04,239.75,244,231,239.75,540401
2000-02-07,238,239.5,222,238,148108
2000-02-08,212,230,186,212,801570
2000-02-09,201,224,190,201,3477219
2000-02-10,204.4796,208,195,204.4796,2264809
2000-02-11,213,216,202,213,1209325
2000-02-14,207,217.5,203.25,207,1997642
2000-02-15,203,210.75,203,203,884495
2000-02-16,204.56,208,200,204.56,1865951
2000-02-17,207.5,213.75,201,207.5,2530219
2000-02-18,225,227.25,205,225,3251283
2000-02-21,219.6331,227,217,219.6331,1172332
2000-02-22,225,227,220,225,1539106
2000-02-23,229.885,237.5,225,229.885,2472664
2000-02-24,232.8835,234,230,232.8835,1156839
2000-02-25,231.7127,232,225.5,231.7127,317718
2000-02-28,224.345,231,222,224.345,734588
2000-02-29,218.2718,226,212,218.2718,737690
2000-03-01,235,250.25,216.75,235,1216119
2000-03-02,218,243,217,218,549531
2000-03-03,212.5,231.2,210.25,212.5,1215991
2000-03-06,220,226.5,218,220,465639
2000-03-07,221,225,216,221,1043365
2000-03-08,221,225,213,221,2173256
2000-03-09,218,228.75,208,218,882779
2000-03-10,220.7279,230,218,220.7279,1174992
2000-03-13,215.5,228,211,215.5,866714
2000-03-14,216,221,215.75,216,822661
2000-03-15,217.4758,225,212,217.4758,2303540
2000-03-16,226,226.5,216,226,2596535
2000-03-17,233.287,237.75,221,233.287,1222922
2000-03-20,230.25,238,226,230.25,2216860
2000-03-21,224,233,220,224,1498953
2000-03-22,225.75,228,207,225.75,2101329
2000-03-23,224,225,213,224,4097174
2000-03-24,227,238.75,220,227,2072037
2000-03-27,229.7112,240,225,229.7112,1172300
2000-03-28,234,239,232,234,1535660
2000-03-29,225,236.5,215.75,225,1806763
2000-03-30,230.5,231.5,223,230.5,3466059
2000-03-31,225.2725,235,223,225.2725,2068782
2000-04-03,238.5,242.5,225.5,238.5,896318
2000-04-04,239.4944,243.5,223.25,239.4944,1575872
2000-04-05,243,243,220,243,445818
2000-04-06,240,248,233,240,984907
2000-04-07,236.8808,240.5,230.25,236.8808,764705
2000-04-10,242.1103,249,233.75,242.1103,1921382
2000-04-11,239.88,266,236,239.88,1997466
2000-04-12,231.5,249.5,231.5,231.5,283538
2000-04-13,235,256,225,235,2233406
2000-04-14,249,260,235,249,2110851
2000-04-17,237.7262,242,229,237.7262,1493933
2000-04-18,249.25,254,238,249.25,1203849
2000-04-19,246,261,246,246,1831751
2000-04-20,244.8775,250,239.13,244.8775,1265438
2000-04-25,242.23,245,236,242.23,2001883
2000-04-26,250,257,243,250,9638510
2000-04-27,250.94,268,244,250.94,7336047
2000-04-28,246.9753,256,244,246.9753,689552
2000-05-02,260,265,251,260,2116547
2000-05-03,255.3,267,251,255.3,902510
2000-05-04,251,265.75,251,251,244775
2000-05-05,256,258,248,256,642561
2000-05-08,266,275,251,266,3122894
2000-05-09,260.384,269,259,260.384,1967359
2000-05-10,286,299.3,270,286,8354773
2000-05-11,283,294,282,283,2410159
2000-05-12,287.3671,294,281.25,287.3671,964700
2000-05-15,289.9089,300,286,289.9089,1089913
2000-05-16,275,292,273,275,1901823
2000-05-17,279.74,284,274,279.74,1105152
2000-05-18,277,282,273.75,277,2498951
2000-05-19,292.5,293,272,292.5,3188992
2000-05-22,287,297,281,287,1663217
2000-05-23,280,290.5,280,280,1292968
2000-05-24,283,287,271,283,847622
2000-05-25,282.5,283,277,282.5,970362
2000-05-26,275,282,275,275,2109193
2000-05-30,278,286,269,278,168403
2000-05-31,273,279,270,273,455135
2000-06-01,283,287.5,272,283,2577047
2000-06-02,285,285,278,285,466201
2000-06-05,281,287,280,281,401210
2000-06-06,285,292,281.75,285,2306607
2000-06-07,284,285,280,284,580969
2000-06-08,280.09,284,275,280.09,1983652
2000-06-09,276.03,280,273.5,276.03,1578460
2000-06-12,275,278,273.5,275,1279852
2000-06-13,273.52,278,271,273.52,2094642
2000-06-14,275,278,273.5,275,1038398
2000-06-15,279,285,274.5,279,1410225
2000-06-16,261.25,279,261.25,261.25,2778990
2000-06-19,271,285,268,271,1104007
2000-06-20,279.5,280,270.5,279.5,338848
2000-06-21,274,277,267,274,1398586
2000-06-22,272.06,280,269,272.06,3673475
2000-06-23,273,274,270.5,273,1615108
2000-06-26,272,279.5,272,272,1300755
2000-06-27,276.5,281,271,276.5,539636
2000-06-28,266,279,266,266,299571
2000-06-29,258,278,258,258,1162265
2000-06-30,273.11,283,262,273.11,641649
2000-07-03,272.38,280,262.5,272.38,2147468
2000-07-04,257,271,253,257,542797
2000-07-05,254,258,252.75,254,631314
2000-07-06,254,257,253,254,1118213
2000-07-07,256.75,258,252,256.75,297316
2000-07-10,257,259,250,257,135301
2000-07-11,254.75,257,253,254.75,1122385
2000-07-12,240,255,231,240,1305883
2000-07-13,221,240,217,221,3434236
2000-07-14,215.75,224.25,215.5,215.75,2524058
2000-07-17,215.81,222,211.25,215.81,1045430
2000-07-18,208.29,216,205,208.29,5260055
2000-07-19,220.168,225,209.25,220.168,4361521
2000-07-20,220.5,223,216,220.5,3862133
2000-07-21,220,228,220,220,379459
2000-07-24,221.5,227,220,221.5,120688
2000-07-25,221.75,228.5,220,221.75,1733565
2000-07-26,225,228.5,222,225,371283
2000-07-27,217.75,228,215,217.75,714264
2000-07-28,213,224,213,213,1143761
2000-07-31,222,222,212,222,1787450
2000-08-01,223.5,225.25,218,223.5,584992
2000-08-02,221.3518,229,218,221.3518,670671
2000-08-03,215,224,215,215,1035761
2000-08-04,212.78,220,206.5,212.78,1929062
2000-08-07,215.6441,219,214,215.6441,1238307
2000-08-08,223.617,227.5,217,223.617,2225354
2000-08-09,225,228.5,221,225,619444
2000-08-10,226.5,227.75,224,226.5,1045129
2000-08-11,224,227,215,224,322355
2000-08-14,224,225.5,220,224,306013
2000-08-15,215,228,213.5,215,1072571
2000-08-16,214,218,211,214,2735294
2000-08-17,222.5,227,216,222.5,1306488
2000-08-18,233,238,225,233,2729345
2000-08-21,246,246,230,246,1214875
2000-08-22,234.883,243.5,230.25,234.883,1527278
2000-08-23,229,235,225,229,670985
2000-08-24,229,235,226,229,321690
2000-08-25,227.5,235,225,227.5,203936
2000-08-29,227.3938,231.5,225,227.3938,403157
2000-08-30,228.75,232,227,228.75,599336
2000-08-31,230,232,225.75,230,531719
2000-09-01,232,236,228.75,232,506161
2000-09-04,225.887,231,222.75,225.887,1291930
2000-09-05,220,225,218,220,2998201
2000-09-06,222.15,224.25,215.5,222.15,1907470
2000-09-07,221,227.5,216,221,812897
2000-09-08,222.25,226.5,212.25,222.25,2005514
2000-09-11,213,224.75,213,213,576808
2000-09-12,212.7251,219,208.5,212.7251,1480203
2000-09-13,208.5,215.5,205,208.5,2129628
2000-09-14,213.5,223.25,210,213.5,759183
2000-09-15,218.5,222,214,218.5,1247808
2000-09-18,219,225.25,216,219,3907789
2000-09-19,208,219.75,207,208,1560874
2000-09-20,210.25,213.75,208.25,210.25,2516496
2000-09-21,210.75,215.25,208,210.75,1481468
2000-09-22,199.429,210.5,196.25,199.429,919430
2000-09-25,215.75,215.75,204.5,215.75,904647
2000-09-26,210.73,217,200,210.73,795482
2000-09-27,205.35,213,203,205.35,2347904
2000-09-28,206.25,212,196,206.25,8267971
2000-09-29,209,213,206.5,209,422408
2000-10-02,210.25,214,208.5,210.25,274892
2000-10-03,206.5555,215,204,206.5555,375859
2000-10-04,206.5,209,199.25,206.5,2185427
2000-10-05,206,208.25,201.5,206,2326111
2000-10-06,206.5,213.5,204.25,206.5,1149604
2000-10-09,204.25,211.25,203,204.25,814718
2000-10-10,210,216,204,210,927489
2000-10-11,210,215.75,209.5,210,3207579
2000-10-12,212,220,212,212,1169345
2000-10-13,209.33,215.33,205,209.33,2909611
2000-10-16,215,215.5,212.5,215,397244
2000-10-17,214,216,213,214,2167131
2000-10-18,212,215.75,190.25,212,886976
2000-10-19,212.25,214.25,205,212.25,2741894
2000-10-20,216,219.75,212,216,355058
2000-10-23,219.75,219.75,216,219.75,85469
2000-10-24,225.75,228,217,225.75,756302
2000-10-25,221.834,229,216,221.834,693177
2000-10-26,223,225,220,223,1280191
2000-10-27,213,245,212.25,213,859396
2000-10-30,230,230,215,230,683975
2000-10-31,225,233.75,221,225,1033958
2000-11-01,222.75,228.5,217,222.75,2072060
2000-11-02,222.447,223.5,208,222.447,7259049
2000-11-03,217.692,220.5,215.5,217.692,330329
2000-11-06,222.111,224.75,217.5,222.111,790623
2000-11-07,224.25,227.5,221.25,224.25,494783
2000-11-08,228,232,222.5,228,639691
2000-11-09,229,229,223.5,229,440921
2000-11-10,228.25,230,222,228.25,728921
2000-11-13,229.75,229.75,226,229.75,167583
2000-11-14,228.886,240,227,228.886,455806
2000-11-15,234.993,239,230.5,234.993,609295
