Date,Open,High,Low,Close,Volume
2006-11-09,103.25,103.25,98.8,99.75,20873902
2006-11-10,100,100,99.55,99.856,8712674
2006-11-13,100,100.47,99.25,99.3394,4420304
2006-11-14,99.25,99.5,97.8,98.75,4254593
2006-11-15,98.5,98.75,98,98.25,2803509
2006-11-16,98.25,98.75,97.8,98.25,7584235
2006-11-17,98.25,98.75,98,98.65,2586343
2006-11-20,98.25,98.75,97.8,98,5362054
2006-11-21,98.25,99.5,98.25,99.375,2090277
2006-11-22,99.5,99.75,99.25,99.7,1562774
2006-11-23,99.5,99.75,99.5,99.75,696476
2006-11-24,99.5,99.75,99.5,99.75,362550
2006-11-27,99.75,99.75,99.5,99.74,381490
2006-11-28,99.5,99.75,99.25,99.7,509586
2006-11-29,97.804,99.75,97.8,99.5,2120001
2006-11-30,99.75,99.75,99.55,99.75,310918
2006-12-01,99.75,99.75,99.51,99.55,330310
2006-12-04,99.75,99.75,99.55,99.72,400810
2006-12-05,99.75,100.49,99.5,99.92,2476230
2006-12-06,99.99,100,99.56,99.945,296184
2006-12-07,99.5,99.875,99.25,99.5,1034050
2006-12-08,99.5,99.7,99.25,99.5,639568
2006-12-11,99.5,99.99,99.49,99.99,1407327
2006-12-12,99.99,99.99,99.5,99.75,733862
2006-12-13,99.57,100,99.57,99.99,101514
2006-12-14,99.75,100,99.5,99.74,691766
2006-12-15,99.75,100,99.5,99.74,995590
2006-12-18,99.75,100,99.72,99.72,808116
2006-12-19,99.5,99.5,98.97,99.328,4945702
2006-12-20,99.5,99.75,99.5,99.5,169166
2006-12-21,99.5,99.75,99.35,99.74,5356994
2006-12-22,99.74,99.74,99.25,99.68,102675
2006-12-27,99.75,99.75,99.5,99.75,83480
2006-12-28,99.5,99.75,99.25,99.47,711240
2006-12-29,99.75,99.75,99.32,99.74,138140
2007-01-02,99.75,99.9,99.63,99.72,909804
2007-01-03,100,100,99.6,99.97,817522
2007-01-04,100,100.25,99.83,100,3343988
2007-01-05,100.5,100.9,100,100.5,2057540
2007-01-08,101,102,100.75,101.38,841898
2007-01-09,101.75,101.75,101.35,101.65,267482
2007-01-10,101.75,101.99,101.5,101.74,251501
2007-01-11,102.25,102.5,101.85,102.5,376530
2007-01-12,102.75,104.49,102,104,1976330
2007-01-15,103.75,104.49,103.75,103.93,612030
2007-01-16,104,104.24,103.25,103.5,1074860
2007-01-17,103.25,104,102.75,103.5,1071793
2007-01-18,103,103.74,103,103.68,637877
2007-01-19,103.5,103.7,103,103,873293
2007-01-22,103,103,102.5,102.5,1629150
2007-01-23,103,103.5,103,103.0952,1825232
2007-01-24,103.5,104,103,103,713618
2007-01-25,103.25,104,103,104,513173
2007-01-26,103.25,103.42,103,103,1180558
2007-01-29,102.75,102.75,102.25,102.3298,975831
2007-01-30,102.75,102.99,102.57,102.99,211651
2007-01-31,102,102.4,102,102.15,696422
2007-02-01,101.75,102,101.5,102,2036180
2007-02-02,102,102,101.5,101.5,1000096
2007-02-05,101.5,102,101.45,101.5,518399
2007-02-06,101.75,102,101,102,2420466
2007-02-07,101.75,102,101.7,101.945,579319
2007-02-08,102,102,101.75,101.97,962051
2007-02-09,102,102.25,101.9,102,339445
2007-02-12,102.25,102.25,102.1,102.23,632402
2007-02-13,102,102.49,102,102,1431401
2007-02-14,102.5,103.5,100.85,103,4643563
2007-02-15,103.25,103.45,102.76,103,443821
