Date,Open,High,Low,Close,Volume
2000-10-16,187.5,190,180,187.5,1017879
2000-10-17,186,189,151,187.5,2444950
2000-10-18,179,179,168,169,110129
2000-10-19,168,169,168,169,1207
2000-10-20,168,170,168,169,91104
2000-10-23,168,169.8,168,169,9016
2000-10-24,168,170,168,169,4518
2000-10-25,168,169,158,169,259638
2000-10-26,168,170,168,169,1411
2000-11-01,170,170,169,169,1100
2000-11-02,168,169,168,169,1019
2000-11-03,168,170,168,169,15999
2000-11-06,168,169,168,169,6665
2000-11-08,168,169,168,169,5500
2000-11-10,168,170,168,169,5800
2000-11-13,165,168,165,166.5,9390
2000-11-14,165.2,166.5,165.2,166.5,777
2000-11-15,162,162.5,162,162.5,3000
2000-11-16,158,158,145,147.5,21338
2000-11-17,145,150,145,147.5,2175
2000-11-20,145,145,133,135,24107
2000-11-21,132,133.5,132,133.5,3800
2000-11-22,132,134.6,132,133.5,7099
2000-11-23,133,134,133,133.5,293861
2000-11-27,135,135,131,133.5,17500
2000-11-28,134,134,133.5,133.5,3000
2000-11-29,132,133.5,132,133.5,2500
2000-12-01,132,133.5,132,133.5,300
2000-12-04,134,134,132,133.5,10000
2000-12-06,133,133.5,133,133.5,90000
2000-12-12,132.3,133.5,132.3,133.5,377
2000-12-15,134,134,133.5,133.5,2667
2000-12-21,125,125,118,119,16000
2000-12-22,104,106,103,106,397000
2000-12-27,110,116,110,115,20127
2000-12-28,120,120,117.5,117.5,3000
2000-12-29,120,121.4,117,119.5,4293
2001-01-03,117,117,112.5,112.5,613000
2001-01-04,114,114,105,108.5,246332
2001-01-05,109.5,109.5,107,109.5,392000
2001-01-09,112.7,115,112.7,113.5,7399
2001-01-11,117,117,116,116,1000
2001-01-12,118,118,116.5,116.5,6888
2001-01-15,118,119.7,118,118.5,2046
2001-01-16,120,120,118.5,118.5,800
2001-01-17,120,120,118.5,118.5,33485
2001-01-19,119.6,119.7,117,118.5,19905
2001-01-22,118.4,118.5,118.4,118.5,358146
2001-01-23,118.5,119,118,118.5,25000
2001-01-25,120,120,118.5,118.5,2000
2001-01-26,118.5,119.6,118.5,118.5,502000
2001-01-29,117,117,117,117,3000
2001-01-30,113,113.2,112,112,24377
2001-02-02,114,114,110,112,2500
2001-02-05,113,114,112,112,4898
2001-02-06,110,112,110,112,100
2001-02-07,114,114,112,112,1000
2001-02-08,114,114,112,112,2144
2001-02-09,114,114,112,112,400
2001-02-12,113.5,114,112,112,1275
2001-02-14,113.5,114,112,112,3080
2001-02-23,105,105.4,103,105,664592
2001-02-27,95,100,95,100,10000
2001-02-28,93,97,93,96.5,16000
2001-03-01,95.2,95.25,77.5,77.5,13537
2001-03-02,77,77,68.5,68.5,11777
2001-03-05,65.5,67.5,65.5,67,108898
2001-03-06,69.7,78.5,66,78.5,224200
2001-03-07,79.7,86.5,79.7,85.5,227386
2001-03-08,84,96,84,96,127000
2001-03-09,95,96.5,95,96,977158
2001-03-12,95.25,96.75,95.25,96,337100
2001-03-13,92.5,95,92.5,92.5,7577
2001-03-14,91,91.5,90.5,91,100000
2001-03-15,92,92,90.5,90.5,1000
2001-03-16,92.5,92.5,90.5,90.5,324
2001-03-19,88.5,90.5,88.5,90.5,1000
2001-03-20,90,90.5,90,90.5,10000
2001-03-21,88.5,90.5,88.5,90.5,1147
2001-03-22,80,90.5,80,90.5,250000
2001-03-23,80,81.5,80,81.5,130000
2001-03-26,82.6,82.6,80.5,80.5,405
2001-03-27,78.5,78.5,73.5,73.5,7071
2001-03-28,71.5,71.5,71,71,5300
2001-03-29,68,69,68,68.5,12620
2001-03-30,67,67.5,66.5,67,5000
2001-04-02,67.3,67.5,65,67.5,16970
2001-04-03,69.5,69.5,65,67.5,9742
2001-04-05,68,70,66.5,66.5,4314
2001-04-06,63,63,56.5,56.5,33943
2001-04-11,56.5,56.5,56.5,56.5,783765
2001-04-12,58,58,57.5,57.5,22873
2001-04-17,57,57,53.5,55,9000
2001-04-18,56.7,56.7,54.3,55.5,1765
2001-04-19,53,55.5,53,55.5,10400
2001-04-20,54,55.5,54,55.5,5000
2001-04-23,53.5,57,52,53.5,1030902
2001-04-24,52.25,55,52.25,53.5,12000
2001-04-25,52,52.75,50.25,51.5,21433
2001-04-26,52.7,52.75,51.5,51.5,5236
2001-04-27,51.5,51.5,51.5,51.5,25000
2001-04-30,52.7,52.75,51.5,51.5,3000
2001-05-01,52.7,52.75,51.5,51.5,2960
2001-05-02,52.7,52.75,51.5,51.5,7500
2001-05-04,52.7,52.75,51.5,51.5,1000
2001-05-08,52.7,52.75,51.5,51.5,1900
2001-05-10,50,50,46.5,46.5,26265
2001-05-11,43.5,45,43.5,43.5,29000
2001-05-14,42.25,42.25,40,40,5000
2001-05-15,34,36,30,34,744100
2001-05-16,35,42.5,35,42.5,22868
2001-05-17,45,45,42,43.5,30000
2001-05-18,46.5,47,45,45,18400
2001-05-21,50,53,50,51.5,1617140
2001-05-22,53,53,50,50,50000
2001-05-23,51.5,51.5,48,50,4441
2001-05-25,45,51.5,45,50,1317261
2001-05-29,52,52,48,49,42676
2001-05-30,48.2,49,48.2,49,2000
2001-05-31,48.25,49,48.25,49,10805
2001-06-04,48.2,49,48.2,49,3000
2001-06-05,48.25,49,48.25,49,1590
2001-06-06,48.2,49,48.2,49,500
2001-06-08,49.8,50,48.2,49,184427
2001-06-11,49.8,54.5,49.75,53.5,379728
2001-06-12,54,54,53.5,53.5,22387
