Date,Open,High,Low,Close,Volume
2000-01-04,729,729,716,719,25049
2000-01-05,688,697,687,697,61283
2000-01-06,690.25,697,690,694,82922
2000-01-07,695,705,695,697,64294
2000-01-10,710,722,709,718,130540
2000-01-11,717,720,705,705,102758
2000-01-12,703.25,707,699,699,29020
2000-01-13,702,705,700,704,182198
2000-01-14,704,705,701,701,292746
2000-01-17,706.5,707,703,703,3751869
2000-01-18,703,703,692,692,64666
2000-01-19,685.75,690,685,689,8874962
2000-01-20,692,694,688,691,68088
2000-01-21,686,692,686,691,71695
2000-01-24,691,697,690.5,694.5,48405
2000-01-25,685,685,676,680,62527
2000-01-26,682,685,680,685,69963
2000-01-27,683,685,681,683,39779
2000-01-28,684,687,676,680,312665
2000-01-31,663,667,661,662,54572
2000-02-01,667,672,667,667,188644
2000-02-02,676,685,676,684.5,210879
2000-02-03,683.75,692,683.75,690.75,186773
2000-02-04,694,700,691.5,700,79211
2000-02-07,699.5,704.5,698,702,965001
2000-02-08,704,714.25,701,712,84667
2000-02-09,718,719,696,711.39,367928
2000-02-10,710,713,708.5,709,849353
2000-02-11,710,715,710,713,198025
2000-02-14,703,711.5,703,709,64042
2000-02-15,712.5,714,707,708,69405
2000-02-16,711,715,710.5,711,195273
2000-02-17,715,715,709,709,140435
2000-02-18,712,712,705.5,708,287327
2000-02-21,694,695,690,694.5,32804
2000-02-22,694.5,697,689.5,690,69773
2000-02-23,695,696,691,691,60042
2000-02-24,698,698,685.5,695,108180
2000-02-25,685.75,687,681,684,214558
2000-02-28,681,685,680,683,1580225
2000-02-29,686,687,684,686,506262
2000-03-01,687,692,687,688.5,343083
2000-03-02,689.5,690,686,688,111697
2000-03-03,688.25,693,688,688,326205
2000-03-06,695,697,694,696.5,378144
2000-03-07,692,703,692,693.5,316342
2000-03-08,686,693,686,691,100073
2000-03-09,690,695,690,694,36516
2000-03-10,697.25,702,697,700,98649
2000-03-13,691,692,681,682,67516
2000-03-14,685,692,683,687,51113
2000-03-15,686.5,688,684,688,59486
2000-03-16,696,703,694.5,700,95719
2000-03-17,730,732,721,729,115053
2000-03-20,732,734,728,734,127736
2000-03-21,732,735,728.5,733,224013
2000-03-22,742,745,738,742,129664
2000-03-23,741,748,741,743.25,102706
2000-03-24,752,756,747.5,752,237853
2000-03-27,752,754.5,747.5,749,76013
2000-03-28,749,758,747,756,85553
2000-03-29,756,756,750,752.5,294505
2000-03-30,749,752,743,749,190735
2000-03-31,746,751.5,746,750.5,697911
2000-04-03,747,747,737,740,156731
2000-04-04,740,742,736,738,65830
2000-04-05,735,735,720,720,32966
2000-04-06,722,736,722,736,155132
2000-04-07,740,743,738,742.5,64234
2000-04-10,745,753.25,745,753,97553
2000-04-11,751,762,751,756.5,90916
2000-04-12,760,767,760,763,114810
2000-04-13,748,757,748,750,118015
2000-04-14,741,747,735,739.5,428519
2000-04-17,682.5,704,680,698,102107
2000-04-18,713,713,704,713,539987
2000-04-19,719.5,721.5,716,720,86230
2000-04-20,720,723,718,722,264040
2000-04-25,723.5,738.5,723.5,726,117186
2000-04-26,749,754,747,750,112773
2000-04-27,751,755,743,746,134493
2000-04-28,752,762,752,761,99100
2000-05-02,763,770,762,765,41906
2000-05-03,760,763,759.5,760,661589
2000-05-04,757,770,757,766,95554
2000-05-05,770,777,766.5,770,12611932
2000-05-08,778,778,770,770,42994
2000-05-09,777,782,770,777,131532
2000-05-10,778,780,771,780,92631
2000-05-11,760,776,760,773.5,91554
2000-05-12,782,795,780,795,96107
2000-05-15,794,795,787,789.5,81655
2000-05-16,799.5,812,796,812,164987
2000-05-17,805,807,804,804,82358
2000-05-18,803,813.0813,801,813.0813,92010
2000-05-19,815,815,808,809,321372
2000-05-22,804,811,802,809,50447
2000-05-23,808,815,805,805.5,72685
2000-05-24,797,812,797,807,74232
2000-05-25,820,822,813,822,49279
2000-05-26,814,815,810,812.5,158364
2000-05-30,821,824,816,821,120009
2000-05-31,827,832,823,823,225538
2000-06-01,823,830,823,824.5,131344
2000-06-02,826.5,836,823,825,47784
2000-06-05,836,836,830,834,53315
2000-06-06,835,835,831,831,289788
2000-06-07,832,832,825,826,292939
2000-06-08,830,832,824,830,148068
2000-06-09,829,829,824,825,64519
2000-06-12,829,832,823.678,823.678,715849
2000-06-13,828,828,824,827,97300
2000-06-14,830,837,828,832.5,65958
2000-06-15,837,839,833,835,146581
2000-06-16,841,842.68,837,839.5,79682
2000-06-19,837,837,833,836,33168
2000-06-20,840,847,839,847,72187
2000-06-21,842.5,847,841,845.5,65216
2000-06-22,846,852,845,848.5,22909
2000-06-23,845,845,838,844,37201
2000-06-26,841,850,840,850,36570
2000-06-27,852,855,849,850,56778
2000-06-28,853,857,849,856,124911
2000-06-29,858,859,843,844.5,87418
2000-06-30,846,858,844,848.5,91189
2000-07-03,854.5,858,852,858,21350
2000-07-04,862.5,868,858,868,93237
2000-07-05,869.5,873,865,870,93125
2000-07-06,860,870,860,865,69149
2000-07-07,870,878,866,878,46262
2000-07-10,881,887,878,887,108401
2000-07-11,884,892,879,888,118892
2000-07-12,897,905,893,901.5,364028
2000-07-13,905,909,902,905,144766
2000-07-14,908,910,903,907,100082
2000-07-17,911,912,908,909,117222
2000-07-18,911,912,907,907,66974
2000-07-19,908,908,902,906,90440
2000-07-20,901,906,899,906,196226
2000-07-21,906,906,898,900,501856
2000-07-24,896,900,890,892,146826
2000-07-25,895,895,888,892,242714
2000-07-26,889,893,887,887,65332
2000-07-27,887,888,880,880,193030
2000-07-28,886,886,863.5,863.5,130023
2000-07-31,863,868,863,866,49973
2000-08-01,871,872,866,869.5,51881
2000-08-02,877,877,871,872,78612
2000-08-03,879,879,860,866.5,89346
2000-08-04,870,874,865,871,167591
2000-08-07,875,875,871,873,65920
2000-08-08,873.5,874,870,872,173951
2000-08-09,876,877,873,877,123126
2000-08-10,875,876,872,874.5,68653
2000-08-11,875,875,874,875,61675
2000-08-14,877,878,875,876,57163
2000-08-15,881,885,880,881.5,124039
2000-08-16,882,886,882,885,50305
2000-08-17,881,884,876,884,103090
2000-08-18,890,893,887,891,60588
2000-08-21,890,893,886,891,87592
2000-08-22,892,896,888,896,116006
2000-08-23,895,898,888.25,893,49325
2000-08-24,895,903,895,901.5,81969
2000-08-25,903,911,898,903,145266
2000-08-29,912,912,906,911,77625
2000-08-30,911,922,911,922,76070
2000-08-31,920.5,948.5,920.5,948.5,125362
2000-09-01,954,988,953,988,168989
2000-09-04,986.75,1000,984,1000,90392
2000-09-05,1000,1000,990,990,108897
2000-09-06,994,995,990,991.25,168110
2000-09-07,994,994,990,990.5,243076
2000-09-08,993,993,980,985,73906
2000-09-11,984.5,988,980,983,92490
2000-09-12,987,990,982,982,49199
2000-09-13,990,992,982,989,77603
2000-09-14,988,992,982,988.5,102614
2000-09-15,990,990,979,979,65672
2000-09-18,976.5,977,972,972,36492
2000-09-19,973,975,965,966,47429
2000-09-20,973,973,960,964.5,65695
2000-09-21,962,962,952,957,62621
2000-09-22,949.5,955,942,947,64141
2000-09-25,959,969,955,968,104804
2000-09-26,957,964,954,955.5,161750
2000-09-27,950,960,950,952,94508
2000-09-28,957,958,948,956,152462
2000-09-29,965.25,967,955,960.5,129410
2000-10-02,958,959,951,958,41651
2000-10-03,957,958,950,957,57895
2000-10-04,957,960,952,957,101046
2000-10-05,965,967,958,966,66589
2000-10-06,963,966,957,957,30466
2000-10-09,950,950,940,943,41276
2000-10-10,947,948,936,938,110374
2000-10-11,937,937,912,913.5,38887
2000-10-12,920,922,893,901,209770
2000-10-13,880,885,873,885,127183
2000-10-16,905,913,896,910,98094
2000-10-17,913,914,907,907,31357
2000-10-18,902,905,880,887,201851
2000-10-19,908,923,906,923,147148
2000-10-20,932,937,927,935,68858
2000-10-23,935,938,928,938,62473
2000-10-24,931,943,930,939,169269
2000-10-25,939.5,940,929,939,71440
2000-10-26,934,941,934,936,184031
2000-10-27,939,942,936,939,86507
2000-10-30,940,940,934,937,83491
2000-10-31,950,950,946,950,133146
2000-11-01,958,958,949,954,133154
2000-11-02,956,957,951,953,198176
2000-11-03,956,962,954,956,199553
2000-11-06,955,965,955,965,74173
2000-11-07,970,975,967,971,133678
2000-11-08,980,982,972,978,101211
2000-11-09,970,984,970,972,60166
2000-11-10,973,973,953,953,128396
2000-11-13,947,948,932,939,36776
2000-11-14,940,940,932,935,325317
2000-11-15,939,940,930,935,269147
2000-11-16,941,942,933,937,69981
2000-11-17,930,940,930,934,128418
2000-11-20,932,940,923,927,53922
2000-11-21,928,928,920,928,81725
2000-11-22,919,926,904,912,106204
2000-11-23,912,912,904,907,286987
2000-11-24,907,910,907,910,117419
2000-11-27,908,920,908,919,244789
2000-11-28,916,917,906,910,38967
2000-11-29,905,907,895,907,74494
2000-11-30,908,908,893,896,67032
2000-12-01,900,901.5,896,901.5,31133
2000-12-04,899,899,889,895.5,36455
2000-12-05,897.5,913,896,910,213908
2000-12-06,923,924,915,923,506180
2000-12-07,915,915,904.5,907.5,115679
2000-12-08,904,917,904,906,60446
2000-12-11,920,933.5,915,933,187759
2000-12-12,936,936,929,934,376754
2000-12-13,937,938,930,935.5,661364
2000-12-14,934,934,914.5,918,662726
2000-12-15,915,917,900,902,29562
2000-12-18,903,906,897,902.5,69369
2000-12-19,904,905,888.9111,898,109548
2000-12-20,894,894,874,874,85602
2000-12-21,876,876,862.75,864,181782
2000-12-22,870.5,870.5,865,870,30121
2000-12-27,865.5,871,864,865,21283
2000-12-28,869,879,869,874,19439
2000-12-29,878,880,872,873,6230
2001-01-02,873.5,873.5,858,858,64369
2001-01-03,838.25,840,829,836.5,61515
2001-01-04,862,862,854,854,189923
2001-01-05,854,859,842,845,68581
2001-01-08,839,840,822,822,50889
2001-01-09,826,827,824,824,54603
2001-01-10,825,825,812,816,60876
2001-01-11,814,818,811,818,418038
2001-01-12,822,830,818,830,132331
2001-01-15,830,842,830,841,103099
2001-01-16,841,845,837.5,843.5,99069
2001-01-17,844,864,841.5,863,72842
2001-01-18,866,872,862,872,81493
2001-01-19,880,891,878,889,68437
2001-01-22,888,983,884,889,34336
2001-01-23,887,901,887,900,211102
2001-01-24,904,927,904,920,551412
2001-01-25,922,933,922,927,261278
2001-01-26,929,929,920,923,135527
2001-01-29,921.5,922,914,915,154011
2001-01-30,922.5,925,918,921,328087
2001-01-31,927,929,920,926,77698
2001-02-01,919,920,915,915,49121
2001-02-02,920,922,913,916,83439
2001-02-05,905,911,902,910,119810
2001-02-06,908.5,920,907,920,25196
2001-02-07,917.25,920,910,910,83434
2001-02-08,911.5,916.5,910,916,147864
2001-02-09,916.5,918,910,912,52730
2001-02-12,908,912,901,912,68377
2001-02-13,913.5,915,908,913,24681
2001-02-14,908,908,900,902,70876
2001-02-15,897.5,909,897,909,161420
2001-02-16,910,911,899,902.75,65747
2001-02-19,904,904,900,901.5,61141
2001-02-20,903,907.75,900,901.5,59071
2001-02-21,893,904,883,904,41927
2001-02-22,873,873.5,861,864,102523
2001-02-23,874,874,850,850,97679
2001-02-26,859,868,852,868,92762
2001-02-27,876.5,882,872,877.5,57498
2001-02-28,875,875,861,861,92178
2001-03-01,857,857,843,845.5,125455
2001-03-02,845,846,830.5,832.5,71875
2001-03-05,835,839,825,835,63858
2001-03-06,840,848,838,846,113279
2001-03-07,846,850,841,849,81521
2001-03-08,850,856,846,849,162558
2001-03-09,852,853,830,833.75,105344
2001-03-12,817,817,801,801,38609
2001-03-13,789,801,789,801,65771
2001-03-14,806,808.75,777,789,192550
2001-03-15,787,800,786,795,213129
2001-03-16,794,799,781.5,783.5,114878
2001-03-19,781,791.5,781,788.75,69544
2001-03-20,797,800,792,794,192304
2001-03-21,786,786,767,783,99034
2001-03-22,768,769,739,745,106273
2001-03-23,758,769,755,761,149992
2001-03-26,772,783,770,780,123288
2001-03-27,782,783,773,783,53397
2001-03-28,789,789,771.9228,777.6101,67359
2001-03-29,773,781,767,775,84838
2001-03-30,778,787,773,777,102927
2001-04-02,789,789,780,785.5,102624
2001-04-03,782,782,766,767,120470
2001-04-04,754,758,745.5,750,389843
2001-04-05,747,769,747,769,176194
2001-04-06,773,773,754,754.25,35061
2001-04-09,749,756,744,754,56218
2001-04-10,759,773,755,764,89665
