Date,Open,High,Low,Close,Volume
2000-01-04,433,438,431,434.5,437787
2000-01-05,436.5,437,431,434,225695
2000-01-06,434.5,434.5,427,428.5,30862
2000-01-07,424,436.5,423,425.5,603739
2000-01-10,422,428,422,428,432342
2000-01-11,433,438,431,435.5,457922
2000-01-12,438,439,434,436.5,21932
2000-01-13,433,440,433,436.5,314802
2000-01-14,438,438.5,433,435,463907
2000-01-17,438,440,433,436.5,33140
2000-01-18,438,439,434.5,437.5,60674
2000-01-19,438.5,443,437,440,3465348
2000-01-20,444,445,440,442.5,80027
2000-01-21,443.8,451,441,448.5,172621
2000-01-24,451.5,455,450,452.5,667934
2000-01-25,452.8,455,452,453.5,146069
2000-01-26,454,456,451.774,454.5,2835831
2000-01-27,454.5,457,454,456,353460
2000-01-28,460,467,450,463,15902720
2000-01-31,465,467,461,464,472022
2000-02-01,466,467,460,463.5,318591
2000-02-02,467,467,455,462,4051904
2000-02-03,461.7,463,456,459.5,64450
2000-02-04,456,458,451.25,453.5,147282
2000-02-07,450,457,450,452.5,129168
2000-02-08,450.5,455,445,447.5,239539
2000-02-09,450,450,443,445,183370
2000-02-10,444,444,433,434.5,103794
2000-02-11,431,437,430,432.5,92678
2000-02-14,430,436,430,432.5,95463
2000-02-15,429,435,420,422,240495
2000-02-16,417.3,417.5,383,386.5,420363
2000-02-17,383.2,385.75,363,366.5,540507
2000-02-18,364.5,368.5,361,362.5,159520
2000-02-21,361.2,363.5,357.5,361.5,40780
2000-02-22,359.5,365,358,361.5,109911
2000-02-23,359.5,365,358,360.5,98220
2000-02-24,356.3,358.75,350,353.5,330526
2000-02-25,351,357,350,354.5,459876
2000-02-28,353,359,352,355.5,327766
2000-02-29,357.5,359,352,355.5,29661
2000-03-01,352,359,352,355.5,29152
2000-03-02,353.3,357,352,354.5,120236
2000-03-03,355,357,350,353.5,157376
2000-03-06,357,366.5,352,361.5,153035
2000-03-07,377.5,388,373,384,784353
2000-03-08,382,386,380,383,2894432
2000-03-09,386,387,380,383.5,383012
2000-03-10,385.5,386,380,383,613373
2000-03-13,387,387,380,382.5,56798
2000-03-14,383.8,385,378,382,177226
2000-03-15,385,385,378,381.5,55777
2000-03-16,378,385,378,381.5,595154
2000-03-17,385,387,378,384,1994447
2000-03-20,381,387,381,384,38645
2000-03-21,387,405,385,403.5,396973
2000-03-22,405.5,412,404.5,410,330171
2000-03-23,415,420,413.5,417.5,339832
2000-03-24,420,428,420,427.5,110210
2000-03-27,425,435,425,431.5,131166
2000-03-28,433,443,429.5,437.5,613183
2000-03-29,446,447,442,445.5,756677
2000-03-30,447.5,450,443,446,513590
2000-03-31,447.5,449,443,446,49528
2000-04-03,443,449,443,446,55020
2000-04-04,444.5,449,442,445,388538
2000-04-05,440,448,440,443.5,17801
2000-04-06,440,444,438,441,126721
2000-04-07,439,442,436,439,275866
2000-04-10,437,439,410,414,5086225
2000-04-11,411.3,413.75,409,412.5,163087
2000-04-12,411.3,418.5,411.25,415.5,1671817
2000-04-13,415,420,413,416.5,1301792
2000-04-14,414,420,413,416.5,820649
2000-04-17,403,416,400,406.5,161309
2000-04-18,411.7,420,409.25,417,255017
2000-04-19,420,420,415,417,37998
2000-04-20,418,418,414,416,224772
2000-04-25,415,421,414,417.5,160652
2000-04-26,416.5,421,416.5,418.5,13352
2000-04-27,417,418.75,415,417.5,148395
2000-04-28,415,417,410,415.5,1152317
2000-05-02,418.5,418.5,413,415,216231
2000-05-03,416,417,413.25,414,204497
2000-05-04,413.7,415,409.5,411,234160
2000-05-05,408,411,405,407.5,235529
2000-05-08,408.75,408.75,402,403.5,18165
2000-05-09,406,406,402,403.5,66467
2000-05-10,400,404,390,394.5,2208425
2000-05-11,391.5,400,390,393.5,36594
2000-05-12,391,395.5,391,393.5,7443
2000-05-15,391.5,395.5,390,393,286913
2000-05-16,398.7,402,390,392.5,702755
2000-05-17,386.25,390,386.25,387.5,15403
2000-05-18,386,389,373,376.5,1939738
2000-05-19,372.5,377,371,374,12968
2000-05-22,372.5,377,371,374,184434
2000-05-23,371,375.5,368,370.5,1333378
2000-05-24,368,370.5,365,366.5,277860
2000-05-25,363,365,362,363,54761
2000-05-26,364,364,362,363,18634
2000-05-30,367,367,363.25,364.5,264079
2000-05-31,365.5,367,361,364.5,103318
2000-06-01,362,367,362,364.5,62348
2000-06-02,363,367,361,362.5,298126
2000-06-05,361.2,364,359,359.5,9837
2000-06-06,358,359.75,350,353,340664
2000-06-07,351,351,346,348.5,422909
2000-06-08,347,350,343,345.5,189681
2000-06-09,346.7,346.75,340,342,125976
2000-06-12,341,345,340,342.5,18695
2000-06-13,341.2,345,335,341.5,648772
2000-06-14,336.5,342,336.5,339.5,485087
2000-06-15,340.8,341.5,337,339.5,483288
2000-06-16,338.25,346,338.25,344,1213625
2000-06-19,345,347,343,345,2528915
2000-06-20,346,347,345,345,15408
2000-06-21,346,347,344,345.5,491170
2000-06-22,345,359,344.5,355.5,1921889
2000-06-23,356.8,382,356.75,377.5,558585
2000-06-26,385,385,379,381.5,69663
2000-06-27,383.8,385,380.5,382.5,95820
2000-06-28,380,385,380,382.5,559844
2000-06-29,383.8,385,380,382.5,53339
2000-06-30,383.75,383.75,363,373.5,417624
2000-07-03,372,372,366,368.5,16039
2000-07-04,365,369.5,363,366.5,59845
2000-07-05,369,369,363,366.5,16177
2000-07-06,364,368,363,366.5,109797
2000-07-07,366.8,367,363.5,365,188772
2000-07-10,370,370,363,364.5,121288
2000-07-11,366,366,360,363,88422
2000-07-12,361.2,365,360,362.5,389231
2000-07-13,361,365,360,362.5,207498
2000-07-14,364,364,360,362.5,24884
2000-07-17,365,365,360,362.5,102126
2000-07-18,364,365,360,362.5,67462
2000-07-19,364.5,365,361,362.5,25704
2000-07-20,365,365,360,362.5,43616
2000-07-21,363.8,364,361,362,523347
2000-07-24,360,365,358,360.5,127910
2000-07-25,361.5,363,358,360.5,123104
2000-07-26,361.8,363,358,360.5,324245
2000-07-27,363,363,359.5,361.5,158240
2000-07-28,363,363,361,361.5,12076
2000-07-31,360,363,360,361.5,559941
2000-08-01,363,366,360.75,364,1480204
2000-08-02,365,370,364.3178,367.5,1875642
2000-08-03,369,370,364.8175,367.5,255179
2000-08-04,368.8,370,365,367.5,169598
2000-08-07,365,368.75,364,366.5,258873
2000-08-08,365,370,363,366.5,2301262
2000-08-09,369,375,367,371.5,113055
2000-08-10,373,377,368,373.5,239103
2000-08-11,376.7,382,373,378.5,121069
2000-08-14,377,388.75,377,387.5,227258
2000-08-15,388.8,408,385,406,550017
2000-08-16,408.5,425,406.5,418.5,718721
2000-08-17,417,420,410,414.5,394848
2000-08-18,416.8,420,412,416,366704
2000-08-21,417.5,419,409.5,411.5,720150
2000-08-22,407.5,409.25,403,403.5,1166037
2000-08-23,400.3,408,398,403,66271
2000-08-24,402,407,400,403,312322
2000-08-25,404.5,406,400,403,532388
2000-08-29,399,399,393,396.5,54598
2000-08-30,393,397,390,395.5,856509
2000-08-31,393.75,393.75,373,376,262689
2000-09-01,375,378,373.25,375.5,126240
2000-09-04,376.7,378,359,363.5,2270872
2000-09-05,365,366,358,360.5,177445
2000-09-06,360,361,357,358.5,288114
2000-09-07,359.8,361,355,359,119759
2000-09-08,368,372,363,367.5,1568680
2000-09-11,360,370,360,367.5,328843
2000-09-12,367,367,360,362.5,112536
2000-09-13,361.2,364.5,360,362.5,8100
2000-09-14,364,364,355,357.5,138082
2000-09-15,358,358,353,355.5,13372
2000-09-18,357,358,353,355.5,26322
2000-09-19,356.5,357,351.5,353.5,186669
2000-09-20,351.5,351.5,332,337.5,1040692
2000-09-21,338.8,339,328,331.5,136034
2000-09-22,332,332,322,327.5,111346
2000-09-25,326.3,330,325,327.5,1385802
2000-09-26,325,330,325,327.5,9917878
2000-09-27,328.7,330,305.5,307.5,236726
2000-09-28,307.5,310,305.5,306.5,143336
2000-09-29,309,311.4,309,309,838034
2000-10-02,310.5,312,306,309,115012
2000-10-03,310.5,310.5,307,309.5,1489972
2000-10-04,310.5,311,308,309.5,95617
2000-10-05,310.2,328,309,326,8104549
2000-10-06,327,328,324,326,149539
2000-10-09,327,328,312,319.5,353051
2000-10-10,322,322,315,317.5,158746
2000-10-11,318.8,319,312,315.5,342404
2000-10-12,317,317,310,313.5,223569
2000-10-13,310,314,308.5,310.5,214989
2000-10-16,312,314,309.5,312,604338
2000-10-17,315,315,309,311.5,22064
2000-10-18,312.8,314,308,311,223397
2000-10-19,314,314,311,312,1224803
2000-10-20,313.2,314,311,312,29105
2000-10-23,313,314,311,312,38029
2000-10-24,313,314,310,312,47612
2000-10-25,313,313,310,312,169297
2000-10-26,313,314,310.845,312,24055
2000-10-27,313,314,310,312,66905
2000-10-30,313,314,310,312,48503
2000-10-31,312,314,310,312,131356
2000-11-01,314,314,305,311.5,781852
2000-11-02,311.5,311.5,300,301.5,143039
2000-11-03,303,303,300,301.5,214612
2000-11-06,303,303,300.5,301.5,41300
2000-11-07,300,302.5,297,298.5,140613
2000-11-08,295.9,301,295.85,298.5,1650075
2000-11-09,303.75,313,303.75,312,2665917
2000-11-10,314,320,313,317.5,3283220
2000-11-13,320,324,316.5,321.5,2210870
2000-11-14,320.75,330,320.75,326.5,753857
2000-11-15,323,332,323,330.5,327032
2000-11-16,333.8,340,331,337.5,294793
2000-11-17,340.5,352,336.5,350.5,620790
2000-11-20,349.75,358.5,349.75,356.5,186935
2000-11-21,359,360,353,356.5,3191569
2000-11-22,354.5,360,353,356.5,362879
2000-11-23,358.5,360,353,356.5,65021
2000-11-24,360,360,351,354.5,173504
2000-11-27,354,354,337,339.5,458043
2000-11-28,336.2,338.75,333,335.5,840490
2000-11-29,331,337,328,331.5,104842
2000-11-30,332.5,334,327.34,330.5,69916
2000-12-01,334,334,327,330.5,27643
2000-12-04,333,333,326,327.5,56865
2000-12-05,327,330,326.25,327.5,1481608
2000-12-06,328.7,329,325,327.5,133484
2000-12-07,325,329.25,325,327.5,140058
2000-12-08,328.7,332,325.75,327.5,70513
2000-12-11,330,332,328.25,330,885453
2000-12-12,332,332,326,327.5,463904
2000-12-13,328.7,340,325,337.5,361284
2000-12-14,339,345,336.5,341.5,716540
2000-12-15,343.8,344.25,340,342.5,23807
2000-12-18,343.8,344,341,342.5,78046
2000-12-19,343.75,343.75,330,332.5,838285
2000-12-20,333.8,334,330,332.5,27142
2000-12-21,331.3,335,330,332.5,10397
2000-12-22,330.8,333.75,330.75,332.5,6278
2000-12-27,333.8,335,330,332.5,241456
2000-12-28,330,335,330,332.5,143607
2000-12-29,333,334,332.5,332.5,5875
2001-01-02,333.8,334,331,332.5,34394
2001-01-03,333.8,338,330,335,930465
2001-01-04,337.8,352,337,347.5,5137061
2001-01-05,346.3,349.5,345,347,148400
2001-01-08,345.7,349,345,347,77410
2001-01-09,352,375,352,372.5,6101299
2001-01-10,374.3,377,370,372.5,2490111
2001-01-11,370,375,370,372.5,454823
2001-01-12,374.25,374.25,370.75,372.5,144055
2001-01-15,371.3,374.5,370.5,372.5,142222
2001-01-16,375.75,388,375.75,386.5,704387
2001-01-17,388.5,391,384.5,389.5,139521
2001-01-18,388.2,392,383,385,4036065
2001-01-19,386,386,381.5,383.5,916018
2001-01-22,381.5,387,380,383,152760
2001-01-23,384.5,384.75,380,383,32013
2001-01-24,384.5,389.5,381,387.5,373651
2001-01-25,388.8,392,385.75,389.5,1182116
2001-01-26,390.8,392,388.25,389.5,1858832
2001-01-29,392,392,387.75,389.5,1269858
2001-01-30,390.8,391,388.25,389.5,278139
2001-01-31,390.8,391.5,387,389.5,188258
2001-02-01,391.3,392,387,390,192673
2001-02-02,391,392,388,390,488420
2001-02-05,390,390,385,387,401449
2001-02-06,387.2,390.75,385,390.5,834568
2001-02-07,393.8,399,392,396.5,1367634
2001-02-08,398,403,395,400.5,409206
2001-02-09,402.5,407,397,403.5,575126
2001-02-12,405.5,412,403.25,408.5,483487
2001-02-13,412.5,414,407,410.5,260722
2001-02-14,410.2,417,410,415.5,910928
2001-02-15,418.8,424,413,416.5,4125465
2001-02-16,414.5,419,398,401.5,853900
2001-02-19,403.5,405,398,400,76950
2001-02-20,397.7,398,395,396.5,381522
2001-02-21,395.7,395.75,391,393.5,178907
2001-02-22,392,393.5,391.75,392.5,50730
2001-02-23,391.8,393.5,390,391.5,354635
2001-02-26,390.5,401.5,390.5,395.5,271835
2001-02-27,396,396,390,392.5,932413
2001-02-28,390,400,390,397.5,482381
2001-03-01,398.7,402,395,398.5,502765
2001-03-02,400.5,402,395,399.5,82766
2001-03-05,400.8,405,397.7,401.5,363805
2001-03-06,405,410,403.5,407.5,394523
2001-03-07,407,410,405,407.5,66892
2001-03-08,410,410,400,404,248095
2001-03-09,347.5,389,336.83,347.5,3052825
2001-03-12,349,351,333,336.5,953062
2001-03-13,338.5,350,333,347,367283
2001-03-14,350.5,359,350,355,517360
2001-03-15,358.8,363,354.25,360.5,307261
2001-03-16,359.5,373,359.5,371,433205
2001-03-19,373.5,373.75,368,371.5,377574
2001-03-20,371.3,375,368,370.5,471133
2001-03-21,368,372,356,361.5,580210
2001-03-22,363.5,365,345,346.5,808934
2001-03-23,349,355,346,351.5,737145
2001-03-26,353.8,355,348.5,351.5,186444
2001-03-27,354,360,353,358.5,485549
2001-03-28,361.8,367,360,363.5,236495
2001-03-29,360,367,360,363.5,43901
2001-03-30,361.5,365,358,360,383003
2001-04-02,358,362,357,359.5,592576
2001-04-03,360.5,362,355.5,361,669469
2001-04-04,363.8,372,360.5,368.5,270819
2001-04-05,365,384.25,365,383.5,982560
2001-04-06,384.2,389,382,387,540961
2001-04-09,388.75,388.75,383,386,597713
2001-04-10,388,393,386,391,893547
2001-04-11,393,403.5,388.7,400.5,792339
2001-04-12,402.5,404,397,400.5,303731
2001-04-17,398.5,404,393,394.5,366072
2001-04-18,392.5,398,388,389.5,309907
2001-04-19,387,390,383,383.5,274939
2001-04-20,381.5,387,380,383.5,561629
2001-04-23,381.5,385.5,380,383.5,84543
2001-04-24,381.5,387,380,383.5,125630
2001-04-25,381.5,385.5,380,383.5,95469
2001-04-26,387,387,381,383.5,149228
2001-04-27,381.5,386,380,383,25812
2001-04-30,384.5,392,380,388.5,428753
2001-05-01,388.25,400,388.25,397.5,2391230
2001-05-02,393,400,388,390.5,227901
2001-05-03,390,393,388,390.5,447186
2001-05-04,388,392,387,390,149631
2001-05-08,391.8,392,386.25,387,342806
2001-05-09,385,385,375,377.5,530025
