Date,Open,High,Low,Close,Volume
2000-01-03,154.25,154.25,154.25,154.25,0
2000-01-04,154,154,154,154,0
2000-01-05,148.75,148.75,148.75,148.75,0
2000-01-06,148,148,148,148,0
2000-01-07,151.5,151.5,151.5,151.5,0
2000-01-10,154.5,154.5,154.5,154.5,0
2000-01-11,155.5,155.5,155.5,155.5,0
2000-01-12,154.75,154.75,154.75,154.75,0
2000-01-13,155.75,155.75,155.75,155.75,0
2000-01-14,159.5,159.5,159.5,159.5,0
2000-01-17,161.5,161.5,161.5,161.5,0
2000-01-18,161.75,161.75,161.75,161.75,0
2000-01-19,160.5,160.5,160.5,160.5,0
2000-01-20,160,160,160,160,0
2000-01-21,159.5,159.5,159.5,159.5,0
2000-01-24,159.5,159.5,159.5,159.5,0
2000-01-25,159,159,159,159,0
2000-01-26,158.5,158.5,158.5,158.5,0
2000-01-27,159.25,159.25,159.25,159.25,0
2000-01-28,158.75,158.75,158.75,158.75,0
2000-01-31,157.75,157.75,157.75,157.75,0
2000-02-01,157.75,157.75,157.75,157.75,0
2000-02-02,157.5,157.5,157.5,157.5,0
2000-02-03,157.75,157.75,157.75,157.75,0
2000-02-04,158.5,158.5,158.5,158.5,0
2000-02-07,159.5,159.5,159.5,159.5,0
2000-02-08,165,165,165,165,0
2000-02-09,168,168,168,168,0
2000-02-10,168.25,168.25,168.25,168.25,0
2000-02-11,172,172,172,172,0
2000-02-14,170.63,170.63,170.63,170.63,0
2000-02-15,170.75,170.75,170.75,170.75,0
2000-02-16,170,170,170,170,0
2000-02-17,169.5,169.5,169.5,169.5,0
2000-02-18,168.5,168.5,168.5,168.5,0
2000-02-21,166,166,166,166,0
2000-02-22,162,162,162,162,0
2000-02-23,162,162,162,162,0
2000-02-24,162,162,162,162,0
2000-02-25,161.5,161.5,161.5,161.5,0
2000-02-28,160,160,160,160,0
2000-02-29,160.5,160.5,160.5,160.5,0
2000-03-01,160.25,160.25,160.25,160.25,0
2000-03-02,160.5,160.5,160.5,160.5,0
2000-03-03,164.25,164.25,164.25,164.25,0
2000-03-06,165,165,165,165,0
2000-03-07,165,165,165,165,0
2000-03-08,165,165,165,165,0
2000-03-09,165,165,165,165,0
2000-03-10,165,165,165,165,0
2000-03-13,161,161,161,161,0
2000-03-14,161.5,161.5,161.5,161.5,0
2000-03-15,161.5,161.5,161.5,161.5,0
2000-03-16,161.5,161.5,161.5,161.5,0
2000-03-17,163.5,163.5,163.5,163.5,0
2000-03-20,162.75,162.75,162.75,162.75,0
2000-03-21,161,161,161,161,0
2000-03-22,161,161,161,161,0
2000-03-23,161,161,161,161,0
2000-03-24,161.5,161.5,161.5,161.5,0
2000-03-27,161.25,161.25,161.25,161.25,0
2000-03-28,163.5,163.5,163.5,163.5,0
2000-03-29,162.5,162.5,162.5,162.5,0
2000-03-30,161.75,161.75,161.75,161.75,0
2000-03-31,161,161,161,161,0
2000-04-03,160,160,160,160,0
2000-04-04,156.5,156.5,156.5,156.5,0
2000-04-05,154.5,154.5,154.5,154.5,0
2000-04-06,157.5,157.5,157.5,157.5,0
2000-04-07,159.75,159.75,159.75,159.75,0
2000-04-10,161.25,161.25,161.25,161.25,0
2000-04-11,159.5,159.5,159.5,159.5,0
2000-04-12,160.25,160.25,160.25,160.25,0
2000-04-13,158,158,158,158,0
2000-04-14,153.5,153.5,153.5,153.5,0
2000-04-17,144.5,144.5,144.5,144.5,0
2000-04-18,144,144,144,144,0
2000-04-19,145.5,145.5,145.5,145.5,0
2000-04-20,145,145,145,145,0
2000-04-21,145,145,145,145,0
2000-04-24,145,145,145,145,0
2000-04-25,145.25,145.25,145.25,145.25,0
2000-04-26,146,146,146,146,0
2000-04-27,145.75,145.75,145.75,145.75,0
2000-04-28,146,146,146,146,0
2000-05-01,146,146,146,146,0
2000-05-02,146,146,146,146,0
2000-05-03,146.25,146.25,146.25,146.25,0
2000-05-04,146.25,146.25,146.25,146.25,0
2000-05-05,148,148,148,148,0
2000-05-08,147,147,147,147,0
2000-05-09,147,147,147,147,0
2000-05-10,148,148,148,148,0
2000-05-11,147,147,147,147,0
2000-05-12,146.5,146.5,146.5,146.5,0
2000-05-15,148,148,148,148,0
2000-05-16,147,147,147,147,0
2000-05-17,146.5,146.5,146.5,146.5,0
2000-05-18,145,145,145,145,0
2000-05-19,144,144,144,144,0
2000-05-22,140,140,140,140,0
2000-05-23,139,139,139,139,0
2000-05-24,136,136,136,136,0
2000-05-25,137,137,137,137,0
2000-05-26,138,138,138,138,0
2000-05-29,138,138,138,138,0
2000-05-30,136,136,136,136,0
2000-05-31,137,137,137,137,0
2000-06-01,140,140,140,140,0
