Date,Open,High,Low,Close,Volume
2010-06-16,175.5,190.5,175.5,190,28442740
2010-06-17,191,191,185.25,190,6059172
2010-06-18,190,191,187,190.25,1853064
2010-06-21,189,191,188.25,190.5,1170987
2010-06-22,189,189,185.25,187.5,1627247
2010-06-23,186,186,183.5,184.5,566125
2010-06-24,184,185,183,185,999114
2010-06-25,185,187,184.75,186.5,1547567
2010-06-28,183.5,188,182.25,186.75,331827
2010-06-29,183.25,183.25,181,182.5,1087637
2010-06-30,181.5,183.75,181,181,66878
2010-07-01,183,183,180,180.25,154364
2010-07-02,180.5,184,180.5,184,251501
2010-07-05,184,184,181.5,181.5,96150
2010-07-06,185,185,180,180.5,2211087
2010-07-07,182,182,180,181.5,329445
2010-07-08,182,187,180.5,187,855837
2010-07-09,186.75,190,185.75,187.5,1254982
2010-07-12,186.5,192,186.5,188,791989
2010-07-13,188,190,187.5,187.5,215814
2010-07-14,187.5,190,187.5,189.5,146685
2010-07-15,189,189,189,189,7819
2010-07-16,189,192,187.5,187.5,140185
2010-07-19,186.25,189,185.25,187,512977
2010-07-20,187,187,181,181,1401738
2010-07-21,187,187,182,185,866545
2010-07-22,185,186,182.75,186,589515
2010-07-23,184.75,187,180,185,470291
2010-07-26,185,186,185,186,468909
2010-07-27,181.5,193,181.5,190.5,288382
2010-07-28,190.25,193,189,193,1508771
2010-07-29,188.5,193,188.5,193,462491
2010-07-30,189.25,192.5,189.25,192.5,2550153
2010-08-02,195,199,193.5,197.75,820125
2010-08-03,195.25,196,192,192,757539
2010-08-04,193,198.75,193,198.75,41701
2010-08-05,192.75,198,192.75,195,3131
2010-08-06,194.25,199,193.75,199,1518834
2010-08-09,194,200,194,198.25,282557
2010-08-10,195.5,198,195,195.25,15150
2010-08-11,195,198,193,193.25,30650
2010-08-12,193,197,193,196.75,2061199
2010-08-13,195.25,199,195.25,198,114424
2010-08-16,197.25,197.75,195,196,91170
2010-08-17,199.75,199.75,192,194.5,359050
2010-08-18,193,201,193,200,236174
2010-08-19,200,201,196,201,263022
2010-08-20,203,205,200,202.75,87595
2010-08-23,196.5,203.25,196.5,202,74720
2010-08-24,199,208,199,200,1529024
2010-08-25,200,204.5,200,202,648649
2010-08-26,202.5,203,200,201,153160
2010-08-27,202,203,200,202.25,2281753
2010-08-31,200,202,198,201.25,294295
2010-09-01,201,207,201,205,1228936
2010-09-02,205,215,204,212,1724819
2010-09-03,212.25,218,212,218,1037616
2010-09-06,218,221,218,220.25,741321
2010-09-07,220,221,219.5,220.75,2087581
2010-09-08,221.25,228,219.25,226,1222451
2010-09-09,227,235,225,233,1211830
2010-09-10,235,240.75,231.5,235.5,679371
2010-09-13,238,242,238,241.75,1294823
2010-09-14,238,242,238,240,1450960
2010-09-15,239.5,247.5,238,241.5,1371387
2010-09-16,243.5,246.5,243,245,1161343
2010-09-17,243.5,256.5,243.5,243.5,12556480
2010-09-20,243,247,238.5,242.5,728600
2010-09-21,242,244,238.5,240.1,928029
2010-09-22,239,240,233,239.5,775697
2010-09-23,241,241.9,237,240.4,498286
2010-09-24,238,240.5,237,239,245910
2010-09-27,241.8,252.2,240,251.9,1122840
2010-09-28,248,263,245,260.5,342171
2010-09-29,262,262,255.6,256.8,195013
2010-09-30,257.7,260.7,255.5,259.5,495474
2010-10-01,262,264,259.9,260.2,1534907
2010-10-04,256.1,259.1,252,252,513390
2010-10-05,251,251.9,245,247.6,963858
2010-10-06,254,254,247.7,249.1,401886
2010-10-07,250,253.2,247,250.6,178599
2010-10-08,251.3,253.5,250,253.5,162772
2010-10-11,253.4,261,252,258.6,135802
2010-10-12,256.2,259.9,254.3,256.3,514954
2010-10-13,255.1,261,255,260.4,73608
2010-10-14,262,264,259.3,259.7,164748
2010-10-15,261.4,261.4,257,257.9,88794
2010-10-18,257,261,255.9,260,116201
2010-10-19,262.3,294,262.3,285,1239906
2010-10-20,289.5,289.5,278.7,280.9,391556
2010-10-21,282.8,284.5,278.9,282,1004148
2010-10-22,282.5,284.5,281.2,283,110335
2010-10-25,278.9,285,278.9,282.5,415994
2010-10-26,280.4,283.3,279.5,282,184009
2010-10-27,283.6,283.6,278.1,278.6,231537
2010-10-28,280,282.9,278.4,280.1,179385
2010-10-29,284,284,280.8,282.8,160145
2010-11-01,285,285,278.2,280.3,138710
2010-11-02,278,282.8,278,281,85811
2010-11-03,288,288,279.5,285.2,247612
2010-11-04,287.9,295,285,294.1,376437
2010-11-05,294.5,310,292.1,306,567577
2010-11-08,305.2,305.2,298.5,299.8,189707
2010-11-09,298.4,300.3,297.1,300,51193
2010-11-10,297,300,290.1,295,308027
2010-11-11,292.3,294,290.5,292.6,276588
2010-11-12,290,291,287.4,289.9,401215
2010-11-15,294,294,286.8,290,176208
2010-11-16,288.3,290,285,286.5,154002
2010-11-17,292,292,280.4,283,2167478
