Date,Open,High,Low,Close,Volume
2000-01-04,269,272,268,270.5,162450
2000-01-05,269,270.5,269,270.5,1000
2000-01-06,267,270.5,267,270.5,24800
2000-01-07,272,272,270.5,270.5,1100
2000-01-10,272,273,268,270.5,8635
2000-01-11,270.5,270.5,269,270.5,2244
2000-01-12,269,272,269,270.5,2311
2000-01-14,268,273,268,270.5,364862
2000-01-17,269,270.5,269,270.5,1800
2000-01-18,273,296,270.5,270.5,11266
2000-01-19,270,270.5,270,270.5,21000
2000-01-20,268,270.5,268,270.5,5600
2000-01-21,268,270.5,268,270.5,1000
2000-01-24,269,270.5,269,270.5,1800
2000-01-25,268,272,268,270.5,7943
2000-01-27,268,270.5,268,270.5,27297
2000-01-28,268,271,268,270,59224
2000-01-31,270,270,270,270,11000
2000-02-02,268,269.5,268,269.5,122
2000-02-03,268,272,268,269.5,1544
2000-02-04,269.5,274.5,264.5,269.5,1860
2000-02-07,267,268.5,267,268.5,11860
2000-02-08,265,265,255,257.5,9153
2000-02-09,255,255,252.75,253.5,14305
2000-02-10,252,254,252,253,17510
2000-02-14,251,251.5,251,251.5,9177
2000-02-15,250,251,250,251,2000
2000-02-16,248,250,245,247.5,38245
2000-02-17,246,247.5,246,247.5,450
2000-02-18,246,247.5,246,247.5,500
2000-02-21,250,250,245,245,3300
2000-02-23,245,245,244.5,244.5,12100
2000-02-24,244.5,244.5,244.5,244.5,10785
2000-02-29,245,245,244.5,244.5,20000
2000-03-01,242,244.5,242,244.5,5576
2000-03-02,246,246,242,244.5,5276
2000-03-03,242,247,242,244.5,2640
2000-03-06,247,247,244.5,244.5,34000
2000-03-08,246,246,244,244,8100
2000-03-09,248,248,246.5,246.5,24000
2000-03-10,243,246.5,243,246.5,21000
2000-03-13,247,247,245.5,245.5,11300
2000-03-14,243,245,240,241.5,188486
2000-03-15,241,241.5,241,241.5,200000
2000-03-16,240,241.5,240,241.5,43170
2000-03-17,240,241.5,238,241.5,244000
2000-03-20,241.5,241.5,240,240.5,79400
2000-03-21,238,240,238,240,7700
2000-03-22,241,241,239,240,52050
2000-03-23,238,239.5,238,239.5,5800
2000-03-24,237.5,237.5,236.5,237.5,914154
2000-03-27,236,237.5,236,237.5,1641
2000-03-28,239.2,239.25,238.5,238.5,300
2000-03-29,240,240,238,238.5,32608
2000-03-30,237,238,235,236.5,11203
2000-03-31,235,235,234.5,234.5,10750
2000-04-03,232,234.5,232,234.5,25165
2000-04-04,233,234.5,232,234.5,4000
2000-04-05,235,235,230,231.5,4117
2000-04-06,229,232,229,230.5,57167
2000-04-07,228,233,228,230.5,153342
2000-04-10,233,233,230.5,230.5,800
2000-04-11,230.5,230.5,226,229,56697
2000-04-12,228,228,223,225.5,14223
2000-04-13,225,228,223,225.5,270200
2000-04-14,227,228,225.5,225.5,11500
2000-04-17,222,222,221.5,221.5,2792
2000-04-19,221.5,221.5,219.5,219.5,219000
2000-04-25,218,222,218,219.5,302502
2000-04-27,214,215.5,213.5,213.5,7014
2000-04-28,211,214,211,212.5,3725
2000-05-03,205,207.5,192,203.5,1261012
2000-05-04,203.5,203.5,202.75,203.5,41877
2000-05-05,204,204,203.5,203.5,5900
2000-05-08,204.5,204.5,203.5,203.5,3085
2000-05-09,204.3,205,202.75,203.5,5500
2000-05-10,203.3,203.5,203.25,203.5,24878
2000-05-11,202,203,200,201.5,10392
2000-05-12,204,204,202.5,202.5,36800
2000-05-15,200,202.5,200,202.5,12718
2000-05-16,201,202.5,200,202.5,4475
2000-05-19,203,204,202.5,202.5,11750
2000-05-22,203,203,201.5,201.5,22000
2000-05-23,200.5,200.5,200.5,200.5,5000
2000-05-24,198,200.5,198,200.5,9879
2000-05-25,199,200.5,199,200.5,1500
2000-05-26,203,203,200.5,200.5,2900
2000-05-30,202,202,199,200,2056
2000-05-31,199.5,199.5,199.5,199.5,7923
2000-06-02,201,201,197,199.5,473539
2000-06-05,198,201,198,199.5,3750
2000-06-06,201,201,200,200,401826
2000-06-07,201,201,199.5,199.5,231550
2000-06-08,199.3,200,197.5,197.5,5002
2000-06-13,197,198,196.5,196.5,17700
2000-06-14,198,215.5,198,215.5,88000
2000-06-15,218,218,215.5,215.5,107500
2000-06-16,215,216,215,215,12056
2000-06-19,213,213,208,210.5,30500
2000-06-20,207,208.5,207,208.5,3000
2000-06-21,209,209,205,207.5,61400
2000-06-22,209,209,205,207.5,300165
2000-06-23,207.8,210,207.75,208.5,75858
2000-06-26,207.5,207.5,206,207.5,242000
2000-06-28,205,207.5,205,207.5,2500
2000-06-29,209,210,207.5,207.5,11764
2000-06-30,210,210,207.5,207.5,9787
2000-07-03,210,210,207.5,207.5,1205
2000-07-04,205,210,205,207.5,2002
2000-07-05,209,209,207.5,207.5,526857
2000-07-06,210,210,205,207.5,28538
2000-07-10,205,208,205,206.5,13129
2000-07-11,208,208,205,206.5,13010
2000-07-12,208,208,206.5,206.5,3730
2000-07-13,205.75,206.5,205.75,206.5,1000
2000-07-14,207,209,207,207.5,13203
2000-07-17,209,209,205,207.5,4714
2000-07-18,210,210,207.5,207.5,9600
2000-07-19,208,208,205,206.5,32314
2000-07-20,205.75,206.5,205.75,206.5,10239
2000-07-21,207,207,205,206,15392
2000-07-24,207,207,205,205,5420
2000-07-26,206,206,203,204.5,37091
2000-07-27,206,206,204.5,204.5,5000
2000-07-28,206,206,204.5,204.5,485
2000-07-31,203,207,203,204.5,7553
2000-08-01,205,206,202,204.5,33782
2000-08-02,204,207,204,205.5,233236
2000-08-03,207,207,205.5,205.5,330
2000-08-04,205.5,207,203,205.5,14112
2000-08-07,204,205.5,204,205.5,51153
2000-08-08,205,205.5,205,205.5,16277
2000-08-09,203,208,203,205.5,12774
2000-08-10,207,207,205.5,205.5,4000
2000-08-11,208,208,205,205.5,343914
2000-08-14,206,206,205.5,205.5,6000
2000-08-17,203,205.5,203,205.5,900
2000-08-18,204,210,203,208.5,51650
2000-08-21,210,214,209,212.5,17039
2000-08-22,215,215,210,212.5,11682
2000-08-23,212.8,222.5,212.75,222.5,19694
2000-08-24,215,218,205,205.5,64475
2000-08-25,202,204.5,202,204.5,10000
2000-08-29,206,206,204.5,204.5,7300
2000-08-30,206.5,207,202,204.5,38085
2000-08-31,206,207,204.5,204.5,12265
2000-09-01,203,204.5,203,204.5,10000
2000-09-04,203,206,203,204.5,3039
2000-09-05,203,204.5,202,204.5,12000
2000-09-06,205,205,202,204.5,154000
2000-09-07,203,207,203,204.5,10736
2000-09-11,202,204.5,202,204.5,3425
2000-09-12,202,203.5,202,203.5,3000
2000-09-13,202.7,204.25,202,203.5,15335
2000-09-14,202,203.5,202,203.5,13800
2000-09-15,202.7,204.25,202,202.5,12621
