Date,Open,High,Low,Close,Volume
2003-03-31,287.526,287.526,287.526,287.526,6
2003-04-14,287.526,287.526,287.526,287.526,195
2003-04-15,313.0838,313.0838,279.8586,284.3312,3650436
2003-04-16,286.2481,286.2481,265.8018,277.9418,4024906
2003-04-17,275.386,276.9834,265.8018,268.3576,4294148
2003-04-22,274.1081,276.3444,267.7186,275.0665,3122669
2003-04-23,276.6639,281.1365,274.747,277.3028,3417590
2003-04-24,274.747,285.9286,261.9681,267.7186,5389260
2003-04-25,269.6355,272.8302,265.4823,270.9134,4803973
2003-04-28,272.8302,272.8302,264.5239,269.6355,9901434
2003-04-29,274.747,278.5807,269.6355,276.6639,12228854
2003-04-30,277.3028,278.5807,269.6355,270.9134,9532814
2003-05-01,268.3576,284.9702,268.3576,275.386,4465636
2003-05-02,276.0249,279.8586,273.4692,277.9418,3969387
2003-05-06,280.4976,280.4976,268.3576,276.0249,4887046
2003-05-07,276.0249,276.6639,269.6355,269.6355,7970473
2003-05-08,268.6771,274.747,260.6902,272.1913,7350780
2003-05-09,272.1913,277.3028,272.1913,274.747,5562162
2003-05-12,281.1365,283.6923,276.0249,281.1365,6306792
2003-05-13,276.0249,296.4712,276.0249,290.0818,10731498
2003-05-14,288.8039,291.3597,283.6923,284.9702,3102610
2003-05-15,282.4144,286.2481,281.1365,281.7755,3201004
2003-05-16,281.1365,282.7339,277.3028,277.3028,4023778
2003-05-19,276.0249,281.1365,276.0249,281.1365,2767958
2003-05-20,278.5807,281.456,278.5807,281.1365,2402296
2003-05-21,282.4144,282.4144,277.9418,280.4976,1662253
2003-05-22,283.0534,284.3312,277.3028,281.1365,2881324
2003-05-23,277.3028,281.456,275.386,281.1365,2010133
2003-05-27,255.5786,280.1781,255.5786,276.6639,1710173
2003-05-28,273.4692,276.3444,265.8018,268.0381,3915705
2003-05-29,267.0797,268.0381,261.9681,266.4407,3052933
2003-05-30,264.5239,275.0665,261.9681,271.8718,3997654
2003-06-02,274.747,281.1365,270.9134,276.6639,3119421
2003-06-03,273.4692,273.4692,263.246,265.8018,3605097
2003-06-04,266.4407,266.4407,254.3008,263.5655,6305337
2003-06-05,264.2044,267.7186,260.6902,267.3992,1879697
2003-06-06,270.9134,281.1365,270.9134,280.1781,6119556
2003-06-09,279.5391,281.1365,270.9134,274.747,3862639
2003-06-10,276.0249,288.1649,276.0249,284.3312,6705564
2003-06-11,284.9702,286.5676,281.1365,282.4144,5401611
2003-06-12,282.7339,288.8039,282.7339,286.2481,5989496
2003-06-13,286.2481,289.7623,274.747,280.1781,3641393
2003-06-16,280.1781,289.1233,279.8586,288.8039,2409758
2003-06-17,289.4428,291.9986,286.2481,291.3597,2666883
2003-06-18,289.4428,291.6791,286.2481,288.4844,1884522
2003-06-19,288.1649,302.8607,288.1649,302.5412,13347683
2003-06-20,295.1933,306.6944,295.1933,304.1386,3890227
2003-06-23,304.1386,304.1386,291.3597,300.3049,4756688
2003-06-24,299.666,299.666,290.0818,292.6376,8783989
2003-06-25,293.596,304.7775,293.596,302.8607,11554710
2003-06-26,295.1933,300.3049,295.1933,297.1102,1384741
2003-06-27,300.3049,305.736,297.1102,304.7775,5521958
2003-06-30,306.3749,309.2502,298.7075,298.7075,1604058
2003-07-01,298.7075,304.4581,292.957,294.5544,1348064
2003-07-02,295.1933,306.0554,295.1933,302.8607,1901160
2003-07-03,295.1933,300.9439,292.6376,296.7907,1840695
2003-07-04,294.2349,304.1386,294.2349,300.9439,941140
2003-07-07,297.7491,304.1386,296.4712,299.027,2138296
2003-07-08,297.7491,302.5412,281.1365,295.5128,2323690
2003-07-09,299.9854,300.3049,289.4428,293.9154,2109040
2003-07-10,291.3597,298.7075,287.8455,291.3597,1015142
2003-07-11,291.3597,293.2765,285.2897,290.0818,1594429
2003-07-14,288.8039,296.7907,287.8455,296.4712,2379214
2003-07-15,294.5544,296.4712,292.6376,293.9154,2084769
2003-07-16,296.7907,296.7907,278.9002,282.4144,3348194
2003-07-17,282.0949,288.8039,280.1781,281.1365,2168523
2003-07-18,281.7755,292.6376,281.7755,288.8039,3409756
2003-07-21,287.526,289.1233,281.1365,287.8455,4007405
2003-07-22,287.8455,296.4712,286.5676,293.9154,4707991
2003-07-23,283.6923,307.9723,283.6923,305.4165,10052116
2003-07-24,305.4165,308.9307,304.1386,306.0554,6207882
2003-07-25,307.6528,307.9723,302.2218,307.9723,4082279
2003-07-28,306.6944,308.9307,306.3749,307.9723,4648092
2003-07-29,308.9307,309.2502,301.9023,305.4165,942532
2003-07-30,307.6528,313.4033,305.4165,312.1254,2415044
2003-07-31,313.0838,313.0838,305.736,305.736,5352942
2003-08-01,305.736,306.6944,303.1802,305.4165,2283109
2003-08-04,306.3749,313.0838,304.1386,310.5281,1260049
2003-08-05,311.806,322.0291,311.806,314.3617,5427234
2003-08-06,309.2502,312.4449,300.9439,304.1386,3238864
2003-08-07,305.4165,311.806,303.4996,308.9307,3176867
2003-08-08,306.6944,316.5981,306.6944,315.0007,2339689
2003-08-11,313.0838,315.6396,313.0838,315.6396,900002
2003-08-12,318.1954,322.0291,313.0838,320.7512,865077
