Date,Open,High,Low,Close,Volume
2000-01-04,693.9994,737.9994,691.9994,714.9994,57269
2000-01-05,702.9994,724.9994,689.9994,689.9994,257510
2000-01-06,697.9994,697.9994,684.4994,689.4994,111367
2000-01-07,709.9994,719.9994,693.9994,709.9994,1948787
2000-01-10,710.9994,724.9994,707.9994,713.9994,2072865
2000-01-11,722.4994,724.9994,715.9994,718.9994,1395951
2000-01-12,722.9994,729.9994,716.9994,725.9994,788501
2000-01-13,729.9994,729.9994,711.9994,711.9994,462880
2000-01-14,721.9994,721.9994,707.9994,711.9994,362996
2000-01-17,709.9994,724.9994,709.9994,711.9994,404097
2000-01-18,713.9994,729.9994,699.9994,699.9994,629657
2000-01-19,697.9994,699.9994,651.9994,699.9994,71104
2000-01-20,695.9994,695.9994,641.9994,655.9994,1181530
2000-01-21,653.9994,659.9994,649.9994,649.9994,382298
2000-01-24,659.9994,659.9994,637.9995,649.9994,145484
2000-01-25,626.9995,639.9995,626.9995,639.9995,282334
2000-01-26,630.9995,639.9995,609.9995,629.4995,337899
2000-01-27,620.9995,624.9995,599.9995,599.9995,140303
2000-01-28,594.9995,622.9995,584.9995,584.9995,395100
2000-01-31,629.9995,629.9995,584.9995,584.9995,154785
2000-02-01,589.9995,589.9995,539.9995,539.9995,311864
2000-02-02,524.9995,536.9995,512.9996,519.9996,211797
2000-02-03,545.9995,545.9995,498.4996,499.9996,204531
2000-02-04,505.9996,505.9996,484.9996,485.4996,393730
2000-02-07,467.4996,507.9996,467.4996,485.4996,170736
2000-02-08,499.9996,507.9996,481.2496,498.4996,2972721
2000-02-09,524.9995,545.9995,509.9996,511.4996,145854
2000-02-10,499.4996,537.9995,486.4996,504.9996,149001
2000-02-11,499.9996,523.4996,499.9996,514.9996,204254
2000-02-14,545.9995,549.9995,509.9996,519.9996,147397
2000-02-15,534.9995,553.9995,534.9995,544.9995,644807
2000-02-16,544.9995,574.9995,544.9995,549.9995,442764
2000-02-17,569.9995,589.9995,551.4995,557.9995,421268
2000-02-18,566.9995,589.9995,554.9995,569.9995,403296
2000-02-21,559.9995,597.9995,559.9995,589.9995,317329
2000-02-22,592.9995,594.9995,571.4995,594.9995,205569
2000-02-23,581.9995,596.9995,581.9995,589.9995,1001959
2000-02-24,592.9995,594.9995,582.9995,587.9995,323854
