Date,Open,High,Low,Close,Volume
2000-01-04,302,302,302,302,2909
2000-01-05,296,296,296,296,1500
2000-01-06,297,297,292.75,292.75,880
2000-01-07,292.75,292.75,292,292,3410
2000-01-10,299,299,296,298,20500
2000-01-11,302,348.5,302,336.5,35135
2000-01-12,335,338,326.5,326.5,3683
2000-01-13,325,326.5,325,326.5,3473
2000-01-14,325,326.5,320,320,6701
2000-01-17,314.5,314.5,314.5,314.5,2000
2000-01-18,313,320,313,320,5950
2000-01-19,323,323,311,311,3819
2000-01-20,311.5,311.5,310,311.5,1500
2000-01-21,323,325,315,325,20000
2000-01-24,321.5,325,320,325,56336
2000-01-25,321.5,333.5,320,327.5,951138
2000-01-26,326.5,338.5,326.5,330,51697
2000-01-27,335,335,335,335,10000
2000-01-28,336.5,343.5,336.5,343.5,3900
2000-01-31,335,343.5,331.5,332,8890
2000-02-01,321.5,321.5,321.5,321.5,1309
2000-02-02,321.5,321.5,320,320,5024
2000-02-03,333.5,333.5,320,320,5663
2000-02-04,305,312.5,305,312.5,1300
2000-02-07,306.5,306.5,300,301.5,15086
2000-02-08,310,310,294,294,5893
2000-02-09,294,294,293,293,3692
2000-02-10,294,303,285,294.2,17234
2000-02-11,294,294,294,294,700
2000-02-14,305,305,293,293,8600
2000-02-15,313.5,313.5,295,296.5,12624
2000-02-16,308.5,308.5,295,295,6800
2000-02-17,280,289,276,276,7351
2000-02-18,276,289,276,289,8482
2000-02-21,276,276,260,270,40648
2000-02-22,268,274.5,267,274.5,26342
2000-02-23,280,282,272,276.5,199948
2000-02-24,288.5,290,285,290,7175
2000-02-25,276,289,276,289,1235
2000-02-28,276,276.5,276,276.5,665
2000-02-29,282,289,275,275,14018
2000-03-01,276,276,276,276,1500
2000-03-02,276,285,276,285,1139
2000-03-03,276,284,276,284,1300
2000-03-06,275,283,272,276,19778
2000-03-07,275,276,275,276,7027
2000-03-08,273,277,269,269,61778
2000-03-09,268,275,268,275,4200
2000-03-10,268,269,268,269,157618
