Date,Open,High,Low,Close,Volume
2007-07-02,547.5,558,480,500,17099292
2007-07-03,500,500,471.25,490,54893380
2007-07-04,490,500,478,478,20908500
2007-07-05,483,496.2433,471,472.5,9300245
2007-07-06,471,474.8875,457,460,14093782
2007-07-09,460,488,458.86,488,11752527
2007-07-10,494,500,484,487.75,18152500
2007-07-11,477,496.75,472.125,483,9328554
2007-07-12,484,498.9552,469.5,477,13307745
2007-07-13,481.75,484.5,465,474,5164131
2007-07-16,470.25,478.25,465,471.75,6308935
2007-07-17,472,477,457,459.5,5560508
2007-07-18,457,480.25,447.25,466.75,2702291
2007-07-19,457,479.75,457,474.5,3896407
2007-07-20,470.75,485,450,472.5,4896455
2007-07-23,460,477,458,468,4339064
2007-07-24,465,468.75,459.25,461.75,8179170
2007-07-25,460,462,447,451.5,4346461
2007-07-26,456,456,438,440,4719127
2007-07-27,435,457.517,410.5,433,9231582
2007-07-30,426.5,435.5,412,425.75,3086768
2007-07-31,421,442,421,431.75,4338806
2007-08-01,418.75,437,408,433.5,8364993
2007-08-02,435,465,435,462.25,12032700
2007-08-03,462.25,475,456.25,468.75,10922082
2007-08-06,462.25,470.25,450,460.5,5404932
2007-08-07,466,485,453,461,5174519
2007-08-08,468,478,457.5,473.25,9223573
2007-08-09,455,478,455,476,3391020
2007-08-10,455,478,441.25,450,6011765
2007-08-13,456.75,473.5,456.75,460,5356329
2007-08-14,460,460,439.75,439.75,2444164
2007-08-15,441,446,425,435,4987050
2007-08-16,420.5,428.75,402,404,6002324
2007-08-17,405,424.75,390,415,8764383
2007-08-20,421,435.75,421,435.75,5329020
2007-08-21,441.75,453.25,432.5,444.5,4164449
2007-08-22,435.75,461,435.75,460,5183904
2007-08-23,460,470,454.25,456,4170254
2007-08-24,458.25,465,453.75,454.75,2946388
2007-08-28,445.5,466.75,445.5,460.25,5831042
2007-08-29,450,461.75,440.5,459.75,3771111
2007-08-30,469.5,476,465.25,475,3041644
2007-08-31,482,495,468,489.5,6760755
2007-09-03,467,493,467,480.75,1688975
2007-09-04,489.75,492.5,463,482.5,2824453
2007-09-05,475.25,490,475.25,486.5,2053595
2007-09-06,484.5,487.75,462.25,482,1672348
2007-09-07,465,489,460.25,474.25,5884113
2007-09-10,481.25,484.5,469.5,473.25,3024349
2007-09-11,482.5,488.5,478,484.5,2578880
2007-09-12,468,481,468,480,786933
2007-09-13,471,492.75,471,490,1972943
2007-09-14,491,491,475,480.25,1961933
2007-09-17,476,491,466.25,470,2882760
2007-09-18,473.5,482,473.5,480.75,2715402
2007-09-19,483,492,470.5,472,3617628
2007-09-20,468.5,481,460,469.25,2139511
2007-09-21,437,479.75,437,477.75,3834165
2007-09-24,470,483.25,459.75,461,2047425
2007-09-25,461,469.75,455.25,463.75,4185226
2007-09-26,468.25,470,453,463.75,3374832
2007-09-27,458.5,475.75,458.5,463.25,3861918
2007-09-28,466.5,468.25,456.5,465,3071886
2007-10-01,470,470,453,462,3140200
2007-10-02,468.25,469.75,445.75,447.25,3434084
2007-10-03,448,459.75,448,450,2840049
2007-10-04,446,450.25,426.75,439,3821975
2007-10-05,442,442,419.5,422.5,7275464
2007-10-08,425,435,414.5,430.75,6632816
2007-10-09,433.5,452,427.75,450.75,4223736
2007-10-10,455,457.75,432.25,445,5144274
2007-10-11,447.5,453.25,440.5,450,2730877
2007-10-12,444.25,450,426.5,450,5140027
2007-10-15,447.5,458.5,425,433,4019903
2007-10-16,429.25,439.25,417.75,424,3549500
2007-10-17,422.5,451.5,422.5,450,2710717
2007-10-18,456.75,456.75,430,453.25,2530808
2007-10-19,450.75,460,442.5,442.5,1564087
2007-10-22,437.75,444.5,425,430.25,1824381
2007-10-23,440,448.75,431.75,431.75,1342163
2007-10-24,430,445,412.5,416.25,1594804
2007-10-25,420,443.75,420,440,2829737
2007-10-26,435,450.5,435,440.5,1522014
2007-10-29,452,452,441.5,441.5,1289301
2007-10-30,437.75,441.75,422,429,1472487
2007-10-31,431,449.25,429,445.75,1282337
2007-11-01,446.5,448.75,433.5,440,1122807
2007-11-02,433.25,445,429.25,437,1539336
2007-11-05,421,434.5,419.75,421,1851842
2007-11-06,438,438,423.5,428,587684
2007-11-07,432,434.5,419,420,986705
2007-11-08,414,431,400,406,1632877
2007-11-09,405.75,422,392,398,1732772
2007-11-12,399,407.75,389.25,396.75,3936926
