Date,Open,High,Low,Close,Volume
2007-07-26,170,174.75,154,158,54844246
2007-07-27,157,159,156.75,157.25,7609674
2007-07-30,157.75,170,157.6,163,1662127
2007-07-31,165,169.95,160.1272,169.5,1344890
2007-08-01,167,169.913,165.5,166,1364258
2007-08-02,168,168.5,158.77,159,1680748
2007-08-03,162,162.722,159,161.25,1596430
2007-08-06,160.25,162,160.02,160.75,214148
2007-08-07,162,162.75,161,161.5,600266
2007-08-08,165,166,161.92,164.75,1229645
2007-08-09,164.75,165.988,162,162.25,597692
2007-08-10,162,162.25,160,160.25,1356184
2007-08-13,160.5,163,159,160.5,1317361
2007-08-14,163,163,159,159,178659
2007-08-15,159,159,148.75,150,940905
2007-08-16,150,151,145,146,1816518
2007-08-17,146.5,146.75,140.75,146.75,923047
2007-08-20,146.75,149.5,146.75,148,285261
2007-08-21,148,149.75,148,149,145359
2007-08-22,150,150,148,149.5,1600104
2007-08-23,149.25,150.75,149.25,150.75,2432611
2007-08-24,151,154.25,151,154,2656672
2007-08-28,152,155,149.25,154,549707
2007-08-29,153,153.75,153,153.75,1319503
2007-08-30,155,155,153,153.5,1727597
2007-08-31,155,155,152,152,305558
2007-09-03,152,154.75,152,154.75,367559
2007-09-04,154,155,153.75,155,1079655
2007-09-05,156,161.75,155.5,158.25,3470808
2007-09-06,159,159,155.25,155.25,3186422
2007-09-07,155,158,152.75,153,3091358
2007-09-10,154,155,153,153.5,381154
2007-09-11,156,156,155,155,2090993
2007-09-12,157,160,157,159.25,3183378
2007-09-13,159,160,156,159,2323288
2007-09-14,156,158,148,157.25,3544066
2007-09-17,152.25,155,151,151,1143197
2007-09-18,150.75,155.75,150.75,155.75,813698
2007-09-19,159.75,162,150.25,157,5477476
2007-09-20,156.5,172,156.5,164,7551198
2007-09-21,163.5,178,163.25,166,14559590
2007-09-24,167,168,158,164,2942447
2007-09-25,164,167,161,164,2662394
2007-09-26,166.25,174,164.25,173,4632355
2007-09-27,174,182.5,174,177,10549320
2007-09-28,179.75,179.75,175,176,1376146
2007-10-01,174.75,180,174.75,178,1253490
2007-10-02,180,180,176.25,178.5,4061948
2007-10-03,180,180.75,175.25,180,1318977
2007-10-04,178,180,176,179.5,1194845
2007-10-05,180.75,189.75,179.5,189.5,2691438
2007-10-08,189.5,190,187.5,188,1844126
2007-10-09,188,188,183,185,3013005
2007-10-10,188,188,181.5,183.25,2437966
2007-10-11,184,186,181,182.25,501568
2007-10-12,181,191,180,191,1751135
2007-10-15,192,192,187,189,2447052
2007-10-16,187,189,183.5,185.5,403335
2007-10-17,187,190,186.5,190,1255967
2007-10-18,188,190,187.25,189.5,4013423
2007-10-19,188.25,193,184,190,1683220
2007-10-22,186.5,189.5,183,185,2806894
2007-10-23,184.25,191,184.25,190,2648105
2007-10-24,187,192,187,191,1036819
2007-10-25,188,195,188,194.75,2409049
2007-10-26,192,205,190,202.25,4268625
2007-10-29,205,207,202,205,1507896
2007-10-30,202,206.75,202,204.25,563336
2007-10-31,206,223.25,205,215,16041530
2007-11-01,211.75,213.25,208,212.5,554532
2007-11-02,207,209,204.25,205,675995
2007-11-05,203.25,205,201.25,204.5,668777
2007-11-06,207.5,208,202.75,205,496672
2007-11-07,208,215,205,212.5,1576006
2007-11-08,208.25,210,207,207,673926
2007-11-09,207.75,211,205,207,593143
2007-11-12,205,207.75,190,193.75,436393
2007-11-13,194,196.25,190,190,264921
2007-11-14,195,195,186.75,190,230572
2007-11-15,186,187.25,183,185,668425
2007-11-16,188,188,182,182,328478
2007-11-19,184.75,188,177,178.5,376313
2007-11-20,180,182.5,160,165,1518382
2007-11-21,161.75,165,158.75,161.25,866854
2007-11-22,163.25,163.5,160,160.25,233873
2007-11-23,158,162,157.25,157.25,544143
2007-11-26,159.5,160.25,152.25,153.5,238735
2007-11-27,152.25,158,152,152,377855
2007-11-28,156.75,162,156.25,162,234466
2007-11-29,161.75,172,160,164.25,948996
2007-11-30,165,180.5,165,180.5,858199
2007-12-03,175.25,181.75,175,177,470820
2007-12-04,175.25,176,163,163,658329
2007-12-05,164.5,168,160,160.25,422943
2007-12-06,162.5,164,155.5,159.5,384653
2007-12-07,157,160,157,158.75,152096
2007-12-10,157,162,155,159,332514
2007-12-11,157.75,160,157.75,160,99766
2007-12-12,157,159,153.5,158,280523
2007-12-13,153.25,153.25,142,146,745203
2007-12-14,148,148,141.75,142,505235
2007-12-17,140,140,127.75,133,969237
2007-12-18,131,133.75,122,130.25,1719703
2007-12-19,135.5,152.75,135.5,139.25,1425799
2007-12-20,143,143,138,141.75,498280
2007-12-21,142,142,138,138,746202
2007-12-24,142,142,138,138,31480
2007-12-27,140,140,138,138.75,120797
2007-12-28,137.5,138,135,138,191970
2007-12-31,135.75,140,135.75,140,195154
2008-01-02,138.5,140,137,139,267046
2008-01-03,138,139.75,136.5,139,4688073
2008-01-04,136,138,119,124.25,1068803
2008-01-07,124,125.5,120.25,120.75,260727
2008-01-08,122.5,122.5,120,121.25,344568
2008-01-09,119,120,115.75,115.75,320673
2008-01-10,120,120.25,94.25,107,3581489
2008-01-11,106.25,108.5,104.75,105,1404158
2008-01-14,105.75,114,104.75,114,298748
2008-01-15,112.5,123,112.5,117.75,725245
2008-01-16,115.25,115.5,108.25,110,373104
2008-01-17,111.5,113.25,104.25,104.25,579397
2008-01-18,104.25,114,103.75,112,1018182
2008-01-21,110,111,103,109,433841
2008-01-22,106,108.25,98,108,791976
2008-01-23,106,106,99,99,617217
2008-01-24,102,103.75,98.25,103,644609
2008-01-25,104,107,100.25,105,542211
2008-01-28,103,105,102.5,103,205654
2008-01-29,103,104,102.25,104,205406
2008-01-30,103.5,108,103.5,108,479075
2008-01-31,105,108,101,106,750170
2008-02-01,106,113.25,105.5,113.25,782984
2008-02-04,111.5,112.5,109,110.25,510059
2008-02-05,108,112,105,106,870084
2008-02-06,104.25,106,103,103.75,292884
2008-02-07,105,107,102,105,359445
2008-02-08,106,108,103.25,106.25,132067
2008-02-11,105,112,105,109.5,416717
2008-02-12,112.5,113.5,109,110,1132390
2008-02-13,109,111,105.75,111,402981
2008-02-14,113,114,112,112,195099
2008-02-15,110.25,112.75,110,111.75,191330
2008-02-18,113,128,113,126,485227
2008-02-19,125,129.75,124,128,201709
2008-02-20,126,128.75,125,127.75,209336
2008-02-21,128,136.25,128,136,1560001
2008-02-22,133.5,136.5,132,132.5,269675
2008-02-25,133,133.25,128,133,362908
2008-02-26,136,137.5,129.5,132,1376879
2008-02-27,130,132,129.5,131.75,83216
2008-02-28,129,137,129,135.75,406604
2008-02-29,134.75,138,134.25,138,281515
2008-03-03,134,134.23,128.25,131.25,462391
2008-03-04,133,133,124,127.25,707778
2008-03-05,130,135,126,133.5,137669
2008-03-06,135,136,130.5,130.75,123986
2008-03-07,129,130,124,125.25,270128
2008-03-10,127,127,123,123,307215
2008-03-11,125.25,127,121,123.25,421494
2008-03-12,124,125,119,121.25,267434
2008-03-13,116,119,115,115,478983
2008-03-14,117,122,116,117.25,602943
2008-03-17,116,117.75,114.25,117,500604
2008-03-18,117.75,122.5,115,120,306434
2008-03-19,122,126.5,117.75,123,1215021
2008-03-20,123,124.75,113,123,1764954
2008-03-25,124,128,121,128,1116093
2008-03-26,125,126.25,123,126.25,444597
2008-03-27,125,126.5,123,125.75,311612
2008-03-28,125,128,122.75,128,2287416
2008-03-31,125,126.75,122.75,125,154068
2008-04-01,123,129,123,128,864828
2008-04-02,126,131.75,122.5,126,371952
2008-04-03,126,126,118.25,123.25,604166
2008-04-04,121,125.25,119.75,125,420865
2008-04-07,125,126,123.25,125,1227937
2008-04-08,124,124,120,123,1179715
2008-04-09,124,124,119.75,122.5,536111
2008-04-10,122.5,122.5,115,121,593899
2008-04-11,121,121.75,116.5,118.75,272224
2008-04-14,116,119,114.75,115,525332
2008-04-15,116,118.5,115,117,386982
2008-04-16,115,120,115,116.25,323225
2008-04-17,115.5,117.75,108.25,110,495811
2008-04-18,110,110,103.75,108.75,652255
2008-04-21,108,108,97.5,105.25,1197789
2008-04-22,115,118,110.5,113.5,3787597
2008-04-23,116.5,117.5,114,115,1127408
2008-04-24,114.5,114.5,105.5,108,2538336
2008-04-25,109.25,116.75,107,115,6598451
2008-04-28,116,120.5,116,118,752344
2008-04-29,117,119,114,114.25,638115
2008-04-30,115,118.25,114.25,116,300111
2008-05-01,115,118,114.25,114.25,264314
2008-05-02,114,117,114,116.25,473762
2008-05-06,115,117,113.75,116,299849
2008-05-07,116,118,114,115.5,770436
2008-05-08,115.5,117.5,114,115.5,270324
2008-05-09,115,116.5,113.25,113.75,206436
2008-05-12,114.5,115.25,112,115,365611
2008-05-13,115,116,111,115,1683872
2008-05-14,115,119,113,118.5,1948939
2008-05-15,116,119,116,119,1498140
2008-05-16,119.75,129.5,119.75,127.25,1836913
2008-05-19,127,128.25,124.5,127.25,290745
2008-05-20,125,125,120,120,299634
2008-05-21,120.75,124,119.5,121.5,6392872
2008-05-22,121,124.5,121,124.25,330055
2008-05-23,125,130,123.25,128,548783
2008-05-27,127,128.5,123,124,672778
2008-05-28,125,128,123.5,126.5,814349
2008-05-29,126.25,130,126.25,130,151181
2008-05-30,127.25,141.75,127.25,135.5,892075
2008-06-02,138.25,138.5,131,131,404598
2008-06-03,132,134.75,128.75,133.75,481393
2008-06-04,134.5,134.5,125.5,128,130601
2008-06-05,128.75,128.75,125,126.25,238326
2008-06-06,128.75,129.5,123.5,128.25,533928
2008-06-09,129.5,129.5,119,124.25,762357
2008-06-10,122.5,125.25,122,122.5,479825
2008-06-11,125,125,115.75,117.25,633996
2008-06-12,118,125,118,125,380623
2008-06-13,123.5,129.25,123.5,127,223161
2008-06-16,127,129.25,126,128.5,120826
2008-06-17,128.5,133.75,128,129.5,238326
2008-06-18,130,130,122.75,123.25,395114
2008-06-19,122,122.25,119,122.25,354976
2008-06-20,122,125.75,119,120,1025226
2008-06-23,120,120.75,118,118.5,309882
2008-06-24,121,121,118.25,120.5,526167
2008-06-25,120,122.25,117,119,1323143
2008-06-26,117.5,117.5,103,106.5,2000770
2008-06-27,104.25,104.25,97.5,98.5,1663120
2008-06-30,101,101,96.75,98,314206
2008-07-01,96.25,96.25,87.5,90.5,2406469
2008-07-02,92,92.25,86,90.25,1034832
2008-07-03,89.25,89.25,81,82.25,1316354
2008-07-04,84,86.25,80.5,85,1192738
2008-07-07,86,88.75,83.25,87.75,664654
2008-07-08,86.5,86.5,56.75,59.5,4222245
2008-07-09,55,68,48,60.25,3611396
2008-07-10,60,64,57.25,61,1238265
