Date,Open,High,Low,Close,Volume
2000-01-04,551,553,550,550,69939
2000-01-05,544,544,540,543,60970
2000-01-06,539,540,534,538,176161
2000-01-07,542,550,542,550,496656
2000-01-10,553,558,553,558,13473
2000-01-11,557,561,557,561,121246
2000-01-12,558.75,562,558.75,559,88365
2000-01-13,559,562,558,560,780175
2000-01-14,559,562,558,560.5,2632874
2000-01-17,561,565,560,560,475789
2000-01-18,564,568,564,565,205931
2000-01-19,563,566,562.9437,565,209311
2000-01-20,564,567,562,563,147676
2000-01-21,562,562,560,560,124134
2000-01-24,560,560,557,558,142938
2000-01-25,552.5,552.5,549,550,148539
2000-01-26,551,555,549,553,1512346
2000-01-27,558,562,558,562,343274
2000-01-28,564,565,562.5,564,1491304
2000-01-31,560,563,560,562,31973
2000-02-01,560,562,560,560,83020
2000-02-02,562,562,560,560,171028
2000-02-03,557.5,558,556,557,199071
2000-02-04,556,559,553,553,212874
2000-02-07,554,556,552,556,822116
2000-02-08,555,556.0556,555,555,152161
2000-02-09,556,556.0556,549.89,556,953233
2000-02-10,552,554.0554,552,553,263712
2000-02-11,552,554,550,550,4566658
2000-02-14,552,557,550,553,480770
2000-02-15,554,560,554,559,544976
2000-02-16,564,570,564,568,206819
2000-02-17,568,574,568,571,117550
2000-02-18,572,580,570,580,882839
2000-02-21,578,581,577,581,383693
2000-02-22,581,585,580,580,272123
2000-02-23,579,581,579,579.5,99708
2000-02-24,583,587,582,583,142421
2000-02-25,586,603,585.75,601.5,1479177
2000-02-28,600.75,604,599.94,600,114118
2000-02-29,602.5,606,602,605,109617
2000-03-01,605,621,605,621,177224
2000-03-02,621,629,621,629,249974
2000-03-03,635,648,635,645,140937
2000-03-06,645,663,645,662.5,150694
2000-03-07,666,686,666,680.5,241128
2000-03-08,677.25,680,672,672,495109
2000-03-09,670.5,672,665,665.5,187130
2000-03-10,667,671,666,669.25,130689
2000-03-13,669,670,660,660.5,130096
2000-03-14,660,664,658.25,660,174581
2000-03-15,655.75,656,640,642,1422141
2000-03-16,641,645,627,627,154249
2000-03-17,635,651,617.691,628,526778
2000-03-20,621,626,621,622,2256030
2000-03-21,622.25,626,622,622,595062
2000-03-22,629.5,634,628,632,239323
2000-03-23,631,638,631,633,238667
2000-03-24,635.25,637,633,633.5,493970
2000-03-27,634,636.5,629,631.5,274627
2000-03-28,633,634,629,633,222593
2000-03-29,634,634,625,625,232130
2000-03-30,630,630,619,619,70719
2000-03-31,617,619,613,613,188531
2000-04-03,613,615,610,611,53673
2000-04-04,610,610.5,588.5,592,212260
2000-04-05,587,587,568,580,62527
2000-04-06,573,580,573,577,408619
2000-04-07,578,583,577,581,690633
2000-04-10,587,593,587,590,175754
2000-04-11,585,590,581.5,581.5,334901
2000-04-12,580,583,577,579,346818
2000-04-13,576,577,574,576,194278
2000-04-14,570,574,563,563.75,195029
2000-04-17,525,539,525,538,120193
2000-04-18,543,543,536,542,144266
2000-04-19,545,552,543,548.5,252373
2000-04-20,552,552,547,552,492182
2000-04-25,557,565,554.5,565,112681
2000-04-26,566,570,566,567,228348
2000-04-27,566.5,570,561,562,70432
2000-04-28,561,567,561,565.5,40039
2000-05-02,569,578,567,574,58689
