Date,Open,High,Low,Close,Volume
2020-03-16,135,165.4,133,151.2,9517330
2020-03-17,161,162,150,155,1686328
2020-03-18,148,183.98,148,160,1107717
2020-03-19,167.6,167.6,120.8,133,2028035
2020-03-20,139.32,162,139.32,157.32,2207323
2020-03-23,150,167.82,122.98,155,1565599
2020-03-24,150.4,162.1,136.9,160,2442466
2020-03-25,160.1,178.7,155.8,177.4,1341545
2020-03-26,169.6,179.9,155.4,179.2,1137783
2020-03-27,171.9,171.9,157.4,164,2265330
2020-03-30,171.8,172.4,162.6,166.8,610372
2020-03-31,169.7,178.3,163.6,172.9,732466
2020-04-01,165,169.1,158,165.4,576727
2020-04-02,163,175.1,162.1,166.1,375761
2020-04-03,174,175,158.8,166.8,542625
2020-04-06,172.2,173.7,155.5,170.8,477480
2020-04-07,175,190,167.1,184.8,938600
2020-04-08,181.2,197.9,175,185.4,450522
2020-04-09,177.4,188.3,177.4,186.8,497694
2020-04-14,181.8,190.3,170,170,608539
2020-04-15,170.1,178.3,155.9,158,830321
2020-04-16,150.5,172.4,150.2,155,1219149
2020-04-17,147.7,170,145.802,158.3,986040
2020-04-20,165.8,170.779,153.2,153.2,691221
2020-04-21,150.5,162.5,146.9,152.6,445625
2020-04-22,145.4,164.6,145.4,164.6,347841
2020-04-23,170,170,155.748,165.8,554339
2020-04-24,163.2,169.4,154.492,157.4,373185
2020-04-27,164.8,172,158.1,161.7,295150
2020-04-28,168.8,169.3,165.143,167,293506
2020-04-29,174.8,176.1,166.5,176.1,366616
2020-04-30,177.5,177.8,169.5,169.7,417309
2020-05-01,161.7,168,152.2,167,310099
2020-05-04,160.1,174.2,160.1,170.2,347589
2020-05-05,173.6,176.5,169,175.7,245486
2020-05-06,167.5,179.2,167.5,173,419632
2020-05-07,176.2,179.2,174.5,175.1,512297
2020-05-11,183.4,190,178.2,181,399483
2020-05-12,189.6,189.6,176.1,182.1,354724
2020-05-13,179.8,186.1,178,180.2,164770
2020-05-14,172.3,182.7,172.3,180.4,422324
2020-05-15,182.2,189.9,180,186,616541
2020-05-18,189.7,190.5,180.9,187.6,414851
2020-05-19,189.4,191.9,181.2,187.7,316527
2020-05-20,186.2,212.6,186.2,206,589300
2020-05-21,196.6,219.2,196.6,206.8,1195047
2020-05-22,200,209.6,197.6,204.8,2914831
2020-05-26,205,223.4,203,203,320788
2020-05-27,212.6,215.37,204.2,206.4,819943
2020-05-28,208.4,212,202,204,574380
2020-05-29,194.7,205.6,194.7,196.1,1072509
2020-06-01,205.4,209,199.7,200.8,810644
2020-06-02,203,205,198.1,202,1237781
2020-06-03,202.6,219.8,199.1,217,1048125
2020-06-04,207,218.583,207,210.6,306383
2020-06-05,215,231.4,212.2,227.6,936518
2020-06-08,225.4,226.2,220,225.4,758693
2020-06-09,236,236,221.2,221.2,373722
2020-06-10,227,227.8,221.4,224.2,359692
2020-06-11,220,224.4,213.8,216.2,1802394
2020-06-12,206,216,206,210.8,379767
2020-06-15,200.8,213.243,200.8,209.2,468801
2020-06-16,212.4,227.8,208.6,219,356397
2020-06-17,209.2,216,209.2,214.4,398698
2020-06-18,214,214.4,209,214,534666
2020-06-19,210,219,209.9817,219,1809379
2020-06-22,208.6,213.6,208.6,210,234909
2020-06-23,200.6,213.4,200.6,208.6,1077994
2020-06-24,207.2,212.2,203,205.2,503169
2020-06-25,203.2,206.8,199.7,206.6,401235
2020-06-26,212.2,212.2,205.6,205.6,680483
2020-06-29,215.2,215.2,202.8,207.4,212391
2020-06-30,209,209.6,205,206,345902
2020-07-01,205.8,215,205.8,211.4,314946
2020-07-02,213.2,214.4,210,211.8,225570
2020-07-03,221.6,221.6,207.6222,215,241683
2020-07-06,215.8,222.8,210,213.4,315291
2020-07-07,213.4,214,210,212.4,941104
2020-07-08,210,213.2,209,213,546232
2020-07-09,214,219.4,212,212,756702
2020-07-10,212.4,220,212.4,218,530375
2020-07-13,221.2,223,216.4,217.8,345190
