Date,Open,High,Low,Close,Volume
2004-07-09,169.9998,176.4998,169.9998,176.4998,1052545
2004-07-12,174.7498,176.4998,174.7498,176.4998,996134
2004-07-14,171.9999,171.9999,171.9999,171.9999,180436
2004-07-15,169.9998,170.4998,169.9998,170.4998,932254
2004-07-19,167.9998,169.9998,167.9998,169.9998,2632865
2004-07-21,169.9998,169.9998,169.9998,169.9998,88889
2004-07-22,168.4998,168.9998,167.9998,168.9998,342829
2004-07-23,167.9998,168.4998,167.9998,168.4998,90218
2004-07-30,166.9998,168.4998,166.9998,168.4998,1804362
2004-08-02,169.9998,172.9999,169.9998,171.4999,1817624
2004-08-03,172.6998,172.6998,171.4999,171.4999,10826
2004-08-05,172.6299,172.9999,171.4999,171.4999,36797
2004-08-06,172.9999,174.3798,172.4999,172.4999,61950
2004-08-09,174.3798,176.9998,174.3798,175.9998,89707
2004-08-10,177.9998,186.9998,177.9998,184.4998,1010443
2004-08-11,186.5998,186.5998,180.4999,182.4998,972190
2004-08-12,181.9998,184.3798,181.9998,182.4998,181850
2004-08-13,184.3798,184.3798,182.4998,182.4998,110980
2004-08-16,182.9998,184.9998,182.4998,182.4998,618884
2004-08-18,184.9998,184.9998,183.4998,183.4998,12029
2004-08-19,184.6998,184.6998,183.4998,183.4998,3909
2004-08-20,183.4998,183.4998,182.9998,183.4998,992399
2004-08-24,184.6998,184.6998,183.4998,183.4998,9768
2004-08-26,183.4998,183.4998,183.4998,183.4998,99294
2004-08-27,184.6298,184.6298,183.4998,183.4998,162
2004-08-31,187.4498,187.4999,182.9998,185.4998,7527023
2004-09-01,187.4999,187.4999,183.9998,185.4998,156727
2004-09-02,186.9998,186.9998,185.4998,185.4998,198480
2004-09-03,187.4999,187.4999,185.4998,185.4998,30073
2004-09-06,183.4998,187.3799,183.4998,185.4998,83175
2004-09-07,187.3799,194.9998,187.3799,193.9998,147356
2004-09-08,201.9998,204.9998,199.9998,199.9998,113073
2004-09-10,201.4998,201.4998,197.9998,199.9998,102169
2004-09-15,201.3798,201.3798,199.4998,199.4998,5972
2004-09-16,197.6198,197.6198,191.9998,192.4998,96233
2004-09-17,192.4998,193.7498,192.4998,192.4998,377479
2004-09-20,194.3799,194.3799,192.4998,192.4998,24479
2004-09-22,194.4998,194.4998,192.4998,192.4998,42102
2004-09-23,192.4998,192.4998,192.4998,192.4998,1413
2004-09-24,192.9998,192.9998,192.4998,192.4998,15036
2004-09-27,194.3799,194.9998,193.7498,193.9998,445732
2004-09-29,194.1938,194.1938,193.9998,193.9998,128555
2004-09-30,194.9998,194.9998,193.9998,193.9998,9022
2004-10-04,194.1938,194.9998,193.9998,193.9998,487851
2004-10-05,194.9998,196.9998,193.9998,194.9998,2322539
2004-10-07,196.7998,196.7998,194.9998,194.9998,12029
2004-10-08,196.4998,196.4998,194.9998,194.9998,1504
2004-10-12,193.4998,193.4998,187.4999,187.4999,51124
2004-10-13,184.9998,184.9998,179.9999,183.9998,131303
2004-10-14,182.9998,183.9998,182.9998,183.9998,366887
2004-10-20,183.4998,183.4998,183.4998,183.4998,932254
2004-10-25,191.3198,196.9998,191.2498,193.4998,525340
2004-10-26,195.2498,196.9998,194.9998,194.9998,36232
2004-10-27,199.9998,199.9998,197.9998,198.9998,208662
2004-10-28,199.7498,199.9998,198.9998,198.9998,120844
2004-10-29,199.4998,199.7498,198.9998,198.9998,11608
2004-11-01,199.7498,199.9998,198.9998,198.9998,56777
2004-11-02,199.4998,199.7498,198.9998,198.9998,26987
2004-11-03,199.7498,199.7498,198.9998,198.9998,12029
2004-11-04,197.9998,198.9998,192.9998,194.9998,3031328
2004-11-05,196.4998,196.4998,194.9998,194.9998,3609
2004-11-08,196.4998,196.9998,192.9998,194.9998,1035403
2004-11-09,196.4998,196.4998,194.9998,194.9998,15036
2004-11-10,196.4998,196.4998,194.9998,194.9998,30
2004-11-11,195.9999,195.9999,194.9998,194.9998,7217
2004-11-12,196.9998,196.9998,194.9998,194.9998,18128
2004-11-15,195.9999,196.4998,193.4998,194.9998,14002
2004-11-16,196.4998,196.4998,193.4998,193.4998,21087
2004-11-17,196.1298,196.9998,194.4998,194.4998,328490
2004-11-18,196.3798,196.9998,191.9998,193.4998,128904
2004-11-19,194.9998,194.9998,193.4998,193.4998,1142763
2004-11-22,195.1098,196.1298,193.4998,193.4998,18068
2004-11-23,194.9998,194.9998,190.8698,193.4998,24287
2004-11-24,190.9998,192.4998,189.9998,192.4998,63616
2004-11-25,192.4998,192.4998,192.4998,192.4998,174422
2004-11-26,192.9998,192.9998,192.4998,192.4998,22693
2004-11-29,187.9999,189.9998,187.9999,189.9998,42102
2004-11-30,190.9198,190.9198,189.9998,189.9998,6015
2004-12-01,190.7498,190.7498,189.9998,189.9998,9250
2004-12-02,189.9998,189.9998,189.9998,189.9998,1804362
2004-12-03,187.9999,191.4998,187.9999,191.4998,25562
2004-12-06,193.1098,193.1098,191.4998,191.4998,15415
2004-12-07,194.1298,194.1298,191.4998,191.4998,40448
2004-12-09,188.8699,193.1098,188.8699,191.4998,16546
2004-12-14,188.8699,191.4998,188.8699,191.4998,6015
2004-12-20,193.1098,193.1098,191.4998,191.4998,52188
2004-12-21,188.9998,189.9998,188.9998,189.9998,49710
2004-12-22,189.9998,193.1098,189.9998,191.4998,99234
2004-12-23,194.9998,194.9998,192.4998,192.4998,30073
2004-12-24,194.3799,194.3799,192.4998,192.4998,1504
2004-12-29,190.6198,192.4998,190.6198,192.4998,42
2004-12-30,194.3799,194.3799,192.4998,192.4998,12667
2005-01-04,193.6498,193.9998,192.4998,192.4998,83783
2005-01-05,193.6498,193.6498,192.4998,192.4998,15373
2005-01-06,194.9998,194.9998,192.4998,192.4998,36087
2005-01-07,194.3799,194.3799,189.9998,192.4998,304576
2005-01-10,191.9998,192.4998,191.9998,192.4998,18044
2005-01-11,189.9998,192.4998,189.9998,192.4998,4391168
2005-01-12,195.9999,195.9999,192.4998,192.4998,30073
2005-01-13,190.6198,192.4998,190.6198,192.4998,3128
2005-01-14,193.6498,193.6498,192.4998,192.4998,10784
2005-01-17,194.3799,194.3799,192.4998,192.4998,2757282
2005-01-18,194.9998,194.9998,192.4998,192.4998,1467548
2005-01-19,193.9998,194.9998,192.4998,192.4998,2226427
2005-01-20,194.9998,194.9998,192.4998,192.4998,3101428
2005-01-21,194.9998,194.9998,192.4998,192.4998,2411831
2005-01-24,195.9999,196.9998,194.9998,194.9998,928537
2005-01-25,196.9998,207.9998,196.9998,204.4998,37646267
2005-01-26,206.9998,218.9997,206.9998,215.9998,2335001
2005-01-27,218.2498,219.9998,214.9998,216.4998,311114
2005-01-28,219.9998,231.9998,215.9998,228.9998,584168
2005-01-31,231.9998,240.9997,229.9998,234.9997,4004776
2005-02-01,239.9998,239.9998,229.9998,233.4997,3190028
2005-02-02,233.9997,233.9997,231.3698,233.4997,933144
2005-02-03,236.9998,239.9998,233.9997,234.9997,2739383
2005-02-04,238.7498,238.7498,231.7498,234.9997,6015
2005-02-07,231.7498,239.9998,231.7498,234.9997,163698
2005-02-08,239.9998,254.9998,239.9998,247.4998,600125
2005-02-09,239.9998,239.9998,229.9998,233.4997,7430622
2005-02-10,229.9998,237.9998,229.9998,233.9997,6231389
2005-02-11,231.4998,236.9998,231.4998,233.9997,107757
2005-02-14,231.4998,236.9998,231.4998,233.9997,1149896
2005-02-15,237.9998,239.9998,236.4998,236.4998,1300127
2005-02-16,239.9998,249.9997,239.9998,246.4998,2546478
2005-02-17,252.9998,252.9998,244.9998,247.4998,1973214
2005-02-18,249.9997,260.9998,249.9997,256.4997,1826033
2005-02-21,259.9998,264.1998,254.9998,260.9998,1610748
2005-02-22,263.4997,263.6397,241.9997,253.4998,668252
2005-02-23,246.9998,249.9997,236.7498,246.4998,828822
