Date,Open,High,Low,Close,Volume
2014-04-25,101.25,101.5,100,101,2086350
2014-04-28,101,101,100.5,101,735378
2014-04-29,101,101,100.742,101,43050
2014-04-30,101,101,100.7365,101,487900
2014-05-01,101,101.125,100.7364,101.125,92500
2014-05-02,101.125,101.375,100.85,101.375,39800
2014-05-06,101.375,101.5,101.375,101.375,35000
2014-05-07,101.375,101.49,101,101.375,357463
2014-05-08,101.5,101.7,101.5,101.5,825780
2014-05-09,101.5,101.7,101.3,101.5,430900
2014-05-12,101.625,101.7,101.625,101.625,34934
2014-05-13,101.625,101.9,101.6,101.75,194520
2014-05-14,101.75,101.8,101.5,101.75,151659
2014-05-15,101.75,101.95,101.55,101.75,222200
2014-05-16,101.75,101.8,101.75,101.75,31929
2014-05-19,101.75,101.8,101.75,101.75,114300
2014-05-20,101.75,101.8,101.6,101.75,232858
2014-05-21,101.75,101.9,101.5,101.75,453700
2014-05-22,101.87,102.125,101.87,102.125,65000
2014-05-23,102.125,102.333,102,102.25,141700
2014-05-27,102.25,102.333,102.25,102.25,26200
2014-05-28,102.25,102.4,102.25,102.25,84948
2014-05-29,102.4,102.8,102.4,102.5,40500
2014-05-30,102.625,102.8,102.625,102.625,48000
2014-06-02,102.625,102.85,102.625,102.625,8000
2014-06-03,102.625,102.9,102.37,102.625,79000
2014-06-04,102.625,102.99,102.625,102.625,39600
2014-06-05,102.625,102.625,102.625,102.625,0
2014-06-06,102.625,102.85,102.5,102.625,46000
2014-06-09,102.625,103,102.35,102.625,161200
2014-06-10,102.625,102.625,102.25,102.625,58000
2014-06-11,102.625,103,102.6,102.75,75900
2014-06-12,102.75,102.9,102.75,102.75,9706
2014-06-13,102.75,103,102.5,102.75,180875
2014-06-16,102.84,103.09,102.84,102.875,8905
2014-06-17,102.875,103.09,102.5,102.875,27500
2014-06-18,102.875,102.875,102.875,102.875,0
2014-06-19,103,103.25,103,103,45000
2014-06-20,103,103.35,102.86,103.125,24800
2014-06-23,103.125,103.29,102.86,103.125,43500
2014-06-24,103.125,103.29,103.125,103.125,9669
2014-06-25,103,103,103,103,25000
2014-06-26,103,103.06,102.75,103,241057
2014-06-27,103,103,103,103,0
2014-06-30,103,103.06,102.85,103,45851
2014-07-01,103,103.06,102.8,103,57450
2014-07-02,103,103,102.85,103,17700
2014-07-03,103,103.25,102.8,103.25,125000
2014-07-04,103,103,102.995,103,16517
2014-07-07,103,103,103,103,0
2014-07-08,102.913,102.913,102.8,102.875,95000
2014-07-09,102.875,102.875,102.575,102.875,24789
2014-07-10,102.875,103,102.8,103,285
2014-07-11,103,103,102.995,103,10000
2014-07-14,103,103,103,103,0
2014-07-15,103,103,103,103,0
2014-07-16,103,103,102.995,103,19354
2014-07-17,102.875,102.875,102.75,102.875,35000
2014-07-18,102.875,102.875,102.583,102.875,7470
2014-07-21,102.868,102.868,102.5,102.625,81000
2014-07-22,102.625,102.625,102.5,102.625,66000
2014-07-23,102.625,102.625,102.415,102.625,56850
2014-07-24,102.625,102.625,102.423,102.625,23300
2014-07-25,102.625,102.625,102.5,102.625,60000
2014-07-28,102.625,102.625,102.621,102.625,10000
2014-07-29,102.625,102.9,102.621,102.625,274685
2014-07-30,102.625,102.75,102.625,102.625,104300
2014-07-31,102.625,102.75,102.622,102.625,7200
2014-08-01,102.625,102.75,102.625,102.625,24500
2014-08-04,102.625,102.75,102.625,102.625,18000
2014-08-05,102.625,102.625,102.52,102.625,100
2014-08-06,102.625,102.85,102.625,102.625,54400
2014-08-07,102.8,103.15,102.8,103,84700
2014-08-08,103,103.15,103,103,25000
2014-08-11,103,103,103,103,0
2014-08-12,103,103.15,103,103,51450
2014-08-13,103,103,103,103,3000
2014-08-14,103.25,103.25,103.25,103.25,0
2014-08-15,103.25,103.5,103.25,103.25,32000
2014-08-18,103.25,103.4,103.25,103.25,34988
2014-08-19,103.25,103.4,103.25,103.375,35000
2014-08-20,103.375,103.4,103.375,103.375,27585
2014-08-21,103.625,103.9,103.625,103.625,14425
2014-08-22,103.625,103.9,103.625,103.625,3000
2014-08-26,103.625,103.625,103.625,103.625,0
2014-08-27,103.625,103.9,103.625,103.625,15000
2014-08-28,103.625,103.9,103.625,103.625,9000
2014-08-29,103.625,103.9,103.625,103.625,18000
2014-09-01,103.625,103.625,103.625,103.625,0
2014-09-02,103.625,103.633,103.25,103.625,19000
2014-09-03,103.75,104.15,103.75,103.875,32000
2014-09-04,103.9,104.15,103.9,104.125,33000
2014-09-05,104.125,104.125,104.125,104.125,0
2014-09-08,104.5,104.75,104.5,104.5,16700
2014-09-09,104.795,105.5,104.795,104.875,70000
2014-09-10,105.125,105.75,105.125,105.125,15700
2014-09-11,105.25,105.985,105.25,105.25,8200
2014-09-12,105.25,105.355,105.25,105.25,22000
2014-09-15,105.375,105.863,105.375,105.375,16028
2014-09-16,105.375,105.85,105,105.375,80100
2014-09-17,105.5,105.55,105.5,105.5,15000
2014-09-18,105.5,105.54,105.5,105.5,13500
2014-09-19,105.5,105.54,105.2,105.5,59750
2014-09-22,105.5,105.75,105.5,105.5,24000
2014-09-23,105.5,105.75,105.39,105.5,18000
2014-09-24,105.5,105.75,105.5,105.5,11000
2014-09-25,105.375,105.375,105.375,105.375,0
2014-09-26,105.375,106,105.375,105.375,64000
2014-09-29,105.375,105.988,105.375,105.375,12000
2014-09-30,105.375,105.988,105.238,105.375,25741
2014-10-01,105.375,105.375,105,105.375,60000
2014-10-02,105.375,105.875,104.85,105.375,59075
2014-10-03,105.375,105.875,105.375,105.375,24825
2014-10-06,105.375,105.875,105.238,105.375,13400
2014-10-07,105.375,105.375,105.24,105.375,8500
2014-10-08,105.375,105.875,105.375,105.375,4600
2014-10-09,105.375,105.375,105.375,105.375,0
2014-10-10,105.375,106,105.375,105.375,37397
2014-10-13,105.375,105.375,105.24,105.375,4000
2014-10-14,105.375,105.85,105.25,105.25,12200
2014-10-15,105.25,105.75,105.125,105.125,142871
2014-10-16,105.125,105.1875,104.875,104.875,15100
2014-10-17,104.875,104.875,104.875,104.875,0
2014-10-20,104.875,104.975,104.6,104.875,40000
2014-10-21,104.875,104.875,104.6,104.875,20000
2014-10-22,104.875,104.875,104.6,104.875,8000
2014-10-23,104.875,104.975,104.6,104.875,136050
2014-10-24,104.75,104.75,104.75,104.75,0
2014-10-27,104.75,104.855,104.75,104.75,10000
2014-10-28,104.75,105.2,104.25,104.75,26115
2014-10-29,104.75,105.17,104.75,104.75,10300
2014-10-30,104.75,105.15,104.375,104.75,12000
2014-10-31,104.75,105.15,104.75,104.75,24245
2014-11-03,104.75,105.17,104.75,104.75,31585
2014-11-04,104.875,104.875,104.25,104.875,50000
2014-11-05,105.25,105.6875,104.988,105.375,35012
2014-11-06,105.375,105.375,105.375,105.375,0
2014-11-07,105.375,105.6875,105.375,105.375,15713
2014-11-10,105.375,105.6875,105.25,105.375,5040
2014-11-11,105.375,105.5,105.375,105.375,12690
2014-11-12,105.375,105.375,104.9,105.375,20000
2014-11-13,105.375,105.375,104.9,105.375,37631302
2014-11-14,105.75,105.75,105.75,105.75,0
2014-11-17,105.75,106,105.5,105.75,126300
2014-11-18,105.75,105.875,105.4975,105.875,19048
2014-11-19,105.875,106,104.9,105.875,378530
2014-11-20,105.875,106.213,105.875,105.875,71300
2014-11-21,105.9,106.125,105.9,106.125,41600
2014-11-24,106.125,106.3,106.125,106.125,50657
2014-11-25,106.125,106.25,106,106.25,108190
2014-11-26,106.25,106.4,105.875,106.125,294000
2014-11-27,106.125,106.25,105.75,106,224324
2014-11-28,106,106.11,105.75,106,146750
2014-12-01,106,106.225,106,106,69381
2014-12-02,105.895,105.895,105.5,105.75,185387
2014-12-03,105.6,105.6,105.25,105.5,199200
2014-12-04,103.375,103.5,103,103.375,340065
2014-12-05,103.5,103.5,103.25,103.5,219279
2014-12-08,103.5,103.5,103.4,103.5,24908
2014-12-09,103.5,103.5,103.375,103.5,264460
