Date,Open,High,Low,Close,Volume
2000-01-04,335.9174,348.2513,333.7408,336.6429,1489937
2000-01-05,334.4664,352.6045,334.4664,338.4567,2475182
2000-01-06,335.5546,340.7058,333.7408,335.5546,3212363
2000-01-07,333.7408,344.6237,327.2111,328.6621,3243643
2000-01-10,330.1132,339.2548,330.1132,334.8291,5780718
2000-01-11,331.5642,334.4664,322.858,331.2015,3172361
2000-01-12,328.6621,332.2897,328.6621,330.1132,4349510
2000-01-13,329.0249,330.4759,325.0345,329.7504,9657546
2000-01-14,332.6526,332.6526,324.309,328.6621,10490726
2000-01-17,327.9366,331.927,319.9559,323.5835,6842910
2000-01-18,320.6814,329.3877,319.2304,319.5931,5511847
2000-01-19,318.1421,327.2111,318.1421,325.0345,5123396
2000-01-20,322.858,325.0345,308.7102,310.8868,12349236
2000-01-21,315.6027,321.951,296.0136,306.1709,6266823
2000-01-24,323.5835,330.1132,313.4261,315.9655,8199118
2000-01-25,311.9751,323.5835,311.9751,318.8675,3439361
2000-01-26,324.309,325.5786,317.0537,319.2304,10104714
2000-01-27,317.0537,321.4069,311.9751,315.6027,3153453
2000-01-28,311.9751,325.3973,311.9751,317.4166,6973803
2000-01-31,326.4856,326.4856,306.1709,308.3475,2172845
2000-02-01,317.7793,317.7793,304.7199,311.2496,7534688
2000-02-02,310.1613,311.9751,304.7199,307.9847,3811151
2000-02-03,305.4453,327.9366,305.4453,323.2207,7734550
2000-02-04,324.6718,329.2063,316.1904,326.8483,24293547
2000-02-07,325.0345,333.7408,322.858,327.5739,7998611
2000-02-08,333.7408,362.7618,328.6621,361.3107,18123248
2000-02-09,366.3894,383.0764,344.6237,350.4278,9866774
2000-02-10,343.8981,355.5065,338.094,342.8099,7150421
2000-02-11,339.9078,365.3011,326.1228,362.0362,13465029
2000-02-14,352.6045,367.1149,327.9366,337.0056,11648771
2000-02-15,338.8194,344.6237,322.1324,331.2015,10830709
2000-02-16,344.6237,348.2513,335.9174,342.4471,10078755
2000-02-17,339.545,351.1534,336.2802,348.9768,9711577
2000-02-18,345.8571,347.5258,335.9174,342.4471,2104155
