Date,Open,High,Low,Close,Volume
2014-06-05,172,180,170,173,17259910
2014-06-06,175,176.1735,170,170,3884264
2014-06-09,171,174.5,171,172,167997
2014-06-10,172,175.75,172,174,168175
2014-06-11,173.5,175,171.15,171.75,144033
2014-06-12,172.25,172.25,170,170.75,576624
2014-06-13,171,172,170,170.75,102605
2014-06-16,172.75,173.275,171,172.25,10897
2014-06-17,173,173.609,169,170,3258819
2014-06-18,170.25,170.25,167,167,1323879
2014-06-19,167.5,169.6625,165,166.5,1055317
2014-06-20,167.5,169,167.5,167.75,42066
2014-06-23,167.75,167.9064,167,167,54431
2014-06-24,165,168,165,167.5,93017
2014-06-25,165,167.5,165,165,333317
2014-06-26,165.5,167,164,165,653155
2014-06-27,165,167.8375,164,165,38154
2014-06-30,168,168,165,165.5,32568
2014-07-01,166.5,166.5,162.5,163,325030
2014-07-02,163,167.22,163,165,26382
2014-07-03,165.5,166.38,163.5,163.5,60904
2014-07-04,163,165.875,163,163,52019
2014-07-07,164.25,165.5,164,164,3636
2014-07-08,165.5,165.75,164,164,13651
2014-07-09,164,164,161.75,161.75,28733
2014-07-10,162.25,165,162,162,836813
2014-07-11,162,166.088,158,159.75,68025
2014-07-14,160,160,160,160,35
2014-07-15,164.75,164.75,155,160,126300
2014-07-16,162,166.75,161,164,68238
2014-07-17,164.25,168,162.75,162.75,761767
2014-07-18,168,168,162.75,164,35041
2014-07-21,168,170,163.5,166,110742
2014-07-22,166,168.25,165.75,168,72230
2014-07-23,166,167.5,163,166,105480
2014-07-24,166,166,164.5,166,84567
2014-07-25,170,170,168.5625,170,16668
2014-07-28,166.75,170,166.75,169.75,3661
2014-07-29,166,169.75,166,169.75,29512
2014-07-30,169,173,169,173,11000
2014-07-31,173,173,168.25,169.5,21544
2014-08-01,170.5,175,170.5,175,23679
2014-08-04,175,177,168,170,120016
2014-08-05,168.25,174.25,168.25,172,1768
2014-08-06,174.5,175,168.5,168.5,44251
2014-08-07,171.25,174.75,168.25,171.5,35409
2014-08-08,169,170,167.25,167.25,26074
2014-08-11,174,176.5,170.25,174,120432
2014-08-12,174,177.25,171,173,194586
2014-08-13,175,177.5,173.25,175,39897
2014-08-14,178.75,179,175,179,391352
2014-08-15,180,180,175,176,72810
2014-08-18,175.25,180,175.25,175.5,23075
2014-08-19,184.5,184.5,177.25,182.5,45771
2014-08-20,178,189,178,189,50780
2014-08-21,189,189,183,187,9120
2014-08-22,182.25,189,182.25,189,18431
2014-08-26,188,190.5,186,186,144193
2014-08-27,191,200,190,200,1528631
2014-08-28,200,200,195,200,520484
2014-08-29,205,205,198.9375,200,692224
2014-09-01,201.5,204.31,199.75,203.5,774237
2014-09-02,200.25,204.24,198,198,359526
2014-09-03,200,200,197,200,445852
2014-09-04,199,203,199,202,186333
2014-09-05,203,206,202.5,205,990823
2014-09-08,205.75,211.25,205,210,446397
2014-09-09,206,211.5,206,211,761165
2014-09-10,210,215.75,208.91,210,193925
2014-09-11,211,213.05,208,208.5,46510
2014-09-12,211.25,212,206.25,208.5,158368
2014-09-15,209.25,211.5,207,207,56474
2014-09-16,207.75,209.54,204.5,205,53365
2014-09-17,205,207.25,203,204,229668
2014-09-18,209,210.22,203,206.5,173911
2014-09-19,204,205.75,201,201,1081607
2014-09-22,201,201.5,195,197.25,67340
2014-09-23,201,201,195.73,201,4557
2014-09-24,201,205,199.75,203.25,48921
2014-09-25,200,205.25,200,205.25,9944
2014-09-26,201,205,201,202,81952
2014-09-29,201.75,204.75,198.5,199,60614
2014-09-30,205,205,199.25,200,53593
2014-10-01,199.25,199.25,195.5749,196,82926
2014-10-02,203,203,196,198,50953
2014-10-03,199.75,199.75,197.8,199,1733
2014-10-06,199.75,200,198,200,64565
2014-10-07,200,201,198,200,13345
2014-10-08,200,200,198,198,7843
2014-10-09,200,201,198,200,18991
2014-10-10,196,201,195.25,197.25,43589
2014-10-13,195,197.75,195,195,23152
2014-10-14,194.5,196.5,194.5,195,49079
2014-10-15,196.25,197.5,192.5,192.5,30100
2014-10-16,192.5,196.05,189.75,191,230868
2014-10-17,195,195,189.75,190,139418
2014-10-20,191,193.75,191,191.5,60414
2014-10-21,192,192.28,191,191,114764
2014-10-22,195,195,192.7375,195,1600
2014-10-24,195,197,193.625,196,33530
2014-10-27,197.75,197.75,195.2,197.75,164
2014-10-28,197,204,197,204,1404511
2014-10-29,205,208.8608,204.6,206.5,71276
2014-10-30,203,207.8,200,205.25,22200
2014-10-31,200,208,200,206,47599
2014-11-03,200,215,200,212,870203
2014-11-04,214,224.3,212,215,257771
2014-11-05,220,220,207,207,150603
2014-11-06,210,210,202,202.25,71684
2014-11-07,210,210,205.75,207,233699
2014-11-10,210,210,206,207,67101
2014-11-11,207,207,206,206,56017
2014-11-12,206,206.63,204.5,205,42762
2014-11-13,202.25,206,196.4608,201.25,96328
2014-11-14,197,202,197,198.5,41915
2014-11-17,202,202.25,199.25,201.5,12715
2014-11-18,204.75,205,200,205,6447
2014-11-19,205,205.38,200,202.5,29615
2014-11-20,199.5,202.6426,199,202,11726
2014-11-21,202.5,204.375,201,202.5,27029
2014-11-24,203.75,203.75,198,202.25,287697
2014-11-25,205,205,196,196.75,757476
2014-11-26,200,200.25,197.75,198.5,62593
2014-11-27,199.5,201.76,195.75,196.25,62397
2014-11-28,198,202,198,200,52663
2014-12-01,202,204.75,198.125,202.75,30027
2014-12-02,204.75,204.75,199.25,200,50255
2014-12-03,200.5,201,198.525,201,11701
2014-12-04,199,201.5,199,201.5,156582
2014-12-05,203,203,199.25,202,107106
2014-12-08,204,205,201.25,205,20590
2014-12-09,203.25,205,202.2285,203.5,415202
2014-12-10,205,205,203.25,203.25,39092
2014-12-11,204.5,206.5,202.5,202.75,83991
2014-12-12,205,205.25,200.75,203,50034
2014-12-15,201,204,201,202,11797
2014-12-16,200,205,200,205,13138
2014-12-17,201,206,201,203,45701
2014-12-18,200,204.25,200,203,44012
2014-12-19,203.25,207,202,206.75,19144
2014-12-22,207,207,201.75,206.5,24944
2014-12-23,207,210,205.6875,210,25517
2014-12-24,210,210,207.5,207.5,115
2014-12-29,205.5,210.38,205.5,205.5,3800
2014-12-30,210,210,210,210,192
2014-12-31,212,214.75,208.49,214.5,13438
2015-01-02,210,210,207.75,210,4700
2015-01-05,209,209,209,209,303
2015-01-06,215,215,210,210,86
2015-01-07,215,215,209.25,209.25,4462
2015-01-08,211.25,216,211.25,211.25,3091
2015-01-09,215,217.75,213.75,217.75,4649
2015-01-12,217.5,219.75,210.25,219.75,31708
2015-01-13,213.25,219.64,212,212,23145
2015-01-14,217,217,211,212,44568
2015-01-15,216,216,211,214.5,3021494
2015-01-16,215,217.5,214,215.25,46505
2015-01-19,216,217.56,214,214,71455
2015-01-20,213.5,215,208,208,51162
2015-01-21,210.75,214,206.5,210,38465
2015-01-22,211,212,207.25,207.25,12053
2015-01-23,208,209.25,204,206.75,592904
2015-01-26,209.75,210,206,210,303544
2015-01-27,212,212,209.5,210,226448
2015-01-28,212,220,210,220,55057
2015-01-29,211,218.65,211,215,59783
