Date,Open,High,Low,Close,Volume
2000-01-04,198,208,193,207,47307
2000-01-05,202,202,198,202,26687
2000-01-06,202,202,198,198,35820
2000-01-07,202,202,201,201,941
2000-01-10,198,202,198,202,12899
2000-01-11,199,201,198.5,201,45481
2000-01-12,202,220,202,215,513108
2000-01-13,220,221,214,221,208500
2000-01-14,225,230,220,230,67217
2000-01-17,230,235,223.5,232,51480
2000-01-18,235,235,227,227,15496
2000-01-19,230,230,222,228,21095
2000-01-20,222,225,222,225,17452
2000-01-21,222,227,222,225,713737
2000-01-24,228,228,222,225,50635
2000-01-25,227,227,220,220,61439
2000-01-26,227,227,220,220,338115
2000-01-27,227,235,223,235,37688
2000-01-28,233,233,225,227,69009
2000-01-31,225,230,225,226,100362
2000-02-01,230,230,225,230,11696
2000-02-02,225,230,225,227.5,68730
2000-02-03,230,230,226,226,110000
2000-02-04,226,230,226,226,23944
2000-02-07,230,254,230,250,574905
2000-02-08,250,250,242,250,275134
2000-02-09,245,250,245,250,336015
2000-02-10,248,248,237,238,106023
2000-02-11,245,245,233,240,54003
2000-02-14,238,240,223,223,21348
2000-02-15,225,230,215,223,29913
2000-02-16,223,223,215,222,15999
2000-02-17,222,223,215,223,67557
2000-02-18,215,225,215,225,109800
2000-02-21,215,225,215,217,11709
2000-02-22,225,225,213,213,17325
2000-02-23,213,225,213,222,251301
2000-02-24,226,240,223.5,240,88950
2000-02-25,236,253,235,242.88,151686
2000-02-28,243,245,235,235,72087
2000-02-29,235,237,230,230,11171
2000-03-01,227,234,227,230,80349
2000-03-02,233,233,221,222,21693
2000-03-03,222,230,222,222,27656
2000-03-06,220,230,220,223,15345
2000-03-07,230,230,230,230,2056
2000-03-08,223,230,223,223,14100
2000-03-09,223,228,223,223,5985
2000-03-10,223,230,220,220,18585
2000-03-13,220,220,217,217,6500
2000-03-14,223,223,215,215,13600
2000-03-15,215,219,210,210,96244
2000-03-16,210,219,205,214,31229
2000-03-17,214,214,205,211.5,4187
2000-03-20,213,213,205,205,98601
2000-03-21,203,213,203,212,25738
2000-03-22,212,213,203,213,43821
2000-03-23,210,213,210,210,19540
2000-03-24,212,219,210,219,137181
2000-03-27,215,215,208,215,313216
2000-03-28,208,217,208,214,279597
2000-03-29,217,217,170,175,77996
2000-03-30,165,170,150,165,203152
2000-03-31,160,167,150,160,102887
2000-04-03,160,177,160,173,106753
2000-04-04,173,173,158,160,93002
2000-04-05,155,155,150,150,22200
2000-04-06,153,163,153,155,22691
2000-04-07,165,180,165,180,43246
2000-04-10,180,183,173,174,30441
2000-04-11,178,178,169,175,20849
2000-04-12,168,175,168,175,3600
2000-04-13,168,170,163,170,12085
2000-04-14,170,170,153,155,26935
2000-04-17,143,153,143,150,64237
2000-04-18,143,163,143,160,29750
2000-04-19,165,165,157,165,9606
2000-04-20,155,158,155,155,65000
2000-04-25,158,158,149,150,46788
2000-04-26,158,158,156,158,1262
2000-04-27,158,158,148,158,66938
2000-04-28,158,158,158,158,5652
2000-05-02,152,168,152,165,22396
2000-05-03,175,175,167,170,119499
2000-05-04,174,182,174,175,15529
2000-05-05,175,182,175,182,3402
2000-05-08,177,185,177,185,25995
2000-05-09,187,187,180,180,34799
2000-05-10,185,188,183,187,107500
2000-05-11,180.5,183,178,178,15159
2000-05-12,180,180,177,177,3800
2000-05-15,173.5,173.5,173,173,5100
2000-05-16,174,174,174,174,3500
2000-05-17,173,180,173,180,18924
2000-05-18,173,173,173,173,3403
2000-05-19,173,175,173,175,5737
2000-05-22,175,175,170,173,26002
