Date,Open,High,Low,Close,Volume
2013-07-08,103.51,104.125,103,103.625,274851
2013-07-09,103.75,104.625,103.33,104.25,425437
2013-07-10,104.5,105.28,104.125,104.625,356980
2013-07-11,106,106.39,104.75,105.5,554382
2013-07-12,106.25,106.39,105.5,105.625,294753
2013-07-15,106.5,106.5,105.375,105.875,294287
2013-07-16,106.3,106.5,105.607,106,350631
2013-07-17,106.5,106.5,106,106,412346
2013-07-18,106.5,106.5,105.74,105.875,118207
2013-07-19,106,106.25,106,106,155962
2013-07-22,106.399,106.74,106.25,106.25,97605
2013-07-23,106.625,107.49,105.75,106.625,215810
2013-07-24,107.5,107.5,106.36,106.625,176384
2013-07-25,107,107.49,106,106.625,102340
2013-07-26,107.25,107.49,106.36,106.625,31848
2013-07-29,106.75,107.5,106.11,106.5,105569
2013-07-30,107.5,107.5,106.36,106.625,98646
2013-07-31,107.5,107.5,106.25,106.625,173748
2013-08-01,107.25,107.5,106.1,106.75,119885
2013-08-02,107.5,107.5,106.4286,107,125834
2013-08-05,107.75,108,106.75,107.125,148267
2013-08-06,107.7,108,106.25,107.375,103589
2013-08-07,108,108,107.1071,107.375,155796
2013-08-08,107.7,107.7,107,107.375,76855
2013-08-09,107.7,107.7,107.125,107.375,26358
2013-08-12,107.68,107.68,106.875,107.375,216416
2013-08-13,107.25,108,107.25,108,32119
2013-08-14,107.5,108,106.96,107.25,268749
2013-08-15,107,107.6875,107,107.375,316605
2013-08-16,106.875,107.55,106.875,107.5,156173
2013-08-19,108,108,107,107,41872
2013-08-20,107.548,107.548,106.8,107.125,72109
2013-08-21,107.5,107.5,105.25,106,316862
2013-08-22,105,106.34,105,106,167098
2013-08-23,105.288,105.4,105.25,105.25,35200
2013-08-27,106,106,104.5,104.75,86080
2013-08-28,103.5,105,103,104.125,106359
2013-08-29,105,105,103.625,104,76310
2013-08-30,105,105,103.25,103.875,40594
2013-09-02,104.75,104.75,103.25,103.875,45265
2013-09-03,104.75,104.75,103.82,103.875,62777
2013-09-04,104.75,104.75,103.01,103.75,93873
2013-09-05,103,103.75,102.75,103.25,81325
2013-09-06,103.1,103.25,102.75,103.25,54227
2013-09-09,102.5,103.89,102.5,103.25,91535
2013-09-10,104,104,102.5,103.5,109293
2013-09-11,104,104,102.5,103.25,25276
2013-09-12,104,104.5,102.425,104.25,1018878
2013-09-13,104,104,101.55,104,1319171
2013-09-16,102.66,103.475,102.66,103.25,54766
2013-09-17,103.5,104,102.15,104,3377762
2013-09-18,103.5,104,103.25,103.25,208167
2013-09-19,103.5,103.75,103.25,103.375,579342
2013-09-20,103,104.25,103,104.25,2835713
2013-09-23,104.199,104.49,103,103.75,188063
2013-09-24,104.75,104.75,103,104.75,45540
2013-09-25,104.099,104.75,102.75,104.75,59704
2013-09-26,102.75,104.25,102.355,104.25,98346
2013-09-27,102.5,103.75,102.01,103.5,76903
2013-09-30,102.5,102.5,101.75,101.75,18174
2013-10-01,103,103,101.5,101.5,26256
2013-10-02,101,102.43,101,101,65053
2013-10-03,101.75,102.1265,101,101.25,111792
2013-10-04,102,102.25,101.51,102.25,122550
2013-10-07,102,102,101,101.625,111100
2013-10-08,102.5,102.5,101,101.625,48141
2013-10-09,101.74,101.75,101.25,101.75,125787
2013-10-10,101.5,102.75,101.5,102.75,111325
2013-10-11,103.25,103.25,102,102.75,98275
2013-10-14,102.5,103.25,102.3,103.25,120445
2013-10-15,103.75,103.75,102.75,103.75,148632
2013-10-16,103.5,103.75,102.5625,103.75,259607
2013-10-17,103.75,104,102.6875,104,93898
2013-10-18,104.25,104.5,103.75,104.25,139806
2013-10-21,104.5,104.75,104.46,104.75,154733
2013-10-22,104.75,105,104.625,105,137814
2013-10-23,104.6253,104.74,103.4375,104,257144
2013-10-24,104.75,105,103.5,104.25,1218548
2013-10-25,104.59,104.6,103.75,104,126311
2013-10-28,105,105.5,103.75,105.5,106127
2013-10-29,104.25,104.5,103.5,103.5,30856
2013-10-30,104.5,105,103.5,103.5,111370
2013-10-31,104,105,104,104,49336
2013-11-01,104,104.9375,104,104,23616
2013-11-04,104,104.9938,104,104,94577
2013-11-05,104.75,105.5,104,104,73086
2013-11-06,104.25,105.25,104.15,104.75,32670
2013-11-07,105,105.25,104,104,77084
2013-11-08,104.25,104.745,104.25,104.25,47273
2013-11-11,105.5,105.74,104,104,66140
2013-11-12,104,105.75,104,105.75,160864
2013-11-13,104,105.375,104,104.25,112607
2013-11-14,105,105.5,104.291,105.25,103260
2013-11-15,104.25,105,104.25,104.25,37154
2013-11-18,104,105.0625,104,104.5,33478
2013-11-19,104,105,103.75,103.75,59567
2013-11-20,103.5,104.9978,103.5,103.5,126006
2013-11-21,103.5,105,103.5,103.5,78096
2013-11-22,103.75,104.875,103.5,103.5,76254
2013-11-25,104.6867,104.6867,103.5,104.5,84985
2013-11-26,103.9,105.3,103.9,104.75,79594
2013-11-27,105,105.2478,104.7418,104.75,54675
2013-11-28,105.1235,105.14,104.75,104.75,53275
