Date,Open,High,Low,Close,Volume
2009-11-23,774.9996,777.4996,774.9996,777.4996,10731
2009-11-25,769.9996,769.9996,760.4995,760.4995,33939
2009-11-26,751.4996,762.9996,750.9995,762.9996,6034
2009-11-27,754.9996,774.9996,746.4997,746.4997,26287
2009-12-03,734.9996,752.4995,734.9996,752.4995,2682
2009-12-04,734.9996,734.9996,709.9996,714.9995,24757
2009-12-07,719.9995,719.9995,703.4996,703.4996,2682
2009-12-08,719.9995,719.9995,710.4997,714.9995,14858
2009-12-09,717.4439,717.9996,716.9995,717.4996,25296
2009-12-14,702.9996,702.9996,701.9996,702.4997,2863
2009-12-16,689.9996,689.9996,679.9996,679.9996,6953
2009-12-18,664.9996,679.4997,664.9996,679.4997,4327
2009-12-21,664.9996,664.9996,659.9996,659.9996,3353
2009-12-22,660.4996,660.4996,659.4996,659.9996,3356
2010-01-04,645.4997,672.4997,645.4997,672.4997,13401
2010-01-05,672.9996,672.9996,671.9997,672.4997,10730
2010-01-07,680.4997,680.4997,679.4997,679.9996,6170
2010-01-13,679.4997,680.4997,679.4997,679.9996,3018
2010-01-15,664.9996,674.9996,664.9996,674.9996,1863
2010-01-20,664.9996,664.9996,654.9997,654.9997,6706
2010-01-27,650.4996,650.4996,649.4996,649.9996,980
2010-01-28,634.9997,634.9997,609.9997,619.9996,40417
2010-01-29,608.4997,612.4997,608.4997,612.4997,362
2010-02-01,615.4996,615.4996,612.4997,612.4997,2682
2010-02-04,599.9997,609.9997,599.9997,609.9997,5891
2010-02-05,594.9997,609.9997,594.9997,609.9997,334
2010-02-08,599.9997,599.9997,584.9996,584.9996,8181
2010-02-10,574.9997,574.9997,572.4997,572.4997,4343
2010-02-11,551.9996,562.9997,550.4996,562.9997,5365
2010-02-15,550.4996,562.4997,550.4996,562.4997,2682
2010-02-16,562.9997,562.9997,561.9996,562.4997,1341
2010-02-18,571.9997,572.9997,571.9997,572.4997,28165
2010-02-19,572.9997,572.9997,571.9997,572.4997,2289
2010-02-22,575.4997,575.4997,572.4997,572.4997,1640
2010-02-26,575.4997,575.4997,574.4997,574.9997,671
2010-03-01,577.9997,577.9997,572.4997,572.4997,5365
2010-03-02,584.9996,584.9996,579.9997,579.9997,10730
2010-03-03,589.9996,589.9996,589.9996,589.9996,16765
2010-03-08,593.4996,593.4996,584.9996,587.9997,130067
2010-03-09,599.9997,617.4996,599.9997,617.4996,207363
2010-03-10,624.9997,639.9997,624.9997,639.9997,21459
2010-03-12,654.9997,654.9997,654.9997,654.9997,8047
2010-03-15,654.9997,699.9996,654.9997,699.9996,8047
