Date,Open,High,Low,Close,Volume
2000-01-04,388,391,388,391,526
2000-01-05,386,388,383,387,26350
2000-01-06,383,383,382.5,382.5,1650
2000-01-07,382,382,380,380,10000
2000-01-10,384,384,378,379.5,14650
2000-01-11,380,383,379,382.5,16187
2000-01-12,382,382,379,379,56980
2000-01-13,379,379,379,379,1513
2000-01-17,381,386,381,386,27700
2000-01-18,387,387,387,387,1500
2000-01-20,385,386.5,384,385,163197
2000-01-21,387,387,384,386,60000
2000-01-24,387,387,385,386,46000
2000-01-25,386,388,386,388,4676
2000-01-26,405,406,405,406,3294
2000-01-27,403,403,402,402,3431
2000-01-28,409,409,404,406,64000
2000-01-31,408,408,408,408,1420
2000-02-01,404,409,404,404,12250
2000-02-03,408,409,408,408,8629
2000-02-04,410.5,410.5,410.5,410.5,16212
2000-02-07,413,414,413,414,2485
2000-02-08,417,420,413,420,28504
2000-02-09,418.5,420.5,418.5,420,8395
2000-02-11,423,423,420,420,19000
2000-02-14,420.5,420.5,420.5,420.5,90000
2000-02-15,421,422.5,421,421,16668
2000-02-16,421,422.5,421,422.5,3090
2000-02-17,423,426.5,422,426.5,178103
2000-02-18,427.5,427.5,427.5,427.5,3350
2000-02-21,426.5,429,425,429,23000
2000-02-24,430,430,430,430,4839
2000-02-25,430,435,430,435,5126
2000-02-28,431,431,430,430,6894
2000-02-29,434.5,435,434.5,435,6210
2000-03-01,430,435,430,434,195991
2000-03-02,433,433,433,433,5330
2000-03-06,442,442,440,440,6400
2000-03-07,445,445,441,445,1668
2000-03-08,440,440,440,440,10000
2000-03-09,440,443,440,443,3223
2000-03-10,443,443,443,443,2000
2000-03-13,443,444,443,444,19632
2000-03-14,440,443,439,439,19544
2000-03-16,440.5,443,440,442.5,215458
2000-03-17,440,443,440,443,4068
2000-03-20,441.5,443,441.5,443,6529
2000-03-21,443,443,441.5,441.5,9038
2000-03-23,440,443,440,443,15350
2000-03-24,443,443,440,442.5,153955
2000-03-27,443,444,443,444,3123
2000-03-28,444,444,440,442,5900
2000-03-29,443,444,442,442,6508
2000-03-30,440,444,440,440,11402
2000-03-31,444,444,444,444,450
2000-04-03,467,470,467,468.5,14656
2000-04-04,467,470,467,470,12968
2000-04-05,470,470,465,466.5,9244
2000-04-06,465,465,465,465,12000
2000-04-07,465,465.75,465,465,13832
2000-04-10,463,463,463,463,963
2000-04-11,468,468,464,464,5530
2000-04-12,463,467,463,467,7112
2000-04-13,463,468,463,463,15669
2000-04-14,463,465,463,463,2435
2000-04-17,442,442,437,441,17688
2000-04-18,440,444,440,444,65860
2000-04-19,442,442,442,442,3500
2000-04-26,442,442,442,442,1000
2000-04-27,442,442,442,442,2117
2000-04-28,442,444,442,444,3239
2000-05-02,442,445,442,445,1612
2000-05-03,443,445,443,445,2660
2000-05-04,445,445,442,442,4145
2000-05-05,442,445,442,442,4395
2000-05-08,445,445,442,442,6811
2000-05-09,445,445,445,445,220
2000-05-10,445,445,445,445,13200
2000-05-12,447,447,447,447,11110
2000-05-17,450,450,450,450,500
2000-05-18,450,450,445,445,12943
2000-05-19,443,443,443,443,10000
2000-05-24,445,445,445,445,6600
2000-05-25,443,443,443,443,203
2000-05-26,447,447,443,447,262
2000-05-31,445,447,445,447,12424
2000-06-01,447,447,443,443,3703
2000-06-05,447,447,443,444,4120
2000-06-06,443,446,443,444,57575
2000-06-09,443,443,443,443,5359
2000-06-12,446,446,446,446,6000
2000-06-13,447,447,447,447,1542
2000-06-14,443,446,443,446,97047
2000-06-15,443,446,443,443,1642
2000-06-16,447,447,443,447,57042
2000-06-19,448.5,448.5,447,447,17922
2000-06-20,446,448,446,446,19224
2000-06-21,449,450,449,450,421
2000-06-22,445,445,445,445,1442
2000-06-23,445,450,445,450,6670
2000-06-26,445,445,445,445,640
2000-06-28,448,454,447,454,21971
2000-06-29,455,460,455,460,704
2000-07-03,460,460,460,460,406
2000-07-04,460,460,460,460,7700
2000-07-05,460,463,460,463,5425
2000-07-06,463,466,463,466,2072
2000-07-07,472,472,470,470,12050
2000-07-10,475,475,475,475,2128
2000-07-11,477,477,473,473,6700
2000-07-12,477,479,474.5,479,9481
2000-07-13,479,480,479,479,13273
