Date,Open,High,Low,Close,Volume
2000-01-04,21200,21250,21200,21250,0
2000-01-05,21350,21350,21100,21150,0
2000-01-06,21150,21150,21100,21100,0
2000-01-07,21150,21150,21100,21100,0
2000-01-10,21100,21100,21050,21100,0
2000-01-11,21100,21150,21100,21100,0
2000-01-12,21100,21150,21100,21100,0
2000-01-13,21150,21150,21100,21100,0
2000-01-14,21150,21150,21100,21100,0
2000-01-17,21100,21150,21100,21100,0
2000-01-18,21100,21100,20950,21050,0
2000-01-19,21150,21150,20900,20900,0
2000-01-20,20950,20950,20900,20900,0
2000-01-21,20950,20950,20850,20900,0
2000-01-24,20850,20900,20850,20900,0
2000-01-25,20850,20900,20800,20800,0
2000-01-26,20750,20800,20700,20700,0
2000-01-27,20650,20700,20650,20700,0
2000-01-28,20700,20700,20700,20700,0
2000-01-31,20750,20750,20700,20700,0
2000-02-01,20750,20750,20700,20700,0
2000-02-02,20700,20700,20650,20700,0
2000-02-03,20700,20700,20500,20600,0
2000-02-04,20500,20600,20500,20550,0
2000-02-07,20500,20550,20450,20500,0
2000-02-08,20650,20650,20450,20500,0
2000-02-09,20500,20500,20450,20450,0
2000-02-10,20550,20550,20450,20450,0
2000-02-11,20550,20550,20400,20450,0
2000-02-14,20400,20450,20400,20400,0
2000-02-15,20350,20400,20350,20350,0
2000-02-16,20350,20400,19800,19950,0
2000-02-17,20150,20150,19800,19800,0
2000-02-18,19750,19800,19750,19800,0
2000-02-21,19800,19800,19700,19700,0
2000-02-22,19650,19700,19450,19450,0
2000-02-23,19350,19450,19200,19250,0
2000-02-24,19250,19250,19200,19200,0
2000-02-25,19250,19250,19000,19050,0
2000-02-28,19050,19050,19000,19000,0
2000-02-29,19000,19000,19000,19000,0
2000-03-01,19050,19500,19000,19500,0
2000-03-02,19450,19500,19400,19450,0
2000-03-03,19450,19500,19400,19500,0
2000-03-06,19550,19550,19500,19500,0
2000-03-07,19650,19650,19500,19550,0
2000-03-08,19650,19650,19500,19500,0
2000-03-09,19650,19650,19400,19500,0
2000-03-10,19400,19600,19400,19600,0
2000-03-13,19500,19600,19500,19550,0
2000-03-14,19650,19650,19500,19550,0
2000-03-15,19650,19650,19500,19500,0
2000-03-16,19650,19650,19300,19350,0
2000-03-17,19450,19500,19350,19500,0
2000-03-20,19550,19650,19500,19600,0
2000-03-21,19550,19600,19550,19600,0
2000-03-22,19550,19600,19550,19600,0
2000-03-23,19650,19650,19600,19600,0
2000-03-24,19650,19650,19600,19600,0
