Date,Open,High,Low,Close,Volume
2017-05-31,106.5,107.49,100,105.625,9660094
2017-06-01,105.75,107.75,105.5914,106.25,1307692
2017-06-02,106.25,106.9,106.25,106.75,796669
2017-06-05,106.75,106.86,106.0511,106.375,135379
2017-06-06,106.0511,106.0511,104,105,391221
2017-06-07,104.5,105.2,104.15,105.125,331376
2017-06-08,105.125,105.35,105,105.25,481111
2017-06-09,105.25,105.44,104.76,105,83759
2017-06-12,105,105.44,104.5,105,403240
2017-06-13,105,105.19,104.51,105,102394
2017-06-14,105,105.18,104.5,104.75,2090357
2017-06-15,105,105.4,104.4431,104.5,1011772
2017-06-16,104.5,104.9,104.0936,104.375,1061521
2017-06-19,104.5,105.15,104.5,104.75,539685
2017-06-20,104.75,104.75,104.75,104.75,513794
2017-06-21,104.75,104.9,104.6,104.75,667407
2017-06-22,104.75,104.995,104.6,104.75,192092
2017-06-23,105,105.49,105,105.125,347107
2017-06-26,105.125,105.5,104.7,105,319025
2017-06-27,105,105.19,104.773,105,387084
2017-06-28,105,105.49,105,105,133582
2017-06-29,105,105,105,105,100129
2017-06-30,104.875,105.24,104.8,104.875,25969
2017-07-03,104.875,105.24,104.78,104.875,47624
2017-07-04,104.875,105.1,104.621,104.875,76260
2017-07-05,104.875,105.04,104.7,104.875,70653
2017-07-06,104.875,105,104.55,104.875,38720
2017-07-07,104.5,104.5,104.3,104.5,30402
2017-07-10,104.601,104.601,104.21,104.5,94478
2017-07-11,104.125,104.125,103.55,103.75,128770
2017-07-12,103.603,103.603,102.8025,103.5,306725
2017-07-13,103.853,104,103.853,103.875,77859
2017-07-14,103.75,104.09,103.505,103.75,52724
2017-07-17,103.75,104.4,103.5,104.125,585456
2017-07-18,104.125,104.6,103.8,104.375,604775
2017-07-19,104.5,104.8,104.1,104.5,151715
2017-07-20,104.5,104.74,104.2,104.5,113769
2017-07-21,104.5,104.71,104.21,104.5,38438
2017-07-24,104.5,104.71,104.125,104.5,98429
2017-07-25,104.5,104.68,104.25,104.5,108095
2017-07-26,104.5,104.68,104.25,104.5,162496
2017-07-27,104.5,104.9,104.25,104.5,210725
2017-07-28,104.5,104.68,104.26,104.5,181740
2017-07-31,104.5,104.68,104.321,104.5,423856
2017-08-01,104.5,104.68,104.321,104.5,32635
2017-08-02,104.5,104.9,104.25,104.5,75134
2017-08-03,104.5,104.68,104.5,104.5,7500
2017-08-04,104.5,104.68,104.26,104.5,163088
2017-08-07,104.5,104.68,104.2,104.5,89337
2017-08-08,104.5,104.75,104,104.5,266678
2017-08-09,104.48,104.48,104,104,114492
2017-08-10,104,104.4,103.8,104,122502
2017-08-11,104.5,104.9,104,104,62043
2017-08-14,104,104.29,103.8,104.25,63093
2017-08-15,104.25,104.28,104,104.25,25382
2017-08-16,104.28,105.49,104.28,105,229630
2017-08-17,105,105.49,104.65,105,8028
2017-08-18,105.115,105.5,105.115,105.25,71857
2017-08-21,105.25,105.49,104.5,105,68887
2017-08-22,105,105.2,104.75,104.75,48624
2017-08-23,104.75,104.995,104.75,104.75,14402
2017-08-24,104.75,104.995,104.711,104.75,83578
2017-08-25,104.75,104.9,104.25,104.25,114926
2017-08-29,104.25,104.5,104,104.125,9513
2017-08-30,104.25,104.25,103.75,103.75,677539
2017-08-31,103.75,104,102.75,103.375,286557
2017-09-01,103.375,103.75,103,103.375,287783
2017-09-04,103.375,109.5,103.11,103.5,16771
2017-09-05,103.25,103.25,103,103.25,63103
2017-09-06,102.75,102.97,102.1,102.875,66427
2017-09-07,102.7,102.7,102.26,102.625,154644
2017-09-08,102.625,103.125,102.25,103.125,224977
2017-09-11,103.125,103.25,102.5,103.25,175609
2017-09-12,103.25,103.25,102.75,103.125,128773
2017-09-13,103.125,103.125,102,102.5,452750
2017-09-14,102.375,102.375,102,102.375,29685
2017-09-15,102,102,101.761,102,9370
2017-09-18,102,102.125,101.75,102,18365
2017-09-19,101.87,101.87,101,101.5,132908
2017-09-20,101.1,101.1,100.6,100.75,276846
2017-09-21,100.875,101,100.5,100.875,2027331
2017-09-22,100.875,101.5,100.5,101.375,1059653
2017-09-25,101.375,101.5,101.1,101.5,278739
2017-09-26,101.5,102,101.1,101.625,454201
2017-09-27,101.625,102.4,101.5,102,617009
2017-09-28,102,102.5,101.9,102.375,52926
2017-09-29,102.625,102.985,102.25,102.75,661860
2017-10-02,102.75,103,102.515,102.75,505100
2017-10-03,103,103.478,102.88,103,10870
2017-10-04,103,103.97,102.9,103.5,138973
2017-10-05,104,104.375,104,104.125,1763521
2017-10-06,104.125,104.24,104.01,104.125,67060
2017-10-09,104.125,104.24,104,104.125,129722
2017-10-10,104.125,104.4,104.1,104.25,368239
2017-10-11,104.25,104.25,104,104.25,56119
2017-10-12,104.25,104.25,104,104.25,105563
2017-10-13,104.25,104.35,103.75,104.125,197732
2017-10-16,104.125,104.25,103.99,104.125,131951
2017-10-17,104.125,104.5,103.75,104.25,203537
2017-10-18,104.25,104.5,104.15,104.5,33305
2017-10-19,104.15,104.5,104.15,104.375,744708
2017-10-20,104.375,104.493,104.25,104.375,266514
2017-10-23,104.375,104.485,104.25,104.25,340853
2017-10-24,104.25,104.985,104.25,104.75,330960
2017-10-25,104.75,105,104.75,104.75,539148
2017-10-26,105,105.5,105,105.125,118904
2017-10-27,105.13,105.7,105.13,105.375,69727
2017-10-30,105.375,105.5,104.9,105.25,145575
2017-10-31,105.25,105.49,105,105,31645
2017-11-01,105,105.45,104.76,105,93795
2017-11-02,105,105.49,104.82,105,82732
2017-11-03,105,105.1,104.82,105,190559
2017-11-06,105,105.49,104.75,105,230653
2017-11-07,105,105.39,104.82,105,92821
2017-11-08,105,105.243,104.523,104.875,71226
2017-11-09,104.875,105.05,104.875,104.875,53798
2017-11-10,104.875,105.25,104.318,104.5,222302
2017-11-13,104.5,104.5,103.875,103.875,259072
2017-11-14,103.875,104,103.875,103.875,68681
2017-11-15,103.875,104.25,103,103.5,154630
2017-11-16,103.125,103.301,102.9,103,70651
2017-11-17,103,103.301,102.75,103.125,61607
