Date,Open,High,Low,Close,Volume
2004-07-09,100,101.5,100,100,0
2004-07-14,100,101.5,100,100,0
2004-07-16,102,102,101.5,102,0
2004-07-19,103,103,101.5,103,0
2004-07-23,101.5,101.5,101.5,101.5,0
2004-07-27,101,102,101,101,0
2004-07-28,103,103,102,103,0
2004-07-29,103,103,102,103,0
2004-07-30,103,103,102,103,0
2004-08-02,102.5,102.5,101.75,102.5,100000
2004-08-03,103,103,102,103,0
2004-08-04,103,103,102.25,103,0
2004-08-05,102.8,102.8,102.25,102.8,0
2004-08-06,101.5,102,101.5,101.5,0
2004-08-09,103,103,102,103,0
2004-08-10,103,103,102,103,0
2004-08-11,103,103,102,103,50000
2004-08-12,102.65,102.65,102,102.65,0
2004-08-16,102.5,102.5,102,102.5,0
2004-08-18,103,103,102,103,50000
2004-08-19,103,103,102,103,0
2004-08-23,102,102.5,102,102,50000
2004-08-24,103,103,102.5,103,0
2004-08-25,104,104,102.5,104,0
2004-08-26,103.45,103.45,103,103.45,0
2004-08-27,103.65,103.65,103,103.65,0
2004-08-31,104,104,103,104,50000
2004-09-01,104,104,103,104,165000
2004-09-02,104,104,103.25,104,0
2004-09-03,104.5,104.5,103.25,104.5,0
2004-09-06,104.5,104.5,103.25,104.5,0
2004-09-07,104.5,104.5,103.25,104.5,0
2004-09-08,104,104,103.25,104,0
2004-09-09,104,104.5,104,104,0
2004-09-13,105.5,105.5,104.5,105.5,0
2004-09-14,105.5,105.5,104.75,105.5,0
2004-09-15,105.9,105.9,104.75,105.9,0
2004-09-20,105.9,105.9,104.75,105.9,0
2004-09-21,104,104.75,104,104,0
2004-09-23,105.9,105.9,104.5,105.9,0
2004-09-24,105.4,105.4,104.75,105.4,0
2004-09-27,104,104.75,104,104,0
2004-09-28,105.9,105.9,104.75,105.9,0
2004-09-30,105,105,104.75,105,25000
2004-10-01,105.5,105.5,104.75,105.5,102875
2004-10-04,106.9,106.9,105.5,106.9,7800
2004-10-06,106.9,106.9,105.5,106.9,5735
2004-10-07,107,107,105.5,107,23135
2004-10-08,104,105.5,104,104,417201
2004-10-11,106,106,105.5,106,1179089
2004-10-12,106.1,107.25,106.1,106.1,6800
2004-10-13,108.25,108.25,107.25,108.25,23859
2004-10-14,106.55,107.5,106.55,106.55,25000
2004-10-18,108.44,108.44,107.5,108.44,16800
2004-10-19,108.44,108.44,107.5,108.44,24834
2004-10-20,108,108,107.5,108,0
2004-10-21,108.44,108.44,107.5,108.44,7638
2004-10-22,108.25,108.25,107.5,108.25,10000
2004-10-25,108.44,108.44,107.5,108.44,7000
2004-10-26,108.44,108.44,107.5,108.44,100
2004-10-27,108.44,108.44,107.5,108.44,15150
2004-10-28,108.5,108.5,107.75,108.5,11078
2004-10-29,108,108,107.75,108,71227
2004-11-01,109,109,107.75,109,91447
2004-11-02,109.75,109.75,108,109.75,136821
2004-11-03,109,109,108.75,109,40000
2004-11-04,109.75,109.75,108.75,109.75,1366
2004-11-05,109,109.25,109,109,491400
2004-11-08,109.75,109.75,109.25,109.75,2000
2004-11-09,109.7,109.7,109.25,109.7,6042
2004-11-11,110,110,109.25,110,129000
2004-11-12,110.5,110.5,109.25,110.5,59000
2004-11-15,110.9,110.9,110,110.9,5076
2004-11-16,110.25,110.25,110,110.25,116583
2004-11-17,111.9,111.9,110,111.9,13212
2004-11-18,111.9,111.9,111,111.9,4500
2004-11-19,111.9,111.9,111,111.9,11787
2004-11-22,111.6,111.6,111,111.6,172231
2004-11-23,111.6,111.6,111.5,111.6,141231
2004-11-24,112,112,111.5,112,57450
2004-11-25,112,112,111.5,112,75421
2004-11-26,111.5,111.5,111.5,111.5,110000
2004-11-29,111.75,111.75,111.5,111.75,58250
2004-11-30,112,112,111.5,112,8873
2004-12-01,111.76,111.76,111.5,111.76,22047
2004-12-02,112,112,111.75,112,34035
2004-12-03,111.5,111.75,111.5,111.5,254500
2004-12-06,111.9,111.9,111.25,111.9,4500
2004-12-07,111.25,111.25,111.25,111.25,15530
2004-12-09,111.49,111.49,111.25,111.49,8900
2004-12-13,110,111.25,110,110,35000
2004-12-14,110.5,110.5,110.25,110.5,4519
2004-12-15,110.49,110.49,110.25,110.49,78500
2004-12-16,110.49,110.49,110.25,110.49,4000
2004-12-20,109.5,110.25,109.5,109.5,32000
2004-12-21,110.49,110.49,110,110.49,47164
2004-12-22,110.49,110.49,110,110.49,40000
2004-12-30,109.5,110,109.5,109.5,4000
2004-12-31,110.65,110.65,110,110.65,1798
2005-01-04,110.8,110.8,110,110.8,12000
2005-01-07,110,110.25,110,110,100000
2005-01-10,110.75,110.75,110.25,110.75,352910
2005-01-11,110.5,110.5,110.25,110.5,13073
2005-01-12,110.7,110.7,110.25,110.7,1825
2005-01-14,110,110.25,110,110,20000
2005-01-17,110.5,110.5,110.25,110.5,10725
2005-01-24,110.25,110.25,110.25,110.25,6000
