Date,Open,High,Low,Close,Volume
2000-01-04,1499.9999,1504.9999,1455.9999,1473.9999,3519489
2000-01-05,1472.9999,1474.9999,1402.9999,1408.9999,3342567
2000-01-06,1419.9999,1477.4999,1419.9999,1458.9999,9837880
2000-01-07,1457.9999,1484.9999,1434.9999,1477.9999,7508497
2000-01-10,1481.9999,1491.9999,1429.9999,1444.9999,6428853
2000-01-11,1437.4999,1444.9999,1381.9999,1409.9999,3203093
2000-01-12,1379.9999,1396.9999,1324.9999,1327.9999,3404144
2000-01-13,1339.9999,1367.9999,1308.9999,1354.9999,6561078
2000-01-14,1352.4999,1361.9999,1332.9999,1346.9999,3920915
2000-01-17,1359.9999,1364.9999,1331.9999,1349.9999,5224507
2000-01-18,1324.9999,1346.9999,1296.9999,1322.9999,4094528
2000-01-19,1322.9999,1374.9999,1307.9999,1327.9999,8907259
2000-01-20,1360.9999,1360.9999,1279.9999,1300.9999,6793798
2000-01-21,1319.9999,1319.9999,1244.9999,1278.9999,5964518
2000-01-24,1279.9999,1282.4999,1241.9999,1254.9999,2492821
2000-01-25,1240.9999,1254.9999,1189.9999,1208.9999,4616695
2000-01-26,1219.9999,1222.9999,1174.9999,1184.9999,7371581
2000-01-27,1189.9999,1189.9999,1139.9999,1179.9999,4721913
2000-01-28,1189.9999,1199.9999,1141.9999,1169.9999,2492603
2000-01-31,1159.9999,1167.9999,1094.9999,1155.9999,5495176
2000-02-01,1149.9999,1154.9999,1124.9999,1143.9999,4092522
2000-02-02,1145.9999,1160.9999,1138.9999,1154.9999,2512041
2000-02-03,1159.9999,1199.9999,1154.9999,1160.9999,5084122
2000-02-04,1150.9999,1164.9999,1139.9999,1140.9999,3211938
2000-02-07,1159.9999,1215.9999,1159.4999,1170.9999,5798632
2000-02-08,1180.4999,1186.9999,1119.4999,1140.9999,5575964
2000-02-09,1134.9999,1139.9999,1064.9999,1072.9999,4851754
2000-02-10,1093.9999,1094.9999,1014.9999,1022.9999,6813959
2000-02-11,1037.9999,1070.9999,1014.9999,1037.9999,10233073
2000-02-14,1034.9999,1062.9999,1009.9999,1024.9999,3594146
2000-02-15,1034.9999,1088.9999,1029.9999,1058.9999,5621547
2000-02-16,1070.9999,1154.9999,1070.9999,1118.9999,5610637
2000-02-17,1124.9999,1134.9999,1100.9999,1117.9999,3695395
2000-02-18,1121.9999,1134.9999,1046.9999,1062.9999,3782768
2000-02-21,1013.9999,1097.4999,1013.9999,1090.9999,5872845
2000-02-22,1074.9999,1084.9999,1024.9999,1025.9999,4601036
2000-02-23,1048.9999,1070.7499,1021.9999,1054.9999,5457874
2000-02-24,1099.9999,1109.9999,969.9999,980.9999,6436668
2000-02-25,1045.9999,1045.9999,937.9999,964.9999,7981929
2000-02-28,963.9999,978.9999,914.9999,932.9999,5576369
2000-02-29,949.9999,954.9999,929.9999,937.9999,5028604
2000-03-01,935.9999,982.9999,934.9999,946.9999,8978821
2000-03-02,957.9999,1054.9999,939.9999,1043.9999,5123496
2000-03-03,1049.9999,1068.9999,969.9999,977.9999,4301782
2000-03-06,980.9999,999.9999,935.9999,986.9999,2527074
2000-03-07,998.9999,998.9999,939.9999,952.9999,4171316
2000-03-08,949.9999,965.9999,894.9999,906.9999,5315260
2000-03-09,904.9999,921.9999,879.9999,903.9999,5912099
2000-03-10,924.9999,969.9999,924.9999,924.9999,7240809
2000-03-13,874.9999,935.9999,874.9999,899.9999,4406593
2000-03-14,899.9999,979.9999,899.9999,957.9999,5194821
2000-03-15,955.9999,1029.9999,932.9999,1013.9999,5132215
2000-03-16,1009.9999,1138.9999,1009.9999,1101.9999,14948039
2000-03-17,1068.9999,1160.9999,1023.9999,1029.9999,4835008
2000-03-20,1059.4999,1075.9999,974.9999,989.4999,3969160
2000-03-21,988.9999,1044.9999,988.4999,1026.4999,4364845
2000-03-22,1049.9999,1074.4999,1024.9999,1061.9999,3922734
2000-03-23,999.9999,1049.9999,977.9999,999.9999,6705591
2000-03-24,1009.9999,1035.9999,984.9999,993.4999,2814563
2000-03-27,1021.9999,1038.9999,983.9999,1021.9999,2825146
2000-03-28,1003.4999,1033.8399,984.9999,987.9999,4788106
2000-03-29,977.9999,1019.9999,977.9999,1015.4999,3802534
2000-03-30,980.9999,1030.9999,953.9999,967.4999,3550940
2000-03-31,979.9999,1059.9999,979.9999,1052.4999,5722997
2000-04-03,1074.9999,1092.9999,1059.9999,1079.9999,3587318
2000-04-04,1084.9999,1108.9999,1070.4999,1091.9999,5621303
2000-04-06,1082.9999,1093.9999,1035.9999,1047.4999,5024632
2000-04-07,1039.9999,1136.9999,1011.9999,1099.4999,3996094
2000-04-10,1026.9999,1099.9999,1025.4999,1043.4999,3022071
2000-04-11,1046.9999,1077.9999,1036.9999,1044.4999,3199330
2000-04-12,1037.9999,1049.9999,984.9999,999.4999,5152456
2000-04-13,984.9999,1009.9999,954.9999,970.4999,4451081
2000-04-14,964.1999,1006.7499,951.9999,981.9999,5893826
2000-04-17,949.9999,967.9999,831.9999,924.4999,3616714
2000-04-18,941.9999,949.9999,912.9999,914.9999,4632161
2000-04-19,922.4999,939.9999,904.9999,935.4999,5735496
2000-04-20,939.9999,971.9999,925.9999,956.4999,8967597
2000-04-25,962.1999,986.9999,934.9999,971.4999,3399675
2000-04-26,997.9999,1011.9999,974.9999,983.9999,3551703
2000-04-27,976.6999,987.4999,953.9999,977.4999,4333862
2000-04-28,981.9999,1015.9999,975.9999,994.9999,5725771
2000-05-02,1044.9999,1067.9999,1019.9999,1061.4999,5737658
2000-05-03,1059.9999,1090.9999,1059.9999,1070.4999,6729703
2000-05-04,1062.9999,1094.4999,1059.9999,1082.9999,2843103
2000-05-05,1081.9999,1107.9999,1081.4999,1087.4999,3583908
2000-05-08,1079.9999,1115.9999,1047.4999,1082.4999,2749977
2000-05-09,1082.4999,1085.9999,1057.9999,1068.9999,2915192
2000-05-10,1064.9999,1083.9999,1017.9999,1078.9999,4127756
2000-05-11,1062.9999,1103.7499,1062.9999,1096.4999,2610928
2000-05-12,1094.9999,1099.9999,1059.9999,1093.9999,2728802
2000-05-15,1084.9999,1099.9999,1070.9999,1086.4999,2225552
2000-05-16,1053.9999,1098.9999,1053.9999,1091.4999,1262500
2000-05-17,1109.9999,1109.9999,1069.9999,1082.4999,5106696
2000-05-18,1065.9999,1094.9999,1065.9999,1087.9999,2538564
2000-05-19,1090.7999,1109.9999,1012.9999,1103.9999,4806968
2000-05-22,1094.9999,1111.9999,1089.9999,1109.4999,2377477
2000-05-23,1115.9999,1123.9999,1077.9999,1096.9999,3067385
2000-05-24,1110.9999,1110.9999,1046.2499,1060.4999,6441349
2000-05-25,1051.9999,1064.9999,969.4999,992.9999,9641275
2000-05-26,995.9999,995.9999,952.9999,974.4999,7752113
2000-05-30,966.9999,967.4999,951.9999,966.9999,5976998
2000-05-31,974.9999,989.9999,969.7499,986.9999,4168944
2000-06-01,982.9999,1109.9999,977.9999,994.9999,6678199
2000-06-02,997.9999,1007.4999,964.9999,979.9999,3495491
2000-06-05,984.9999,1006.9999,973.9999,994.9999,3566989
2000-06-06,994.9999,1024.9999,994.9999,1004.9999,4409041
2000-06-07,988.9999,1021.4999,985.4999,1019.9999,3786989
2000-06-08,1098.9999,1098.9999,1009.9999,1035.9999,6969474
2000-06-09,1039.9999,1069.9999,1030.9999,1064.9999,6539751
2000-06-12,1061.9999,1071.9999,1039.9999,1039.9999,2872232
2000-06-13,1042.9999,1050.5249,1025.9999,1025.9999,2102964
2000-06-14,1039.4999,1044.9999,994.9999,995.9999,10714085
2000-06-15,1009.9999,1029.2499,999.9999,1014.9999,6210518
2000-06-16,1038.9999,1054.9999,1034.9999,1045.4999,6912101
2000-06-19,1003.9999,1047.9999,977.9999,997.9999,5717134
2000-06-20,989.9999,999.9999,962.9999,977.9999,5287250
2000-06-21,987.4999,1008.9999,976.9999,997.9999,2794862
2000-06-22,999.9999,1023.4999,983.9999,989.9999,8525980
2000-06-23,998.9999,1028.9999,992.9999,1014.9999,3019493
2000-06-26,1017.9999,1018.9999,1002.9999,1007.9999,5480748
2000-06-27,1009.9999,1050.9999,1002.9999,1037.9999,5113998
2000-06-28,1039.9999,1048.9999,999.9999,1048.9999,4179051
2000-06-29,1049.9999,1096.9999,1049.9999,1096.9999,10573380
2000-06-30,1078.9999,1093.9999,1016.9999,1079.9999,4129643
2000-07-03,1088.9999,1097.9999,1073.9999,1089.9999,3551231
2000-07-04,1091.9999,1096.9999,1069.9999,1076.9999,2788515
2000-07-05,1052.9999,1077.9999,1027.9999,1027.9999,2623452
2000-07-06,1069.9999,1084.9999,1019.9999,1072.9999,3277496
2000-07-07,1072.9999,1079.9999,1059.9999,1079.9999,3516505
2000-07-10,1094.9999,1107.9999,1043.9999,1099.9999,2662258
2000-07-11,1101.9999,1116.9999,1003.9999,1093.9999,5567317
2000-07-12,1093.9999,1195.9999,1084.9999,1098.9999,11400204
2000-07-13,1106.9999,1141.9999,1099.9999,1122.9999,11021041
2000-07-14,1126.9999,1154.9999,1123.4999,1130.9999,10482607
2000-07-17,1127.9999,1140.4999,1125.9999,1130.9999,5867039
2000-07-18,1145.9999,1145.9999,1086.9999,1089.9999,9487223
2000-07-19,1089.9999,1089.9999,1066.9999,1069.9999,2359839
2000-07-20,1074.9999,1084.9999,1064.9999,1077.9999,1774367
2000-07-21,1059.9999,1084.9999,1035.9999,1059.9999,4720209
2000-07-24,1065.9999,1069.9999,1048.9999,1050.9999,2268626
2000-07-25,1059.9999,1059.9999,1009.9999,1042.9999,1677744
2000-07-26,1056.9999,1056.9999,1031.9999,1041.9999,5600784
2000-07-27,1063.9999,1069.9999,1058.9999,1061.9999,5687502
2000-07-28,1066.9999,1079.9999,1055.9999,1067.9999,4266771
2000-07-31,1064.4999,1074.9999,1039.9999,1071.9999,2474853
2000-08-01,1074.9999,1084.9999,1062.9999,1065.9999,3025459
2000-08-02,1076.9999,1078.9999,1049.4999,1070.9999,2647552
2000-08-03,1044.9999,1064.2499,1028.9999,1037.9999,3555458
2000-08-04,1039.9999,1070.7499,1018.4999,1054.9999,4737335
2000-08-07,1080.9999,1119.9999,1024.9999,1099.9999,6014797
2000-08-08,1106.9999,1106.9999,1079.9999,1096.9999,4056593
2000-08-09,1099.9999,1108.9999,1089.9999,1098.9999,3512259
2000-08-10,1090.9999,1107.9999,1087.9999,1090.9999,5466818
2000-08-11,1109.9999,1134.9999,1094.9999,1124.9999,3633168
2000-08-14,1119.9999,1160.2499,1107.9999,1114.9999,2815504
2000-08-15,1128.9999,1144.9999,1099.9999,1141.9999,5030889
2000-08-16,1136.9999,1169.9999,1120.9999,1164.9999,4660674
2000-08-17,1154.9999,1166.7499,1142.9999,1154.9999,3593092
2000-08-18,1103.9999,1157.9999,1103.9999,1149.9999,3026670
2000-08-21,1137.9999,1164.9999,1134.9999,1162.9999,2923194
2000-08-22,1159.9999,1196.9999,1159.9999,1171.9999,7343328
2000-08-23,1171.9999,1215.9999,1169.9999,1189.9999,5881223
2000-08-24,1193.9999,1233.2799,1171.1399,1222.9999,6380324
2000-08-25,1204.9999,1246.9999,1104.9999,1204.9999,5702162
2000-08-29,1143.9999,1190.9999,1138.9999,1143.9999,4538064
2000-08-30,1169.9999,1169.9999,1124.9999,1139.9999,4612823
2000-08-31,1136.9999,1136.9999,1095.9999,1098.9999,4533829
2000-09-01,1110.9999,1175.9999,1096.9999,1141.9999,6503464
2000-09-04,1174.9999,1179.9999,1127.4999,1150.9999,4661731
2000-09-05,1142.9999,1179.9999,1139.9999,1159.9999,2317394
2000-09-06,1163.9999,1198.9999,1154.9999,1169.9999,5205148
2000-09-07,1164.9999,1169.9999,1059.9999,1159.9999,6993837
2000-09-08,1150.9999,1210.9999,1149.9999,1193.9999,5093244
2000-09-11,1245.9999,1245.9999,1149.9999,1207.9999,4234268
2000-09-12,1204.9999,1218.9999,1151.9999,1165.9999,6413127
2000-09-13,1153.9999,1183.9999,1136.9999,1144.9999,2924547
2000-09-14,1156.7999,1157.9999,1123.9999,1131.9999,6488547
2000-09-15,1079.9999,1158.9999,1079.9999,1135.9999,4774393
2000-09-18,1109.9999,1155.9999,1102.4999,1149.9999,4022596
2000-09-19,1124.9999,1151.9999,1124.9999,1129.9999,5667542
2000-09-20,1124.9999,1124.9999,1034.9999,1059.9999,8756407
2000-09-21,1023.9999,1059.9999,1013.9999,1031.9999,3075863
2000-09-22,1025.9999,1041.9999,1009.9999,1034.9999,1683023
2000-09-25,1069.9999,1184.9999,1021.9999,1031.9999,3526287
2000-09-26,1039.9999,1051.9999,1014.9999,1027.9999,3335608
2000-09-27,1026.9999,1059.9999,992.2499,1004.9999,2300389
2000-09-28,999.9999,1014.9999,984.9999,999.9999,7885550
2000-09-29,1014.9999,1029.9999,980.9999,980.9999,6387033
2000-10-02,997.9999,1007.9999,989.9999,989.9999,4017449
2000-10-03,1004.9999,1007.4999,984.9999,1004.9999,5095885
2000-10-04,1004.9999,1036.9999,1004.9999,1032.9999,10050951
2000-10-05,1034.9999,1047.9999,996.9999,1001.9999,5067623
2000-10-06,1002.9999,1019.9999,995.9999,1009.9999,6489756
2000-10-09,1009.9999,1101.9999,995.9999,999.9999,5095230
2000-10-10,1001.1999,1004.9999,969.9999,977.9999,6020480
2000-10-11,977.9999,997.9999,969.9999,984.9999,5373721
2000-10-12,969.9999,1004.9999,964.9999,964.9999,4290695
2000-10-13,968.1999,982.4999,955.9999,964.9999,2850836
2000-10-16,979.9999,989.9999,953.9999,955.9999,7187518
2000-10-17,979.9999,1011.9999,959.9999,962.9999,8224622
2000-10-18,965.9999,970.9999,921.7499,939.9999,4225642
2000-10-19,951.9999,962.7499,936.9999,944.9999,7637810
2000-10-20,961.9999,987.9999,954.4999,978.9999,4224512
2000-10-23,985.9999,1015.9999,975.9999,1002.9999,3953286
2000-10-24,1002.9999,1024.9999,993.9999,1014.9999,4279497
2000-10-25,1014.9999,1022.9999,987.9999,987.9999,5036962
2000-10-26,989.9999,1039.9999,989.9999,1027.9999,4588040
2000-10-27,1020.9999,1030.0499,998.9999,1014.9999,3569550
2000-10-30,1019.9999,1064.9999,1015.9999,1059.9999,2243203
2000-10-31,1059.9999,1140.9999,1059.2499,1114.9999,13474726
2000-11-01,1122.9999,1122.9999,1025.9999,1095.9999,5461470
2000-11-02,1089.9999,1104.9999,1049.9999,1089.9999,4981348
2000-11-03,1089.9999,1114.9999,1055.9999,1108.9999,4546843
2000-11-06,1114.9999,1129.9999,1089.9999,1126.9999,3254123
2000-11-07,1136.4999,1146.9999,1120.9999,1127.9999,4328019
2000-11-08,1129.4999,1133.9999,1114.4999,1119.9999,3942745
2000-11-09,1117.9999,1127.9999,1111.9999,1126.9999,2168873
2000-11-10,1129.9999,1129.9999,1104.9999,1119.9999,3249491
2000-11-13,1137.9999,1137.9999,1074.9999,1081.9999,6679640
2000-11-14,1086.9999,1180.9999,1052.9999,1052.9999,7358816
2000-11-15,1090.9999,1090.9999,1046.9999,1055.9999,5144441
2000-11-16,1061.9999,1064.9999,1049.9999,1061.9999,2933004
2000-11-17,1064.9999,1064.9999,1039.9999,1047.9999,3060463
2000-11-20,1046.9999,1046.9999,1010.9999,1026.9999,4101482
2000-11-21,1034.9999,1045.9999,1015.9999,1034.9999,2864327
2000-11-22,1039.9999,1039.9999,1003.9999,1019.9999,3952159
2000-11-23,1024.9999,1047.9999,1021.9999,1025.9999,2507571
2000-11-24,1035.9999,1074.9999,1027.9999,1040.9999,2501460
2000-11-27,1003.9999,1069.9999,1003.9999,1056.9999,874434
2000-11-28,1059.9999,1084.9999,1040.9999,1040.9999,3444389
2000-11-29,1053.2999,1055.9999,1038.9999,1050.9999,3452069
2000-11-30,1051.4999,1068.9999,1039.9999,1054.9999,4374307
2000-12-01,1053.9999,1074.9999,1053.9999,1054.9999,2850193
2000-12-04,1064.9999,1089.9999,1057.9999,1089.9999,4697068
2000-12-05,1080.9999,1155.9999,1080.9999,1146.9999,6308507
2000-12-06,1116.9999,1178.9999,1114.9999,1174.9999,7555023
2000-12-07,1177.9999,1199.9999,1144.9999,1154.9999,7225055
2000-12-08,1143.9999,1254.9999,1143.9999,1222.9999,7738582
2000-12-11,1219.9999,1219.9999,1178.9999,1189.9999,6399475
2000-12-12,1189.9999,1194.9999,1168.9999,1178.9999,3804954
2000-12-13,1149.9999,1164.9999,1129.9999,1149.9999,5786643
2000-12-14,1129.9999,1149.9999,1099.9999,1109.9999,4640814
2000-12-15,1122.9999,1140.9999,1075.9999,1105.9999,6074471
2000-12-18,1119.9999,1162.9999,1103.9999,1147.9999,3549498
2000-12-19,1150.9999,1199.9999,1134.9999,1191.9999,3723858
2000-12-20,1146.9999,1217.9999,1146.9999,1204.9999,4233774
2000-12-21,1197.9999,1197.9999,1151.9999,1164.9999,3972939
2000-12-22,1179.9999,1179.9999,1150.9999,1156.9999,997683
2000-12-27,1147.9999,1199.9999,1134.9999,1199.9999,1851617
2000-12-28,1189.9999,1201.9999,1171.9999,1181.9999,907474
2000-12-29,1184.9999,1189.9999,1164.9999,1177.9999,634465
2001-01-02,1168.9999,1184.9999,1154.9999,1164.9999,3508148
2001-01-03,1139.9999,1147.9999,1104.9999,1129.9999,2384832
2001-01-04,1149.9999,1241.9999,1149.9999,1231.9999,8972557
2001-01-05,1209.9999,1239.9999,1199.9999,1237.9999,10716427
2001-01-08,1239.9999,1273.9999,1239.9999,1245.9999,7429060
2001-01-09,1254.9999,1254.9999,1210.9999,1227.9999,4567059
2001-01-10,1236.9999,1236.9999,1164.9999,1169.9999,5413704
2001-01-11,1172.9999,1196.9999,1162.9999,1169.9999,3831336
2001-01-12,1176.9999,1189.9999,1160.9999,1179.9999,4188663
2001-01-15,1188.9999,1213.9999,1175.9999,1184.9999,1450667
2001-01-16,1184.9999,1198.9999,1153.9999,1192.9999,3921597
2001-01-17,1183.9999,1219.9999,1179.9999,1179.9999,5111185
2001-01-18,1188.9999,1204.9999,1129.9999,1193.9999,6058893
2001-01-19,1196.9999,1259.9999,1196.9999,1214.9999,6321613
2001-01-22,1209.9999,1249.9999,1209.9999,1249.9999,2553368
2001-01-23,1246.9999,1246.9999,1219.9999,1239.9999,3398849
2001-01-24,1244.9999,1255.9999,1199.9999,1211.9999,3911195
2001-01-25,1199.9999,1219.9999,1166.9999,1192.9999,3966181
2001-01-26,1192.9999,1214.9999,1186.9999,1204.9999,5826651
2001-01-29,1207.9999,1207.9999,1165.9999,1184.9999,3149454
