Date,Open,High,Low,Close,Volume
2021-03-31,331,390.39,271,287.45,89800407
2021-04-01,294,310.2473,275,282,18365397
2021-04-06,290,292.9,277.2,280,6645206
2021-04-07,283,292,280.25,286,6812160
2021-04-08,286.05,288.85,282,282,4516159
2021-04-09,283,285,254.5,254.5,9925571
2021-04-12,260,276.5,241.7,251,8270875
2021-04-13,254,266.3,251.9,265.3,6901324
2021-04-14,268,271.6,264.9309,270.2,5189440
2021-04-15,272.7,275,255,260,9467533
2021-04-16,260.8,262,244.5,247,5585908
2021-04-19,246.2,250.5727,237,239,3772896
2021-04-20,238,243.9,235.5,242.8,2042993
2021-04-21,243.2,245,231,233,2098490
2021-04-22,235.6,241.1,225.12,230.3,3171723
2021-04-23,231,236.9,224.44,233,1502540
2021-04-26,235,237.64,227,228,2311425
2021-04-27,230,242,228.8,242,3145410
2021-04-28,246.4,256,236.4,255.8,4255686
2021-04-29,258,260.9,255,260,2547598
2021-04-30,261,269,257,268,3749979
2021-05-04,271,271,260,262,2251835
2021-05-05,264.3,270,260.8,270,1635138
2021-05-06,270,271.1,256.89,263.2,3093136
2021-05-07,263.2,269.5,255.82,257.3,1599068
2021-05-10,259,263.8,243.5,247,2890196
2021-05-11,246.9,259,243.2,249,4183174
2021-05-12,251.1,256.9,243.5,243.7,2239740
2021-05-13,243.4,246.4,235.4,238.4,2875719
2021-05-14,240,240,231.1,234.1,3387412
2021-05-17,240,244.2,231.3,234.9,1073304
2021-05-18,239.1,243.1808,235.7,240.6,1006680
2021-05-19,240.5,243.9,235,241.2,1072050
2021-05-20,243,252,241.3,249,1653772
2021-05-21,250.3,252.5,243.8,250,1465220
2021-05-24,246,259.14,246,258,1268057
2021-05-25,257.5,263,256,260,2195648
2021-05-26,260,261.6,253.88,260,1160451
2021-05-27,260,263.4,251,253,795370
2021-05-28,253,255.9,248.4,251.4,668754
2021-06-01,250.5,254.9,240.7,246.1,1544104
2021-06-02,252,252,240.2,248.1,1734447
2021-06-03,250.8,257.4,244.6,257,1475319
2021-06-04,254.9,261.0833,252.2,257.6,1734832
2021-06-07,260,260,249.48,250,1230999
2021-06-08,250.1,257.2,247.54,253.3,1036759
2021-06-09,252.4,255.3,249.6,249.6,720916
2021-06-10,254.8,254.8,245.2,249.3,1231442
2021-06-11,248,258.8,248,255.4,1556552
2021-06-14,256,258.9,251,256.9,875996
2021-06-15,258,258.6,249.8,251.3,1498993
2021-06-16,252,256.7,246.7,256.5,1483194
2021-06-17,256.5,259.9,250.2215,259.9,1792697
2021-06-18,260,261.5,251.7,260.3,6403971
2021-06-21,258.2,260.3,253.1,256.2,1276734
2021-06-22,259,259.7,252,257.6,1108104
2021-06-23,253,259,251.6,251.6,1011916
