Date,Open,High,Low,Close,Volume
2000-01-04,296.094,309.1092,295.0094,296.094,2470822
2000-01-05,299.9552,307.1569,285.465,301.9508,3388169
2000-01-06,303.6862,303.6862,295.8771,301.0832,1790496
2000-01-07,312.146,312.146,290.6711,293.7079,3523129
2000-01-10,308.4584,308.4584,283.0789,288.9357,2243212
2000-01-11,283.2958,297.6125,282.862,285.8989,2720802
2000-01-12,288.9357,290.6711,272.4499,275.9206,2886857
2000-01-13,279.3913,281.9943,262.0378,264.207,2396853
2000-01-14,260.3024,321.0397,260.3024,277.2221,11246771
2000-01-17,281.9943,295.8771,275.9206,286.5496,6234258
2000-01-18,289.8034,296.7448,281.9943,295.0094,6819220
2000-01-19,290.4975,327.5472,281.9943,305.4215,14627571
2000-01-20,336.8314,336.8747,295.0094,304.5539,6828629
2000-01-21,306.2892,306.2892,295.0094,300.8662,3688124
2000-01-24,298.4801,321.0397,287.6342,293.491,2428126
2000-01-25,316.0072,316.0506,281.1266,301.0832,1561375
2000-01-26,303.6862,309.3261,296.7448,302.6016,2815002
2000-01-27,298.0463,304.5539,282.2112,297.6125,4345574
2000-01-28,303.6862,303.6862,287.2004,290.888,2728638
2000-01-31,300.2155,300.2155,286.3327,295.0094,5158422
2000-02-01,303.6862,308.0246,274.182,286.3327,2421972
2000-02-02,281.9943,285.8989,267.2438,271.1484,6838141
2000-02-03,275.0529,278.5236,267.0269,272.4499,2277314
2000-02-04,277.6559,277.6559,264.6408,267.0269,3583307
2000-02-07,274.1852,274.1852,245.552,254.8795,4437426
2000-02-08,265.5085,272.8837,242.9489,246.6366,7755467
2000-02-09,246.4196,258.5671,242.0813,257.2656,4027326
2000-02-10,253.7949,275.9206,253.361,267.8946,3603704
2000-02-11,268.9792,274.1852,253.7949,268.3284,3685235
2000-02-14,270.7145,278.5236,269.1961,273.1006,7212084
2000-02-15,234.2722,273.1006,234.2722,266.3762,8026150
2000-02-16,271.5822,279.3913,264.6408,278.0898,15768290
2000-02-17,265.9423,279.3913,256.181,266.81,4089617
2000-02-18,266.3762,272.0161,244.6843,252.2765,6471641
2000-02-21,252.4934,259.2178,243.8166,250.758,4449090
2000-02-22,251.6257,251.6257,228.1985,236.2245,5942269
2000-02-23,236.8752,244.9012,227.3308,236.0075,6920220
2000-02-24,237.8297,242.0813,229.0662,229.7169,4682092
2000-02-25,229.9338,240.3459,210.845,225.3785,6401577
2000-02-28,224.0336,228.8492,205.6389,220.3894,9115436
2000-02-29,220.3894,234.2722,219.5217,226.0293,3736536
2000-03-01,232.103,238.6106,224.9447,231.6692,4862206
2000-03-02,234.0553,239.4782,232.5368,234.0553,3959178
2000-03-03,240.7798,240.7798,216.051,225.3785,5247942
2000-03-06,223.8601,229.0662,219.0879,221.474,8417042
2000-03-07,223.6432,225.5955,216.9187,223.6432,8166677
2000-03-08,219.5217,223.8601,209.3265,216.4849,3593757
2000-03-09,256.8317,256.8317,206.5066,207.3743,3796377
2000-03-10,212.5803,229.9338,212.5803,227.1139,16630884
