Date,Open,High,Low,Close,Volume
2000-01-04,627.0422,644.9381,603.9841,620.5034,386005
2000-01-05,598.8219,622.2241,598.8219,613.6204,661145
2000-01-06,619.4709,633.2369,607.4256,630.8279,937865
2000-01-07,633.2369,651.8211,621.5358,631.5162,638357
2000-01-10,632.5486,632.8928,624.289,631.172,531459
2000-01-11,631.5162,631.5165,608.4581,626.0098,633320
2000-01-12,626.3539,636.6784,624.289,634.2694,902552
2000-01-13,629.7954,629.7954,591.9389,603.2958,150103
2000-01-14,612.5879,612.5879,591.9389,606.3932,303074
2000-01-17,619.4709,619.4709,585.0559,588.1532,184063
2000-01-18,579.8936,579.8936,560.9653,574.7313,748649
2000-01-19,567.8483,580.2378,558.5563,571.2898,1390888
2000-01-20,571.2898,572.6664,547.0272,568.1925,1740431
2000-01-21,550.6408,581.9585,550.6408,565.4393,389345
2000-01-24,560.277,571.634,557.5238,559.2446,537428
2000-01-25,558.2121,558.2121,503.148,513.4726,305915
2000-01-26,528.6152,533.4333,485.2522,486.6288,891985
2000-01-27,513.4726,513.4726,484.5639,494.5443,1748274
2000-01-28,493.5118,499.2729,485.2522,492.8235,920904
2000-01-31,492.1352,499.7065,488.6937,494.2001,683185
2000-02-01,492.8235,502.4597,490.7586,495.5767,855027
2000-02-02,497.6416,497.6416,488.6937,488.6937,908399
2000-02-03,481.8107,516.2258,481.8107,494.2001,1654911
2000-02-04,497.9858,516.2258,493.5118,496.9533,414829
2000-02-07,513.4726,519.3231,492.1352,495.5767,708727
2000-02-08,499.0182,499.0182,450.1489,457.376,775643
2000-02-09,457.7202,481.8107,457.7202,463.2266,1098741
2000-02-10,466.6681,466.6681,439.136,441.8893,2896357
2000-02-11,481.8107,481.8107,416.5942,457.0319,316242
2000-02-14,544.4461,544.4461,448.7723,468.0447,596523
2000-02-15,461.1617,468.0447,461.1617,462.1941,1137489
2000-02-16,468.733,482.1549,463.9149,482.1549,1180746
2000-02-17,480.09,495.9209,479.7458,490.0703,800865
2000-02-18,492.8235,495.5767,485.9405,492.8235,628124
2000-02-21,474.2394,523.1088,474.2394,523.1088,577921
2000-02-22,530.6801,532.0567,517.6024,526.2061,1101447
2000-02-23,530.6801,552.3616,528.6152,546.1669,1207286
2000-02-24,547.1993,547.1993,523.1088,525.1737,830107
2000-02-25,532.745,546.8552,521.388,528.271,374257
2000-02-28,543.0695,543.0695,529.9918,535.4982,806871
2000-02-29,534.8099,540.3163,512.096,530.6801,1090336
2000-03-01,547.1993,547.1993,518.979,538.9397,451880
2000-03-02,525.1737,538.2514,525.1737,531.3684,243935
2000-03-03,535.4982,536.1865,501.7714,516.2258,1279899
2000-03-06,527.2386,538.9397,502.4597,525.5178,958336
2000-03-07,525.5178,543.0695,512.096,512.096,330331
2000-03-08,505.5571,525.1737,484.5639,488.6937,397955
2000-03-09,485.2522,507.7941,485.2522,495.2326,472314
2000-03-10,500.3948,501.0831,477.6809,493.5118,254927
2000-03-13,508.9986,508.9986,469.4213,485.5964,448467
2000-03-14,489.5885,505.9012,481.8107,493.5118,560395
2000-03-15,520.3556,526.5503,481.8107,520.3556,705294
2000-03-16,550.6408,560.9653,524.4854,553.0499,650011
2000-03-17,567.8483,588.1532,554.0823,559.5887,1886502
2000-03-20,576.108,576.108,550.6408,576.108,398029
2000-03-21,536.1865,577.4846,536.1865,573.6989,805611
2000-03-22,536.8748,581.6144,536.8748,578.8612,495339
2000-03-23,575.4197,589.1857,572.6664,585.0559,822448
2000-03-24,589.7019,589.7019,552.7057,557.5238,1685645
2000-03-27,548.9201,557.5238,536.8748,548.9201,937998
2000-03-28,554.7706,585.0559,539.1118,552.3616,1954129
2000-03-29,556.1472,564.4068,538.2514,549.9525,1701929
2000-03-30,551.3291,554.0823,516.2258,521.0439,531672
