Date,Open,High,Low,Close,Volume
2000-01-04,1011.1414,1020.4435,1004.6299,1013.467,338310
2000-01-05,1009.281,1016.7227,986.0257,989.7465,3544250
2000-01-06,988.5372,1006.4904,972.0725,1002.3044,3210317
2000-01-07,997.1882,1007.4206,958.1193,962.7703,6479297
2000-01-10,967.4214,979.0491,951.6078,976.7235,3157258
2000-01-11,979.5142,1009.281,979.5142,1002.3044,5081856
2000-01-12,1006.4904,1018.8157,998.1184,1013.9321,3968027
2000-01-13,1009.281,1029.7457,1009.281,1024.1644,3439106
2000-01-14,1034.3967,1037.1874,1021.3738,1030.2108,3056139
2000-01-17,1030.2108,1116.2555,1030.2108,1102.3023,1969314
2000-01-18,1105.279,1125.5576,1083.698,1090.6746,3048770
2000-01-19,1083.698,1092.0699,1065.0938,1070.675,917226
2000-01-20,1072.0704,1074.3959,1039.978,1044.164,1317560
2000-01-21,1051.1406,1051.1406,1007.4206,1013.0018,2698966
2000-01-24,1008.3508,1028.8155,1004.6299,1009.281,1372908
2000-01-25,1002.7695,1013.9321,987.8861,993.9325,3280101
2000-01-26,987.8861,999.9789,982.3048,988.8163,781224
2000-01-27,997.1882,1004.6299,986.0257,993.9325,1250282
2000-01-28,988.8163,995.3278,962.7703,966.0261,4079560
2000-01-31,958.1193,967.4214,946.9567,951.1427,1278607
2000-02-01,953.4682,953.4682,927.4223,930.2129,1104376
2000-02-02,930.2129,930.2129,888.3533,896.2601,1486708
2000-02-03,897.6554,902.3065,869.7491,876.7257,1685363
2000-02-04,876.7257,879.5163,860.4469,866.4933,3087812
2000-02-07,860.4469,869.7491,837.1916,841.8427,3886120
2000-02-08,839.5171,846.4937,826.9593,833.4708,5082437
2000-02-09,832.0754,960.4448,831.1452,960.4448,5824251
2000-02-10,986.0257,1117.1857,972.0725,1099.9767,5427399
2000-02-11,1106.9533,1106.9533,1041.8384,1065.0938,1806699
2000-02-14,1070.675,1074.3959,1029.7457,1034.8618,1039843
2000-02-15,1027.8853,1102.3023,999.9789,1006.9555,563381
2000-02-16,1018.5831,1060.4427,1013.9321,1051.1406,1639937
2000-02-17,1060.4427,1066.9542,1041.8384,1055.7916,1778341
2000-02-18,1049.2801,1063.2333,1046.4895,1053.4661,1151682
2000-02-21,1041.8384,1060.4427,1041.8384,1050.6755,324384
2000-02-22,1045.0942,1060.4427,1020.4435,1028.8155,1339680
2000-02-23,1035.327,1093.0002,1020.4435,1081.8376,2779444
2000-02-24,1093.0002,1156.2546,1090.2095,1149.7431,1819751
2000-02-25,1136.7202,1148.8129,1134.8597,1141.8363,825943
2000-02-28,1149.7431,1232.5321,1134.8597,1194.3934,3131819
2000-02-29,1199.0444,1199.9746,1158.1151,1165.0917,2449436
2000-03-01,1153.464,1177.6495,1136.7202,1167.4172,3576659
2000-03-02,1174.8589,1176.7193,1125.5576,1141.8363,2086110
2000-03-03,1137.6504,1190.6725,1134.8597,1176.7193,5551265
2000-03-06,1183.2308,1207.4163,1171.4822,1192.998,4320440
2000-03-07,1199.9746,1306.9491,1186.0214,1288.3449,4772308
2000-03-08,1279.0427,1381.3662,1265.0895,1275.787,10488760
2000-03-09,1265.0895,1276.2521,1246.4853,1262.764,1991651
2000-03-10,1260.4385,1292.9959,1259.9734,1283.6938,2763355
2000-03-13,1291.6006,1292.9959,1265.0895,1272.0661,3092963
2000-03-14,1260.4385,1344.1576,1260.4385,1325.5534,2867186
2000-03-15,1318.1117,1334.8555,1306.9491,1316.2512,10383568
2000-03-16,1306.9491,1321.8325,1269.7406,1283.6938,3225110
2000-03-17,1295.3215,1316.2512,1288.3449,1304.6236,11839854
2000-03-20,1346.0181,1346.0181,1281.8334,1292.9959,1445372
2000-03-21,1281.8334,1300.4376,1209.2768,1237.1832,2697818
2000-03-22,1219.9742,1279.0427,1190.6725,1208.3466,4758256
2000-03-23,1199.9746,1252.9968,1167.4172,1176.7193,4788391
2000-03-24,1156.2546,1168.0014,1120.9065,1130.2087,945300
2000-03-27,1132.0691,1134.8597,1116.2555,1127.418,857926
2000-03-28,1128.3482,1178.5797,1125.5576,1167.4172,1464868
2000-03-29,1176.7193,1224.1602,1176.7193,1207.4163,1829636
2000-03-30,1172.0682,1172.0682,1088.3491,1097.6512,590662
2000-03-31,1051.1406,1126.4878,1041.8384,1078.1167,825585
2000-04-03,1079.047,1130.2087,1046.4895,1046.4895,1124230
2000-04-04,962.7703,1010.2112,883.7023,930.2129,1114622
2000-04-06,948.8172,1042.7687,948.8172,995.3278,3428035
2000-04-07,1041.8384,1069.7448,1018.118,1060.4427,2874107
2000-04-10,1162.7661,1172.0682,1144.1619,1145.0921,7347128
2000-04-11,1072.5355,1159.0453,1069.7448,1079.047,1725402
2000-04-12,1073.4657,1098.5814,1065.0938,1069.7448,1001164
2000-04-13,976.7235,1023.2342,967.4214,1023.2342,318314
2000-04-14,1004.6299,1098.5814,1004.6299,1060.4427,641840
2000-04-17,930.2129,1017.6529,930.2129,948.8172,422481
2000-04-18,1020.4435,1069.7448,965.561,1056.7219,2161828
2000-04-19,1032.5363,1106.9533,1030.6759,1069.7448,998878
2000-04-20,1046.4895,1103.2325,1041.8384,1088.3491,3498931
2000-04-25,1073.4657,1084.6282,1032.5363,1060.4427,1251252
2000-04-26,1069.7448,1159.0453,1069.7448,1120.9065,3383583
2000-04-27,1106.9533,1159.0453,1082.7678,1120.9065,914597
2000-04-28,1072.5355,1116.2555,1026.955,1102.3023,985081
2000-05-02,1044.6291,1089.2793,1044.6291,1060.4427,295168
2000-05-03,1060.4427,1060.4427,1026.955,1039.0478,431814
2000-05-04,1055.7916,1074.3959,1046.4895,1071.6053,1854375
2000-05-05,1093.9304,1097.6512,1084.6282,1093.0002,1012278
2000-05-08,1026.955,1093.9304,1026.955,1088.3491,354851
2000-05-09,1069.7448,1090.2095,1069.7448,1074.3959,1968762
2000-05-10,1063.2333,1079.047,1032.5363,1041.8384,240055
2000-05-11,1039.978,1039.978,958.1193,994.3976,1105212
2000-05-12,1001.8393,1001.8393,976.7235,981.3746,1140462
2000-05-15,348.8299,348.8299,327.435,333.0163,245243
2000-05-16,333.9465,335.8069,330.2256,334.8767,253180
2000-05-17,337.6673,344.1788,334.8767,342.3184,1023634
