Date,Open,High,Low,Close,Volume
2000-01-04,467,502,467,496,944880
2000-01-05,496,511,494,502,2901288
2000-01-06,484.5,548,470,515.25,1765208
2000-01-07,529,535.5,477,521,1958849
2000-01-10,517,548,516.5,535.25,3526755
2000-01-11,540,550,522.5,531.5,2316858
2000-01-12,560,560,504,511,2710829
2000-01-13,503,528,503,517.75,1020516
2000-01-14,517.3,558,516.5,537.25,2097470
2000-01-17,540,553.75,525,525.5,1971671
2000-01-18,538,558,528,533.75,5607197
2000-01-19,538.7,539,520,528.75,4674621
2000-01-20,523.5,531.25,512.5,523.5,4855644
2000-01-21,522.7,540,520,534.75,2125394
2000-01-24,545.5,545.5,510,518.75,2199735
2000-01-25,520,524,500,515.75,2424984
2000-01-26,507.5,538,506,514.75,2819471
2000-01-27,510,517,507,510.25,1952671
2000-01-28,505.5,508.75,493.5,496.5,2147557
2000-01-31,520,520,480.5,481.75,2158668
2000-02-01,488,489.75,450,474,1741027
2000-02-02,500,500,456,466.5,3086463
2000-02-03,454,469,450,458,1482835
2000-02-04,476,480,423.25,437,7105462
2000-02-07,440,475,424,435.25,3771309
2000-02-08,428.2,468.5,425,457,4159000
2000-02-09,496,498,450,469.25,1685520
2000-02-10,472,472,437,437.5,1517479
2000-02-11,460,460,416.5,427.5,3682324
2000-02-14,424,457.5,424,442.75,2789848
2000-02-15,444,497,435,449.75,4528494
2000-02-16,466,466,442,460.25,2816002
2000-02-17,468.5,514,454,503.5,6541764
2000-02-18,505,532,480,510.75,7396428
2000-02-21,490,531.5,490,522.25,6382688
2000-02-22,528,555,527,527.25,8137466
2000-02-23,529,548,526,541.5,5271155
2000-02-24,529,562,529,549.5,4807301
2000-02-25,540,557,525,537.75,1840373
2000-02-28,534,550,531.25,537.25,2177194
2000-02-29,545,556,513,530.25,3235117
2000-03-01,530.5,550,529,546.5,6829487
2000-03-02,537,544,520,534.25,3435762
2000-03-03,527,550,520,539.75,1644446
2000-03-06,520,548,520,522,987456
2000-03-07,520,530,477,500,3207426
2000-03-08,491.5,538.5,480.5,503,4153993
2000-03-09,516,516,465,472,4285919
2000-03-10,459,485,450,462.75,5418366
2000-03-13,449,470,449,461,1347868
2000-03-14,450,471.5,450,458.25,1458326
2000-03-15,461,490,440,478.25,3770267
2000-03-16,500,515,455,507.25,3059253
2000-03-17,516.8,547,488,505.75,2152574
2000-03-20,555,555,460,502.5,1379126
2000-03-21,505.5,512.5,497,502.5,1276086
2000-03-22,507,545,470,492,1126836
2000-03-23,511,514,491,507,2366104
2000-03-24,516,525.5,495,523,2614599
2000-03-27,514,559,514,546.5,3477913
2000-03-28,541.5,566.5,540,559,7057926
2000-03-29,541.5,562,526.5,548,1498906
2000-03-30,521.5,550,510,527,3142032
2000-03-31,529,546,508,513,3244414
2000-04-03,504,537,487,494,2625208
2000-04-04,498,536.5,495,527.5,2688916
2000-04-06,528.5,528.5,491,515.5,1179817
2000-04-07,512,634,510,538,1643083
2000-04-10,500,555.5,500,545.5,817799
2000-04-11,520,565,520,535,2262548
2000-04-12,529,550,520,532.5,6322399
2000-04-13,512,546,510,528.5,1799461
2000-04-14,534,538,499.5,537,2601769
2000-04-17,496.5,535,495,519,1416559
2000-04-18,534,545,512,536.5,2879860
2000-04-19,538.5,540,502.5,520.5,2917155
2000-04-20,522,575,520,534,2565053
2000-04-25,540,540,520,537.5,1994280
2000-04-26,585,589,525,535,764986
2000-04-27,536,540,525,535.5,2704688
2000-04-28,536,552,535,541.5,1396983
2000-05-02,545,570,540,562.5,1593289
2000-05-03,550,580,546.5,562,1266189
2000-05-04,554,626,539.5,555.5,1482181
2000-05-05,535,570,505.5,535,1627818
2000-05-08,536,555,523,525.5,1457075
2000-05-09,501.5,538,501.5,516.5,2445309
2000-05-10,508,566,505,524.5,1615409
2000-05-11,504,535,504,527,3015991
2000-05-12,525,540,521.25,534,2952893
2000-05-15,528,566,524,541,2564630
2000-05-16,555.5,563,540,555.5,2520638
2000-05-17,551,563,537.5,550.5,1758565
2000-05-18,524,557,524,550.5,883173
2000-05-19,552,559.5,511,534.5,981902
2000-05-22,538.5,544.5,525.5,538.5,3264985
2000-05-23,532,540.5,525,537,3020944
2000-05-24,528,540.5,527,537,2744253
2000-05-25,534,542,499,526.5,1450935
2000-05-26,519,531.75,519,529.5,1562003
2000-05-30,530,546,515,530,2462483
2000-05-31,541,541,424.5,521.5,3865757
2000-06-01,525,545,506,515.5,1490229
2000-06-02,590,590,520,525,1564282
2000-06-05,520,537.5,496,520,1976706
2000-06-06,545,546,504,520,2737350
2000-06-07,521.5,546,518,518,2426417
2000-06-08,509.5,526,509.5,520,2497259
2000-06-09,520,551.5,520,540,2012287
2000-06-12,547,548,527.5,533,779119
2000-06-13,524,540,519,527,2556224
2000-06-14,531,550,525.5,540,4514054
2000-06-15,540,616,533.6949,549.5,5377329
2000-06-16,550,559,518,543.5,2562292
2000-06-19,529,566,529,565,1506473
2000-06-20,537,580,537,560,1904639
2000-06-21,596,596,544,557,2124081
2000-06-22,548,563,528.5,559,4283532
2000-06-23,544,568.5,544,545,895538
2000-06-26,527,596.75,527,555,846710
2000-06-27,539,563,537,560,596046
2000-06-28,561.5,565,535.5,548,1464699
2000-06-29,558,597,541,587,3872758
2000-06-30,569.5,606,566,606,2617107
2000-07-03,580,588,578,580,5238496
2000-07-04,577,603,575,591,1308375
2000-07-05,598,613.5,598,598,1344140
2000-07-06,579,599,579,594,4718292
2000-07-07,592.5,607.5,590,597,2780365
2000-07-10,580,600,580,594,1416605
2000-07-11,525.5,597,525.5,592,2961106
2000-07-12,592,595,562,582,3700737
2000-07-13,585,589.5,555.5,588,3884998
2000-07-14,582,595.5,566,581,5250183
2000-07-17,586,590,572,579,937733
2000-07-18,568,582,565.5,568,965610
2000-07-19,570,570,553.5,565.5,2415223
2000-07-20,554.5,575.5,554,560.5,2681783
2000-07-21,568,581,564,570,1568762
2000-07-24,585,585,560,560,631228
2000-07-25,560,662,555,562,883228
2000-07-26,550,580,550,560,1004396
2000-07-27,525,566.5,525,558,884578
2000-07-28,565,598.5,537,573,1045249
2000-07-31,572,577,548,548,1389767
2000-08-01,543,578,543,565.5,4175404
2000-08-02,566,582,565,576,1969613
2000-08-03,525,586,525,579,26174430
2000-08-04,578.5,580,569,575,1435296
2000-08-07,575.5,589.75,575,584,1487600
2000-08-08,581,590,562.5,585,1970948
2000-08-09,582,601.5,582,599,2567404
2000-08-10,594,610,591,598,1658685
2000-08-11,584.5,599,582.5,599,631697
2000-08-14,591,615,588,605,1366692
2000-08-15,599,613.5,593,597.5,1654883
2000-08-16,582,605,582,601.5,10680650
2000-08-17,590,613.5,590,597,1159317
2000-08-18,630,630,572.5,599,2332608
2000-08-21,591,593,565,589,1107548
2000-08-22,580.5,592.5,579,592,2400406
2000-08-23,591,596,580,580,9866305
2000-08-24,582,584,572,580,981825
2000-08-25,576,590,568.5,582,1094246
2000-08-29,575,586,564,580,860571
2000-08-30,578,580,500,571,2180847
2000-08-31,570,570,551,558,4415943
2000-09-01,554,588,554,560,3795090
2000-09-04,581,581,529.25,531,7773950
2000-09-05,529,551,515,526,5361605
2000-09-06,523,534.5,523,529.5,3311846
2000-09-07,534,541.35,525.5,529,2315137
2000-09-08,530.5,550,504,515,1288060
2000-09-11,510,535,505.5,510,4674581
2000-09-12,513,515.5,503.75,508.5,4457816
2000-09-13,508.8,530.2,507,509,3470833
2000-09-14,508.5,531.59,503.5,510,2703818
2000-09-15,528,528.5,506,506,3555672
2000-09-18,528,533,513,521.5,3363706
2000-09-19,530,538,525,528,1970934
2000-09-20,530,578,522.5,525,2401555
2000-09-21,530.5,545,520,522,1230155
2000-09-22,516,557,516,538,5523087
2000-09-25,546,560,535.5,540,2896559
2000-09-26,540,543.5,536,538.5,2187621
2000-09-27,538.5,628,537,548,2251750
2000-09-28,551.5,577.7,548.5,553,5654354
2000-09-29,570,573.7,532.5,552,3171840
2000-10-02,560,565,533.5,556.5,2882452
2000-10-03,553.5,556,543,550,3489142
2000-10-04,551,553,535,541,917735
2000-10-05,544,544,536,540,2907533
2000-10-06,540,571,537,565,5326573
2000-10-09,558,567.5,555,560.5,1377916
2000-10-10,555,564.5,555,561,2922488
2000-10-11,550,570,550,570,5720710
2000-10-12,563.5,574.5,560,563,1550121
2000-10-13,564.5,575,547,565,3191913
2000-10-16,552,591,552,563,13901230
2000-10-17,559,577.5,555,577,2426049
2000-10-18,573,590,573,584,3219827
2000-10-19,579,580,552,562,2818090
2000-10-20,559,578.5,558,572.5,2746770
2000-10-23,572,585,559,585,10231900
2000-10-24,574.5,582,566,569,2864574
2000-10-25,581.5,599,561,587,1717306
2000-10-26,579,595,576,590,1538777
2000-10-27,582,585,573.5,583.5,2010047
2000-10-30,580,587,547.5,576,774092
2000-10-31,578.5,580,572.5,573,2301122
2000-11-01,572,575,539.5,568.5,1713500
2000-11-02,576.2,580,560.5,580,1781208
2000-11-03,555,595,555,583,3209769
2000-11-06,581.5,583.5,565,572,1615754
2000-11-07,577,577,560.5,577,2906083
2000-11-08,564,591.25,564,578,1775072
2000-11-09,578.3,598,560,591,3164531
2000-11-10,592,606,589,603,3207709
2000-11-13,597,608.304,597,605,1908101
2000-11-14,612,612.5,582,582,1535324
2000-11-15,595,617.5,591.5,600,3497152
2000-11-16,607.5,620,599,613.5,3375836
2000-11-17,587,623.5,587,615,2398876
2000-11-20,618,619.5,596.5,610,2126711
2000-11-21,610,635,610,635,2365601
2000-11-22,624,640,621,633,2182344
2000-11-23,622,637,620.5,626,2712931
2000-11-24,620.2,664.5,618.5,645,2283814
2000-11-27,632,659.5,630,659.5,3090641
2000-11-28,643.5,656,616.5,619.5,2155344
2000-11-29,620,658.5,620,652,3414841
2000-11-30,649.5,655.25,635.5,647.5,2586375
2000-12-01,620.5,648.75,615,620.5,3867401
2000-12-04,635,635,575,600,1185500
2000-12-05,608,634,604.5,618.5,3272925
2000-12-06,617,617,601,601,9349989
2000-12-07,606,624.5,604,612,3576345
2000-12-08,611.5,623,611,619,3123862
2000-12-11,615,621,610,617,2621081
2000-12-12,610,616,585.5,603,2192032
2000-12-13,594.5,603,593.5,600,1506760
2000-12-14,600,605,586.5,602,1211208
