Date,Open,High,Low,Close,Volume
2014-07-10,182.1059,185.4169,173.8284,178.5879,149503996
2014-07-11,179.0018,190.3834,173.8284,186.0377,39139222
2014-07-14,186.2447,189.5557,173.8284,186.2447,2437938
2014-07-15,184.5891,186.6586,184.5891,185.003,344431
2014-07-16,183.7614,190.3834,183.7614,186.8654,762806
2014-07-17,190.1765,190.3834,183.7614,186.4516,1005488
2014-07-18,186.2447,189.3488,185.8308,186.2447,372751
2014-07-21,186.2447,190.7146,184.5891,184.5891,141841
2014-07-22,187.0724,188.8934,182.1059,182.1059,217360
2014-07-23,185.4169,187.6932,184.5891,187.6932,241914
2014-07-24,189.5557,189.5557,186.4516,188.7279,211122
2014-07-25,188.7279,190.3834,183.1406,186.2447,237948
2014-07-28,184.7961,187.4863,184.1752,187.4863,43774
2014-07-29,184.7961,189.3322,184.7961,185.4169,118914
2014-07-30,185.6238,189.9116,185.4169,185.4169,21969
2014-07-31,185.6238,190.1765,185.2315,190.1765,626357
2014-08-01,187.4863,190.3834,185.6238,189.5557,401782
2014-08-04,190.1765,190.3834,186.6586,189.5557,175777
2014-08-05,190.3834,192.8667,185.4169,190.3834,428740
2014-08-06,189.9695,190.3834,186.8654,190.1765,93251
2014-08-07,190.3834,190.3834,188.1071,189.8661,34378
2014-08-08,184.7961,194.5222,184.7961,192.039,670168
2014-08-11,192.8667,196.7985,190.3834,195.7638,136336
2014-08-12,194.5222,198.0236,192.4529,195.5569,178233
2014-08-13,200.3165,200.3165,191.832,195.3499,220294
2014-08-14,199.9026,200.9373,197.2124,198.661,207228
2014-08-15,195.7638,200.9373,194.5222,197.4193,163006
2014-08-18,196.1777,201.972,193.6945,200.5234,154596
2014-08-19,198.8679,204.8277,198.8679,200.3165,107949
2014-08-20,206.9385,206.9385,200.1095,202.7997,339297
2014-08-21,200.3165,205.8624,198.661,202.7997,197261
2014-08-22,203.6275,204.4552,201.4753,203.8344,66614
2014-08-26,199.4888,205.8872,199.4888,204.4552,54305
2014-08-27,204.4552,204.4552,201.972,201.972,22247
2014-08-28,199.6956,203.2798,194.5222,194.5222,239603
2014-08-29,198.661,203.6275,198.661,201.5581,3376009
2014-09-01,201.5581,204.4552,199.9026,203.2136,1479443
2014-09-02,206.9385,206.9385,202.5928,202.7997,301065
2014-09-03,202.7997,204.8691,201.972,203.2136,1694065
2014-09-04,202.7997,208.387,202.7997,206.9385,184876
2014-09-05,203.2136,213.7675,203.2136,213.5606,135023
2014-09-08,212.112,213.5606,207.7663,210.2495,137084
2014-09-09,207.9732,213.5606,207.9732,209.8356,169785
2014-09-10,214.3883,215.0091,208.801,211.0772,738699
2014-09-11,209.6287,211.5988,208.594,209.0079,66642
