Date,Open,High,Low,Close,Volume
2000-01-04,770.5394,795.4214,744.4534,750.0719,3407851
2000-01-05,689.4722,730.4071,689.4722,720.3741,4446116
2000-01-06,678.2352,714.3542,666.1955,671.814,5052437
2000-01-07,703.1172,732.4137,670.4094,677.4325,3934796
2000-01-10,692.6828,697.4987,682.2484,692.6828,2026744
2000-01-11,694.2881,699.104,662.9849,664.5902,2560930
2000-01-12,656.5638,699.5053,654.9585,695.8934,3841441
2000-01-13,706.3278,714.3542,690.2749,705.5251,4975001
2000-01-14,700.7092,731.2098,700.7092,723.5846,2904075
2000-01-17,721.578,751.2759,704.5218,716.3608,4515482
2000-01-18,705.5251,724.7886,678.2352,685.0577,3733468
2000-01-19,645.3267,694.4887,645.3267,664.9915,3370327
2000-01-20,674.222,674.222,610.0103,624.8593,5362896
2000-01-21,626.0632,680.6431,618.0368,664.5902,4058741
2000-01-24,661.781,683.8537,654.1558,655.7611,1746657
2000-01-25,650.1426,650.1426,626.0632,641.3135,1892276
2000-01-26,637.3003,689.8735,635.695,686.2616,4511235
2000-01-27,682.2484,732.0124,678.2352,681.4458,6201305
2000-01-28,695.0907,695.0907,642.9188,649.7413,2803544
2000-01-31,654.1558,654.1558,605.9971,618.8394,2938915
2000-02-01,642.1161,642.1161,617.2341,628.4712,4415485
2000-02-02,640.1095,666.1955,630.0765,638.5042,2842632
2000-02-03,631.6818,658.1691,631.6818,654.9585,2924890
2000-02-04,674.222,674.222,610.0103,617.6355,5301990
2000-02-07,619.6421,619.6421,583.5231,593.9574,4498286
2000-02-08,638.9056,665.3929,602.3852,661.781,6108337
2000-02-09,677.8339,688.6696,623.6553,634.8923,4180303
2000-02-10,626.0632,638.1029,597.168,612.017,2290728
2000-02-11,624.8593,625.8626,560.6477,579.5098,6641699
2000-02-14,585.931,585.931,537.1703,551.0159,3193066
2000-02-15,561.8516,586.3323,536.167,540.1802,8293389
2000-02-16,576.2992,577.9045,549.812,572.6873,5877258
2000-02-17,576.2992,605.9971,569.8781,600.7799,4442067
2000-02-18,610.0103,641.3135,599.9773,617.2341,4277860
2000-02-21,622.05,622.05,569.8781,606.3984,5247512
2000-02-22,610.0103,610.0103,567.8715,570.2794,7103516
2000-02-23,593.1548,616.4315,585.931,601.5826,9472933
2000-02-24,618.8394,645.3267,604.7931,642.9188,12432618
2000-02-25,643.7214,668.2021,642.1161,658.1691,7126942
2000-02-28,634.0897,682.2484,631.6818,670.2087,2218731
2000-02-29,675.8272,719.1701,663.7876,717.5648,2089378
2000-03-01,722.3807,736.427,714.7555,719.1701,5172127
2000-03-02,701.5119,720.7754,662.1823,701.5119,2920744
2000-03-03,694.2881,722.2683,669.0048,681.0444,2395856
2000-03-06,642.1161,662.1823,610.0103,634.0897,8519950
2000-03-07,634.0897,635.695,605.9971,630.4778,12379208
2000-03-08,630.8791,659.7743,617.6355,647.3333,6833967
2000-03-09,650.1426,660.9783,642.1161,644.1228,2608182
2000-03-10,662.9849,662.9849,642.1161,646.1294,4495577
2000-03-13,620.0434,641.3135,609.2077,637.3003,5137453
2000-03-14,640.5109,648.5373,634.0897,637.3003,2846258
2000-03-15,630.0765,660.9783,630.0765,646.1294,2281123
2000-03-16,655.7611,678.2352,653.3532,664.1889,4037491
2000-03-17,679.0378,709.5383,658.5704,693.0841,7971987
2000-03-20,694.2881,709.9397,666.1955,694.2881,3804778
2000-03-21,714.3542,714.3542,675.0246,684.6563,4679666
2000-03-22,692.6828,700.3079,674.222,685.8603,3739620
2000-03-23,669.4061,695.0907,669.4061,683.0511,3506320
2000-03-24,699.6658,746.46,682.6497,722.3807,6639645
2000-03-27,682.2484,726.3939,682.2484,722.782,3137652
2000-03-28,706.3278,763.3958,706.3278,737.6309,8496558
2000-03-29,670.2087,749.4461,670.2087,734.019,5793079
2000-03-30,722.3807,730.4071,683.8537,689.8735,4388289
2000-03-31,686.2616,696.8967,670.2087,685.8603,8814562
2000-04-03,717.1635,719.9727,682.2484,717.1635,5022104
2000-04-04,722.3807,770.5394,722.3807,765.3222,8802177
2000-04-06,685.459,736.0256,683.8537,693.4854,3978561
2000-04-07,676.2286,722.3807,676.2286,719.9727,3108133
2000-04-10,701.5119,748.0653,701.5119,740.8415,12421678
2000-04-11,747.2627,752.8812,712.7489,721.1767,5528099
2000-04-12,717.5648,758.4997,717.5648,738.8349,5661635
2000-04-13,724.3873,736.4045,719.9727,730.8084,4939050
2000-04-14,727.9992,727.9992,698.3013,704.3212,3786640
2000-04-17,662.1823,687.0643,642.9188,666.5968,5093897
2000-04-18,677.0312,677.0312,650.1426,660.9783,7193338
2000-04-19,666.1955,666.1955,647.9353,656.5638,3906288
