Date,Open,High,Low,Close,Volume
2000-10-24,228.6522,241.718,227.3456,238.4516,9416230
2000-10-25,241.0648,250.2108,236.4917,245.6378,2697132
2000-10-26,241.718,245.4745,235.1851,240.7381,695383
2000-10-27,239.7582,239.7582,235.1851,239.4315,668117
2000-10-30,238.0596,241.718,237.145,239.4315,157534
2000-10-31,238.4516,240.9014,237.145,239.4315,1029174
2000-11-01,241.0648,241.718,238.4516,241.718,106136
2000-11-02,241.0648,248.251,241.0648,247.9243,446741
2000-11-03,253.4773,262.7541,248.251,260.6635,1329556
2000-11-06,261.3168,263.93,260.0102,262.2967,406989
2000-11-07,263.7667,266.5431,263.7667,264.5833,57558
2000-11-08,267.8497,274.3827,267.8497,270.4629,762876
2000-11-09,268.699,269.287,256.7438,262.6234,265444
2000-11-10,264.5833,264.5833,260.0102,262.2967,53924
2000-11-13,260.0102,262.2967,260.0102,262.2967,5096
2000-11-14,264.5833,268.503,261.9701,266.2165,643024
2000-11-15,264.5833,264.9099,261.3168,264.9099,623432
2000-11-16,263.2767,263.2767,260.0102,263.2767,28081
2000-11-17,260.0102,262.2967,260.0102,262.2967,578
2000-11-20,261.3168,261.3168,258.0504,260.6635,310130
2000-11-21,258.0504,259.6836,258.0504,259.6836,81224
2000-11-22,258.0504,258.7036,251.5174,252.4974,407133
2000-11-23,248.9043,251.5174,244.9845,247.5977,194024
2000-11-24,248.251,250.2108,244.9845,247.5977,21495
2000-11-27,244.9845,250.2108,244.9845,248.251,17214
2000-11-28,246.2911,248.251,244.9845,247.5977,520620
2000-11-29,245.9644,250.2108,244.9845,248.251,164614
2000-11-30,246.2911,251.5174,246.2911,249.2309,77269
2000-12-01,251.5174,251.5174,249.8842,249.8842,11325
2000-12-04,254.1306,267.8497,254.1306,264.5833,373776
2000-12-05,263.2767,274.3827,263.2767,272.7494,102320
2000-12-06,276.9958,284.182,271.1162,284.182,265375
2000-12-07,287.4485,297.2479,287.4485,294.9613,800201
2000-12-08,292.6748,292.6748,284.182,287.4485,294239
2000-12-11,285.4886,288.6244,261.9701,287.4485,965553
2000-12-12,289.4084,289.4084,286.1419,287.4485,377734
2000-12-13,285.4886,309.0071,285.4886,301.4943,800750
2000-12-14,298.5545,300.5143,290.715,290.715,3044500
2000-12-15,287.4485,297.2479,285.3253,291.6949,394409
2000-12-18,286.7952,292.0215,286.1419,286.7952,225155
2000-12-19,284.182,286.7952,284.182,284.182,430562
2000-12-20,286.7952,287.4485,278.9557,280.9156,153676
2000-12-21,277.6491,279.2823,277.6491,279.2823,5662
2000-12-22,277.9758,279.2823,277.9758,279.2823,2275
2000-12-28,278.9557,278.9557,277.6491,277.6491,47740
2001-01-02,278.9557,279.609,277.6491,277.6491,1101
2001-01-03,274.3827,277.6491,274.3827,276.0159,324456
2001-01-04,280.2623,293.9814,280.2623,290.0617,314265
2001-01-05,287.4485,292.0215,281.8955,281.8955,196314
2001-01-08,279.609,279.609,277.6491,279.2823,58960
2001-01-09,277.6491,280.2623,274.3827,276.6692,112834
2001-01-10,277.6491,277.6491,275.0359,275.0359,122561
2001-01-11,272.4228,272.4228,266.2165,268.1764,21846
2001-01-12,268.1764,274.3827,267.8497,273.7294,407887
2001-01-15,275.6892,275.6892,274.3827,274.3827,13590
2001-01-16,272.2921,276.8325,271.1162,274.3827,187505
2001-01-17,271.1162,274.3827,271.1162,273.7294,33647
2001-01-18,271.1162,273.0761,271.1162,273.0761,77592
2001-01-19,266.5431,271.1162,266.5431,271.1162,558229
2001-01-22,268.993,271.1162,268.993,271.1162,5957
2001-01-23,269.1563,270.4629,267.8497,269.483,32554
2001-01-24,270.4629,273.7294,270.4629,273.4027,126428
2001-01-25,272.7494,276.0159,271.1162,276.0159,323880
2001-01-26,279.609,279.609,275.6892,277.6491,16987
2001-01-29,279.609,279.609,276.3425,278.3024,237560
