Date,Open,High,Low,Close,Volume
2013-03-06,100,103,100,102.74,2238776
2013-03-07,103,103.5,102.64,103.49,46309
2013-03-08,104,104,103.48,103.48,153667
2013-03-11,103.7,103.7,103,103.5,32750
2013-03-12,103.125,104,103,103.7,25810
2013-03-13,104,104.5,103.7,104.5,8874
2013-03-14,103.1875,104.25,103.1875,103.75,137642
2013-03-15,103,104,103,103,81000
2013-03-18,103,103.25,102.75,103,99714
2013-03-19,103,103.25,102.75,103.23,185121
2013-03-20,103.23,103.75,102.75,103.6,108695
2013-03-21,103.6,103.6,103.6,103.6,14747
2013-03-22,103,104,103,103.625,342463
2013-03-25,104,104.2,103.75,103.75,93276
2013-03-26,103.989,104.25,103.5,103.75,237493
2013-03-27,103.75,103.98,103.3,103.94,85198
2013-03-28,104,104.25,103.46,104.2,256213
2013-04-02,104.2,104.2,104.2,104.2,56204
2013-04-03,104,104.56,104,104.5,204311
2013-04-04,104.5,104.89,104.5,104.89,106001
2013-04-05,104.25,104.89,104,104,90610
2013-04-08,104.56,104.89,104.11,104.54,144322
2013-04-09,104.25,104.54,104.25,104.5,90548
2013-04-10,104.11,104.5,104.11,104.498,67248
2013-04-11,104.5,105,104.36,104.36,174154
2013-04-12,104.498,104.99,104.498,104.498,69317
2013-04-15,104.75,104.75,104.288,104.491,170707
2013-04-16,104.5,104.729,104.251,104.5,49234
2013-04-17,104.5,104.729,104.5,104.5,169063
2013-04-18,104.25,104.979,104.25,104.25,79721
2013-04-19,104.5,104.739,104.271,104.729,75697
2013-04-22,104.75,104.949,104.5,104.5,126634
2013-04-23,104.5,104.949,104.5,104.5,29784
2013-04-24,104.728,104.9,104.5,104.88,118229
2013-04-25,104.85,105,104.61,104.85,181306
2013-04-26,104.849,104.849,104.849,104.849,16000
2013-04-29,104.75,104.99,104.5,104.75,55996
2013-04-30,104.75,104.799,104.75,104.75,31350
2013-05-01,104.799,104.799,104.61,104.798,67912
2013-05-02,104.798,104.798,104.61,104.795,40596
2013-05-03,104.75,105,104.61,105,72043
2013-05-07,105.25,105.25,104.825,105.14,77252
2013-05-08,105,105.14,104.86,105,149181
2013-05-09,105.25,105.65,105.126,105.5,153929
2013-05-10,105.75,106,105.74,105.9,85920
2013-05-13,106,106.2,105.74,106,214138
2013-05-14,106.25,106.5,106.169,106.25,144750
2013-05-15,106.42,106.42,106.25,106.25,30576
2013-05-16,106.5,106.5,106.25,106.25,225556
2013-05-17,106.5,106.5,106.375,106.375,75738
2013-05-20,106.5,106.75,106.325,106.5,401922
2013-05-21,106.719,108,106.6,107.375,113656
2013-05-22,107.92,108,107.17,107.5,89218
2013-05-23,108,108,106.76,107.5,35303
