Date,Open,High,Low,Close,Volume
2013-08-05,102,102.49,101.75,102.125,761591
2013-08-06,102.25,102.49,101.79,101.875,802050
2013-08-07,101.75,102,101.375,101.375,1053322
2013-08-08,101.5,101.75,101.49,101.625,174840
2013-08-09,101.75,102,101.45,101.5,509366
2013-08-12,101.5,101.99,101.35,101.5,1222869
2013-08-13,102,102.5,101.875,101.875,774124
2013-08-14,102,102.25,101.75,102,3042376
2013-08-15,102.25,102.25,101.875,102.125,1091836
2013-08-16,102,102.25,101.64,102,479919
2013-08-19,102.25,103,102.0625,102.5,1338729
2013-08-20,102.75,103,102.443,102.75,514785
2013-08-21,103,103,102.62,102.75,290030
2013-08-22,103,103.5,102.84,103.25,5664812
2013-08-23,103.5,103.75,103,103,1031848
2013-08-27,103.25,104,103.1,103.25,309971
2013-08-28,103.25,104.25,103.25,103.75,911366
2013-08-29,104.25,104.75,103.9125,104.5,945130
2013-08-30,104.75,104.75,104.376,104.5,1082320
2013-09-02,104.5,105.25,104.379,105,1718935
2013-09-03,105.25,105.25,104.75,105,495972
2013-09-04,105,105,104.5,104.75,211587
2013-09-05,105,105,104.5,105,289177
2013-09-06,105,105,104.5,105,591560
2013-09-09,104.75,105,104.626,105,86192
2013-09-10,105,105,104.65,104.75,282104
2013-09-11,104.75,104.948,104.5,104.5,461926
2013-09-12,104.75,105.25,104.5,105.25,968797
2013-09-13,105.25,106.25,105.198,105.5,1110770
2013-09-16,106,106,105.25,105.25,427037
2013-09-17,106,106.25,105.5,105.75,863562
2013-09-18,105.5,106,105,105.25,969793
2013-09-19,105.5,106,105.25,105.25,897424
2013-09-20,105.5,105.75,104,104,8731780
2013-09-23,104,104.04,103,103.25,520168
2013-09-24,104,104,103.25,103.75,374968
2013-09-25,103.5,104,102.75,103.25,113121
2013-09-26,103,103.75,102,102,412530
2013-09-27,102.75,103.24,101.75,101.75,287720
2013-09-30,101.75,102.6,101.25,101.25,1354809
2013-10-01,102.5,102.5,101.5,101.5,88358
2013-10-02,101.25,102.75,101.25,101.75,324751
2013-10-03,101.5,102.25,101.5,101.5,88414
2013-10-04,101.5,102.5,101.5,102,226652
2013-10-07,102.75,102.75,102.075,102.5,56316
2013-10-08,102.5,102.5,102,102.25,157238
2013-10-09,102.75,102.75,102.25,102.25,178594
2013-10-10,102.5,103,102.283,102.75,198760
2013-10-11,102.75,103,102.4375,102.75,84090
2013-10-14,102.75,103,102.425,102.5,352003
2013-10-15,103.5,103.5,103,103.5,189166
2013-10-16,103.25,103.5,103.2125,103.5,62818
2013-10-17,103.388,104.25,103,104.25,175250
2013-10-18,103.25,104,103.25,104,100058
2013-10-21,103.75,104,103.25,104,464182
2013-10-22,104,104,103.25,103.5,901067
2013-10-23,103.75,103.88,103,103.75,173393
2013-10-24,103,103.75,102.5,102.5,526702
2013-10-25,103.25,103.25,101.75,102.75,411772
2013-10-28,102.1,102.6875,101.5,102,233282
2013-10-29,103,103,101.75,101.75,201138
2013-10-30,102.5426,102.55,101.5,101.75,116610
2013-10-31,102.5,102.5,101.5,101.5,178031
2013-11-01,102.5,102.5,101.5,101.75,156712
2013-11-04,102.5,103,101.75,103,378885
2013-11-05,102.75,103,102.375,103,220385
2013-11-06,103,103,102.21,103,370055
2013-11-07,103.25,103.5,102.4882,103.5,209917
2013-11-08,102,102.85,102,102,112440
2013-11-11,102,102.6,101.5,101.5,440323
2013-11-12,102,102,101,101,272017
2013-11-13,102.5,102.5,100.1875,100.25,277234
2013-11-14,101.75,101.75,100.3,101,360412
2013-11-15,101,101.75,100.619,101.75,251762
2013-11-18,101.75,101.75,100.8,101.5,157968
2013-11-19,101,101.75,101,101.5,375491
2013-11-20,101.75,101.75,100.5,101,199399
2013-11-21,101.5,101.5,100.75,101,69545
2013-11-22,101.75,101.75,100,100,639218
2013-11-25,100.75,100.75,99.5,99.5,121559
2013-11-26,99.5,100.5,99.5,100.25,308191
2013-11-27,100.5,100.5,99.75,100,328455
2013-11-28,100.5,100.5,99.9,100,613811
2013-11-29,99.5,100.18,99,99,268344
2013-12-02,100,100,99,99.5,181227
2013-12-03,99.25,100,98.61,100,308849
2013-12-04,98.5,99.5,98,98,884302
2013-12-05,98.5,99,98,98,88158
2013-12-06,98,99.5,98,99.25,300999
2013-12-09,98.5,99.5,98.5,99.25,354137
2013-12-10,98.75,100.35,98.75,100,440525
2013-12-11,99,100.5,99,100,152085
2013-12-12,99.25,100.75,99.25,100,345247
2013-12-13,99.75,100.75,99.75,100.25,89406
2013-12-16,100.25,100.75,100.25,100.25,71359
2013-12-17,100.25,101,100.25,100.5,397906
2013-12-18,100.5,101.25,100.5,101.25,102356
2013-12-19,100.25,101.75,100.25,101.25,435272
2013-12-20,101,102,101,101.5,182329
2013-12-23,101.25,102,101.25,101.25,125952
2013-12-24,102,102.213,101.5,101.875,32850
2013-12-27,102,102.25,101.75,102.25,145583
2013-12-30,102.25,102.5,101.87,102.5,311297
2013-12-31,101.5,102.42,101.5,102.25,59858
2014-01-02,102.75,103,102.37,102.75,123484
2014-01-03,103,103,102.25,102.75,57889
2014-01-06,103,103,102.4,103,177396
2014-01-07,103,103,102.9,103,44257
2014-01-08,103,103,102.4375,103,256026
2014-01-09,102.25,103,102.25,103,107955
2014-01-10,102.25,103,102.25,103,421206
2014-01-13,102.5,103,102.35,103,202555
2014-01-14,102.75,103,102.25,102.25,106205
2014-01-15,102.25,102.963,102.25,102.25,85822
2014-01-16,102.25,102.9166,102.25,102.5,289656
2014-01-17,102.5,102.9,102.5,102.5,53498
2014-01-20,102.25,102.9,102,102,246774
2014-01-21,102.5,102.638,102,102,158392
2014-01-22,102.25,102.4,101.5,101.5,103846
2014-01-23,102,102.25,101.5,101.5,497591
2014-01-24,101.5,101.75,101,101,401751
2014-01-27,101,101.75,101,101,86818
2014-01-28,101.25,101.86,101.25,101.25,117772
2014-01-29,101.25,101.61,101.1875,101.5,104851
2014-01-30,101.75,102,101.4375,102,157979
2014-01-31,102,102,101.5,101.5,144019
2014-02-03,101.75,101.75,101.25,101.25,60572
2014-02-04,101,101.675,101,101,32528
2014-02-05,102,102,100.892,101,393025
2014-02-06,101,101.75,101,101,77086
2014-02-07,101.75,101.75,101,101.25,58051
2014-02-10,101,102,101,102,60820
2014-02-11,102,102,101,101,196642
2014-02-12,102,102,101,102,331253
2014-02-13,102,102,101.4375,101.5,45308
2014-02-14,102,102.5,101.5,102.5,264769
2014-02-17,102.75,103,102.1875,102.25,218808
2014-02-18,103,103,102.25,103,229255
2014-02-19,101.5,102.75,100.75,101.75,619709
2014-02-20,101.5,101.75,101.25,101.75,262331
2014-02-21,102,102,101.25,102,170844
2014-02-24,102,102.25,101.25,102,405141
2014-02-25,102,102.25,101.413,101.75,521047
2014-02-26,102,102.0316,101.5,102,463821
2014-02-27,102,102,101.5,101.75,84299
2014-02-28,102,102.0098,101.57,102,252709
2014-03-03,102.25,102.25,101.5,101.75,302506
2014-03-04,102.25,102.25,101.6575,102.25,135983
2014-03-05,102,102.12,101.825,102,84667
2014-03-06,102,102,101.805,102,71527
2014-03-07,102.25,102.25,101.75,102,556764
2014-03-10,102,102.1375,101.25,101.5,389335
2014-03-11,101.75,101.8,101,101.5,288437
2014-03-12,101.5,101.75,101.25,101.5,322290
2014-03-13,101.5,101.745,101,101.5,677159
2014-03-14,101,101.368,101,101.25,397973
2014-03-17,101.25,101.5,101.1,101.5,75632
2014-03-18,101,101.375,101,101,68968
2014-03-19,101.5,101.555,100.75,101.5,349138
2014-03-20,101.5,101.5,100.75,101.5,11961
2014-03-21,100.75,101.2,100.75,101,37092
2014-03-24,101,101.25,100.5,101.25,224850
2014-03-25,101.25,101.25,100.538,101.25,96882
2014-03-26,101.5,101.5,101,101,87841
2014-03-27,101.25,101.7,101.1,101.25,73953
2014-03-28,102,102,101.65,102,215191
2014-03-31,101.75,101.75,101.25,101.75,74146
2014-04-01,100.75,101.75,100.75,101.75,123270
2014-04-02,100.75,101.63,100.75,101.5,190538
2014-04-03,101.75,101.75,100.75,100.75,377218
2014-04-04,100.75,101.5,100.75,100.75,63824
2014-04-07,101,101.25,100.825,101,310364
2014-04-08,101,101.3333,101,101,192487
2014-04-09,101,101.25,100.75,100.75,199628
2014-04-10,101.5,101.5,100.75,100.75,181321
2014-04-11,101.5,101.5,100.84,101.25,82985
2014-04-14,101.5,101.5,100.75,100.75,61698
2014-04-15,101.5,101.5,100.75,101,71737
2014-04-16,101,101.45,100.915,101,74750
2014-04-17,101.5,102.5,101.105,102.5,535288
2014-04-22,102.75,102.75,101.75,102.75,188774
2014-04-23,102.75,102.75,102.05,102.75,240288
2014-04-24,102.75,102.75,102.05,102.75,177811
2014-04-25,103,103,102.11,103,84981
2014-04-28,103,103,102.36,103,99085
2014-04-29,103,103.5,102.535,103.5,541761
2014-04-30,103.5,103.75,103,103,110957
2014-05-01,103.75,104,103.3375,104,545670
2014-05-02,103.25,104.25,103.25,104.25,129439
2014-05-06,104,104.25,103.64,104.25,121794
2014-05-07,103.5,105,103.5,104.75,503191
2014-05-08,104.75,105,104.625,105,176104
2014-05-09,105,105,104.625,105,176386
2014-05-12,105,105.5,104.51,105.5,224627
2014-05-13,105,106,105,106,162664
2014-05-14,105.75,105.75,105.25,105.75,95817
2014-05-15,105.75,105.75,105.5,105.75,115357
2014-05-16,105.75,106.25,105.25,106,250352
2014-05-19,106.25,106.25,105.6625,106.25,21395
2014-05-20,106.25,106.25,105.9125,106,115253
2014-05-21,106,106.25,105.5,106.25,179635
2014-05-22,106,106.175,105.5,105.5,258405
2014-05-23,106,106.063,105.9,106,107451
2014-05-27,106.25,106.25,105.664,106.25,194503
2014-05-28,106,106.25,105.25,106.25,105435
2014-05-29,106,106.25,105.75,105.75,189999
2014-05-30,105.25,106.25,105.25,106.25,89704
2014-06-02,106,106.25,105.704,106.25,139478
2014-06-03,106.25,106.25,105.75,106.25,260213
2014-06-04,105.5,106.13,105.5,106,88613
2014-06-05,106,106.25,105.5,105.75,83294
2014-06-06,106,106.25,105.5,106,122607
2014-06-09,106,106.25,105.25,105.5,208752
2014-06-10,105.25,105.66,105.25,105.5,181154
2014-06-11,105.25,105.625,105,105.5,252749
2014-06-12,105,105.555,105,105,58518
2014-06-13,105.5,105.5,104.942,105.5,173071
2014-06-16,105.5,105.5,104.7,105.25,90482
2014-06-17,105.25,105.395,105,105.25,106540
2014-06-18,105.5,105.5,104.911,105.25,79014
2014-06-19,105.5,105.5,105,105,163072
2014-06-20,105.5,106,104.908,106,399733
2014-06-23,105.75,106,105,106,162532
2014-06-24,105.75,105.87,105.25,105.5,243919
2014-06-25,105.5,105.805,105.355,105.5,250051
2014-06-26,106,106.5,105.5125,106.5,511590
2014-06-27,106.25,107,106.25,106.25,99426
2014-06-30,106.25,106.79,106.25,106.5,102185
2014-07-01,106.5,106.75,106.255,106.75,149728
2014-07-02,106.25,107,106.25,106.25,83244
2014-07-03,107,107,106.25,106.5,103101
2014-07-04,107.25,107.5,106.75,106.75,323690
