Date,Open,High,Low,Close,Volume
2018-03-23,101,101,100,100.5,75000
2018-03-26,101,103.3,101,103.3,2200
2018-03-27,104,105,104,104.8,20500
2018-03-28,103.4,103.7,103.4,103.7,5000
2018-03-29,104,104,103,103.2,77741
2018-04-03,103,103.5,102.5,103,839328
2018-04-04,103,103.5,102.22,103.5,653711
2018-04-05,103.5,103.824,102.864,103.5,926452
2018-04-06,103.5,103.6,103.2,103.5,691283
2018-04-09,103.8,103.8,102.4,102.5,444277
2018-04-10,103,103.427,102.7123,102.8,1345309
2018-04-11,102.7,102.883,102.45,102.7,1226191
2018-04-12,103.2,103.376,102.55,103.2,406145
2018-04-13,103,103,102.2,103,430991
2018-04-16,103,103,102,102.4,479488
2018-04-17,102.5,102.75,102,102.5,310671
2018-04-18,102,102.95,102,102.5,64248
2018-04-19,102.5,102.95,102,102.5,400657
2018-04-20,102.6,103.0571,102.3849,102.6,426711
2018-04-23,102.8,102.8457,102.512,102.8,257637
2018-04-24,103,103.5,102.512,102.8,161549
2018-04-25,102.8,103.6,102,102.8,287434
2018-04-26,102.9,103.45,102.794,102.9,354094
2018-04-27,103.4,103.4,102.9,103,307008
2018-04-30,103.8,104.2439,103.336,103.5,429700
2018-05-01,104,104.1899,103.61,103.7,439295
2018-05-02,104,105,103.96,104.3,356705
2018-05-03,105,105.9099,104,105.1,315387
2018-05-04,106,106.8999,105.5,106,410717
2018-05-08,107,109.8,106.67,109.2,1654282
2018-05-09,110.6,111.8,110.55,111.3,1682791
2018-05-10,111.8,113.2,111.6152,112.9,948094
2018-05-11,113,114,112.474,113.3,509574
2018-05-14,114,114.64,113,113.4,1815651
2018-05-15,114.2799,114.2799,113.512,113.6,1177071
2018-05-16,114,114.104,113.32,113.5,413646
2018-05-17,114.6,114.6,113.92,114.1,289963
2018-05-18,114.6,114.6,113,113.1,1657509
2018-05-21,114.6,114.6,114.2,114.5,452808
2018-05-22,114.6,115,114.216,115,355141
2018-05-23,114.2,115,113.368,114,326151
2018-05-24,115,115,114.2999,114.8,316575
2018-05-25,115,115.8,114.48,115.2,778326
2018-05-29,115.8,115.8,114.92,115.3,611061
2018-05-30,115.8,118,115.2,116.4,1129277
2018-05-31,116.4,117.4,115.994,116,404730
2018-06-01,117.2,117.6,116,117.6,867794
2018-06-04,117.8,118.8,117.01,118.8,1580550
2018-06-05,118.8,120,118.15,119.8,1352213
2018-06-06,120,120,119.356,119.6,1357623
2018-06-07,120,122.092,119.784,121.4,1484281
2018-06-08,121.6,121.8,120,121.2,838566
2018-06-11,121.2,121.8,120.688,121.6,1945447
2018-06-12,122,122.8,121,122.4,2037316
2018-06-13,122.4,122.6,121.8,122,987592
2018-06-14,122.8,124,121.6101,124,1012595
2018-06-15,124,126,122,126,6029551
2018-06-18,125,125,121.4,124.2,858276
2018-06-19,123.8,124.6,121.8,124.4,644542
2018-06-20,124,125.76,123.45,125.4,942495
2018-06-21,126,127.6399,124.8,126.4,1101338
2018-06-22,127,127.133,125,127,437254
2018-06-25,127.6,127.6,125.2,125.2,444093
2018-06-26,125.6,126.4199,124.1424,124.6,407313
2018-06-27,124.8,125.544,123.1,123.2,752970
2018-06-28,123.2,124.109,123.2,123.4,112716
2018-06-29,125.4,125.4,123.2,123.7,894493
2018-07-02,125,125.093,123.344,124.4,327375
2018-07-03,125,125,123.2,123.6,315959
2018-07-04,124,124.8,123.2,124.8,71928
2018-07-05,124.1359,124.8,123.355,124.8,141651
2018-07-06,123.2,124.194,122.2,122.4,265586
2018-07-09,125.6,125.6,122.2,124,601758
2018-07-10,125.4,125.6,123.4,124.3,464651
2018-07-11,124,125,122.47,124.6,268016
2018-07-12,126,126,124,124.7,501228
2018-07-13,126,126.7563,124.898,126.5,377008
2018-07-16,125.8,126.6,124.653,124.8,1266361
2018-07-17,125,127,124.4,127,376296
2018-07-18,127,128.8,126.13,128,788662
2018-07-19,129,129,127.6,128.5,788886
2018-07-20,129,129.8,128.132,129.6,210094
2018-07-23,128.2,130,127.6,130,322758
2018-07-24,130,130.36,127.6,129.6,1899532
2018-07-25,128.8,129.7,128.6,129.7,240105
2018-07-26,129,129.8,127.52,129.2,1187244
2018-07-27,129.8,130.2,127.616,128.2,2070546
2018-07-30,129.4,129.4,123.4,123.4,569048
2018-07-31,125.2,125.2,121,121,386126
2018-08-01,122.2,123.85,121.1059,123,278743
2018-08-02,122.8,124.4,122.144,123.7,480539
2018-08-03,125,127.29,123.216,126.9,2405685
2018-08-06,127.4,128.4,127.136,127.6,494912
2018-08-07,128.4,128.4,126.262,128.4,2244423
2018-08-08,129,129.8,128.4,128.7,640143
2018-08-09,129.8,130,128.4,129.2,6619038
2018-08-10,129.8,130.8988,128.84,129.6,489101
2018-08-13,129.8,131.2,128.47,130.3,585574
2018-08-14,130,131,128.754,130,1747445
2018-08-15,131.2,131.2,128.29,129.1,1000170
2018-08-16,129,130.58,129,129.9,434048
2018-08-17,131,131,128.96,129,320911
2018-08-20,129,129.8783,128.25,129,880375
2018-08-21,129,129.1,128.5,129.1,592782
2018-08-22,128.6,129.3583,128.496,128.8,377421
2018-08-23,129.8,129.8,128.592,129,432789
2018-08-24,130.4,130.46,129.2188,129.9,186597
2018-08-28,131.4,132,130.68,132,215914
2018-08-29,132,132.8,131.1875,132,413452
2018-08-30,132.8,133,131.46,132.8,1337945
2018-08-31,133,134.8,132.2,134.8,670374
2018-09-03,135,135,133.333,134.8,199343
2018-09-04,135,135.89,134.38,134.5,312105
2018-09-05,134.4,135.7,133,133,607611
2018-09-06,135,135,132.802,134.4,360071
2018-09-07,133.2,134.4,131.64,132.8,468369
2018-09-10,131.8,132.8,131.616,132.8,458409
2018-09-11,132,133.2,131.279,132.4,115748
2018-09-12,132.4,134,132,134,1024824
2018-09-13,133,135,132.64,134.4,694583
2018-09-14,134.8,135.4,134.4,135.4,206564
2018-09-17,134.4,135.4,134,134.4,303522
2018-09-18,133.6,135.6,132.4,133.6,652865
2018-09-19,133,134.8,131.956,133,1479471
2018-09-20,133.7137,133.7137,132,133.1,403134
2018-09-21,132.8,134.6,132.6,134.6,1049887
2018-09-24,134,134,132.4,132.4,355495
2018-09-25,133,133.008,132.63,133,182115
2018-09-26,133,133.976,132.8,133,1121371
2018-09-27,132.8,134,132.8,133.5,300701
