Date,Open,High,Low,Close,Volume
2000-01-04,632.986,636.936,597.4361,612.2486,462842
2000-01-05,580.1549,624.0985,580.1549,621.136,1054457
2000-01-06,632.986,659.6485,622.1235,645.3297,1233146
2000-01-07,646.811,666.2647,632.986,656.686,1544111
2000-01-10,651.7485,674.9547,640.3923,667.5484,2288977
2000-01-11,665.0797,677.4234,661.6235,671.4984,2057030
2000-01-12,668.5359,697.914,666.5609,680.8797,2789780
2000-01-13,681.3734,690.2609,674.4609,683.3484,1470376
2000-01-14,677.9172,691.2484,661.6235,665.5734,2206152
2000-01-17,669.5234,671.4984,638.911,648.2922,913509
2000-01-18,626.5673,653.4272,624.3454,644.3422,1982612
2000-01-19,649.7735,660.1422,636.936,651.2547,1934181
2000-01-20,651.7485,659.6485,607.3111,615.7048,1341853
2000-01-21,607.8048,625.086,582.6236,614.2236,686094
2000-01-24,689.2734,689.2734,624.0985,637.4298,1317530
2000-01-25,639.8985,652.736,631.9985,634.961,1908703
2000-01-26,613.7298,655.6985,613.7298,653.2297,2052806
2000-01-27,659.6485,659.6485,644.3422,646.811,1564620
2000-01-28,638.911,649.2797,614.2236,622.1235,798085
2000-01-31,622.1235,622.1235,583.1174,588.5486,924731
2000-02-01,610.2736,610.2736,582.6236,592.4986,1545779
2000-02-02,588.5486,597.4361,523.3738,559.4174,1659437
2000-02-03,562.8737,566.8237,548.0612,551.0237,370870
2000-02-04,563.8612,565.8362,518.4363,523.8675,958859
2000-02-07,560.8987,562.8737,533.2488,543.1237,1597094
2000-02-08,560.8987,562.8737,533.7425,551.0237,1861627
2000-02-09,551.0237,582.6236,535.2237,556.455,1498706
2000-02-10,559.9112,567.8112,536.2112,546.0862,1068593
2000-02-11,552.505,575.7112,526.3363,534.73,1340433
2000-02-14,548.0612,553.9862,474.4926,533.2488,971317
2000-02-15,530.78,572.7487,530.2863,547.0737,1669089
2000-02-16,551.0237,602.3736,546.0862,575.7112,3396004
2000-02-17,592.9924,629.5298,582.6236,607.8048,878156
2000-02-18,596.4486,637.4298,592.4986,597.4361,1746148
2000-02-21,592.4986,631.5048,585.5861,625.086,1018392
2000-02-22,596.9424,637.9235,587.0674,591.5111,1332925
2000-02-23,600.5961,607.3111,589.5361,602.3736,1151164
2000-02-24,596.4486,610.2736,551.0237,592.0049,1320773
2000-02-25,602.3736,641.8735,585.0924,614.7173,1770529
2000-02-28,631.9985,652.736,594.9674,636.4423,1052450
2000-02-29,641.8735,651.7485,636.936,646.3172,2191432
2000-03-01,695.6921,695.6921,619.1611,660.1422,1871206
2000-03-02,651.7485,660.1422,619.1611,641.3798,1296325
2000-03-03,635.9485,657.1205,619.6548,626.5673,662917
2000-03-06,616.1986,641.8735,612.2486,617.6798,1417105
2000-03-07,641.8735,641.8735,608.2986,610.7673,1979781
2000-03-08,610.4711,626.5673,582.1299,592.0049,1040920
2000-03-09,639.8985,641.3798,587.5611,590.5236,434547
2000-03-10,571.7612,590.0299,535.2237,562.8737,1255308
2000-03-13,552.9987,572.2549,535.2237,560.4049,1358596
2000-03-14,562.8737,601.3861,562.8737,570.7737,1303774
2000-03-15,577.6862,607.3111,562.8737,601.3861,890855
2000-03-16,601.3861,651.7485,598.4236,636.4423,1999582
2000-03-17,681.3734,681.3734,634.961,644.836,2011477
2000-03-20,631.011,666.5609,576.6987,615.2111,921954
2000-03-21,628.0485,675.9422,592.4986,652.2422,1126781
2000-03-22,672.4859,673.9672,627.061,643.3547,897137
2000-03-23,658.4635,661.6235,617.1861,633.4798,883533
2000-03-24,659.1547,676.4359,612.2486,669.5234,1474121
2000-03-27,676.4359,677.9172,643.8485,659.6485,1288338
2000-03-28,689.2734,697.1734,643.8485,686.3109,1160893
2000-03-29,693.7171,717.4171,671.4984,693.7171,746892
2000-03-30,652.2422,688.039,642.3672,658.1672,3262227
2000-03-31,641.8735,661.6235,631.9985,646.811,1840683
2000-04-03,666.5609,676.4359,627.061,674.4609,1218075
2000-04-04,667.5484,691.2484,645.8235,672.9797,2360918
2000-04-06,626.0735,706.0609,626.0735,691.2484,1508204
2000-04-07,689.7671,706.0609,661.6235,684.8297,1065551
2000-04-10,678.9047,710.9983,678.9047,699.6421,1380695
2000-04-11,693.7171,720.3796,689.2734,701.1234,986323
2000-04-12,697.1734,709.0233,686.3109,695.1984,1893190
2000-04-13,688.2859,710.9983,688.2859,694.7046,1080082
2000-04-14,692.9271,710.5046,684.8297,691.7421,1199585
2000-04-17,650.761,708.0358,650.761,681.8672,1864769
2000-04-18,697.1734,697.1734,675.4484,680.8797,1156422
2000-04-19,682.8547,686.3109,641.8735,651.2547,1788238
2000-04-20,661.6235,661.6235,627.061,641.8735,790002
2000-04-25,647.7985,647.7985,619.6548,631.9985,1050818
2000-04-26,639.8985,639.8985,618.6673,623.111,670467
2000-04-27,626.0735,651.2547,607.3111,613.2361,596579
2000-04-28,622.1235,647.7985,602.8673,607.3111,1327453
2000-05-02,620.1486,651.7485,614.7173,640.3923,1965675
2000-05-03,635.9485,650.761,617.1861,622.1235,958523
2000-05-04,594.4736,647.7985,594.4736,629.036,399360
2000-05-05,621.136,629.5298,604.3486,607.3111,386109
2000-05-08,632.986,632.986,604.3486,621.6298,600386
2000-05-09,634.961,634.961,581.1424,592.9924,1200829
2000-05-10,597.9299,628.0485,596.4486,611.7548,795627
2000-05-11,618.1736,641.8735,606.3236,637.4298,3530212
2000-05-12,641.8735,651.2547,624.0985,631.011,946596
2000-05-15,631.9985,650.2672,619.1611,624.5923,476051
2000-05-16,641.8735,641.8735,614.2236,622.1235,1258132
2000-05-17,625.086,639.8985,618.1736,627.061,1556832
2000-05-18,626.5673,633.9735,622.1235,631.011,1571491
2000-05-19,630.0235,636.936,617.4329,622.6173,2365940
2000-05-22,622.1235,629.036,617.6798,622.1235,1993722
2000-05-23,622.6173,639.8985,620.6423,621.136,2378845
2000-05-24,625.086,628.5423,618.6673,626.5673,3703613
2000-05-25,631.011,653.2297,558.4299,642.861,2894344
2000-05-26,647.7985,647.7985,635.9485,646.3172,5999158
2000-05-30,651.7485,656.686,641.8735,641.8735,983699
2000-05-31,643.8485,648.786,617.1861,623.111,805222
2000-06-01,630.0235,651.7485,621.136,631.9985,3607651
2000-06-02,627.061,657.6735,622.6173,648.786,1584138
2000-06-05,624.0985,671.9922,616.1986,635.9485,1934013
2000-06-06,639.4048,675.4484,633.9735,636.936,2290970
2000-06-07,639.8985,666.0672,623.6048,636.936,1583916
2000-06-08,631.011,636.936,624.5923,634.961,1382756
2000-06-09,634.961,664.0922,633.9735,651.7485,1350652
2000-06-12,635.9485,654.711,635.9485,650.2672,495728
2000-06-13,650.2672,691.2484,645.8235,691.2484,1726336
2000-06-14,679.3984,686.3109,643.8485,681.3734,1125611
2000-06-15,675.4484,720.3796,671.4984,689.2734,1341994
2000-06-16,665.5734,721.3671,665.5734,691.2484,1003769
2000-06-19,657.6735,691.2484,657.6735,691.2484,1242397
2000-06-20,681.3734,684.3359,663.5984,671.4984,936717
2000-06-21,661.6235,673.4734,643.8485,666.5609,921941
2000-06-22,667.5484,667.5484,641.8735,641.8735,1663283
2000-06-23,644.836,656.686,641.8735,656.686,1194253
2000-06-26,654.2172,656.686,641.8735,652.736,604430
2000-06-27,654.711,659.6485,650.761,653.7235,3757104
2000-06-28,678.9047,678.9047,643.8485,645.8235,665980
2000-06-29,645.3297,655.6985,636.936,636.936,910194
2000-06-30,644.836,661.6235,639.8985,645.8235,595548
2000-07-03,645.8235,667.5484,626.0735,667.5484,506866
2000-07-04,669.8197,681.3734,641.8735,680.8797,679022
2000-07-05,689.2734,689.7671,656.686,665.5734,2384773
2000-07-06,659.1547,683.3484,657.6735,679.3984,1093811
2000-07-07,673.4734,683.8422,654.711,669.5234,411077
2000-07-10,672.4859,678.4109,664.5859,671.4984,1027544
2000-07-11,665.5734,688.7796,665.5734,669.5234,1892528
2000-07-12,669.5234,681.3734,667.0547,675.4484,6928074
2000-07-13,673.4734,701.6171,664.5859,671.9922,1596337
2000-07-14,666.0672,687.7921,664.0922,666.0672,2493993
2000-07-17,673.4734,681.3734,663.5984,677.4234,432781
2000-07-18,673.4734,682.3609,661.6235,673.4734,906371
2000-07-19,685.8171,685.8171,654.2172,656.1922,507934
2000-07-20,651.7485,669.0297,644.3422,661.6235,733190
2000-07-21,646.811,663.5984,630.5173,658.661,426253
2000-07-24,639.8985,661.6235,638.911,656.686,550179
2000-07-25,729.7608,729.7608,625.086,651.7485,1658788
2000-07-26,653.7235,668.7828,636.936,654.711,760145
2000-07-27,657.476,663.1047,653.7235,653.7235,3105030
2000-07-28,653.7235,725.8108,652.736,659.6485,777952
2000-07-31,653.7235,660.1422,601.3861,656.686,4879813
2000-08-01,647.3047,691.2484,647.3047,673.4734,1449944
2000-08-02,674.4609,680.3859,661.6235,661.6235,727605
2000-08-03,656.686,691.2484,656.686,685.8171,2094512
2000-08-04,706.0609,706.0609,671.9922,684.3359,1561744
2000-08-07,686.8046,693.4703,672.4859,682.3609,777943
2000-08-08,682.3609,729.7608,661.6235,703.0984,1355127
