Date,Open,High,Low,Close,Volume
2016-07-05,256,259.964,255.536,259.375,645587
2016-07-06,262,265,259.5,265,419154
2016-07-07,267.5,269.75,265.7,268.25,850740
2016-07-08,270,270.125,266.25,270.125,855355
2016-07-11,269.429,269.429,265.5,266,2755
2016-07-12,266,266,261.4,264.25,97729
2016-07-13,262.25,265.608,262.25,264.625,916601
2016-07-14,266.5,267.5,265.625,265.625,380887
2016-07-15,262,263.5,261.8,263.5,1572417
2016-07-18,266,267.125,265.25,267.125,100763
2016-07-19,265,267.5,265,267.5,327000
2016-07-20,267,270,267,270,399550
2016-07-21,270,270.75,267,269.875,530650
2016-07-22,267.75,269.75,267.75,269.5,1165938
2016-07-25,268,269,268,269,6000
2016-07-26,264.75,268.75,264.75,267,47856
2016-07-27,266,268.882,266,268.375,22711
2016-07-28,268,268.7609,267,267.5,13456
2016-07-29,267,269,267,267.5,43128
2016-08-01,269,269.25,267.8059,268.75,34476
2016-08-02,266.5,266.5,262.375,262.5,170856
2016-08-03,259.25,260,257.25,258.5,363960
2016-08-04,258,262.5,257.5,261.25,5251326
2016-08-05,262.5,265.75,260,264.75,778071
2016-08-08,265.75,266.75,264.75,266.625,31812
2016-08-09,266.75,270,266.75,270,36416
2016-08-10,270.5,276,269.4875,276,74092
2016-08-11,277,283.25,277,283.25,122452
2016-08-12,282.75,282.75,278.25,281,27531
2016-08-15,280.75,283.925,279,283.75,509247
2016-08-16,283.5,285,282,282,188180
2016-08-17,279.25,280.8389,278.5,280.75,102770
2016-08-18,280.75,281.8278,278.6448,281.75,54488
2016-08-19,281.75,284,278.75,283,483835
2016-08-22,279.25,281.75,278.75,280.625,140883
2016-08-23,281.75,282.25,278.3025,282,42074
2016-08-24,277.75,282.025,277.75,279.875,9973
2016-08-25,280,282,279.875,279.875,253531
2016-08-26,281.75,281.75,281.75,281.75,0
2016-08-30,282,284,282,283,711462
2016-08-31,284,285.25,284,284.625,55752
2016-09-01,282.5,291,282.5,290,2099755
2016-09-02,291.5,291.75,287.1787,291.125,1476848
2016-09-05,291.75,293.75,288.5,288.5,5343121
2016-09-06,290,290,287,287,854357
2016-09-07,287,288,285,286,854798
2016-09-08,287,287.5,285,285.5,805083
2016-09-09,286,286.32,284.25,284.25,578321
2016-09-12,283,283,282.75,282.75,329647
2016-09-13,282.25,282.25,281.75,281.75,2544294
2016-09-14,282,282,281.0777,281.5,1928013
2016-09-15,281,283,281,282,1503533
2016-09-16,282,288,282,288,9113993
2016-09-19,283,286,283,286,172885
2016-09-20,285,287,284.75,285,801949
2016-09-21,285.5,287.25,284,285,1520118
2016-09-22,285,288,285,286.5,831057
2016-09-23,287,291,287,291,173866
2016-09-26,291.25,292,288.5,290.375,194709
2016-09-27,291.5,292.75,288.5,292.75,464327
2016-09-28,293,297.5,293,297,384483
2016-09-29,297.5,300,295.5,300,180871
2016-09-30,299.75,300,298.625,298.625,61774
2016-10-03,300,305,299.3125,302.5,349854
2016-10-04,303,311.5,300,311.5,868590
2016-10-05,310.75,310.75,306.75,307,251087
2016-10-06,306.5,310.25,306.5,307.75,115736
2016-10-07,308,313,308,311,245786
2016-10-10,313,313,308.5,309.625,126471
2016-10-11,308,311.5,308,311.5,76071
2016-10-12,311.5,313.25,309.5,310,308342
2016-10-13,313.5,313.5,311.7032,312,36692
2016-10-14,312,313.5,312,313.5,171006
2016-10-17,313.5,315,311.1156,315,194881
2016-10-18,315,316,311.28,316,58970
2016-10-19,316.75,317,312.75,316.125,123638
2016-10-20,317.25,317.25,312,313.75,281110
2016-10-21,310,313.75,310,311.375,74637
2016-10-24,309,313,309,312,10957
2016-10-25,312.5,313,308.25,309.875,72672
2016-10-26,310.25,310.25,303.5,303.875,88714
2016-10-27,303.75,309.25,303.75,309.25,180486
2016-10-28,308,308,304.5,307.25,53919
2016-10-31,307,307.316,304.5,306.5,107234
2016-11-01,307,310,307,308.125,423611
2016-11-02,309,309,305.363,307,117373
2016-11-03,304,307,303,303.5,738885
2016-11-04,304.75,306,303,303.875,21424
2016-11-07,304.25,308.75,304.25,306,89390
2016-11-08,306.5,309,304,308.75,81913
2016-11-09,300,309,297.5,306,61035
2016-11-10,311.75,313.5,308.5,310.75,54664
2016-11-11,307.25,310,305,307.5,470129
2016-11-14,308.75,309,305,306.125,311268
2016-11-15,308,308.5,305,306,501217
2016-11-16,307,307.25,303.25,305.5,525957
2016-11-17,307.75,307.75,303.5,303.5,138814
2016-11-18,308.25,308.25,303.25,304.375,28950
2016-11-21,307.75,307.75,302.75,302.75,8096
2016-11-22,301.5,305,301.5,303.75,276277
2016-11-23,305,305,302,302.875,64159
2016-11-24,303.75,303.75,300,301.5,239984
2016-11-25,301,301,299.5,300.5,134740
2016-11-28,299.75,300.75,297,299,69112
2016-11-29,300.5,300.75,297.0664,300,64758
2016-11-30,298.5,300.6032,297.5,297.875,118423
