Date,Open,High,Low,Close,Volume
2000-01-04,225,238,219,231,378501
2000-01-05,233,240,229,237.5,103851
2000-01-06,239.2,253,238,249,525799
2000-01-07,246,260,242,244,501831
2000-01-10,241,246,241,243.5,1342633
2000-01-11,246,250,241,244,1272088
2000-01-12,246,247,238,240.5,379588
2000-01-13,236,242,231,233.5,638205
2000-01-14,236,237,225,229,96421
2000-01-17,233,233,225,227.5,158430
2000-01-18,222,228,220,223.5,58883
2000-01-19,221,227,220,223,896356
2000-01-20,219,226,219,223,1125527
2000-01-21,219,223,217.5,217.5,178395
2000-01-24,219,219,205,205,473334
2000-01-25,192,195,180,182.5,1214259
2000-01-26,181,204,181,196.5,2577746
2000-01-27,210,227,205,222.5,1522851
2000-01-28,222,223,215,219,627517
2000-01-31,222,223,212,216.5,474119
2000-02-01,220,220,207,211,235175
2000-02-02,208,211,200,202.5,111164
2000-02-03,203,203,195,198.5,90055
2000-02-04,201,202,190,195,742012
2000-02-07,200,200,188,192,492667
2000-02-08,195,195,186,188.5,363783
2000-02-09,191,192,185,188,174170
2000-02-10,191,191,183,187,106285
2000-02-11,185,190,180,185,186862
2000-02-14,187,187,179,181.5,183231
2000-02-15,185,185,172,176.5,407220
2000-02-16,178,179,170,174,392253
2000-02-17,178,185,170,185,238709
2000-02-18,189,190,182,186,344016
2000-02-21,188,190,180,185,765679
2000-02-22,187,189,180,183.5,1414843
2000-02-23,179,183,175,177.5,644669
2000-02-24,175,180,172,173.5,812115
2000-02-25,173,175,168,171,476009
2000-02-28,174,174,168,170,577254
2000-02-29,171,172,165,167.5,1316083
2000-03-01,168,185,163,180,1417180
2000-03-02,181,182,176,178.5,562750
2000-03-03,181,182,175,178.5,4487432
2000-03-06,182,182,175,177.5,165359
2000-03-07,180,182,172,175,700281
2000-03-08,172.5,177,165,168.5,1301901
2000-03-09,171,175,167,170,1145450
2000-03-10,173,173,166,167.5,1084497
2000-03-13,169.5,170,156,160.5,376446
2000-03-14,164,166,156,160.5,159344
2000-03-15,162,165,156,160.5,1660816
2000-03-16,162,167,156,164.5,2475267
2000-03-17,168,182,168,177.5,1883040
2000-03-20,182,185,173,181.5,532682
2000-03-21,179,185,175,179,1286393
2000-03-22,184,195,178,188.5,2283880
2000-03-23,195,195,187,191,2642272
2000-03-24,188,198,188,194,257595
2000-03-27,198,200,190,197.5,1289228
2000-03-28,195,205,195,200,1749716
2000-03-29,204,204,195,198.5,1505056
2000-03-30,200,200,190,193.5,884240
2000-03-31,191,197,190,193.5,1003960
2000-04-03,195,195,180,184,374453
2000-04-04,185,185,175,177.5,265370
2000-04-05,178,180,173,177.5,27178
2000-04-06,179,180,175,178.5,401820
2000-04-07,180,180,175,177.5,109837
2000-04-10,176,194,175,189,526841
2000-04-11,192,192,185,185.5,863861
2000-04-12,183,188,180,183.5,133066
