Date,Open,High,Low,Close,Volume
2019-05-30,309,315,295.2,305.9,8405889
2019-05-31,302,309.75,302,308,1127111
2019-06-03,312,312,304.05,309,849976
2019-06-04,305,309.15,295,300,312042
2019-06-05,309,309,292,300,204524
2019-06-06,310,310,286.5,295,539042
2019-06-07,290.5,305,290.5,303,574373
2019-06-10,307,313.5,304,305,509959
2019-06-11,308,308,305,305,163706
2019-06-12,308,308,304,304,74688
2019-06-13,304.5,304.5,295.5,297.5,18597
2019-06-14,305,306.49,297.5,297.5,167938
2019-06-17,305,305,296.5,302,14325
2019-06-18,295.5,305,295.5,305,1579
2019-06-19,299.5,302.16,278,284.5,67598
2019-06-20,300,300,283.5,297,11803
2019-06-21,298.5,298.5,287.6,298.5,249711
2019-06-24,300,300,288.5,295,72188
2019-06-25,288,288.88,265,275,144800
2019-06-26,274,285,274,285,343006
2019-06-27,285,285,275.5,281,111575
2019-06-28,282,285,270,275,1011634
2019-07-01,290,290,285,288.5,185925
2019-07-02,291,291,286.5,287,286325
2019-07-03,291.5,291.5,280,287,1205235
2019-07-04,280.5,292,280.5,287,196430
2019-07-05,285.5,286,280,286,59048
2019-07-08,292,292,280.5,284.5,365773
2019-07-09,290.5,290.5,281.5,285,68808
2019-07-10,287,292,281,281.5,340793
2019-07-11,294.5,299.5,290,290,756756
2019-07-12,295.5,295.5,290,291,68789
2019-07-15,295,295,288.5,290,307008
2019-07-16,290,290,286.5,290,297028
2019-07-17,300,300.3249,290,293,116458
2019-07-18,290,303.35,285.1,292,2295685
2019-07-19,297,298.15,288.5,290,111864
2019-07-22,288,290,288,290,70418
2019-07-23,292.5,292.5,275,282,260133
2019-07-24,280,290,277.5,279,136148
2019-07-25,277.5,289.5,275.9,280,477101
2019-07-26,281,290,280,281.5,8966
2019-07-29,284.5,288,275,282.5,96679
2019-07-30,281.5,288,280.2,285,57162
2019-07-31,285,285,269.5,284.5,1365142
2019-08-01,280,285,275,280,59997
2019-08-02,290,290,270.5,280,120041
2019-08-05,275,284.5,275,280,372959
2019-08-06,276,284.5,275,276.5,72852
2019-08-07,275.5,284.5,275,284,50663
2019-08-08,277.5,285,277.5,285,139745
2019-08-09,282.5,283.5,275.5,280,11426
2019-08-12,284,285,278,284,67149
2019-08-13,278.5,294.5,278.5,285,200822
2019-08-14,290.5,290.5,282,285,41367
2019-08-15,285,295,284.5,290.5,125002
2019-08-16,277.5,295,277.5,292,87990
2019-08-19,290,293,290,291,202447
2019-08-20,293,295,280.5,295,31711
2019-08-21,294,306.5,290,294,1325911
2019-08-22,290,295,290,295,28363
2019-08-23,295,295,291.5,295,37446
2019-08-27,295,300.5,290,294.5,300107
2019-08-28,295,296.5,292,292,48940
2019-08-29,294.5,294.5,285.5,290,14594
2019-08-30,290,290,272.5,288,275722
2019-09-02,287.5,294,285,289,27414
2019-09-03,282,288,280.5,287.5,77334
2019-09-04,281.5,288,281.5,288,32112
2019-09-05,281,295,276,282,116309
2019-09-06,275,286.5,274.5,279,149380
2019-09-09,282,283,276,278.5,157455
2019-09-10,272,280.5,270,278,140692
2019-09-11,280,285,275,277.5,131023
2019-09-12,270.5,290,270.5,276,62323
2019-09-13,276,282,276,280.5,122185
2019-09-16,280,286.5,280,284,229380
2019-09-17,280,285,280,282,95148
2019-09-18,280.5,311,280,291.5,194118
2019-09-19,292,292,285,290,93909
2019-09-20,280,289,280,284,5077266
2019-09-23,282.5,286,277,277.5,45971
2019-09-24,274.5,277,260,273,58901
2019-09-25,275,278.5,272,272,106543
2019-09-26,260,292.5,260,270,213116
2019-09-27,270,283.5,269.5,283.5,130031
2019-09-30,285,285,277,280,147872
2019-10-01,284,284,273,276,28503
2019-10-02,275,287.5,253.63,277,274772
2019-10-03,271,278.5,270,274.5,3572675
2019-10-04,279,279,270,271,42831
2019-10-07,278.5,278.5,269.5,274.5,33233
2019-10-08,270.5,279,270.5,274.5,124298
2019-10-09,279,279.5,266.89,273,27116
2019-10-10,274,283.5,274,280,144368
2019-10-11,284,294,278,294,179673
2019-10-14,294,297.5,277.5,295,352996
2019-10-15,295,302,283,286,81891
2019-10-16,285,297,276.5,278,80365
2019-10-17,276,281,273.5,276.5,71413
2019-10-18,274.5,285.5,274,284.5,405468
2019-10-21,275.5,290.9049,275.5,288,72366
2019-10-22,288,288,277.5,280.5,50007
2019-10-23,280,294.5,279.1406,282.5,1199895
2019-10-24,292.5,292.5,275.5,282.5,22963
2019-10-25,289.5,294.5,278.2301,290,25098
2019-10-28,278.5,295,276,289,30026
2019-10-29,282.5,290,279.5951,290,29970
2019-10-30,290,295,285.5,291,1469390
2019-10-31,291,300,287,288.5,25011
2019-11-01,285,306,285,306,50493
2019-11-04,300,300,290,300,20938
2019-11-05,302,305,285.5,300,50813
2019-11-06,287.5,305,285.5,297.5,20283
2019-11-07,299.5,305,287,300,45049
2019-11-08,295,300,285.5,300,12594
2019-11-11,285.5,299.5,285.5,295,20760
2019-11-12,299.5,300,293.5,299.5,59861
2019-11-13,291.5,299,285,291,28454
2019-11-14,286.5,299.5,285,291.5,26242
2019-11-15,294,299,285,295,20052
2019-11-18,285.5,299.5,285,293,79609
2019-11-19,299.5,299.5,290.5,297.5,68272
2019-11-20,285.5,300,285.5,300,33006
2019-11-21,288,300,288,300,19488
2019-11-22,300,300,294.6,296,32464
2019-11-25,300,300,290.4,300,37387
2019-11-26,300,312,299.2,310,126490
2019-11-27,310,323.2,300.2,323.2,480571
2019-11-28,317,340,315,338.8,109422
2019-11-29,339.4,339.4,314.2,325,1097805
2019-12-02,331,331,311.2,325,34229
2019-12-03,312,326.8,311,324.8,37347
2019-12-04,324.8,325,311.8,325,53068
2019-12-05,312.8,324.8,312.2,320,74036
2019-12-06,311.2,327,311.2,320,59631
2019-12-09,324.8,330.2,312.2,324,239571
2019-12-10,324.4,329.8,317.48,320,83146
2019-12-11,320,320,296,301.2,411365
2019-12-12,309.8,310,298,310,56593
2019-12-13,322.6,330,312.2,320,247747
2019-12-16,312.2,324.8,312.2,320,201966
2019-12-17,312.2,320,312.2,320,85983
2019-12-18,312.2,324.8,312.2,320.8,386106
2019-12-19,323,346.4,320,346,120111
2019-12-20,343.8,370.8,340.2,360,622218
2019-12-23,365,365,345.6,360.4,589877
2019-12-24,365,365,356.4865,358,15072
2019-12-27,345,376.8,345,376.8,47346
2019-12-30,370,380,370,380,75447
2019-12-31,362,383.0254,362,376,36929
2020-01-02,382,395.8,375.7841,390,1488673
2020-01-03,395,395,377.752,390,1100702
2020-01-06,375,394.8,373.4,375.4,979425
2020-01-07,373.4,391.8841,373.4,383.8,83950
2020-01-08,378.2,386,373.6,375,97936
2020-01-09,385.8,385.8,375.6,380,66928
2020-01-10,370,373,359.6,364.2,37295461
2020-01-13,358.2,371.8,358.2,368.4,562883
2020-01-14,366.6,382.4,366.6,380,239495
2020-01-15,385,385,373.2,380,186081
2020-01-16,386.8,395.6,380,390.8,2072666
2020-01-17,377.2,396.8,377,387.6,85987
2020-01-20,397,397,377.4,378,149187
2020-01-21,390,390,370,375,125985
2020-01-22,389.8,389.8,372.8,375,113951
2020-01-23,370,379.8,370,374,155004
2020-01-24,370.2,379.8,370.2,377,44169
2020-01-27,370.4,380,370.2,373.2,208829
2020-01-28,370.2,378.4,360,365.4,117280
2020-01-29,359,378.8,359,372.4,821095
2020-01-30,376.8,384,365.2,378.2,93094
2020-01-31,382.8,382.8,365.8,373.4,61584
2020-02-03,365.2,390,365.2,390,259372
2020-02-04,393,393,382.168,392.8,31464
2020-02-05,377.2,392.8,377.2,390,70667
2020-02-06,393,395,384.8539,390,68958
2020-02-07,394.8,394.8,375.2,379.4,1535333
2020-02-10,373,391.5106,373,379.2,130349
2020-02-11,379.4,383.06,369,369,71890
2020-02-12,378.6,379.8,370,371,464402
2020-02-13,386.4,386.8,370.2,382,403406
2020-02-14,386.8,386.8,372.4,381.6,41227
2020-02-17,372,386.4,372,378,118123
2020-02-18,387,387,370.2,379,239396
2020-02-19,386.8,386.8,370.4,378,16526
2020-02-20,370.2,386.8,370.2,379.2,1053509
2020-02-21,386.8,386.8,370.2,374.2,16444
2020-02-24,374.2,387,370,373,981694
2020-02-25,370,386.2,363.2,367,194635
2020-02-26,363.4,365.0946,345,349,639391
2020-02-27,357.8,357.8,335,335,1506363
2020-02-28,320.6,340,320.2,329.6,1163841
2020-03-02,339.4,339.4,310,326.4,134801
