Date,Open,High,Low,Close,Volume
2000-01-04,980,1010,963,970,5600968
2000-01-05,960,973.5,867,875,8135896
2000-01-06,876,970,820,867.5,6089360
2000-01-07,867.5,920,831,900,5481662
2000-01-10,918,946,902,943.5,7084631
2000-01-11,944.5,995,933,940,3787151
2000-01-12,920,970,907,955.5,2335072
2000-01-13,965,1017.5,959.25,1006.5,2268338
2000-01-14,1004.5,1075,1001,1068,5041084
2000-01-17,1059,1186,1056,1129,3131010
2000-01-18,1139,1139,1057,1090,3774138
2000-01-19,1068,1133,1053.5,1087.5,2598917
2000-01-20,1025,1065,1010,1060.5,6277007
2000-01-21,1051.5,1051.5,1003,1019.5,5173503
2000-01-24,1016,1090,1012,1077,3254482
2000-01-25,1049,1100,1024,1035,4061670
2000-01-26,1034,1074,1000,1060,2975550
2000-01-27,1070,1104.5,1066,1080.5,2012919
2000-01-28,1078.5,1078.5,993,1021,2541622
2000-01-31,1018.5,1050,977,983.5,4836727
2000-02-01,997,1091,982,1078,8621859
2000-02-02,1065,1115.5,1065,1078.5,3938883
2000-02-03,1086,1137.5,1068,1093,1607554
2000-02-04,1099,1139,1038,1093,2430835
2000-02-07,1086.5,1098.5,1029,1091.5,1695422
2000-02-08,1101,1195,1070,1177.5,5104634
2000-02-09,1150,1317,1150,1265.5,4246359
2000-02-10,1265,1265,1180,1203.5,2070788
2000-02-11,1141,1197,1102,1141,5613644
2000-02-14,1147.5,1180,1130,1139,2913921
2000-02-15,1168,1170,1135,1149,3646215
2000-02-16,1160,1185,1115,1154,5690257
2000-02-17,1159.5,1165,990,1029,11354970
2000-02-18,1050,1085,955,1003.5,11633190
2000-02-21,1028,1085,1010,1030,2876224
2000-02-22,1026,1111.5,1000,1034,4167010
2000-02-23,1196,1196,1035,1119.5,10197710
2000-02-24,1131,1137,1079,1113.5,3389718
2000-02-25,1122,1181,1120,1172,7298530
2000-02-28,1197,1256,1152.75,1212,7570960
2000-02-29,1296,1296,1185,1221.5,5535238
2000-03-01,1217,1290,1206,1276,6932144
2000-03-02,1203,1296,1203,1277.5,3618454
2000-03-03,1296,1345,1276,1301.5,4787247
2000-03-06,1285,1348.25,1285,1323.5,1424643
2000-03-07,1320,1322,1247,1260,6911503
2000-03-08,1230,1260,1144.5,1199,6119261
2000-03-09,1200,1298,1181.5,1208.5,2693136
2000-03-10,1217,1280,1188,1233.5,3051731
2000-03-13,1237,1238,1164.5,1185,6957073
2000-03-14,1198.3,1250,1175,1182,2426312
2000-03-15,1186,1186,1100,1119.5,3714922
2000-03-16,1117.5,1130,1020,1081,8855128
2000-03-17,1080,1121.75,1043.5,1068.5,5552175
2000-03-20,1069,1115,1062,1077,2234246
2000-03-21,1077,1137,1053,1069,4173287
2000-03-22,1078,1199,1065,1090,4565629
2000-03-23,1089,1108,1070,1085,9835845
2000-03-24,1107,1120,1014,1075,6030028
