Date,Open,High,Low,Close,Volume
2000-01-03,67.4368,67.7504,66.624,67.2512,8403200
2000-01-04,66.8736,66.9376,64.7488,64.9344,6726400
2000-01-05,64.6848,64.6848,62.0608,63.5008,7289600
2000-01-06,63.2512,63.2512,61.5616,61.7472,3123200
2000-01-07,62.0032,62.3744,60.6272,62.3744,7244800
2000-01-10,62.5024,65.4976,62.5024,65.312,3052800
2000-01-11,65.4976,67.1232,65.312,66.8736,4966400
2000-01-12,67.7504,78.0032,67.7504,76.128,52172800
2000-01-13,76.3776,77.8112,74.0032,75.1232,11059200
2000-01-14,75.0016,78.0032,75.0016,76.6848,4608000
2000-01-18,78.8096,80.9984,78.3744,78.752,10246400
2000-01-19,78.5024,80,76.6272,78.0032,7673600
2000-01-20,79.2512,80.8768,77.4976,77.5616,6252800
2000-01-21,77.5616,78.0032,74.5024,74.56,4723200
2000-01-24,74.8096,77.248,72.9984,74.0032,6003200
2000-01-25,74.0032,74.0032,71.1232,71.936,3251200
2000-01-26,71.936,73.5616,70.0032,72.9984,5376000
2000-01-27,73.248,74.4384,71.6864,71.936,4403200
2000-01-28,71.936,72.5632,68.3776,68.5632,2208000
2000-01-31,68.5632,69.4976,66.8096,67.872,5376000
2000-02-01,67.872,68.1856,66.8736,67.4368,3251200
2000-02-02,67.4368,70.5024,67.4368,68.8768,2841600
2000-02-03,69.4976,69.6896,68.9344,69.1904,2899200
2000-02-04,69.4976,70.1888,69.376,70.1888,1849600
2000-02-07,69.4976,70.0608,68.7488,69.0624,1625600
2000-02-08,69.7472,71.5008,69.7472,69.7472,4128000
2000-02-09,69.8112,69.8112,67.5008,67.6864,2329600
2000-02-10,67.872,68,66.3104,66.688,1862400
2000-02-11,66.752,67.3728,65.4976,66.2528,2752000
2000-02-14,66.2528,82.0032,65.9392,81.9392,48448000
2000-02-15,81.7472,81.7472,73.6256,75.1232,16332800
2000-02-16,75.1872,78.3744,75.1872,78.0032,9843200
2000-02-17,77.1264,77.376,75.1232,75.8144,4057600
2000-02-18,75.936,76,71.872,72.6848,4262400
2000-02-22,71.6864,72,69.1904,71.3152,6035200
2000-02-23,71.8144,72.7488,68.4992,72.4992,5817600
2000-02-24,72.7488,74.752,72.6272,73.9392,4979200
2000-02-25,74.0032,76.6272,73.44,73.9392,7321600
2000-02-28,74.2528,75.0016,73.0624,75.0016,7859200
2000-02-29,75.0016,81.248,75.0016,79.936,8032000
2000-03-01,80,85.4976,79.5648,85.4976,8390400
2000-03-02,85.248,85.248,81.376,82.2528,7404800
2000-03-03,83.0016,84.4992,82.0032,82.0608,2937600
2000-03-06,82.1248,83.872,81.6256,82.5024,7251200
2000-03-07,82.5024,83.1232,78.0032,78.56,3078400
2000-03-08,77.4976,78.0608,73.376,76.128,5856000
2000-03-09,75.872,77.248,75.2512,76.8768,2489600
2000-03-10,84.7488,88,83.6224,86.1248,25632000
2000-03-13,83.7504,85.248,82.3744,83.2512,6028800
2000-03-14,83.872,85.4976,80.3136,80.7488,5139200
2000-03-15,86.0032,89.9392,83.2512,86.1248,24646400
2000-03-16,86.624,88.7488,85.1904,88.3776,6566400
2000-03-17,87.7504,95.0016,87.0016,94.9376,13696000
2000-03-20,94.9376,95.5008,92.7488,93.0624,9120000
2000-03-21,92.8128,94.0032,91.3152,92.7488,7942400
2000-03-22,92.9984,94.5024,92.9984,93.8112,2931200
2000-03-23,94.0032,98.3744,94.0032,98.1248,5248000
2000-03-24,97.8752,103.7504,96.4992,96.4992,13401600
2000-03-27,95.5008,104.2496,95.1232,103.3152,9433600
2000-03-28,103.1232,103.1232,99.1232,99.872,5152000
2000-03-29,100.7488,102.56,96.2496,96.3776,6387200
2000-03-30,96.2496,97.5616,95.3728,96.3776,8723200
2000-03-31,97.248,102.688,96.8128,102.2528,9139200
2000-04-03,101.7472,101.7472,100.3136,100.6848,8448000
2000-04-04,100.128,102.0032,90.5024,100.9984,13164800
2000-04-05,100.7488,104,99.6224,104,6348800
2000-04-06,106.0032,111.0016,104.8768,110.5024,10502400
2000-04-07,112.2496,120.2496,110.624,118.624,13446400
2000-04-10,120,120,115.3728,117.376,11206400
2000-04-11,115.0016,117.376,110.752,117.248,7980800
2000-04-12,117.312,119.5008,113.4976,115.2512,14592000
2000-04-13,113.7472,114.752,107.6224,113.376,15129600
2000-04-14,111.0016,111.0016,92,92.6272,11488000
2000-04-17,93.4976,100,92.9984,96.9984,16268800
2000-04-18,99.0016,114.0032,99.0016,112.2496,14246400
2000-04-19,116.9984,117.4976,112.4992,115.3152,7046400
2000-04-20,115.1872,116.064,111.0656,112.9984,5024000
2000-04-24,111.5008,112.1856,108.4992,110.1248,5472000
2000-04-25,115.0016,121.0624,113.8752,120,14060800
2000-04-26,60,63.5008,58,58.1888,8547200
2000-04-27,57.1872,62.4992,56.5632,60,10419200
2000-04-28,60,64,59.376,63.7504,7497600
2000-05-01,62.2496,62.2496,57.2512,59.8112,13596800
2000-05-02,59.1872,61.376,57.5616,59.0016,6342400
2000-05-03,57.7504,57.7504,50.624,51.6256,8630400
2000-05-04,53.0016,54.9376,51.7504,54.7488,5680000
2000-05-05,54.4992,58.9376,54.4992,58.9376,7100800
2000-05-08,58.9376,62,58.9376,59.7504,6585600
2000-05-09,59.2512,60,50.8736,53.7504,8169600
2000-05-10,53.2512,53.2512,46.4992,47.6256,8780800
2000-05-11,47.8752,50.8128,47.7504,50.5632,6899200
2000-05-12,52,53.936,51.5008,51.6864,11273600
2000-05-15,49.8752,50.7488,48.4992,50.1888,8076800
2000-05-16,51.1264,52.7488,48.7488,49.1264,17299200
2000-05-17,48.7488,49.1264,47.5008,49.0624,110688000
2000-05-18,49.7504,52.4384,49.0016,51.6256,72342400
