Date,Open,High,Low,Close,Volume
2000-01-03,20.5924,20.5924,20.0595,20.0595,57616
2000-01-04,20.9801,20.9801,20.6409,20.7863,94582
2000-01-05,20.7378,21.0285,20.544,21.0285,198456
2000-01-06,20.8347,20.9316,20.4471,20.6893,40889
2000-01-07,21.3192,22.0945,21.3192,22.0945,246573
2000-01-10,21.9007,22.0945,21.7553,21.9007,86115
2000-01-11,21.1254,21.3192,20.8832,20.9316,56171
2000-01-12,21.0285,21.1254,20.7378,20.9801,133612
2000-01-13,21.1739,21.1739,20.8347,21.1254,76409
2000-01-14,21.077,21.1254,21.0285,21.1254,17553
2000-01-18,20.544,20.7378,20.2048,20.7378,53899
2000-01-19,20.3986,20.3986,20.0595,20.3017,35107
2000-01-20,20.544,20.9801,20.544,20.8347,23336
2000-01-21,20.4471,20.4471,20.1564,20.1564,46878
2000-01-24,19.9626,19.9626,19.5749,19.5749,149513
2000-01-25,19.6718,19.9626,19.5749,19.5749,26020
2000-01-26,19.5749,19.7203,19.3327,19.3327,46878
2000-01-27,19.1873,19.3811,18.9935,19.1389,37172
2000-01-28,19.1873,19.1873,18.509,18.509,29118
2000-01-31,18.3152,18.509,18.0729,18.3636,106353
2000-02-01,18.3636,18.4121,18.1213,18.4121,53280
2000-02-02,18.4121,18.4121,18.3152,18.3152,53280
2000-02-03,18.3636,18.3636,18.0244,18.1213,15488
2000-02-04,18.1213,18.3152,17.7337,18.3152,27259
2000-02-07,18.4121,18.6059,18.1213,18.1698,137536
2000-02-08,18.6059,18.7028,18.4121,18.4605,25814
2000-02-09,17.8791,17.8791,17.6368,17.6368,49149
2000-02-10,17.3461,17.3461,17.1523,17.2977,22510
2000-02-11,16.8616,17.1523,16.8616,17.0069,51628
2000-02-14,16.5224,17.0069,16.5224,16.8131,59681
2000-02-15,17.1523,17.3946,17.0069,17.2007,103875
2000-02-16,16.8616,17.0554,16.7162,17.0554,35107
2000-02-17,16.8131,16.9585,16.6678,16.9585,122254
2000-02-18,16.474,16.5709,16.1832,16.3286,59475
2000-02-22,16.377,16.8131,16.377,16.7647,239758
2000-02-23,16.0863,16.1832,15.8925,15.9894,198869
2000-02-24,15.9894,16.6678,15.9894,16.1348,393608
2000-02-25,16.0863,16.5224,16.0863,16.3286,248638
2000-02-28,15.408,15.5049,15.2142,15.4564,127210
2000-02-29,15.4564,15.5049,15.2626,15.5049,226541
2000-03-01,15.3111,15.408,15.2626,15.408,70213
2000-03-02,15.6018,15.7956,15.5049,15.6987,61333
2000-03-03,15.6018,15.6987,15.408,15.6503,30357
2000-03-06,15.0204,15.0204,14.5358,14.5358,101190
2000-03-07,15.2142,15.4564,15.1657,15.408,24575
2000-03-08,15.3111,15.5534,15.2142,15.408,58855
2000-03-09,15.9894,16.0863,15.8441,16.0863,47497
2000-03-10,16.1832,16.1832,15.9894,15.9894,46878
2000-03-13,16.0863,16.377,16.0863,16.1832,47084
